Pathway,Count
Adeno-associated virus - 2 Rep 52 protein,9
Adeno-associated virus - 2 major coat protein VP3,26
Adeno-associated virus - 2 major coat protein VP2,26
Adeno-associated virus - 2 Rep 40 protein,9
Adeno-associated virus - 2 assembly activating protein AAP,7
Adeno-associated virus - 2 Rep 68 protein,20
Adeno-associated virus - 2 major coat protein VP1,28
Adeno-associated virus - 2 Rep 78 protein,20
Adeno-associated virus - 3 capsid protein,28
Adeno-associated virus - 3 nonstructural protein,23
Adeno-associated virus - 4 capsid,23
Adeno-associated virus - 4 rep,20
Adeno-associated virus - 5 capsid protein (gene: VP1),23
Adeno-associated virus - 5 DNA binding trs helicase (gene: Rep22),18
Adeno-associated virus - 6 nonstructural protein Rep78,17
Adeno-associated virus - 6 capsid protein VP1,35
Adeno-associated virus 3B nonstructural protein Rep78,20
Adeno-associated virus 3B capsid protein VP1,37
Adult diarrheal rotavirus strain J19 VP4,6
Adult diarrheal rotavirus strain J19 NSP1,102
African green monkey simian foamy virus Bet (gene: bel),7
African green monkey simian foamy virus Gag (gene: gag),20
African green monkey simian foamy virus Pol precursor (gene: pol),136
Aichi virus 1 VP0,30
Aichi virus 1 VP3,24
Aichi virus 1 2C,25
Aichi virus 1 2A,8
Aichi virus 1 3D,46
Aichi virus 1 3C,33
Aichi virus 1 VP1,12
Alkhumra hemorrhagic fever virus PreM protein,34
Alkhumra hemorrhagic fever virus non-structural protein NS1,13
Alkhumra hemorrhagic fever virus envelope protein,51
Alkhumra hemorrhagic fever virus anchored core protein C,39
Alkhumra hemorrhagic fever virus core protein C,38
Alkhumra hemorrhagic fever virus matrix protein M,7
Alkhumra hemorrhagic fever virus non-structural protein NS3,63
Alphapapillomavirus 3 replication protein E1 (gene: E1),24
Alphapapillomavirus 3 transforming protein E6 (gene: E6),17
Alphapapillomavirus 3 transforming protein E7 (gene: E7),6
Alphapapillomavirus 3 regulatory protein E2 (gene: E2),112
Alphapapillomavirus 4 early protein E7 (gene: E7),6
Alphapapillomavirus 4 early protein E4 (gene: E4),7
Alphapapillomavirus 4 early protein E6 (gene: E6),9
Alphapapillomavirus 4 E1 (gene: E1),26
Alphapapillomavirus 4 early protein E2 (gene: E2),131
Alphapapillomavirus 7 E6 protein (gene: E6),11
Alphapapillomavirus 7 E7 protein (gene: E7),23
Alphapapillomavirus 7 E2 protein (gene: E2),27
Alphapapillomavirus 7 major capsid L1 protein (gene: L1),7
Alphapapillomavirus 7 E1 (gene: E1),21
Astrovirus MLB1 capsid protein,15
Astrovirus MLB1 ORF1a,18
Astrovirus MLB1 HK05 ORF1b (gene: ORF1b),9
Astrovirus MLB1 HK05 ORF2 (gene: ORF2),15
Astrovirus MLB1 HK05 ORF1a (gene: ORF1a),20
Astrovirus MLB2 putative RNA dependent RNA polymerase,9
Astrovirus MLB2 putative serine protease,20
Astrovirus MLB2 putative capsid protein,15
Astrovirus MLB3 ORF1b,6
Astrovirus MLB3 ORF1a,21
Astrovirus MLB3 putative capsid protein,16
Astrovirus SG nonstructural protein 1ab,30
Astrovirus SG nonstructural protein 1a,26
Astrovirus VA1 non-structural protein 1ab,31
Astrovirus VA1 non-structural protein 1a,25
Astrovirus VA3 ORF1a,19
Astrovirus VA3 ORF1b,10
Astrovirus VA4 putative capsid protein,8
Astrovirus VA4 ORF1b,7
Astrovirus VA4 ORF1a,17
Australian bat lyssavirus glycoprotein (gene: G),15
Australian bat lyssavirus phosphoprotein (gene: P),9
Australian bat lyssavirus L protein (gene: L),10
BK polyomavirus VP3,7
BK polyomavirus small t antigen,19
BK polyomavirus large T antigen,81
BK polyomavirus VP1,6
BK polyomavirus VP2,7
Banna virus strain JKT-6423 VP4,7
Banna virus strain JKT-6423 vp12,113
Banna virus strain JKT-6423 Vp9,8
Banna virus strain JKT-6423 Vp7,108
Barmah Forest virus excised_polyprotein 1..742,18
Barmah Forest virus E2 protein,11
Barmah Forest virus full_polyprotein 1..2411,31
Barmah Forest virus nsP2,12
Barmah Forest virus C protein,9
Barmah Forest virus E1 protein,8
Barmah Forest virus nsP3,16
Beilong virus attachment glycoprotein (gene: G),13
Beilong virus phosphoprotein (gene: P/V/C),21
Beilong virus nucleocapsid protein (gene: N),5
Betacoronavirus England 1 ORF1b protein (gene: orf1ab),81
Betacoronavirus England 1 NS3B protein (gene: ns3b),67
Betacoronavirus England 1 E protein (gene: E),16
Betacoronavirus England 1 S protein (gene: S),30
Betacoronavirus England 1 ORF1a protein (gene: orf1ab),95
Betacoronavirus England 1 N protein (gene: N),19
Bufavirus-3 VP2,15
Bufavirus-3 NS1,23
Bufavirus-3 hypothetical protein,7
Bundibugyo ebolavirus matrix protein (gene: VP40),19
Bundibugyo ebolavirus polymerase complex protein (gene: VP35),17
Bundibugyo ebolavirus small secreted glycoprotein (gene: GP),15
Bundibugyo ebolavirus membrane-associated protein (gene: VP24),12
Bundibugyo ebolavirus minor nucleoprotein (gene: VP30),22
Bundibugyo ebolavirus second secreted glycoprotein (gene: GP),7
Bundibugyo ebolavirus nucleoprotein (gene: NP),23
Bundibugyo ebolavirus spike glycoprotein (gene: GP),131
Bunyamwera virus hypothetical protein,7
Cercopithecine alphaherpesvirus 2 myristylated tegument protein (gene: UL11),7
Cercopithecine alphaherpesvirus 2 tegument serine/threonine protein kinase (gene: UL13),377
Cercopithecine alphaherpesvirus 2 envelope glycoprotein K (gene: UL53),7
Cercopithecine alphaherpesvirus 2 capsid triplex subunit 2 (gene: UL18),10
Cercopithecine alphaherpesvirus 2 nuclear egress lamina protein (gene: UL31),14
Cercopithecine alphaherpesvirus 2 DNA packaging tegument protein UL25 (gene: UL25),7
Cercopithecine alphaherpesvirus 2 transactivating tegument protein VP16 (gene: UL48),7
Cercopithecine alphaherpesvirus 2 envelope glycoprotein C (gene: UL44),60
Cercopithecine alphaherpesvirus 2 deoxyuridine triphosphatase (gene: UL50),35
Cercopithecine alphaherpesvirus 2 membrane protein UL45 (gene: UL45),40
Cercopithecine alphaherpesvirus 2 DNA packaging tegument protein UL17 (gene: UL17),7
Cercopithecine alphaherpesvirus 2 deoxyribonuclease (gene: UL12),6
Cercopithecine alphaherpesvirus 2 tegument protein UL16 (gene: UL16),7
Cercopithecine alphaherpesvirus 2 DNA polymerase processivity subunit (gene: UL42),21
Cercopithecine alphaherpesvirus 2 tegument protein VP11/12 (gene: UL46),7
Cercopithecine alphaherpesvirus 2 envelope glycoprotein M (gene: UL10),7
Cercopithecine alphaherpesvirus 2 regulatory protein ICP22 (gene: US1),7
Cercopithecine alphaherpesvirus 2 ribonucleotide reductase subunit 2 (gene: UL40),19
Cercopithecine alphaherpesvirus 2 envelope glycoprotein L (gene: UL1),18
Cercopithecine alphaherpesvirus 2 helicase-primase helicase subunit (gene: UL5),39
Cercopithecine alphaherpesvirus 2 envelope glycoprotein D (gene: US6),95
Cercopithecine alphaherpesvirus 2 envelope glycoprotein G (gene: US4),23
Cercopithecine alphaherpesvirus 2 tegument protein VP22 (gene: UL49),64
Cercopithecine alphaherpesvirus 2 large tegument protein (gene: UL36),46
Cercopithecine alphaherpesvirus 2 serine/threonine protein kinase US3 (gene: US3),816
Cercopithecine alphaherpesvirus 2 envelope glycoprotein E (gene: US8),38
Cercopithecine alphaherpesvirus 2 tegument protein UL14 (gene: UL14),7
Cercopithecine alphaherpesvirus 2 DNA packaging protein UL33 (gene: UL33),7
Cercopithecine alphaherpesvirus 2 tegument protein UL21 (gene: UL21),15
Cercopithecine alphaherpesvirus 2 tegument protein UL51 (gene: UL51),9
Cercopithecine alphaherpesvirus 2 DNA packaging terminase subunit 1 (gene: UL15),20
Cercopithecine alphaherpesvirus 2 transcriptional regulator ICP4 (gene: RS1),7
Cercopithecine alphaherpesvirus 2 DNA polymerase catalytic subunit (gene: UL30),8
Cercopithecine alphaherpesvirus 2 tegument protein VP13/14 (gene: UL47),7
Cercopithecine alphaherpesvirus 2 nuclear egress membrane protein (gene: UL34),13
Cercopithecine alphaherpesvirus 2 capsid triplex subunit 1 (gene: UL38),7
Cercopithecine alphaherpesvirus 2 DNA replication origin-binding helicase (gene: UL9),73
Cercopithecine alphaherpesvirus 2 tegument host shutoff protein (gene: UL41),26
Cercopithecine alphaherpesvirus 2 tegument protein UL37 (gene: UL37),7
Cercopithecine alphaherpesvirus 2 envelope glycoprotein B (gene: UL27),15
Cercopithecine alphaherpesvirus 2 uracil-DNA glycosylase (gene: UL2),14
Cercopithecine betaherpesvirus 5 interleukin-10 (gene: UL111A),26
Cercopithecine betaherpesvirus 5 protein UL83B (gene: UL83B),36
Cercopithecine betaherpesvirus 5 membrane protein US18 (gene: US18),20
Cercopithecine betaherpesvirus 5 envelope protein UL128 (gene: UL128),7
Cercopithecine betaherpesvirus 5 membrane protein US27E (gene: US27E),13
Cercopithecine betaherpesvirus 5 membrane protein US27A (gene: US27A),7
Cercopithecine betaherpesvirus 5 membrane protein US12D (gene: US12D),15
Cercopithecine betaherpesvirus 5 membrane protein US12E (gene: US12E),18
Cercopithecine betaherpesvirus 5 membrane protein US17 (gene: US17),16
Cercopithecine betaherpesvirus 5 membrane protein US27B (gene: US27B),191
Cercopithecine betaherpesvirus 5 membrane glycoprotein US3 (gene: US3),77
Cercopithecine betaherpesvirus 5 DNA packaging terminase subunit 1 (gene: UL89),8
Cercopithecine betaherpesvirus 5 myristylated tegument protein (gene: UL99),13
Cercopithecine betaherpesvirus 5 protein UL13 (gene: UL13),7
Cercopithecine betaherpesvirus 5 membrane protein RL11G (gene: RL11G),33
Cercopithecine betaherpesvirus 5 protein US23 (gene: US23),7
Cercopithecine betaherpesvirus 5 membrane protein US21 (gene: US21),21
Cercopithecine betaherpesvirus 5 nuclear egress lamina protein (gene: UL53),17
Cercopithecine betaherpesvirus 5 membrane protein RL11A (gene: RL11A),39
Cercopithecine betaherpesvirus 5 membrane protein RL11S (gene: RL11S),7
Cercopithecine betaherpesvirus 5 protein UL117 (gene: UL117),7
Cercopithecine betaherpesvirus 5 chemokine vCXCL5 (gene: UL146B),69
Cercopithecine betaherpesvirus 5 chemokine vCXCL8 (gene: UL146E),10
Cercopithecine betaherpesvirus 5 tegument protein UL25 (gene: UL25),17
Cercopithecine betaherpesvirus 5 multifunctional expression regulator (gene: UL69),7
Cercopithecine betaherpesvirus 5 protein UL116 (gene: UL116),7
Cercopithecine betaherpesvirus 5 membrane protein RL11J (gene: RL11J),23
Cercopithecine betaherpesvirus 5 chemokine vCXCL9 (gene: UL146F),63
Cercopithecine betaherpesvirus 5 protein UL84 (gene: UL84),7
Cercopithecine betaherpesvirus 5 envelope protein US28 (gene: US28),11
Cercopithecine betaherpesvirus 5 large tegument protein (gene: UL48),179
Cercopithecine betaherpesvirus 5 membrane protein US12A (gene: US12A),14
Cercopithecine betaherpesvirus 5 deoxyribonuclease (gene: UL98),10
Cercopithecine betaherpesvirus 5 membrane glycoprotein UL141 (gene: UL141),34
Cercopithecine betaherpesvirus 5 tegument protein TRS1 (gene: TRS1),7
Cercopithecine betaherpesvirus 5 envelope glycoprotein H (gene: UL75),8
Cercopithecine betaherpesvirus 5 envelope glycoprotein UL33 (gene: UL33),31
Cercopithecine betaherpesvirus 5 membrane protein US12 (gene: US12),12
