Pathway,Count
15q11.2 copy number variation syndrome WP4940,9
15q13.3 copy number variation syndrome WP4942,19
16p11.2 distal deletion syndrome WP4950,31
16p11.2 proximal deletion syndrome WP4949,74
1q21.1 copy number variation syndrome WP4905,27
22q11.2 copy number variation syndrome WP4657,131
3q29 copy number variation syndrome WP4906,63
"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879",18
7-oxo-C and 7beta-HC pathways WP5064,27
7q11.23 copy number variation syndrome WP4932,104
ACE Inhibitor Pathway WP554,17
Acetylcholine Synthesis WP528,7
Activation of NLRP3 Inflammasome by SARS-CoV-2 WP4876,7
Acute viral myocarditis WP4298,86
Adipogenesis WP236,130
Aflatoxin B1 metabolism WP699,7
AGE/RAGE pathway WP2324,66
Airway smooth muscle cell contraction WP4962,17
Alanine and aspartate metabolism WP106,12
Allograft Rejection WP2328,89
Alpha 6 Beta 4 signaling pathway WP244,33
Alzheimer's disease WP2059,83
Amino Acid Metabolism Pathway Excerpt (Histidine catabolism extension) WP4661,6
Amino Acid metabolism WP3925,91
AMP-activated protein kinase (AMPK) signaling WP1403,69
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678,17
Amyotrophic lateral sclerosis (ALS) WP2447,38
Androgen receptor signaling pathway WP138,90
Angiogenesis WP1539,24
Angiopoietin Like Protein 8 Regulatory Pathway WP3915,132
ApoE and miR-146 in inflammation and atherosclerosis WP3926,8
Apoptosis Modulation and Signaling WP1772,90
Apoptosis Modulation by HSP70 WP384,19
Apoptosis WP254,84
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864,53
Arachidonate Epoxygenase / Epoxide Hydrolase WP678,7
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118,74
Aryl Hydrocarbon Receptor Netpath WP2586,46
Aryl Hydrocarbon Receptor Pathway WP2873,46
Arylamine metabolism WP694,6
Aspirin and miRNAs WP4707,10
Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680,66
ATM Signaling Network in Development and Disease  WP3878,45
ATM Signaling Pathway WP2516,40
ATR Signaling WP3875,9
Autophagy WP4923,30
Autosomal recessive Osteopetrosis pathways WP4788,11
B Cell Receptor Signaling Pathway WP23,97
Base Excision Repair WP4752,31
BDNF-TrkB Signaling WP3676,34
Benzene metabolism WP3891,6
Benzo(a)pyrene metabolism WP696,9
Bile acids synthesis and enterohepatic circulation  WP4389,12
Biogenic Amine Synthesis WP550,15
Biomarkers for pyrimidine metabolism disorders WP4584,15
Biomarkers for urea cycle disorders WP4583,12
Biotin Metabolism (including IEMs) WP5031,9
Bladder cancer WP2828,40
Blood Clotting Cascade WP272,23
BMP Signaling Pathway in Eyelid Development WP3927,20
BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation WP3876,13
Bone morphogenic protein (BMP) signaling and regulation WP1425,12
Brain-derived neurotrophic factor (BDNF) signaling pathway WP2380,144
Breast cancer pathway WP4262,154
Calcium Regulation in the Cardiac Cell WP536,150
Caloric restriction and aging WP4191,8
CAMKK2  Pathway WP4874,34
Cancer immunotherapy by CTLA4 blockade WP4582,14
