Pathway,Count
Heme Biosynthesis Homo sapiens WP561,9
Heme Biosynthesis Mus musculus WP18,9
Deregulation of Rab and Rab Effector Genes in Bladder Cancer Homo sapiens WP2291,16
Arachidonate Epoxygenase / Epoxide Hydrolase Homo sapiens WP678,7
Electron Transport Chain Mus musculus WP295,93
Electron Transport Chain Homo sapiens WP111,103
Oxidative phosphorylation Homo sapiens WP623,60
Oxidative phosphorylation Mus musculus WP1248,53
Striated Muscle Contraction Homo sapiens WP383,38
Striated Muscle Contraction Mus musculus WP216,41
Dual hijack model of Vif in HIV infection Homo sapiens WP3300,8
Proteasome Degradation Homo sapiens WP183,62
Proteasome Degradation Mus musculus WP519,56
Parkin-Ubiquitin Proteasomal System pathway Homo sapiens WP2359,70
Splicing factor NOVA regulated synpatic proteins Mus musculus WP1983,42
"GPCRs, Class C Metabotropic glutamate, pheromone Mus musculus WP327",15
"GPCRs, Class C Metabotropic glutamate, pheromone Homo sapiens WP501",15
Gastric acid production Homo sapiens WP2596,7
Secretion of Hydrochloric Acid in Parietal Cells Homo sapiens WP2597,5
Odorant GPCRs Mus musculus WP1397,122
Orphan GPCRs Mus musculus WP1398,17
"GPCRs, Class B Secretin-like Homo sapiens WP334",23
"GPCRs, Class B Secretin-like Mus musculus WP456",22
Serotonin and anxiety-related events Mus musculus WP2140,13
Serotonin and anxiety Mus musculus WP2141,17
Monoamine GPCRs Homo sapiens WP58,33
Monoamine GPCRs Mus musculus WP570,32
Non-odorant GPCRs Mus musculus WP1396,256
"GPCRs, Class A Rhodopsin-like Homo sapiens WP455",259
"GPCRs, Class A Rhodopsin-like Mus musculus WP189",171
Peptide GPCRs Mus musculus WP234,66
Peptide GPCRs Homo sapiens WP24,74
"GPCRs, Other Homo sapiens WP117",93
"GPCRs, Other Mus musculus WP41",76
Nucleotide GPCRs Mus musculus WP207,11
Nucleotide GPCRs Homo sapiens WP80,11
ACE Inhibitor Pathway Mus musculus WP396,8
ACE Inhibitor Pathway Homo sapiens WP554,17
Glucocorticoid & Mineralcorticoid Metabolism Homo sapiens WP237,8
Glucocorticoid & Mineralcorticoid Metabolism Mus musculus WP495,8
Steroid Biosynthesis Mus musculus WP55,9
Steroid Biosynthesis Homo sapiens WP496,10
Small Ligand GPCRs Homo sapiens WP247,19
Small Ligand GPCRs Mus musculus WP353,18
Prostaglandin Synthesis and Regulation Mus musculus WP374,30
Prostaglandin Synthesis and Regulation Homo sapiens WP98,30
Eicosanoid Synthesis Mus musculus WP318,18
Eicosanoid Synthesis Homo sapiens WP167,24
Thyroxine (Thyroid Hormone) Production Homo sapiens WP1981,6
Histone Modifications Homo sapiens WP2369,66
Interactome of polycomb repressive complex 2 (PRC2)  Homo sapiens WP2916,16
Glial Cell Differentiation Homo sapiens WP2276,7
Mecp2 and Associated Rett Syndrome Mus musculus WP2910,46
Mecp2 and Associated Rett Syndrome Homo sapiens WP3584,48
Cytosine methylation Homo sapiens WP3585,9
TCA Cycle Homo sapiens WP78,17
TCA Cycle Mus musculus WP434,30
TCA Cycle and PDHc Homo sapiens WP2453,16
Amino Acid metabolism Mus musculus WP662,92
Urea cycle and metabolism of amino groups Homo sapiens WP497,20
Alanine and aspartate metabolism Homo sapiens WP106,12
Alanine and aspartate metabolism Mus musculus WP240,12
Glycolysis and Gluconeogenesis Homo sapiens WP534,49
Glycolysis and Gluconeogenesis Mus musculus WP157,48
Cori Cycle Homo sapiens WP1946,16
Pentose Phosphate Pathway Homo sapiens WP134,7
Pentose Phosphate Pathway Mus musculus WP63,7
Sulfation Biotransformation Reaction Homo sapiens WP692,18
NAD Biosynthesis II (from tryptophan) Homo sapiens WP2485,8
Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs) Homo sapiens WP688,5
Nicotine Metabolism Homo sapiens WP1600,6
Arylamine metabolism Homo sapiens WP694,6
Constitutive Androstane Receptor Pathway Homo sapiens WP2875,32
Glucuronidation Mus musculus WP1241,15
Glucuronidation Homo sapiens WP698,26
Aryl Hydrocarbon Receptor Pathway Homo sapiens WP2873,46
Aryl Hydrocarbon Receptor Homo sapiens WP2586,46
Estrogen Receptor Pathway Homo sapiens WP2881,13
Sulindac Metabolic Pathway Homo sapiens WP2542,5
Estrogen metabolism Mus musculus WP1264,11
Estrogen metabolism Homo sapiens WP697,18
Tamoxifen metabolism Homo sapiens WP691,21
Fatty Acid Omega Oxidation Homo sapiens WP206,16
Fatty Acid Omega Oxidation Mus musculus WP33,7
Tryptophan metabolism Mus musculus WP79,43
Tryptophan metabolism Homo sapiens WP465,46
Benzo(a)pyrene metabolism Homo sapiens WP696,9
Aflatoxin B1 metabolism Homo sapiens WP699,7
Metapathway biotransformation Mus musculus WP1251,132
Metapathway biotransformation Homo sapiens WP702,178
Oxidation by Cytochrome P450 Homo sapiens WP43,62
Oxidation by Cytochrome P450 Mus musculus WP1274,39
Vitamin D Metabolism Homo sapiens WP1531,10
Nuclear Receptors Homo sapiens WP170,38
Nuclear Receptors Mus musculus WP509,37
Retinol metabolism Mus musculus WP1259,38
Vitamin A and Carotenoid Metabolism Homo sapiens WP716,43
Farnesoid X Receptor  Pathway Homo sapiens WP2879,19
Nuclear Receptors in Lipid Metabolism and Toxicity Homo sapiens WP299,36
Nuclear receptors in lipid metabolism and toxicity Mus musculus WP431,30
Drug Induction of Bile Acid Pathway Homo sapiens WP2289,17
Codeine and Morphine Metabolism Homo sapiens WP1604,8
Irinotecan Pathway Homo sapiens WP229,14
Irinotecan Pathway Mus musculus WP475,9
"Phase I biotransformations, non P450 Homo sapiens WP136",8
Fluoropyrimidine Activity Homo sapiens WP1601,33
Methylation Pathways Homo sapiens WP704,9
Methylation Mus musculus WP1247,9
Biogenic Amine Synthesis Homo sapiens WP550,15
Biogenic Amine Synthesis Mus musculus WP522,14
Dopamine metabolism Homo sapiens WP2436,13
Dopaminergic Neurogenesis Homo sapiens WP2855,30
Dopaminergic Neurogenesis Mus musculus WP1498,29
SIDS Susceptibility Pathways Mus musculus WP1266,59
SIDS Susceptibility Pathways Homo sapiens WP706,160
Synaptic Vesicle Pathway Homo sapiens WP2267,51
Monoamine Transport Homo sapiens WP727,32
Serotonin Transporter Activity Homo sapiens WP1455,11
Effects of Nitric Oxide Homo sapiens WP1995,8
Quercetin and Nf-kB/ AP-1 Induced Cell Apoptosis Homo sapiens WP2435,16
Transcriptional activation by NRF2 Homo sapiens WP3,15
Keap1-Nrf2 Mus musculus WP1245,14
Oxidative Stress Homo sapiens WP408,31
Oxidative Stress Mus musculus WP412,26
Selenium Micronutrient Network Mus musculus WP1272,23
Folic Acid Network Mus musculus WP1273,22
Selenium metabolism/Selenoproteins Mus musculus WP108,46
Selenium Metabolism and Selenoproteins Homo sapiens WP28,47
