Pathway,Count
"Aortic Aneurysm, Abdominal",3
Nasopharyngeal Neoplasms,4
Glioma,5
Carotid Stenosis,17
Intracranial Aneurysm,7
Optic Disk,8
Breast Neoplasms,57
Gout,12
"F8 protein, human [Supplementary Concept]",3
Hypothyroidism,10
Ovarian Neoplasms,4
1-Alkyl-2-acetylglycerophosphocholine Esterase,7
Atherosclerosis,5
Warfarin,6
"Carcinoma, Renal Cell",3
Vitamin E,7
Blood Glucose,4
Glucose Tolerance Test,13
Glucose Transporter Type 2,8
Hypertriglyceridemia,3
Phospholipids,32
Lipid Metabolism,9
Metabolic Syndrome X,23
"Lipoproteins, HDL",61
Alcohol Drinking,22
Blood Sedimentation,5
"Lipoproteins, LDL",36
Sphingomyelins,3
Inflammation,27
Amyloid beta-Peptides,3
Chemokines,3
gamma Glutamyltransferase,3
Depression,4
gamma-Glutamyltransferase,22
Polysaccharides,3
Vitamin B 12,6
Abdominal Fat,7
Subcutaneous Fat,8
Body Weights and Measures,87
Benzodiazepines,3
"Memory, Short-Term",6
Cardiovascular Diseases,31
Cleft Palate,4
Magnesium,66
Follicle Stimulating Hormone,13
Intra-Abdominal Fat,4
Atrial Natriuretic Factor,14
CD40 Ligand,19
Blood Vessels,9
Neuropsychological Tests,27
Factor VII,5
Fibrinogen,86
Frontal Lobe,3
"Hypertrophy, Left Ventricular",56
Memory,11
Blood Pressure,454
Echocardiography,273
Cholesterol,268
"Cholesterol, LDL",304
"Cholesterol, HDL",357
Lipids,87
Triglycerides,244
"Lipoproteins, VLDL",86
Body Height,385
Myocardial Infarction,229
Heart Rate,155
Hip,202
Coronary Artery Disease,205
Coronary Disease,82
Stroke,289
Body Fat Distribution,57
Body Mass Index,437
Body Weight,216
Waist Circumference,146
Waist-Hip Ratio,93
Erythrocyte Count,115
Hematocrit,61
Hemoglobins,157
Iron,154
Parkinson Disease,132
C-Reactive Protein,88
Diabetes Mellitus,70
Exercise Test,68
Hand Strength,10
Multiple Myeloma,3
Parietal Lobe,4
Sodium,21
Obesity,25
Ocular Physiological Phenomena,6
Sleep,35
Insulin,89
Insulin Resistance,58
"Receptors, Tumor Necrosis Factor",9
Socioeconomic Factors,35
Lipoprotein(a),21
lipoprotein A-I [Supplementary Concept],3
Lipoproteins,79
Cell Adhesion Molecules,49
Survival,10
Schizophrenia,82
Basophils,25
Glucose,147
Isoxazoles,6
"Receptors, Tumor Necrosis Factor, Type II",10
Precursor Cell Lymphoblastic Leukemia-Lymphoma,10
Arteries,89
Erythrocytes,52
Gallbladder Neoplasms,3
Intelligence,4
Platelet Aggregation,27
Platelet Count,54
Creatinine,92
Glomerular Filtration Rate,45
Macular Degeneration,118
Dehydroepiandrosterone Sulfate,4
Bone Density,73
Asthma,107
Maximal Midexpiratory Flow Rate,13
Carotid Arteries,11
"Epilepsies, Partial",4
Restless Legs Syndrome,4
Vitamin D,11
Leukocyte Count,40
Myopia,3
Forced Expiratory Volume,57
Forced Vital Capacity,34
Blood Viscosity,3
Neurotic Disorders,6
"Sexual Dysfunctions, Psychological",4
Phosphorus,10
Mental Disorders,6
Vascular Calcification,3
Varicose Veins,17
monocyte chemoattractant protein 1 (66-77) [Supplementary Concept],58
Angiography,10
Temporal Lobe,5
Blood Proteins,13
Respiratory Function Tests,151
"Glomerulonephritis, IGA",11
Lymphocytes,44
Neutrophils,58
von Willebrand Factor,9
tau Proteins,3
Bipolar Disorder,102
Body Composition,36
Neurobehavioral Manifestations,9
"Diabetes Mellitus, Type 2",86
Life Expectancy,12
Narcolepsy,3
Heart Function Tests,15
Tunica Media,104
Antipsychotic Agents,3
Blood Pressure Determination,64
Response to radiation,5
Intuition,7
Diabetic Nephropathies,36
Longevity,32
Elbow,72
Body Weight Changes,34
Risperidone,4
Apolipoproteins E,8
Blood Flow Velocity,26
Butyrylcholinesterase,3
Carotid Artery Diseases,38
Brain,34
Central Nervous System,3
Albuminuria,26
Cystatins,13
"Leukemia, Lymphocytic, Chronic, B-Cell",10
"Natriuretic Peptide, Brain",18
Alzheimer Disease,80
Amyotrophic Lateral Sclerosis,76
Adiponectin,25
Blood Cells,25
Adiposity,4
Potassium,35
Attention Deficit and Disruptive Behavior Disorders,7
Clozapine,4
Insulin-Like Growth Factor I,4
Heart Failure,187
Tuberculosis,6
Apolipoprotein A-I,11
Apolipoproteins C,9
Hippocampus,29
Calcium-Binding Proteins,13
Peroxidase,7
Odontogenesis,4
Antidepressive Agents,10
Aorta,34
Atrial Fibrillation,13
Homocysteine,3
Mucocutaneous Lymph Node Syndrome,12
Carcinoid Tumor,3
Phosphatidylcholines,3
Uric Acid,37
Conduct Disorder,16
Diabetic Retinopathy,9
Monocytes,37
Migraine Disorders,3
Neoplasms,9
"Death, Sudden, Cardiac",26
Dengue Hemorrhagic Fever,3
Stomach Neoplasms,6
"Pulmonary Disease, Chronic Obstructive",7
Esophageal Neoplasms,9
Hypertension,64
Head and Neck Neoplasms,5
Erythrocyte Indices,51
Ferritins,3
carbohydrate-deficient transferrin [Supplementary Concept],3
Iron-Regulatory Proteins,3
Transferrin,11
"Hemoglobin A, Glycosylated",128
Metabolome,3
Thyrotropin,33
Anorexia Nervosa,6
Walking,9
"Audiometry, Pure-Tone",14
Cardiomegaly,15
Pulse,35
Electrocardiography,87
Dehydroepiandrosterone,11
Smoking,12
Autistic Disorder,3
Urinalysis,18
"Carcinoma, Non-Small-Cell Lung",6
Eye,6
Occipital Lobe,10
Hearing Loss,3
gamma-Glutamylcyclotransferase,10
Eosinophils,46
Heart Diseases,6
Luteinizing Hormone,6
Erectile Dysfunction,9
Menarche,25
Menopause,31
Apolipoproteins B,26
Osteoporosis,31
Resistin,7
Albumins,43
Anticonvulsants,6
Asperger Syndrome,4
Gallbladder Diseases,7
Cleft Lip,6
Polycystic Ovary Syndrome,4
Hair,7
"Depressive Disorder, Major",26
Panic Disorder,7
Respiration Disorders,7
Personality,12
P-Selectin,12
Telomere,6
Keratoconus,3
Calcium,61
"Anemia, Sickle Cell",12
DNA,9
Bilirubin,25
Metabolism,83
Urinary Bladder Neoplasms,6
Neuroblastoma,101
Attention Deficit Disorder with Hyperactivity,99
Nonalcoholic Fatty Liver Disease,20
Cytomegalovirus Vaccines,6
Serum Amyloid A Protein,3
Iris,3
Alcoholism,93
Creutzfeldt-Jakob Syndrome,3
Prion Diseases,7
Vitamin K,3
Alanine Transaminase,9
Aspartate Aminotransferases,9
Mortality,14
Alkaline Phosphatase,23
Cornea,3
Venous Thrombosis,3
fibrin fragment D [Supplementary Concept],6
Graves Disease,9
Intercellular Adhesion Molecule-1,12
Tumor Necrosis Factor-alpha,13
Interleukin-6,13
E-Selectin,24
Anticoagulants,5
Protein C,4
Blood Coagulation Factor Inhibitors,5
Blood Coagulation Factors,29
Caffeine,5
Acquired Immunodeficiency Syndrome,9
"Scleroderma, Systemic",9
Perphenazine,6
"Carcinoma, Hepatocellular",3
"Hepatitis B, Chronic",3
Hepatitis B Vaccines,3
Drug-Induced Liver Injury,3
"Arthritis, Rheumatoid",59
"Diabetes Mellitus, Type 1",75
"Lupus Erythematosus, Systemic",86
Multiple Sclerosis,82
"Osteoarthritis, Knee",3
Vitiligo,15
Psoriasis,42
Behcet Syndrome,59
Sclerosis,6
Leprosy,25
Autoimmune Diseases,10
Celiac Disease,23
Cystatin C,4
Colorectal Neoplasms,6
"Dermatitis, Atopic",4
Inflammatory Bowel Diseases,35
"Colitis, Ulcerative",32
Crohn Disease,20
Esophagitis,6
"Rhinitis, Allergic, Seasonal",8
Immunoglobulin A,5
Kidney Diseases,18
"Leukemia, Lymphoid",12
Face,4
"Liver Cirrhosis, Biliary",13
"Spondylitis, Ankylosing",8
Hodgkin Disease,5
Mental Competency,42
Pancreatic Neoplasms,65
Tissue Plasminogen Activator,7
Chemokine CCL2,4
Immunoglobulin E,9
Monocyte Chemoattractant Protein-1,6
Lung Neoplasms,12
HIV-1,37
Prostate-Specific Antigen,4
Prostatic Neoplasms,75
Testicular Neoplasms,5
"Hepatitis C, Chronic",7
Eye Color,6
Suntan,7
Hair Color,11
Melanosis,6
"Supranuclear Palsy, Progressive",7
Melanoma,13
Goiter,3
Marijuana Abuse,3
Dupuytren Contracture,5
Astigmatism,5
Sphingolipids,6
Cystic Fibrosis,3
Paget&#39;s disease,7
