Pathway,Count
LINC01587,100
LINC00544,100
LINC00029,100
LINC00470,100
LINC01558,100
LINC00525,100
LINC00266-1,100
LINC00467,100
LINC01931,100
LINC01116,100
LINC01600,100
LINC00905,100
LINC00917,100
LINC01620,100
LINC00208,100
LINC00476,100
LINC01106,100
LINC02694,100
LINC00303,100
LINC01561,100
LINC00469,100
LINC00314,100
LINC00324,100
LINC00670,100
LINC00311,100
LINC00174,100
LINC01699,100
LINC00305,100
LINC00652,100
LINC00304,100
LINC02363,100
LINC01559,100
LINC01555,100
LINC00471,100
LINC02724,100
LINC00334,100
LINC01006,100
LINC01547,100
LINC00518,100
LINC00315,100
LINC00308,100
LINC00482,100
LINC00313,100
LINC00158,100
LINC01405,100
LINC00839,100
LINC02610,100
LINC01551,100
LINC00207,100
LINC02583,100
LINC00265,100
LINC00319,100
LINC00910,100
LINC00994,100
LINC00943,100
LINC01164,100
LINC00615,100
LINC00523,100
LINC00173,100
LINC01560,100
LINC02291,100
LINC00336,100
LINC00477,99
LINC02692,100
LINC01565,100
LINC01562,100
LINC00449,100
LINC02408,100
LINC00970,100
LINC00501,100
LINC01285,100
LINC02487,100
LINC00862,100
LINC00272,100
LINC00222,100
LINC00632,100
LINC01270,100
LINC00963,100
LINC00951,100
LINC02520,100
LINC00474,100
LINC02731,100
LINC00587,100
LINC01993,100
LINC01973,100
LINC02783,100
LINC01854,100
LINC01123,100
LINC01257,100
LINC01556,100
LINC01951,100
LINC01291,100
LINC01545,100
LINC02138,100
LINC01121,100
LINC02397,100
LINC02716,100
LINC00654,100
LINC01602,100
LINC01460,100
LINC00661,100
LINC01597,100
LINC01446,100
LINC01310,100
LINC00898,100
LINC00583,100
LINC01531,100
LINC00487,100
LINC02346,100
LINC01089,100
LINC02693,100
LINC02656,100
LINC00671,100
LINC01521,100
LINC02418,100
LINC02347,100
LINC00887,100
LINC02026,100
LINC00488,100
LINC02085,100
LINC01913,100
LINC01347,100
LINC00612,100
LINC00243,100
LINC01588,100
LINC00588,100
LINC00269,100
LINC01020,100
LINC02449,100
LINC02649,100
LINC00598,100
LINC00189,100
LINC01139,100
LINC01356,100
LINC02337,100
LINC00955,100
LINC01644,100
LINC00339,100
LINC02076,100
LINC02531,100
LINC01465,100
LINC02860,100
LINC01118,100
LINC01793,100
LINC01124,100
LINC02661,100
LINC01778,100
LINC02068,100
LINC00397,100
LINC01825,100
LINC02629,100
LINC02238,100
LINC01615,100
LINC00630,100
LINC02665,100
LINC01312,100
LINC01986,100
LINC02142,100
LINC00370,100
LINC01044,100
LINC01120,100
LINC01946,100
LINC00571,100
LINC01422,100
LINC02601,100
LINC01208,100
LINC02247,100
LINC02593,100
LINC01626,100
LINC00205,100
LINC01983,100
LINC00114,100
LINC01342,100
LINC01870,100
LINC01805,100
LINC01921,100
LINC01078,100
LINC01707,100
LINC02471,100
LINC01014,100
LINC01767,100
LINC01874,100
LINC02647,100
LINC01441,100
LINC01449,100
LINC01853,100
LINC02561,100
LINC02612,100
LINC00691,100
LINC01935,100
LINC01248,100
LINC01857,100
LINC02054,100
LINC02828,100
LINC01357,100
LINC02831,100
LINC00570,100
LINC01991,100
LINC02667,100
LINC00466,100
LINC02636,100
LINC01832,100
LINC01133,100
LINC02633,100
LINC01142,100
LINC01527,100
LINC01567,100
LINC00297,100
LINC00703,100
LINC01280,100
LINC00572,100
LINC02052,100
LINC00539,100
LINC01708,100
LINC02523,100
LINC00365,100
LINC00620,100
LINC02771,100
LINC01087,100
LINC01754,100
LINC01886,100
LINC01117,100
LINC01015,100
LINC01627,100
LINC00885,100
LINC01823,100
LINC01706,100
LINC02671,100
LINC01657,100
LINC01167,100
LINC02670,100
LINC00853,100
LINC01689,100
LINC00240,100
LINC00502,100
LINC00393,100
LINC01691,100
LINC01398,100
LINC02840,100
LINC02830,100
LINC01766,100
LINC00863,100
LINC00320,100
LINC02262,100
LINC01034,100
LINC00184,100
LINC02819,100
LINC01266,100
LINC01752,100
LINC02586,100
LINC01645,100
LINC02776,100
LINC01526,100
LINC01058,100
LINC01802,100
LINC00337,100
LINC01076,100
LINC00237,100
LINC00972,100
LINC00618,100
LINC00457,100
LINC00092,100
LINC01795,100
LINC02470,99
LINC00378,100
LINC00705,100
LINC01770,100
LINC00113,100
LINC00350,100
LINC01427,100
LINC01594,100
LINC01678,100
LINC02813,100
LINC02557,100
LINC00331,100
LINC01671,100
LINC01504,100
LINC01867,100
LINC01763,100
LINC01107,100
LINC01703,100
LINC01393,100
LINC01821,100
LINC02476,100
LINC01980,100
LINC01710,100
LINC01492,100
LINC01623,100
LINC02158,100
LINCMD1,100
LINC01729,100
LINC01716,100
LINC01771,100
LINC02036,100
LINC00489,100
LINC01389,100
LINC01831,100
LINC02620,100
LINC00626,100
LINC02816,100
LINC00368,100
LINC00115,100
LINC01456,100
LINC01745,100
LINC02249,100
LINC01875,100
LINC02648,100
LINC01534,100
LINC02528,100
LINC02660,100
LINC01772,100
LINC01040,100
LINC01776,100
LINC00623,100
LINC00937,100
LINC02097,100
LINC01907,100
LINC02794,100
LINC02654,100
LINC01375,100
LINC00685,100
LINC02519,100
LINC01733,100
LINC00381,100
LINC00408,100
LINC02608,100
LINC00351,100
LINC01811,100
LINC02089,100
LINC00375,100
LINC01345,100
LINC01876,100
LINC02628,100
LINC02542,100
LINC01748,100
LINC01035,100
LINC01824,100
LINC00323,100
LINC02549,100
LINC01918,100
LINC00390,100
LINC00606,100
LINC02848,100
LINC00343,100
LINC00974,100
LINC01108,100
LINC02679,100
LINC01535,100
LINC01709,100
LINC00424,100
LINC02554,100
LINC02668,100
LINC02611,100
LINC00840,100
LINC01941,100
LINC02785,100
LINC01509,100
LINC02774,100
LINC00348,100
LINC02051,100
LINC01359,100
LINC00354,100
LINC01276,100
LINC00454,100
LINC00161,100
LINC00423,100
LINC01692,100
LINC01203,100
LINC00658,100
LINC01247,100
LINC02527,100
LINC02796,100
LINC00511,100
LINC01682,100
LINC00629,100
LINC02094,100
LINC02798,100
LINC01630,100
LINC02672,100
LINC01153,100
LINC01688,100
LINC00845,100
LINC01985,100
LINC01364,100
LINC02708,100
LINC02832,100
LINC02630,100
LINC00434,100
LINC00307,100
LINC00866,100
LINC01806,100
LINC01724,100
LINC00310,100
LINC01537,100
LINC01624,100
LINC01839,100
LINC01442,100
LINC01483,100
LINC00376,100
LINC01074,100
LINC01132,100
LINC01714,100
LINC00355,100
LINC01068,100
LINC02088,100
LINC00111,100
LINC01850,100
LINC02803,100
LINC01940,100
LINC01693,100
LINC00352,100
LINC02344,100
LINC01655,100
LINC01696,100
LINC01738,100
LINC01341,100
LINC01429,100
LINC01736,100
LINC01515,100
LINC01740,100
LINC01820,100
LINC01757,100
LINC01649,100
LINC01494,100
LINC01402,100
LINC01674,100
LINC02843,100
LINC02770,100
LINC00578,100
LINC01320,100
LINC02048,100
LINC00392,100
LINC01209,100
LINC01350,100
LINC01890,100
LINC01784,100
LINC02585,100
LINC02263,100
LINC01004,100
LINC01635,100
LINC01185,100
LINC01768,100
LINC00687,100
LINC02474,100
LINC01546,100
LINC01713,100
LINC01013,100
LINC01760,100
LINC01005,100
LINC02663,100
LINC01201,100
LINC00448,100
LINC00659,100
LINC02575,100
LINC02521,100
LINC02013,100
LINC02577,100
LINC01672,100
LINC02534,100
LINC00954,100
LINC00266-4P,100
LINC01128,100
LINC01939,100
LINC01428,100
LINC01803,100
LINC01344,100
LINC02677,100
LINC02041,100
LINC01690,100
LINC02607,100
LINC01205,100
LINC01038,100
LINC01277,100
LINC01788,100
LINC01165,100
LINC01548,100
LINC02587,100
LINC02038,100
LINC00382,100
LINC02787,100
LINC00200,100
LINC00242,100
LINC00582,100
LINC00710,100
LINC01981,100
LINC00377,100
LINC00446,100
LINC02829,100
LINC02768,100
LINC00459,100
LINC00452,100
LINC01715,100
LINC00858,100
LINC02069,100
LINC00366,100
LINC00433,100
LINC01789,100
LINC02627,100
LINC00362,100
LINC02766,100
LINC00404,100
LINC01523,100
LINC02572,100
LINC01739,100
LINC00428,100
LINC00379,100
LINC01204,100
LINC02264,100
LINC00358,100
LINC00411,100
LINC01718,100
LINC01079,100
LINC02851,100
LINC01501,100
LINC01822,100
LINC01264,100
LINC01758,100
LINC00280,100
LINC02681,100
LINC02526,100
LINC01150,100
LINC01054,100
LINC01159,100
LINC02624,100
LINC00388,100
LINC00399,100
LINC01813,100
LINC01315,100
LINC02865,100
LINC00400,100
LINC01435,100
LINC00709,100
LINC02800,100
LINC00364,100
LINC02028,100
LINC02643,100
LINC02641,100
LINC01721,100
LINC02812,100
LINC01075,100
LINC00443,100
LINC01790,100
LINC01149,100
LINC01433,100
LINC01840,100
LINC01753,100
LINC02603,100
LINC02525,100
LINC02370,100
LINC01284,100
LINC00159,100
LINC01734,100
LINC01048,100
LINC01747,100
LINC01972,100
LINC01349,100
LINC01066,100
LINC01786,100
LINC00595,100
LINC01650,100
LINC00276,100
LINC01381,100
LINC01756,100
LINC01799,100
LINC00102,100
LINC02639,100
LINC02580,100
LINC01818,100
LINC00332,100
LINC02644,100
LINC01001,100
LINC01676,100
LINC01362,100
LINC01293,100
LINC01614,100
LINC02857,100
LINC02558,100
LINC00486,100
LINC00692,100
LINC00309,100
LINC02541,100
LINC01507,100
LINC01520,100
LINC02090,100
LINC00160,100
LINC00373,100
LINC00326,100
LINC00271,100
LINC01804,100
LINC01911,100
LINC02522,100
LINC00395,100
LINC02655,100
LINC01436,100
LINC01508,100
LINC01098,100
LINC01720,100
LINC00852,100
LINC01510,100
LINC01593,100
LINC01423,100
LINC00349,100
LINC01640,100
LINC02662,100
LINC01816,100
LINC01160,100
LINC01712,100
LINC02613,100
LINC00689,100
LINC01817,100
LINC01516,100
LINC01445,100
LINC00396,100
LINC01750,100
LINC01305,100
LINC02678,100
LINC01353,100
LINC02782,100
LINC02779,100
LINC01249,100
LINC00278,100
LINC02595,100
LINC02015,100
LINC01363,100
LINC00283,100
LINC01698,100
LINC01704,100
LINC01307,100
LINC00410,100
LINC02723,100
LINC01891,100
LINC01090,100
LINC00574,100
LINC00899,100
LINC02789,100
LINC-PINT,100
LINC01273,100
LINC01354,100
LINC01611,100
LINC00575,100
LINC01388,100
LINC00210,100
LINC01198,100
LINC01819,100
LINC00387,100
LINC02818,100
LINC00415,100
LINC01787,100
LINC01880,100
LINC01807,100
LINC01798,100
LINC01063,100
LINC01031,100
LINC01697,100
LINC01104,100
LINC01653,100
LINC00384,100
LINC00867,100
LINC01873,100
LINC00708,100
LINC02181,100
LINC01701,100
LINC01047,100
LINC00865,100
LINC02043,100
LINC02805,100
LINC02518,100
LINC00112,100
LINC02777,100
LINC01450,100
LINC02802,100
LINC00945,100
LINC01809,100
LINC01549,100
LINC02642,100
LINC01646,100
LINC01412,100
LINC02576,100
LINC01517,100
LINC00385,100
LINC01431,100
LINC01780,100
LINC01656,100
LINC00665,100
LINC01705,100
LINC00442,100
LINC01628,100
LINC01022,100
LINC01826,100
LINC02022,100
LINC01162,100
LINC01717,100
LINC01189,100
LINC01700,100
LINC00363,100
LINC01166,100
LINC01400,100
LINC00342,100
LINC02543,100
LINC00374,100
LINC01737,100
LINC00327,100
LINC01219,100
LINC01725,100
LINC01677,100
LINC01722,100
LINC00884,100
LINC01271,100
LINC01755,100
LINC00892,100
LINC00702,100
LINC01007,100
LINC00456,100
LINC01794,100
LINC01762,100
LINC02634,100
LINC00642,100
LINC01687,100
LINC00167,100
LINC02573,100
LINC00472,100
LINC01728,100
LINC01346,100
LINC02669,100
LINC00333,100
LINC00028,100
LINC00841,100
LINC01719,100
LINC01648,100
LINC01046,100
LINC01222,100
LINC01783,100
LINC02596,100
LINC01077,100
LINC01683,100
LINC01518,100
LINC01638,100
LINC00430,100
LINC00460,100
LINC00513,100
LINC00690,100
LINC01884,100
LINC02640,100
LINC02609,100
LINC01851,100
LINC01392,100
LINC00462,100
LINC01137,100
LINC02625,100
LINC01865,100
LINC02579,100
LINC01122,100
LINC01765,100
LINC00656,100
LINC01251,100
LINC01136,100
LINC01237,100
LINC01949,100
LINC02599,100
LINC01680,100
LINC01503,100
LINC01761,100
LINC01694,100
LINC02650,100
LINC01360,100
LINC02574,100
LINC02590,100
LINC01681,100
LINC01425,100
LINC02530,100
LINC01673,100
LINC00463,100
LINC02433,100
LINC01675,100
LINC01961,100
LINC02535,100
LINC01039,100
LINC01868,100
LINC02645,100
LINC01114,100
LINC01952,100
LINC01781,100
LINC01283,100
LINC01191,100
LINC01505,100
LINC01723,100
LINC01641,100
LINC01937,100
LINC01731,100
LINC00229,100
LINC01878,100
LINC01914,100
LINC01426,100
LINC01049,100
LINC01250,100
LINC01432,100
LINC02765,100
LINC01506,100
LINC02020,100
LINC01309,100
LINC00701,100
LINC01800,99
LINC00380,100
LINC02093,100
LINC00440,100
LINC01934,100
LINC02092,100
LINC01287,100
LINC02676,100
LINC02817,100
LINC02621,100
LINC01496,100
LINC01052,100
LINC00412,100
LINC02529,100
LINC01103,100
LINC00458,100
LINC01135,100
LINC01239,100
LINC00676,100
LINC02632,100
LINC00163,100
LINC01827,100
LINC01659,100
LINC02623,100
LINC01524,100
LINC02674,100
LINC02539,100
LINC00700,100
LINC02658,100
LINC01849,100
LINC01883,100
LINC00940,100
LINC01777,100
LINC00330,100
LINC02532,100
LINC02248,100
LINC01440,100
LINC01366,100
LINC00601,100
LINC01702,100
LINC02578,100
LINC01525,100
LINC00383,100
LINC02331,100
LINC01634,100
LINC01281,100
LINC00957,100
LINC01665,100
LINC01621,100
LINC01055,100
LINC02154,100
LINC01278,100
LINC02791,100
LINC01664,100
LINC01889,100
LINC01221,100
LINC01967,100
LINC01815,100
LINC00402,100
LINC00533,100
LINC01871,100
LINC01102,100
LINC00494,100
LINC00484,100
LINC01647,100
LINC02651,100
LINC00345,100
LINC00298,100
LINC00894,100
LINC02250,100
LINC02784,100
LINC00607,100
LINC02569,100
LINC00837,100
LINC00941,100
LINC01828,100
LINC02799,100
LINC01564,100
LINC01553,100
LINC01779,100
