Pathway,Count
hsa-miR-507,187
hsa-miR-6723-5p,16
hsa-miR-3934-3p,93
hsa-miR-4657,73
hsa-miR-130b-5p,342
hsa-miR-6782-5p,95
hsa-miR-190b,62
hsa-miR-1286,103
hsa-miR-126-3p,58
hsa-miR-3173-5p,54
hsa-miR-1343-5p,193
hsa-miR-34a-5p,735
mmu-miR-126a-3p,13
hsa-miR-6767-3p,45
hsa-miR-1301-3p,198
hsa-miR-552-5p,130
hsa-miR-4667-5p,103
hsa-miR-2355-3p,59
hsa-miR-4695-3p,154
hsa-miR-676-3p,51
hsa-miR-548x-3p,292
mmu-miR-3059-5p,48
mmu-let-7f-5p,11
hsa-miR-501-3p,69
hsa-miR-378f,34
hsa-miR-187-5p,83
hsa-miR-598-5p,11
hsa-miR-3118,84
hsa-miR-2276-5p,192
mmu-miR-764-3p,15
hsa-miR-519c-5p,61
mmu-let-7g-5p,11
hsa-miR-27b-5p,67
hsa-miR-4477b,90
hsa-miR-3176,106
hsa-miR-3675-3p,155
hsa-miR-3937,59
mmu-miR-668-3p,13
hsa-miR-580-3p,138
hsa-miR-648,74
hsa-miR-1183,84
hsa-miR-548av-5p,149
hsa-miR-7641,137
hsa-miR-125a-3p,310
hsa-miR-6811-5p,106
mmu-miR-292a-5p,146
hsa-miR-608,195
hsa-miR-4255,83
hsa-miR-548j-5p,200
hsa-let-7f-2-3p,99
hsa-miR-548ar-3p,166
hsa-miR-1226-5p,81
hsa-miR-1231,45
hsa-miR-590-5p,66
hsa-miR-7107-3p,34
hsa-miR-7978,40
hsa-miR-3682-5p,53
hsa-miR-5010-3p,163
hsa-miR-3181,7
hsa-miR-203a-3p,307
mmu-miR-199a-5p,32
hsa-miR-20a-3p,92
hsa-miR-6801-3p,88
hsa-miR-141-3p,145
hsa-miR-1237-3p,144
mmu-miR-1198-5p,109
hsa-miR-548az-3p,166
hsa-miR-4708-3p,64
hsa-miR-545-5p,118
hsa-miR-29c-5p,13
mmu-miR-1957a,6
hsa-miR-1285-5p,66
hsa-miR-1322,53
hsa-miR-134-5p,101
hsa-miR-891b,57
hsa-miR-625-5p,227
hsa-miR-633,81
hsa-miR-4714-5p,70
mmu-miR-698-3p,11
hsa-miR-6124,181
hsa-miR-6743-3p,22
hsa-miR-95-3p,12
hsa-miR-503-3p,50
hsa-miR-6807-3p,60
hsa-miR-4666b,68
hsa-miR-3692-5p,72
hsa-miR-5010-5p,154
hsa-miR-512-3p,309
hsa-miR-6501-3p,157
hsa-miR-3189-3p,73
hsa-miR-15a-3p,79
hsa-miR-6765-5p,98
hsa-miR-6769a-3p,77
hsa-miR-5189-5p,256
mmu-miR-1948-3p,8
hsa-miR-6853-5p,34
hsa-miR-4274,49
hsa-miR-3159,88
mmu-miR-705,6
hsa-miR-5088-5p,66
mmu-miR-466h-3p,21
hsa-miR-32-3p,124
hsa-miR-487a-5p,38
hsa-miR-520e,453
hsa-miR-6734-3p,221
hsa-miR-4676-5p,130
hsa-miR-3606-5p,69
hsa-miR-3140-5p,51
hsa-miR-3150a-3p,175
hsa-miR-4651,192
hsa-miR-20b-3p,95
hsa-miR-224-5p,132
hsa-miR-4690-3p,99
mmu-miR-883a-5p,26
hsa-miR-659-3p,68
hsa-miR-4701-5p,245
hsa-miR-499a-5p,64
hsa-miR-6802-5p,47
hsa-miR-4662a-5p,153
hsa-miR-3927-5p,37
hsa-miR-1227-3p,211
hsa-miR-3687,13
mmu-miR-1935,204
hsa-miR-2113,152
hsa-miR-6514-5p,146
hsa-miR-363-5p,191
hsa-miR-4450,65
mmu-miR-24-3p,359
hsa-miR-3609,320
mmu-miR-466j,83
hsa-miR-874-5p,76
hsa-miR-614,9
hsa-miR-4530,134
hsa-miR-508-5p,476
mmu-miR-362-5p,263
mmu-miR-3102-3p,38
hsa-miR-548au-5p,199
hsa-miR-370-3p,110
hsa-miR-632,41
hsa-miR-329-3p,538
hsa-miR-642a-5p,224
hsa-miR-6883-3p,57
hsa-miR-5094,55
hsa-miR-4461,74
hsa-miR-4737,17
hsa-miR-4697-5p,104
hsa-miR-323a-5p,82
hsa-miR-4448,78
mmu-miR-383-5p,7
mmu-miR-141-3p,39
hsa-miR-6507-5p,131
hsa-miR-548ai,71
hsa-miR-664b-5p,21
mmu-miR-582-3p,10
mmu-miR-5114,35
hsa-miR-28-3p,48
mmu-miR-202-3p,7
mmu-miR-679-5p,12
hsa-miR-125b-2-3p,112
hsa-miR-6806-5p,54
hsa-miR-337-3p,81
hsa-miR-6804-5p,126
hsa-miR-5685,98
hsa-miR-1276,160
hsa-miR-3616-5p,119
hsa-miR-6783-5p,185
hsa-miR-3922-3p,93
hsa-miR-361-3p,143
hsa-miR-6816-5p,101
mmu-miR-466a-3p,170
hsa-miR-6771-3p,253
hsa-miR-516b-5p,84
hsa-miR-7157-3p,47
hsa-miR-4711-3p,89
hsa-miR-4697-3p,56
hsa-miR-383-3p,419
mmu-miR-25-3p,15
hsa-miR-181d-5p,287
hsa-miR-509-5p,103
mmu-miR-3963,6
hsa-miR-4490,56
hsa-miR-223-3p,98
hsa-miR-6853-3p,63
hsa-miR-6893-5p,663
hsa-miR-7704,53
hsa-miR-4655-5p,25
