Pathway,Count
22RV1-prostate,113
697-haematopoietic and lymphoid tissue,230
786O-kidney,74
A1207-central nervous system,115
A172-central nervous system,97
A204-soft tissue,64
A2058-skin,162
A549-lung,61
A673-bone,137
ACHN-kidney,122
AGS-stomach,240
AM38-central nervous system,67
AML193-haematopoietic and lymphoid tissue,112
ASPC1-pancreas,124
BT20-breast,97
BT474-breast,152
BXPC3-pancreas,73
C2BBE1-large intestine,93
C32-skin,110
CADOES1-bone,151
CAL120-breast,54
CAL51-breast,117
CALU1-lung,109
CAOV3-ovary,63
CAOV4-ovary,65
CAS1-central nervous system,178
CFPAC1-pancreas,100
CH157MN-central nervous system,94
COLO205-large intestine,122
COLO704-ovary,170
COLO741-skin,82
COLO783-skin,116
CORL23-lung,263
COV362-ovary,254
COV434-ovary,74
COV504-ovary,72
COV644-ovary,115
DBTRG05MG-central nervous system,79
DKMG-central nervous system,58
DLD1-large intestine,171
EFE184-endometrium,234
EFM19-breast,242
EFO21-ovary,237
EFO27-ovary,39
EW8-bone,77
EWS502-bone,69
F36P-haematopoietic and lymphoid tissue,157
GB1-central nervous system,79
GP2D-large intestine,184
HCC1187-breast,149
HCC1395-breast,48
HCC1954-breast,145
HCC2218-breast,185
HCC2814-lung,100
HCC364-lung,95
HCC44-lung,63
HCC70-breast,212
HCC827-lung,104
HCC827GR5-lung,55
HCT116-large intestine,229
HEC1A-endometrium,137
HEYA8-ovary,64
HL60-haematopoietic and lymphoid tissue,250
HLF-liver,67
HNT34-haematopoietic and lymphoid tissue,134
HPAC-pancreas,64
HPAFII-pancreas,130
HS683-central nervous system,85
HS766T-pancreas,65
HS944T-skin,120
HT1197-urinary tract,105
HT29-large intestine,280
HT55-large intestine,255
HUG1N-stomach,133
HUTU80-small intestine,89
IGR39-skin,100
IGROV1-ovary,104
IOMMLEE-central nervous system,103
JHESOAD1-oesophagus,197
JHOC5-ovary,84
JHOM1-ovary,128
JJN3-haematopoietic and lymphoid tissue,187
K562-haematopoietic and lymphoid tissue,118
KALS1-central nervous system,116
KASUMI1-haematopoietic and lymphoid tissue,198
KM12-large intestine,299
KMS12BM-haematopoietic and lymphoid tissue,159
KNS60-central nervous system,95
KNS81-central nervous system,110
KP1NL-pancreas,69
KP2-pancreas,163
KP4-pancreas,29
KURAMOCHI-ovary,158
KYSE150-oesophagus,53
KYSE30-oesophagus,270
KYSE450-oesophagus,99
KYSE510-oesophagus,43
L33-pancreas,163
L363-haematopoietic and lymphoid tissue,173
LAMA84-haematopoietic and lymphoid tissue,251
LK2-lung,108
LN215-central nervous system,86
LN229-central nervous system,68
LN235-central nervous system,156
LN319-central nervous system,312
LN340-central nervous system,67
LN382-central nervous system,74
LN428-central nervous system,86
LN443-central nervous system,107
LN464-central nervous system,115
LNZ308-central nervous system,78
LOVO-large intestine,85
LS411N-large intestine,61
LS513-large intestine,125
MCF7-breast,217
MDAMB453-breast,337
MIAPACA2-pancreas,93
MKN7-stomach,63
MM1S-haematopoietic and lymphoid tissue,198
MOLM13-haematopoietic and lymphoid tissue,198
MONOMAC1-haematopoietic and lymphoid tissue,136
MONOMAC6-haematopoietic and lymphoid tissue,216
MV411-haematopoietic and lymphoid tissue,159
NALM6-haematopoietic and lymphoid tissue,132
NB4-haematopoietic and lymphoid tissue,126
NCIH1299-lung,157
NCIH1437-lung,128
NCIH1650-lung,145
NCIH1792-lung,57
NCIH196-lung,96
NCIH1975-lung,62
NCIH2052-pleura,120
NCIH2122-lung,123
NCIH2171-lung,116
NCIH23-lung,121
NCIH2452-pleura,63
NCIH441-lung,117
