Pathway,Count
Rat liver 4 months vs 12 months GSE11097 aging:192,279
Rat liver 4 months vs 12 months GSE11097 aging:190,299
Human brain (frontal cortex) 55 years vs 82 years GSE53890 aging:229,287
Mouse muscle 70 days vs 720 days GDS4904 aging:85,261
Human CD4+Tlyphocytes 40 years vs 52 years GSE62373 aging:177,359
Mouse bone marrow adipocyte 14 months vs 18 months GSE25905 aging:296,329
Human CD4+Tlyphocytes 61 years vs 72 years GSE62373 aging:184,363
Mouse liver 3 months vs 12 months GDS1990 aging:128,250
Mouse inguinal fat 5 months vs 24 months GSE25325 aging:280,276
Human CD4+Tlyphocytes 29 years vs 52 years GSE62373 aging:173,313
Mouse hippocampus 4 months vs 12 months GSE49699 aging:232,317
Mouse hippocampus 4 months vs 12 months GSE49699 aging:233,253
Mouse cochlea 4 weeks vs 45 weeks GSE35234 aging:161,268
Human CD4+lyphocytes 29 years vs 72 years GSE62373 aging:155,413
Human liposarcoma 45 years vs 75 years GSE17118 aging:361,380
Human Malignant Peripheral Nerve Sheath Tumour 24 years vs 53 years GSE17118 aging:364,263
Rat thoracicaorta 3 months vs 28 months GDS3077 aging:121,278
Human CD4+Tlyphocytes 40 years vs 81 years GSE62373 aging:180,365
Mouse muscle 70 days vs 720 days GDS4904 aging:84,310
Human CD4+Tlymphocytes 25 years vs 64 years GSE62374 aging:132,319
Mouse bone marrow adipocyte 6 months vs 14 months GSE25905 aging:294,215
Human CD4+Tlymphocytes 25 years vs 64 years GSE62374 aging:130,359
Human CD4+Tlymphocytes 25 years vs 64 years GSE62374 aging:131,294
Human retinalperiphery 32 years vs 74 years GSE32614 aging:151,293
Human meniscus 40 years vs 55 years GSE45233 aging:209,320
Human CD4+lyphocytes 29 years vs 52 years GSE62373 aging:153,283
Mouse spinal cord 6 months vs 18 months GDS1280 aging:2,250
Rat femur 7 weeks vs 27 weeks GDS509 aging:258,299
Rat femur 6 weeks vs 52 weeks GDS509 aging:262,273
Rat femur 6 weeks vs 52 weeks GDS509 aging:263,217
