Pathway,Count
Rat liver 4 months vs 12 months GSE11097 aging:192,321
Rat liver 4 months vs 12 months GSE11097 aging:190,301
Human brain (frontal cortex) 55 years vs 82 years GSE53890 aging:229,313
Mouse muscle 70 days vs 720 days GDS4904 aging:85,339
Human CD4+Tlyphocytes 40 years vs 52 years GSE62373 aging:177,241
Mouse bone marrow adipocyte 14 months vs 18 months GSE25905 aging:296,271
Human CD4+Tlyphocytes 61 years vs 72 years GSE62373 aging:184,237
Mouse liver 3 months vs 12 months GDS1990 aging:128,350
Mouse inguinal fat 5 months vs 24 months GSE25325 aging:280,324
Human CD4+Tlyphocytes 29 years vs 52 years GSE62373 aging:173,287
Mouse hippocampus 4 months vs 12 months GSE49699 aging:232,283
Mouse hippocampus 4 months vs 12 months GSE49699 aging:233,347
Mouse cochlea 4 weeks vs 45 weeks GSE35234 aging:161,332
Human CD4+lyphocytes 29 years vs 72 years GSE62373 aging:155,187
Human liposarcoma 45 years vs 75 years GSE17118 aging:361,220
Human Malignant Peripheral Nerve Sheath Tumour 24 years vs 53 years GSE17118 aging:364,337
Rat thoracicaorta 3 months vs 28 months GDS3077 aging:121,322
Human CD4+Tlyphocytes 40 years vs 81 years GSE62373 aging:180,235
Mouse muscle 70 days vs 720 days GDS4904 aging:84,290
Human CD4+Tlymphocytes 25 years vs 64 years GSE62374 aging:132,281
Mouse bone marrow adipocyte 6 months vs 14 months GSE25905 aging:294,385
Human CD4+Tlymphocytes 25 years vs 64 years GSE62374 aging:130,241
Human CD4+Tlymphocytes 25 years vs 64 years GSE62374 aging:131,306
Human retinalperiphery 32 years vs 74 years GSE32614 aging:151,307
Human meniscus 40 years vs 55 years GSE45233 aging:209,280
Human CD4+lyphocytes 29 years vs 52 years GSE62373 aging:153,317
Mouse spinal cord 6 months vs 18 months GDS1280 aging:2,350
Rat femur 7 weeks vs 27 weeks GDS509 aging:258,301
Rat femur 6 weeks vs 52 weeks GDS509 aging:262,327
Rat femur 6 weeks vs 52 weeks GDS509 aging:263,383
Human fibroblast 27 years vs 89 years GSE15829 aging:350,218
Mouse cochlea 15 weeks vs 45 weeks GSE35234 aging:164,350
Mouse liver 6 months vs 26 months GSE20426 aging:379,151
Mouse small intestine 4 months vs 21 months GSE39974 aging:206,212
Mouse liver 5 months vs 24 months GSE25325 aging:288,335
Mouse liver 5 months vs 24 months GSE25325 aging:289,313
Human CD4+Tlyphocytes 61 years vs 81 years GSE62373 aging:170,218
Mouse hippocampus 9 months vs 20 months GSE48911 aging:391,459
Mouse oculomotor nucleus 6 months vs 18 months GDS1280 aging:5,315
Rat extraocularmuscles 6 months vs 30 months GDS1279 aging:72,340
Mouse hippocampus 14 months vs 20 months GSE48911 aging:386,120
Rat liver 12 months vs 24 months GSE11097 aging:194,331
Rat liver 12 months vs 24 months GSE11097 aging:195,336
Human skeletal muscle (vastus lateralis) 24 years vs 71 years GDS288 aging:93,362
