Pathway,Count
Acinar CL0002064,10
Activated Stellate CL0002410,10
Adventitial Fibroblast CL0000057,10
Airway Smooth Muscle UBERON0004225,10
Alpha Islet Cell CL0000171,10
Alveolar Epithelial Type 1 CL0002062,10
Alveolar Epithelial Type 2 CL0002063,13
Alveolar Fibroblast CL0000057,10
Artery UBERON0001637,10
Astrocyte CL0000127,10
Astrocyte 1 CL0000127,10
Astrocyte 2 CL0000127,10
AXL+ Dendritic Cell CL0000451,10
AXL+ Myeloid Dendritic Cell CL0000782,10
AXL+ Plasmacytoid Dendritic Cell CL0000784,10
B Cell CL0000785,10
B CL0000236,10
Basal CL0000646,14
Basophil/Mast 1 CL0000766,10
Basophil/Mast 2 CL0000766,10
Basophil/Mast CL0000766,10
Beta Islet Cell CL0000169,10
Bronchial Vessel 1 CL0002328,10
Bronchial Vessel 2 CL0002328,10
Bronchial Vessel CL0002328,10
Capillary Aerocyte CL0002144,11
Capillary Intermediate 1 CL0002144,10
Capillary Intermediate 2 CL0002144,10
Capillary Intermediate CL0002144,10
Capillary UBERON0001982,13
CD14+ Monocyte CL0002057,16
CD16+ Monocyte CL0002396,20
CD4 T CL0000624,10
CD4+ Central Memory T CL0000897,10
CD4+ Central Memory T 1 CL0000897,10
CD4+ Central Memory T 2 CL0000897,10
CD4+ Central Memory T 3 CL0000897,10
CD4+ Cytotoxic T CL0000934,13
CD4+ Effector Memory T CL0001044,10
CD4+ Effector Memory T 1 CL0001044,10
CD4+ Effector Memory T 2 CL0001044,10
CD4+ Effector Memory T 3 CL0001044,10
CD4+ Effector Memory T 4 CL0001044,10
CD4+ Memory/Effector T CL0000624,10
CD4+ Naive T CL0000895,19
CD4+ Proliferating T CL0000896,13
CD4+ T Cell CL0000624,10
CD56-bright Natural Killer CL0000938,17
CD56-dim Natural Killer CL0000939,10
CD56-dim Natural Killer 1 CL0000939,10
CD56-dim Natural Killer 2 CL0000939,10
CD56-dim Natural Killer 3 CL0000939,10
CD56-dim Natural Killer 4 CL0000939,10
CD8 T CL0000625,10
CD8+ Central Memory T CL0000909,10
