Pathway,Count
acetylation and deacetylation of rela in nucleus,5
actions of nitric oxide in the heart,42
activation of camp-dependent protein kinase pka,29
activation of csk by camp-dependent protein kinase inhibits signaling through the t cell receptor,43
activation of pkc through g-protein coupled receptors,11
adp-ribosylation factor,29
agrin in postsynaptic differentiation,47
akap95 role in mitosis and chromosome dynamics,14
akt signaling pathway,18
alk in cardiac myocytes,27
alternative complement pathway,10
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling,34
antigen processing and presentation,86
apoptotic dna-fragmentation and tissue homeostasis,11
apoptotic signaling in response to dna damage,14
aspirin blocks signaling pathway involved in platelet activation,17
atm signaling pathway,18
attenuation of gpcr signaling,13
b cell survival pathway,13
basic mechanism of action of ppara pparb(d) and pparg and effects on gene expression,5
basic mechanisms of sumoylation,6
bcr signaling pathway,31
bioactive peptide induced signaling pathway,33
bone remodeling,16
brca1 dependent ub ligase activity,8
btg family proteins and cell cycle regulation,9
ca-calmodulin-dependent protein kinase activation,8
cadmium induces dna synthesis and proliferation in macrophages,16
calcium signaling by hbx of hepatitis b virus,15
cardiac protection against ros,11
carm1 and regulation of the estrogen receptor,12
caspase cascade in apoptosis,23
cbl mediated ligand-induced downregulation of egf receptors pathway,8
ccr3 signaling in eosinophils,23
cd40l signaling pathway,9
cdc25 and chk1 regulatory pathway in response to dna damage,7
cdk regulation of dna replication,18
cell cycle: g1/s check point,26
cell cycle: g2/m checkpoint,22
cell to cell adhesion signaling,12
ceramide signaling pathway,33
chaperones modulate interferon signaling pathway,18
chrebp regulation by carbohydrates and camp,40
chromatin remodeling by hswi/snf atp-dependent complexes,16
classical complement pathway,15
control of gene expression by vitamin d receptor,27
control of skeletal myogenesis by hdac and calcium/calmodulin-dependent kinase (camk),21
corticosteroids and cardioprotection,25
ctcf: first multivalent nuclear factor,23
cxcr4 signaling pathway,11
cyclin e destruction pathway,9
cycling of ran in nucleocytoplasmic transport,9
cyclins and cell cycle regulation,23
cystic fibrosis transmembrane conductance regulator (cftr) and beta 2 adrenergic receptor (b2ar) pathway,20
d4gdi signaling pathway,6
deregulation of cdk5 in alzheimers disease,7
double stranded rna induced gene expression,14
downregulated of mta-3 in er-negative breast tumors,20
e2f1 destruction pathway,10
effects of calcineurin in keratinocyte differentiation,13
egf signaling pathway,20
eicosanoid metabolism,23
endocytotic role of ndk phosphins and dynamin,16
epo signaling pathway,11
er associated degradation (erad) pathway,19
erk and pi-3 kinase are necessary for collagen binding in corneal epithelia,31
erk1/erk2 mapk signaling pathway,22
erythropoietin mediated neuroprotection through nf-kb,13
estrogen responsive protein efp controls cell cycle and breast tumors growth,15
eukaryotic protein translation,14
extrinsic prothrombin activation pathway,13
fas signaling pathway (cd95),20
fc epsilon receptor i signaling in mast cells,29
fibrinolysis pathway,15
fmlp induced chemokine gene expression in hmc-1 cells,30
fosb gene expression and drug abuse,5
g-protein signaling through tubby proteins,10
g-secretase mediated erbb4 signaling pathway,8
gamma-aminobutyric acid receptor life cycle pathway,15
gata3 participate in activating the th2 cytokine genes expression,19
granzyme a mediated apoptosis pathway,12
growth hormone signaling pathway,22
hemoglobins chaperone,13
hiv-1 nef: negative effector of fas and tnf,53
how does salmonella hijack a cell,11
how progesterone initiates the oocyte maturation,23
human cytomegalovirus and map kinase pathways,16
hypoxia and p53 in the cardiovascular system,21
hypoxia-inducible factor in the cardivascular system,16
ifn alpha signaling pathway,9
ifn gamma signaling pathway,6
igf-1 signaling pathway,20
il 2 signaling pathway,14
il 3 signaling pathway,12
il 4 signaling pathway,15
il 6 signaling pathway,13
il-10 anti-inflammatory signaling pathway,13
il-2 receptor beta chain in t cell activation,49
il-7 signal transduction,15
il12 and stat4 dependent signaling pathway in th1 development,15
il22 soluble receptor signaling pathway,11
inactivation of gsk3 by akt causes accumulation of b-catenin in alveolar macrophages,39
induction of apoptosis through dr3 and dr4/5 death receptors,23
influence of ras and rho proteins on g1 to s transition,28
inhibition of cellular proliferation by gleevec,22
inhibition of matrix metalloproteinases,8
insulin signaling pathway,133
integrin signaling pathway,33
internal ribosome entry pathway,18
intrinsic prothrombin activation pathway,23
ion channels and their functional role in vascular endothelium,45
keratinocyte differentiation,53
lck and fyn tyrosine kinases in initiation of tcr activation,13
lectin induced complement pathway,13
links between pyk2 and map kinases,26
lissencephaly gene (lis1) in neuronal migration and development,20
map kinase inactivation of smrt corepressor,17
mapkinase signaling pathway,56
mcalpain and friends in cell motility,30
mechanism of acetaminophen activity and toxicity,7
mechanism of gene regulation by peroxisome proliferators via ppara,52
mechanism of protein import into the nucleus,12
mechanisms of transcriptional repression by dna methylation,15
melanocyte development and pigmentation pathway,13
metabolism of anandamide an endogenous cannabinoid,7
mets affect on macrophage differentiation,18
mtor signaling pathway,57
multi-drug resistance factors,6
multi-step regulation of transcription by pitx2,27
multiple antiapoptotic pathways from igf-1r signaling lead to bad phosphorylation,13
nerve growth factor pathway (ngf),17
neuroregulin receptor degredation protein-1 controls erbb3 receptor recycling,6
nf-kb signaling pathway,21
nfat and hypertrophy of the heart ,44
nfkb activation by nontypeable hemophilus influenzae,29
nitric oxide signaling pathway,19
no2-dependent il-12 pathway in nk cells,9
nuclear receptors coordinate the activities of chromatin remodeling complexes and coactivators to facilitate initiation of transcription in carcinoma cells,15
overview of telomerase protein component gene htert transcriptional regulation,10
overview of telomerase rna component gene hterc transcriptional regulation,7
oxidative stress induced gene expression via nrf2,18
p38 mapk signaling pathway,30
p53 signaling pathway,69
pdgf signaling pathway,26
pelp1 modulation of estrogen receptor activity,5
pertussis toxin-insensitive ccr5 signaling in macrophage,9
phosphoinositides and their downstream targets,21
phospholipase c signaling pathway,5
phospholipase c-epsilon pathway,12
phospholipids as signalling intermediaries,33
phosphorylation of mek1 by cdk5/p35 down regulates the map kinase pathway,14
pkc-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase,21
platelet amyloid precursor protein pathway,14
polyadenylation of mrna,9
prion pathway,18
proteasome complex,24
protein kinase a at the centrosome,12
proteolysis and signaling pathway of notch,6
pten dependent cell cycle arrest and apoptosis,15
rac1 cell motility signaling pathway,36
ras signaling pathway,20
ras-independent pathway in nk cell-mediated cytotoxicity,22
rb tumor suppressor/checkpoint signaling in response to dna damage,13
regulation of bad phosphorylation,23
regulation of cell cycle progression by plk3,18
regulation of ck1/cdk5 by type 1 glutamate receptors,24
regulation of eif-4e and p70s6 kinase,24
regulation of eif2,11
regulation of map kinase pathways through dual specificity phosphatases,9
