Pathway,Count
22RV1 PROSTATE TenPx24,854
697 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx30,752
769P KIDNEY TenPx25,552
786O KIDNEY TenPx10,366
8305C THYROID TenPx30,730
8505C THYROID TenPx40,560
A101D SKIN TenPx38,964
A172 CENTRAL NERVOUS SYSTEM TenPx24,644
A204 SOFT TISSUE TenPx23,717
A2058 SKIN TenPx03,103
A2780 OVARY TenPx14,640
A375 SKIN TenPx03,224
A498 KIDNEY TenPx05,232
A549 LUNG TenPx12,525
A673 BONE TenPx27,1054
A704 KIDNEY TenPx32,882
ABC1 LUNG TenPx04,326
AGS STOMACH TenPx16,517
ASPC1 PANCREAS TenPx29,620
AU565 BREAST TenPx01,250
BICR22 UPPER AERODIGESTIVE TRACT TenPx14,652
BICR6 UPPER AERODIGESTIVE TRACT TenPx08,351
BT20 BREAST TenPx24,570
BT549 BREAST TenPx07,367
BXPC3 PANCREAS TenPx23,468
C32 SKIN TenPx25,690
CAKI1 KIDNEY TenPx36,1071
CAKI2 KIDNEY TenPx06,389
CAL120 BREAST TenPx02,183
CAL120 BREAST TenPx28,538
CAL27 UPPER AERODIGESTIVE TRACT TenPx31,350
CAL33 UPPER AERODIGESTIVE TRACT TenPx31,380
CAL51 BREAST TenPx01,222
CAL851 BREAST TenPx07,279
CALU1 LUNG TenPx23,513
CALU6 LUNG TenPx24,361
CAMA1 BREAST TenPx04,540
CAOV3 OVARY TenPx02,250
CCK81 LARGE INTESTINE TenPx39,444
CFPAC1 PANCREAS TenPx13,577
CHAGOK1 LUNG TenPx37,679
CL34 LARGE INTESTINE TenPx38,744
CMK HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx35,902
COLO205 LARGE INTESTINE TenPx20,854
COLO320 LARGE INTESTINE TenPx14,771
COLO678 LARGE INTESTINE TenPx13,653
COLO679 SKIN TenPx10,420
COLO741 SKIN TenPx11,462
COLO829 SKIN TenPx35,847
CORL105 LUNG TenPx13,634
CORL23 LUNG TenPx29,725
CORL47 LUNG TenPx20,891
CORL88 LUNG TenPx21,1237
COV362 OVARY TenPx03,111
DANG PANCREAS TenPx39,325
DAOY CENTRAL NERVOUS SYSTEM TenPx38,462
DETROIT562 UPPER AERODIGESTIVE TRACT TenPx16,368
DMS114 LUNG TenPx08,415
DMS273 LUNG TenPx06,650
DU145 PROSTATE TenPx28,462
DV90 LUNG TenPx12,653
EBC1 LUNG TenPx05,505
EFM19 BREAST TenPx22,669
EFM192A BREAST TenPx37,556
EOL1 HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx33,1068
F36P HAEMATOPOIETIC AND LYMPHOID TISSUE TenPx29,898
FADU UPPER AERODIGESTIVE TRACT TenPx24,532
FUOV1 OVARY TenPx16,649
G401 SOFT TISSUE TenPx28,674
G402 SOFT TISSUE TenPx26,654
GAMG CENTRAL NERVOUS SYSTEM TenPx42,585
GB1 CENTRAL NERVOUS SYSTEM TenPx34,396
HCC1143 BREAST TenPx16,583
HCC1187 BREAST TenPx20,606
HCC1395 BREAST TenPx15,750
HCC15 LUNG TenPx28,540
HCC1500 BREAST TenPx12,1036
HCC1806 BREAST TenPx14,706
HCC1833 LUNG TenPx40,827
HCC1937 BREAST TenPx18,571
HCC1954 BREAST TenPx08,161
HCC2218 BREAST TenPx21,996
HCC38 BREAST TenPx11,415
HCC44 LUNG TenPx21,353
HCC56 LARGE INTESTINE TenPx07,263
HCC70 BREAST TenPx13,628
HCC827 LUNG TenPx10,274
HCC95 LUNG TenPx11,311
HCT116 LARGE INTESTINE TenPx04,229
HCT15 LARGE INTESTINE TenPx18,434
