Pathway,Count
BCL6-HDAC4 complex (human),2
BCL6-HDAC5 complex (human),2
BCL6-HDAC7 complex (human),2
Multisubunit ACTR coactivator complex (human),4
6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex (mouse),2
BLOC-3 (biogenesis of lysosome-related organelles complex 3) (human),2
BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),3
MUS81-CDS1 complex (human),2
NCOR complex (human),6
BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),8
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),4
Arp2/3 protein complex (human),7
PA28gamma complex (human),1
PA28 complex (human),2
PA700 complex (human),20
AP1 adaptor complex (human),8
CDH23-harmonin transmembrane complex (mouse),2
immunoproteasome (mouse),14
Mi-2/NuRD-MTA2 complex (human),5
"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",4
DNA polymerase alpha-primase complex (mouse),4
DNMT3B complex (human),7
Rab5 GDP/GTP exchange factor complex (mouse),2
CCT complex (chaperonin containing TCP1 complex) (mouse),8
HDAC4-ERK1 complex (human),2
HDAC4-ERK2 complex (human),2
SMRT complex (human),5
AP3 adapter complex (human),7
Interferon-stimulated gene factor 3 transcription complex ISGF3 (human),3
Mi2/NuRD complex (human),7
AP4 adaptor complex (human),4
TSC1-TSC2 complex (human),2
nNos-Capon-Dexras1 complex (mouse),3
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1) (human)",4
NUMAC complex (nucleosomal methylation activator complex) (human),10
Nup 107-160 subcomplex (human),9
"FA complex (Fanconi anemia complex), cytoplasmic (human)",4
CD28-transactivation complex (human),2
Ku antigen-NARG1 complex (human),3
Anaphase-promoting complex (human),9
Anaphase-promoting complex (mouse),9
p300-MDM2-p53 protein complex (human),3
hNURF complex (human),4
Nucleolar remodeling complex (NoRC complex) (mouse),2
Meiotic cohesin complex (mouse),4
RNA polymerase II holoenzyme complex (human),24
RNA polymerase II core complex (human),12
Srf-myogenin-E12 complex (mouse),3
"Fertilin complex (Adam1b, Adam2) (mouse)",2
Prefoldin complex (human),6
SNAPc (small nuclear RNA-activating protein) complex (human),5
"Polycomb repressive complex 1 (PRC1, hPRC-H) (human)",13
GPR56-CD81-Galphaq/11-Gbeta complex (human),8
GPI-GnT activity complex (human),4
Lymphotoxin beta receptor complex (human),3
Rnase/Mrp complex (human),10
NDC80 kinetochore complex (human),4
PIDDsome complex (human),3
Telosome complex (human),6
E-box sequence-binding complex (human),4
Sos1-Abi1-Eps8 complex (mouse),3
"CD147-gamma-secretase complex (APH-1a, PS-1, PEN-2, NCT variant) (human)",5
APP-FE65-LRP complex (human),3
Gamma-BAR-AP1 complex (human),9
Src-dynamin-synapsin complex (mouse),4
PBAF complex (Polybromo- and BAF containing complex) (human),12
TFIIE complex (human),2
TFIIF complex (transcription factor IIF) (human),2
Src1-Ep300-Crebbp complex (mouse),3
Retrotranslocation complex (human),3
Condensin I complex (human),5
Condensin I-PARP-1-XRCC1 complex (human),7
Condensin II (human),5
SWAP complex (mouse),4
Conserved oligomeric Golgi (COG) complex (human),8
Cohesin-SA1 complex (human),4
Cohesin-SA2 complex (human),4
"Protein-sorting complex (Stam2, Hgs, Eps15) (mouse)",3
MRN complex (MRE11-RAD50-NBN complex) (human),3
OGT-TRAK1-TRAK2 complex (human),3
PNUTS-PP1 complex (human),2
26S proteasome (human),22
Wave-2 complex (human),5
Wave-2 complex (Rac-activated) (mouse),5
Wave-2 complex (mouse),4
BAF complex (human),13
Mitotic checkpoint complex (MCC) (human),4
20S proteasome (human),14
PA28-20S proteasome (human),16
PA700-20S-PA28 complex (human),36
PA28gamma-20S proteasome (human),15
HUIC complex (human),2
"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7) (human)",5
"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7) (human)",5
"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7) (human)",5
"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7) (human)",5
"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7) (human)",5
DNA ligase IV-XRCC1 complex (human),2
"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1) (human)",5
PDZK1-NaPiIIa-MAP17 complex (mouse),3
CAND1-CUL1-RBX1 complex (human),3
ARF-Mule complex (human),3
CAND1-CUL2-RBX1 complex (human),3
CAND1-CUL3-RBX1 complex (human),3
CAND1-CUL4A-RBX1 complex (human),3
CAND1-CUL4B-RBX1 complex (human),3
"Ubiquitin E3 ligase (SKP1A, BTRC, CUL1) (human)",3
NAT complex (human),7
Mediator complex (human),33
ARC complex (human),18
HuCHRAC complex (human),4
WICH complex (human),2
SWI-SNF chromatin remodeling-related-BRCA1 complex (human),11
Sin3-Hdac1-Sds3 complex (mouse),3
BRCA1-CTIP-ZBRK1 repressor complex (human),3
BRCA1-BACH1 complex (human),2
RalBP1-CDC2-CCNB1 complex (human),3
BRAFT complex (human),13
BLM complex III (human),4
RalBP1-CCNB1-AP2A-NUMB-EPN1 complex (human),6
Caspase-2-TRAF2-RIP1 complex (mouse),3
BCDX2 complex (human),4
RAD51C-XRCC3 complex (human),2
TBPIP/HOP2-MND1 complex (human),2
RAD51B-RAD51C complex (human),2
Hop2-Mnd1 complex (mouse),2
RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex (human),5
R/M complex (RAD50-MRE11 complex) (human),2
ATR-ATRIP complex (human),2
RAD17-RFC complex (human),5
Dysbindin-pallidin-muted-beta-dystrobrevin complex (mouse),4
RAD17-RFC-9-1-1 checkpoint supercomplex (human),8
HMGB1-HMGB2-HSC70-ERP60-GAPDH complex (human),5
SNF2h-cohesin-NuRD complex (human),16
CRSP complex (human),11
PCNA-MLH1-PMS1 complex (human),3
PCNA-MSH2-MSH6 complex (human),3
ARC-L complex (human),14
DNA polymerase delta complex (mouse),4
PCNA-DNA ligase complex (mouse),4
PCNA-DNA polymerase delta complex (human),5
VEGF transcriptional complex (human),6
IRF3-CBP complex (human),4
PC2 complex (human),12
SMCC complex (human),17
INO80 chromatin remodeling complex (human),13
SRCAP-associated chromatin remodeling complex (human),10
"Ribosome, cytoplasmic (human)",81
"60S ribosomal subunit, cytoplasmic (human)",47
Cell cycle kinase complex CDC2 (human),6
Cell cycle kinase complex CDK2 (human),4
Cell cycle kinase complex CDK4 (human),4
Cell cycle kinase complex CDK5 (human),5
PCNA-p21 complex (human),2
"28S ribosomal subunit, mitochondrial (human)",30
Brain-derived dystrobrevin-syntrophin complex (mouse),8
"55S ribosome, mitochondrial (human)",78
"39S ribosomal subunit, mitochondrial (human)",48
