Pathway,Count
NCIH810 LUNG,315
MEG01 HAEMATOPOIETIC AND LYMPHOID TISSUE,248
COV434 OVARY,278
PECAPJ49 UPPER AERODIGESTIVE TRACT,46
PC3 PROSTATE,83
NCO2 HAEMATOPOIETIC AND LYMPHOID TISSUE,231
SW900 LUNG,41
HS172T URINARY TRACT,150
VMCUB1 URINARY TRACT,119
EBC1 LUNG,79
DND41 HAEMATOPOIETIC AND LYMPHOID TISSUE,264
MELJUSO SKIN,118
TE441T SOFT TISSUE,248
NCIH596 LUNG,55
A4FUK HAEMATOPOIETIC AND LYMPHOID TISSUE,216
NCIH2171 LUNG,340
COLO741 SKIN,124
NCIH196 LUNG,133
SKMM2 HAEMATOPOIETIC AND LYMPHOID TISSUE,252
NCIH1355 LUNG,104
NCIH3255 LUNG,119
SNU410 PANCREAS,31
SR786 HAEMATOPOIETIC AND LYMPHOID TISSUE,309
OCIAML3 HAEMATOPOIETIC AND LYMPHOID TISSUE,346
NCIH660 PROSTATE,193
KYSE140 OESOPHAGUS,102
TE9 OESOPHAGUS,125
NCIH661 LUNG,185
NCCSTCK140 STOMACH,283
MIAPACA2 PANCREAS,97
EFO27 OVARY,51
SKES1 BONE,250
697 HAEMATOPOIETIC AND LYMPHOID TISSUE,199
HCC4006 LUNG,89
COV644 OVARY,153
NALM6 HAEMATOPOIETIC AND LYMPHOID TISSUE,229
HPBALL HAEMATOPOIETIC AND LYMPHOID TISSUE,316
KO52 HAEMATOPOIETIC AND LYMPHOID TISSUE,269
NCIH69 LUNG,405
KMM1 HAEMATOPOIETIC AND LYMPHOID TISSUE,212
MHHES1 BONE,255
HOS BONE,52
SKNFI AUTONOMIC GANGLIA,349
WM2664 SKIN,228
NCIH716 LARGE INTESTINE,266
UMUC1 URINARY TRACT,152
EVSAT BREAST,221
NCIH2023 LUNG,91
JHOM1 OVARY,119
SCC25 UPPER AERODIGESTIVE TRACT,101
JHUEM3 ENDOMETRIUM,84
NCIH2030 LUNG,124
OVKATE OVARY,240
NCIH889 LUNG,365
HCT116 LARGE INTESTINE,56
SET2 HAEMATOPOIETIC AND LYMPHOID TISSUE,301
HS936T SKIN,259
1321N1 CENTRAL NERVOUS SYSTEM,113
NCIH1734 LUNG,80
RKO LARGE INTESTINE,217
YD8 UPPER AERODIGESTIVE TRACT,58
HCC33 LUNG,389
SNU738 CENTRAL NERVOUS SYSTEM,166
5637 URINARY TRACT,72
MFE280 ENDOMETRIUM,196
HUPT4 PANCREAS,64
59M OVARY,90
SUDHL1 HAEMATOPOIETIC AND LYMPHOID TISSUE,332
HEC6 ENDOMETRIUM,70
KMRC20 KIDNEY,100
NCIH522 LUNG,188
TE14 OESOPHAGUS,110
OVK18 OVARY,188
BICR18 UPPER AERODIGESTIVE TRACT,100
MONOMAC1 HAEMATOPOIETIC AND LYMPHOID TISSUE,341
CHL1 SKIN,223
GCIY STOMACH,133
KCL22 HAEMATOPOIETIC AND LYMPHOID TISSUE,171
DBTRG05MG CENTRAL NERVOUS SYSTEM,74
HT1080 SOFT TISSUE,60
M07E HAEMATOPOIETIC AND LYMPHOID TISSUE,237
KARPAS299 HAEMATOPOIETIC AND LYMPHOID TISSUE,309
YKG1 CENTRAL NERVOUS SYSTEM,108
HT1376 URINARY TRACT,177
HT HAEMATOPOIETIC AND LYMPHOID TISSUE,255
OVTOKO OVARY,200
LS411N LARGE INTESTINE,83
NCIH1618 LUNG,171
HS281T BREAST,109
P12ICHIKAWA HAEMATOPOIETIC AND LYMPHOID TISSUE,236
TE8 OESOPHAGUS,119
TF1 HAEMATOPOIETIC AND LYMPHOID TISSUE,272
HS706T BONE,88
SNU1214 UPPER AERODIGESTIVE TRACT,240
CL34 LARGE INTESTINE,146
FU97 STOMACH,362
NCIH1395 LUNG,292
TOV112D OVARY,137
L363 HAEMATOPOIETIC AND LYMPHOID TISSUE,377
HSC2 UPPER AERODIGESTIVE TRACT,101
SW1353 BONE,128
SW1990 PANCREAS,35
HCC366 LUNG,69
TOLEDO HAEMATOPOIETIC AND LYMPHOID TISSUE,168
EFO21 OVARY,122
CMLT1 HAEMATOPOIETIC AND LYMPHOID TISSUE,323
G292CLONEA141B1 BONE,163
EN ENDOMETRIUM,106
DANG PANCREAS,104
REH HAEMATOPOIETIC AND LYMPHOID TISSUE,152
HS229T LUNG,49
NCIH1048 LUNG,113
KMS21BM HAEMATOPOIETIC AND LYMPHOID TISSUE,384
JHOS4 OVARY,124
DETROIT562 UPPER AERODIGESTIVE TRACT,50
KYSE30 OESOPHAGUS,161
NAMALWA HAEMATOPOIETIC AND LYMPHOID TISSUE,210
NCIH2087 LUNG,104
WM88 SKIN,141
ACHN KIDNEY,97
SW1783 CENTRAL NERVOUS SYSTEM,58
CGTHW1 THYROID,112
HCC44 LUNG,80
GI1 CENTRAL NERVOUS SYSTEM,55
MDAMB436 BREAST,94
A673 BONE,255
PEER HAEMATOPOIETIC AND LYMPHOID TISSUE,193
COLO320 LARGE INTESTINE,177
COLO205 LARGE INTESTINE,232
MHHCALL3 HAEMATOPOIETIC AND LYMPHOID TISSUE,276
SNU16 STOMACH,153
HCC2157 BREAST,209
KE39 STOMACH,140
DMS79 LUNG,367
PANC1005 PANCREAS,32
SQ1 LUNG,89
PECAPJ41CLONED2 UPPER AERODIGESTIVE TRACT,107
MOLP2 HAEMATOPOIETIC AND LYMPHOID TISSUE,457
COLO775 HAEMATOPOIETIC AND LYMPHOID TISSUE,365
SNUC2A LARGE INTESTINE,80
MM1S HAEMATOPOIETIC AND LYMPHOID TISSUE,209
SNU8 OVARY,58
TE10 OESOPHAGUS,108
KMBC2 URINARY TRACT,148
A172 CENTRAL NERVOUS SYSTEM,86
