Pathway,Count
Proximal Tubular cell:Kidney,101
Ito Cell (Hepatic Stellate cell):Liver,6
Trophoblast cell:Endometrium,100
Primordial Germ cell:Germ,92
Epithelial cell:Corneal Epithelium,98
Cytotrophoblast:Placenta,98
Periosteum-derived Progenitor cell:Periosteum,101
Amnion Epithelial cell:Amniotic Membrane,86
Primitive Streak cell:Primitive Streak,98
Stromal Vascular Fraction cell:Adipose Tissue,100
Bulge Stem cell:Scalp,98
Semilunar Valve cell:Heart,101
Kupffer cell:Liver,10
Adipose-derived Stromal cell:Adipose Tissue,19
Oligodendrocyte:Brain,152
Mesenchymal Stem cell:Amniotic Fluid,97
Cartilage Progenitor cell:Cartilage,100
Osteocyte:Bone,11
Osteoclast:Bone,7
Bipolar cell:Retina,97
Muller cell:Retina,97
Monocyte:Peripheral Blood,48
Natural Killer cell:Blood,11
Cancer Stem cell:Tongue,5
Mesenchymal Stem cell:Gingiva,7
Cancer Stem cell:Undefined,125
Mesenchymal Stem cell:Undefined,74
Endometrial Stem cell:Uterus,100
Cancer Stem cell:Liver,17
Mesenchymal Stem cell:Dental Pulp,9
Natural Killer cell:Breast,98
Dental Pulp Stem cell:Dental Pulp,9
B cell:Peripheral Blood,15
Adipose-derived Stem cell:Adipose Tissue,30
Preadipocyte Progenitor cell:Adipose Tissue,101
Regulatory T (Treg) cell:Undefined,30
Cancer Stem cell:Stomach,6
Nucleus Pulposus cell:Nucleus Pulposus,6
Urine-derived Stem cell:Urine,14
Fibroblast:Pancreas,101
Fibroblast:Undefined,21
Immune cell:Undefined,33
Endothelial cell:Undefined,32
T cell:Undefined,95
B cell:Undefined,83
Thymocyte:Undefined,99
Dendritic cell:Undefined,28
Neutrophil:Undefined,33
Lymphocyte:Undefined,99
Cancer Stem cell:Brain,30
Endothelial Progenitor cell:Peripheral Blood,5
Endothelial cell:Peripheral Blood,7
Tumor Endothelial cell:Kidney,97
Tumor Endothelial cell:Colon,97
Premeiotic Germ cell:Gonad,84
Gonocyte:Gonad,85
Mesenchymal Stem cell:Adipose Tissue,30
Pancreatic Stem cell:Pancreas,101
Myeloid-derived Suppressor cell:Peripheral Blood,33
Cancer Stem cell:Breast,23
CD4+ T cell:Colon,98
CD4+ T cell:Blood,5
Anterior Foregut Endoderm cell:Lung,98
Dendritic cell:Bone Marrow,100
Endoderm Progenitor cell:Adipose Tissue,98
Circulating Fetal cell:Blood,40
Neural Progenitor cell:Brain,10
Astroglial Progenitor cell:Embryo,94
Endothelial cell:Skin,98
Natural Killer cell:Peripheral Blood,20
Paneth cell:Undefined,96
