Pathway,Count
BP1 19119308 ChIP-ChIP Hs578T Human,18
FOXP1 22492998 ChIP-Seq STRATIUM Mouse,16
E4F1 26484288 ChIP-Seq MOUSE EMBRYONIC FIBROBLAST Mouse,17
RBPJ 22232070 ChIP-Seq NCS Mouse,24
TCF21 23034159 ChIP-ChIP E13 GONADS Rat,22
GATA1 22025678 ChIP-Seq K562 Human,27
HOXA2 22223247 ChIP-Seq E11.5 EMBRYO Mouse,23
STAT3 22323479 ChIP-Seq MACROPHAGE Mouse,32
TP63 17297297 ChIP-ChIP HaCaT Human,34
STAT6 21828071 ChIP-Seq BEAS2B Human,33
EZH2 22144423 ChIP-Seq EOC Human,34
BCL11B 21912641 ChIP-Seq STHDH STRIUM Mouse,32
E2F7 22180533 ChIP-Seq HELA Human,38
CIITA 18437201 ChIP-ChIP Raji B And iDC Human,42
TAL1 26923725 Chip-Seq MACROPHAGESS Mouse,44
SOX9 22984422 ChIP-ChIP TESTIS Rat,40
EGR1 19374776 ChIP-ChIP THP-1 Human,62
RUNX1 26923725 Chip-Seq MACROPHAGESS Mouse,49
ZNF263 19887448 ChIP-Seq K562 Human,64
GLI1 17442700 ChIP-ChIP MESCs Mouse,44
GATA2 26923725 Chip-Seq HEMANGIOBLAST Mouse,69
TRIM28 21343339 ChIP-Seq HEK293 Human,75
ZFP322A 24550733 ChIP-Seq MESCs Mouse,67
ESR1 15608294 ChIP-ChIP MCF-7 Human,74
KLF5 18264089 ChIP-ChIP MESCs Mouse,85
KLF2 18264089 ChIP-ChIP MESCs Mouse,85
KLF4 18264089 ChIP-ChIP MESCs Mouse,85
SALL1 21062744 ChIP-ChIP HESCs Human,77
ZNF652 21678463 ChIP-ChIP ZR75-1 Human,94
PRDM16 22522345 ChIP-ChIP PALATE MESENCHYMAL Mouse,99
SMAD 19615063 ChIP-ChIP OVARY Human,100
CDKN2AIP 20523734 ChIP-Seq CORTICAL Neurons,96
IGF1R 20145208 ChIP-Seq DFB Human,85
BCAT 22108803 ChIP-Seq LS180 Human,482
DMRT1 21621532 ChIP-ChIP FETAL Ovary,88
ELF1 17652178 ChIP-ChIP JURKAT Human,92
NOTCH1 17114293 ChIP-ChIP T-ALL Human,105
CHD7 19251738 ChIP-ChIP MESCs Mouse,128
TRP63 18441228 ChIP-ChIP KERATINOCYTES Mouse,99
IKZF1 21737484 ChIP-ChIP HCT116 Human,125
MYBL1 21750041 ChIP-ChIP SPERMATOCYTES Mouse,103
CTNNB1 24651522 ChIP-Seq LGR5+ INTESTINAL STEM Human,127
TP63 19390658 ChIP-ChIP HaCaT Human,167
