Pathway,Count
chr16q,5
chr5q23,86
chr16q24,129
chr8q24,239
chr4p,3
chr13q11,24
chr7p21,60
chr10q23,148
chr13q13,50
chr1q13,1
chr4q1,1
chr10q21,75
chr1p13,154
chrxp21,80
chr4q12,59
chr6q13,31
chr2p22,59
chr18q23,37
chr8p11,59
chr1p11,12
chr15p13,4
chr9p12,43
chr20p12,78
chr7p13,61
chr4p16,179
chr8q22,110
chr14q11,344
chryp11,87
chr10q25,62
chr11q,19
chr4p14,40
chr15q26,134
chr12q15,40
chr2q1,1
chr4p12,24
chr9q12,63
chr2q22,27
chr9q33,87
chr18p,5
chr3q28,26
chr12q14,70
chr2q36,59
chr9q22,151
chr3p22,89
chrxq,7
chr6p11,14
chr14p13,4
chr13p13,2
chr12q24,300
chr12q13q14,1
chr2q32,74
chr4q35,91
chr3p14,75
chr22q,6
chr15q24,105
chr2p,11
chr13q31,32
chr19p13,676
chr12q22,43
chr7p,6
chr11q22,73
chrxq28,195
chr20p,4
chr16q22,174
chr11q24,127
chr5q12,58
chr19q11,3
chr8p,2
chr10p11,81
chr22p13,1
chr5q21,48
chr14q21,79
chrxq12,30
chr1p35,121
chr3p12,40
chr4q21,124
chr10p15,68
chr18q21,136
chr1p33,53
chr11q12,230
chr17q22,41
chr1p31,142
chr10p13,39
chr14q13,61
chr2q24,73
chr13p11,1
chr22q13,260
chr9p1,1
chr15q11,163
chr1q43,41
chr19p,10
chr3q24,31
chr22q11,400
chr7p11,61
chr16q13,53
chr21q,2
chr1p22,103
chr22p,2
chr12p,7
chr2q11,109
chr9p21,70
chr4q33,12
chr2p11,181
chr2q34,30
chr17q23,105
chr14q23,95
chr5q33,82
chr6q27,61
chr19p11,2
chr3q26,124
chr10q11,190
chr5p12,24
chr1q21,384
chr18p12,2
chr4q24,28
chr7q31,118
chr6p21,610
chr17q,17
chr5q15,36
chr2q13,55
chr1q23,145
chr6q23,80
chr11q14,84
chr5p14,33
chr5q31,254
chr2p24,71
chr9p11,60
chr4q26,37
chr1q25,126
chrxq11,23
chr5q14,75
chr4q28,65
chr1q42,171
chr6p25,71
chr13q34,56
chr8q12,57
chr1q3,1
chr4q22,47
chr7q22,160
chr6p23,28
chr8p21,110
chr6q11,5
chr5q35,190
chr13q32,49
chr19q31,1
chr12q12,75
chr21p12,1
chr3p24,72
chr7q33,41
chr12p12,85
chr9p23,12
chr7p14,97
chr6q21,100
chryq11,216
chr15q13,111
chr3q22,71
chr6q15,32
chr4q31,107
chr3q12,50
chr16q2,1
chr13q22,27
chr15q15,103
chr3p26,34
chr17q12,150
chr11p12,20
chr15p12,1
chr7p12,30
chr7q12,1
chr6q,7
chrxq21,88
chr19q13,1011
chr16p12,131
chr1q32,215
chr8p23,240
chrxq23,62
chr2p15,29
chr1q11,3
chr18q12,73
chr17p13,328
chr6q13q15,1
chr14q,12
chr14p11,1
chr11p14,40
chr11q1,2
chr1q,6
chr9q32,48
chr20q12,53
chr14q32,469
chr7p22,116
chr5q,6
chr21q21,57
chr2p13,90
chr16q12,72
chr3p,5
chr10q22,165
chr17p11,193
chr15q22,121
chr10q,6
chr1q31,65
chr10q24,128
chr13q14,142
chr11p,9
chrxp13,1
chr14q12,50
chr4q,8
chr1p34,207
chr9q11,1
chr2q23,35
chr6q16,39
chr16q21,31
chr9q13,24
chr15q25,135
chr18q22,41
chr2q21,112
chr18q,6
chr3p25,103
chr20p13,107
chr8q21,104
chr4p15,85
chr12p11,61
chr9p13,118
chr2q37,195
chr3q29,80
chr16p,8
chr13q12,152
chr3p21,282
chr5q2,1
chr1p12,35
chr4p11,9
chr10q26,179
chr13q21,48
chr15q23,47
chr2p21,55
chr19q12,25
chr20p11,101
chr5q22,37
chr4p13,23
chr8q23,41
chr13q,2
chr19p12,68
chr21q22,307
chr15q12,8
chrxq25,40
chr20q,1
chr4q34,25
chr11q23,173
chr10p14,34
chr9q34,299
chr11p1,1
chr15q,10
chr7q,13
chr2q33,146
chrxp,2
chr20p21,1
chr8q,11
chr22q12,155
chr6p12,94
chr7q21,120
chr14p12,1
chr16q23,52
chr11q25,39
chr5q11,60
chr21q11,49
chr11q13,364
chr9p,8
chr17q25,234
chr6q25,96
chr10p12,76
chr7q36,128
chrxp11,339
chr9q21,104
chrxp22,229
chr20q21,1
chr1p32,113
chr12q21,87
chr13p12,1
chr8p12,54
chr11q11,109
chr12q23,106
chrxq13,113
chr1p36,573
chr2p23,105
chr2q31,128
chr3p13,19
chr2q,9
chrxq27,61
chr3p11,10
chr17q21,354
chr15q33,1
chr13q33,32
chr11p15,473
chr1p21,74
chr3q25,90
chr1q4,1
chr3q13,122
chr5p,1
chr5p13,80
chr14q22,92
chr9p22,64
chr4q27,21
chr2p25,100
chr6p24,48
chr1p,16
chr6q28,1
chr2q12,64
chr8q13,58
chr2p16,70
chr12q,19
chr4q25,61
chr20q13,264
chr5q34,33
chr17p,3
chr17q24,64
chr2q14,79
chr7q35,62
chr5q13,112
chr19q,9
chr5q32,37
chr20q11,178
chr6q24,74
chr5p15,151
chr1q22,87
chr15q2,2
chr6q26,16
chr6p22,188
chr11q21,54
chr1q41,71
chr15q14,72
chr8q11,57
chr21p,1
chr22p12,1
chr1q24,84
chr4q23,29
chrxq26,105
chr3q23,32
chr3p23,20
chr10p,4
chr12q13,320
chr9q31,89
chr9q,5
chr2p12,36
chr1q44,106
chr7q34,162
chr2q35,70
chr11q32,1
chr6q14,61
chr16p13,380
chr18q11,58
chr3q27,87
chr7q11,222
chr17p31,1
chr3q21,142
chr16p11,223
chr17q13,1
chr12p13,289
chr7p15,120
chr3q11,24
chryq12,4
chr6q22,108
chr7q32,77
chr12q11,9
chr18p11,170
chr17q11,156
chrxq24,72
chr6q12,40
chr3q,6
chr6p,13
chr21p11,8
chr8p24,1
chrxq22,129
chr9p24,67
chr11p11,128
chr4q13,111
chr16q11,16
chr8p22,46
chr14q24,166
chr5p11,1
chr1q12,34
chr15q21,126
chr11p13,62
chr17p12,46
chr4q32,68
chr4q11,14
chr14q31,50
chr2p14,54
chr21p22,1
