Pathway,Count
dopamine,31
4-aminopyridine,36
acetaminophen,21
albendazole,21
alprazolam,27
amiodarone,46
amitriptyline,32
amoxapine,35
bisacodyl,23
carvedilol,29
celecoxib,37
chlordiazepoxide,20
chloroxine,34
chlorpromazine,50
clofazimine,32
clotrimazole,87
clozapine,47
CYPROHEPTADINE,24
diazepam,23
dipyridamole,69
disulfiram,79
enflurane,23
ETHACRYNIC ACID,30
felodipine,24
FLUPHENAZINE,43
flumazenil,21
fluoxetine,21
gabapentin,23
haloperidol,35
haloprogin,24
halothane,24
hexachlorophene,111
Amrinone,29
indomethacin,23
isoflurane,23
lansoprazole,25
leflunomide,22
loperamide,21
loratadine,23
menadione,35
5-Aminosalicylic acid,23
miconazole,57
mitotane,20
niclosamide,50
nifedipine,61
nisoldipine,41
nortriptyline,26
olanzapine,29
omeprazole,28
oxazepam,20
pentoxifylline,29
perphenazine,30
prazepam,24
prazosin,22
primidone,29
prochlorperazine,53
promazine,27
promethazine,26
propafenone,21
propofol,24
quetiapine,25
riluzole,23
risperidone,27
sevoflurane,23
Vorinostat,28
thioridazine,40
triamterene,29
triazolam,25
trifluoperazine,24
troglitazone,22
zafirlukast,37
zonisamide,24
Guanidine hydrochloride,35
estradiol,26
reserpine,25
epinephrine,27
liothyronine,24
ethinyl estradiol,37
progesterone,37
apomorphine,21
levodopa,35
colchicine,39
Chlorpromazine hydrochloride,32
Medroxyprogesterone acetate,20
ERGOTAMINE,22
5-azacytidine,29
methysergide,22
dihydroergotamine,22
podophyllotoxin,47
Crystal violet,48
Metformin hydrochloride,50
pimozide,47
clemastine,29
danazol,30
daunorubicin,30
bromocriptine,23
doxorubicin,20
paclitaxel,35
Etomidate,24
etoposide,24
dobutamine,26
methyldopa,42
NITAZOXANIDE,25
DESFLURANE,23
IDARUBICIN,24
MIDAZOLAM HYDROCHLORIDE,23
ketoconazole,33
Mitoxantrone dihydrochloride,26
lovastatin,33
RALOXIFENE HYDROCHLORIDE,36
mifepristone,31
TOPOTECAN HYDROCHLORIDE,44
Aripiprazole,23
Ziprasidone,24
Rubidomycin hydrochloride,85
Paroxetine hydrochloride,21
Epirubicin hydrochloride,37
Dyclonine hydrochloride,25
sertraline,33
Masoprocol,26
Maprotiline hydrochloride,24
Gefitinib,88
Desloratadine,25
methotrexate,31
docetaxel,22
Acamprosate calcium,24
Sorafenib,116
Lacosamide,22
Vincristine sulfate,35
Bortezomib,35
ritonavir,24
Sorafenib tosylate,42
digitoxin,33
terconazole,26
Doxorubicin Hydrochloride,104
Retinoic acid,46
diethylstilbestrol,60
DACTINOMYCIN,24
idarubicin hydrochloride,44
Nilotinib,66
6-Thioguanine,23
digoxin,58
Tamoxifen citrate,39
tamoxifen,69
Clomifene citrate,21
Dasatinib,145
Vandetanib,117
Methysergide maleate,28
Isotretinoin,22
indocyanine green,30
topiramate,48
Bosutinib,199
Sunitinib,258
Vinblastine sulfate,45
Pregabalin,24
CLOMIPHENE CITRATE,24
Axitinib,105
chlorhexidine,50
Gabapentin enacarbil,23
Afatinib,38
CEFOTAXIME SODIUM SALT,21
Pazopanib hydrochloride,28
Carfilzomib,24
Crizotinib,147
oxytetracycline,45
METHACYCLINE HYDROCHLORIDE,44
DEMECLOCYCLINE HYDROCHLORIDE,24
Erlotinib FDA,35
Kinome 3629 Roche,80
Nintedanib FDA,158
TG-100-115 Kinome Scan,35
INCB18424 Kinome Scan,61
K252a MRC,101
Dasatinib RBC,37
Cdk1/2 Inhibitor III RBC,95
Staurosporine Kinome Scan,315
Dasatinib MRC,21
PP242 MRC,30
