Pathway,Count
127399,337
143B,336
23132/87,468
253J,432
42-MG-BA,288
5637,287
59M,305
639V,302
647V,318
697,468
769-P,354
786-O,331
8-MG-BA,269
8305C,292
A-427,310
A-431,331
A-549,305
A-673,361
A2058,296
A2780,268
A3/Kawakami,511
ABC-1,391
ACC-MESO-1,343
AGS,434
AML-193,281
AMO1,415
AU565,385
AsPC-1,310
BC-3C,282
BFTC-905,362
BFTC-909,405
BHY,417
BICR 16,395
BICR 22,385
BICR 31,386
BICR 56,469
BICR 6,345
BICR 78,376
BIN-67,477
BL-70,367
BLUE-1,448
BT-12,322
BT-16,407
BT-549,312
C2BBe1,311
C32 [Human melanoma],360
C8166,481
CADO-ES1,317
CAL-27,492
CAL-29,294
CAL-33,377
CAL-51,418
CAL-78,347
CAMA-1,439
CAS-1,334
CCF-STTG1,266
CCK-81,444
CCLFPEDS0001T,346
CCLFPEDS0003T,293
CCRF-HSB-2,464
CFPAC-1,351
CH-157MN,403
CHLA-06-ATRT,287
CHLA-15,256
CHLA-266,453
CHP-212,348
CL-40,355
CME-1,411
CML-T1,353
COG-AR-359,364
COG-E-352,342
COG-N-278,268
COG-N-305,259
COLO 678,224
COLO 679,472
COLO 792,488
COLO 800,427
COLO201,325
COR-L23,374
COR-L279,284
COR-L47,252
COV318,360
COV362,323
COV434,391
COV504,325
COV644,259
CW9019,453
Ca Ski,344
Caki-1,339
Caki-2,344
Calu-1,317
Calu-6,352
Caov-3,278
ChaGo-K-1,252
D283 Med,420
D341 Med,256
D425 Med,370
D458 Med,376
DAN-G,375
DB,452
DEL,387
DK-MG,363
DLD-1,367
DU4475,349
Daoy,300
Detroit 562,360
EFE-184,353
EFM-19,383
EFO-21,324
EFO-27,351
EJM,421
EKVX,334
EM-2,348
EN,387
EPLC-272H,436
ES2,328
ESO-26,396
ESS-1,404
EW-8,399
EWS-502,332
EoL-1,625
F-36P,491
F5,456
FLO-1,437
FaDu,280
Fu97,429
G-292 clone A141B1,343
G-402,386
GB-1,354
GCIY,464
GCT,328
GI-1,324
GSS,332
GSU,394
GaMG,346
H103,318
H4,342
HARA,389
HB11;19,596
HCC-56,341
HCC1143,444
HCC1359,238
HCC1395,369
HCC1419,498
HCC1428,431
HCC15,327
HCC1806,278
HCC1937,347
HCC1954,373
HCC202,456
HCC2429,362
HCC2935,364
HCC366,450
HCC461,329
HCC515,399
HCC827,343
HCC95,409
HD-MY-Z,348
HEC-1-A,312
HEC-1-B,336
HEC-151,379
HEC-251,401
HEC-265,334
HEC-50B,332
HEC-59,424
HEC-6,293
HEL,448
HEL 92.1.7,341
HEY A8,372
HGC-27,335
HLF,252
HMC-1-8,360
HOP-62,325
HSC-1,367
HSC-2,289
HSC-3,344
HT-1080,333
HT-1197,447
HT-1376,284
HT-144,407
HT-29,391
HT-55,322
HT115,393
Hs 294T,383
Hs 578T,270
Hs 683,345
Hs 695T,466
Hs 729.T,415
Hs 746.T,300
Hs 766T,337
Hs 852.T,259
Hs 944.T,306
HuH-1,316
HuH-6,517
HuNS1,492
HuP-T3,528
Huh-7,351
IA-LM,348
IGR-1,412
IGR-39,316
IMR-32,307
INA-6,483
IPC-298,368
IST-Mes1,395
IST-Mes2,404
J82,351
JHH-1,416
JHH-4,336
JHH-5,348
JHH-7,345
JHOC-5,346
JHOM-1,316
JHOS-2,339
JHOS-4,384
JHUEM-1,434
JHUEM-7,407
JIMT-1,369
JJN-3,389
JMSU-1,405
JMU-RTK-2,489
JR,374
JoPaca-1,404
K029AX,439
KALS-1,267
KE-39,471
KE-97,294
KLE,382
KM12,319
KMBC-2,357
KMM-1,436
KMRC-1,404
KMRC-20,373
KMS-11,367
KMS-18,493
KMS-20,452
KMS-26,449
KMS-27,548
KMS-34,458
KNS-42,306
KNS-60,372
KNS-62,299
KNS-81,384
KP-2,329
KP-3,332
KP-4,310
KP-N-YN,312
KPL-1,512
KS-1 [Human Krukenberg tumour],382
KU-19-19,344
KYSE-140,330
KYSE-150,293
KYSE-180,332
KYSE-270,384
KYSE-30,329
KYSE-410,359
KYSE-450,304
KYSE-510,239
KYSE-520,259
KYSE-70,315
Karpas-299,381
Karpas-422,420
Kasumi-1,394
Kelly,380
Ki-JK,471
Kuramochi,302
L-363,513
L-82,339
LA-N-2,349
LCLC-103H,304
LK2,360
LMSU,339
LN-18,327
LN-235,374
LN-308,325
LN-319,291
LN-382,294
LN-443,328
LN-464,366
LP-1,443
LS1034,338
LS180,320
LS513,406
LUDLU-1,363
LXF 289,399
Li-7,456
LoVo,322
Lu-99,320
M059K,298
MCAS,332
MCC13,340
MCC26,206
MCF-7,444
MDA-MB-157,325
MDA-MB-231,400
MDA-MB-415,452
MDA-MB-435S,322
MDA-MB-436,335
MDA-MB-453,337
MDA-MB-468,346
MDST8,402
MFE-319,315
MHH-NB-11,270
MIA PaCa-2,392
MKN45,414
MKN74,346
MM1.S,420
MOLM-13,475
MON,579
MOR/CPR,427
MPP 89,219
MSTO-211H,396
MV4-11,426
MYLA,434
Mac-2A,288
Malme-3M,426
Mel Ho,451
Mel JuSo,391
Mel202,326
NALM-6,448
NB1,398
NB4,497
NCI-H1048,287
NCI-H1299,234
NCI-H1339,349
NCI-H1437,403
NCI-H1568,401
NCI-H1573,383
NCI-H1581,329
NCI-H1648,366
NCI-H1650,357
NCI-H1666,319
NCI-H1693,322
NCI-H1703,494
NCI-H1792,345
NCI-H1944,321
NCI-H2023,288
NCI-H2030,322
NCI-H2052,355
NCI-H2087,397
NCI-H2110,398
NCI-H2122,322
NCI-H2126,340
NCI-H2170,310
NCI-H2172,370
NCI-H2286,419
NCI-H2291,347
NCI-H23,512
NCI-H2452,376
NCI-H28,462
NCI-H2887,453
NCI-H292,377
NCI-H3122,375
