Pathway,Count
"46, XX Testicular Disorders of Sex Development",9
"46, XY Disorders of Sex Development",19
"46, XY female",20
"46,XY partial gonadal dysgenesis",11
"5,10-Methylenetetrahydrofolate reductase deficiency",19
"Abnormalities, Drug-Induced",5
"Abortion, Habitual",6
"Abortion, Tubal",109
"Achondrogenesis, type IB (disorder)",5
"Acidosis, Lactic",182
"ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE",5
"ACTH Syndrome, Ectopic",6
"Acute Myeloid Leukemia, M1",115
"Acute myeloid leukemia, minimal differentiation",23
"Adenocarcinoma of lung, stage I",19
"Adenocarcinoma of lung, stage IV",18
"Adenocarcinoma, Basal Cell",116
"Adenocarcinoma, Clear Cell",112
"Adenocarcinoma, Endometrioid",63
"Adenocarcinoma, intestinal type",12
"Adenocarcinoma, metastatic",14
"Adenocarcinoma, Oxyphilic",121
"Adenocarcinoma, Scirrhous",6
"Adenocarcinoma, Tubular",124
"Adenoma, Basal Cell",36
"Adenoma, Microcystic",44
"Adenoma, Monomorphic",36
"Adenoma, Trabecular",37
"Adenoma, Villous",17
"Adrenal hyperplasia, bilateral",5
"Adrenoleukodystrophy, Neonatal",15
"Affective Disorders, Psychotic",16
"Agammaglobulinemia, non-Bruton type",9
"Aganglionosis, Colonic",24
"Aganglionosis, Rectosigmoid Colon",12
"Aggressive periodontitis, generalized",30
"Albinism, Ocular",30
"Albinism, Oculocutaneous",32
"ALBINOIDISM, OCULOCUTANEOUS, AUTOSOMAL DOMINANT",29
"Alcoholic Intoxication, Chronic",423
"Alkalosis, Respiratory",5
"Alopecia, Male Pattern",30
"alpha-1-Antitrypsin Deficiency, Autosomal Recessive",28
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, NONDELETION TYPE, X-LINKED",20
"Alport Syndrome, Autosomal Recessive",5
"Alport Syndrome, X-Linked",11
"Alzheimer's Disease, Focal Onset",84
"Alzheimer Disease, Early Onset",115
"Alzheimer Disease, Late Onset",252
"Amaurosis congenita of Leber, type 1",50
"Ambiguous genitalia, female",9
"Ambiguous genitalia, male",9
"Amino Acid Metabolism, Inborn Errors",19
"Amino Acid Metabolism, Inherited Disorders",13
"Amnesia, Transient Global",19
"Amyloid Neuropathies, Familial",12
"Amyloidosis, familial visceral",7
"Amyloidosis, Familial",15
"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED",43
"Amyloidosis, Primary Cutaneous",7
"AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE",27
"AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE (disorder)",17
"Amyotrophic Lateral Sclerosis 4, Juvenile",7
"Amyotrophic Lateral Sclerosis, Guam Form",33
"Amyotrophic Lateral Sclerosis, Sporadic",135
"Amyotrophy, monomelic",8
"Anaplastic Large Cell Lymphoma, ALK-Positive",18
"Anaplastic large cell lymphoma, ALK negative",20
"Anemia, Diamond-Blackfan",69
"Anemia, Hemolytic",117
"Anemia, Hemolytic, Acquired",13
"Anemia, Hemolytic, Congenital Nonspherocytic",5
"Anemia, Hemolytic, Congenital",13
"Anemia, hereditary spherocytic hemolytic",5
"Anemia, Macrocytic",40
"Anemia, Megaloblastic",23
"Anemia, Microangiopathic",12
"Anemia, Pernicious",11
"Anemia, severe",39
"Anemia, Sickle Cell",230
"Aneurysm, Dissecting",18
"Aneurysm, Ruptured",9
"Angina Pectoris, Variant",12
"Angina, Unstable",69
"Angioedemas, Hereditary",23
"Anoxia-Ischemia, Brain",5
"Anoxia-Ischemia, Cerebral",5
"Anticipation, Genetic",7
"Antley-Bixler Syndrome, Autosomal Dominant",12
"Anus, Imperforate",63
"Anxiety States, Neurotic",39
"Aortic Aneurysm, Abdominal",287
"Aortic Aneurysm, Ruptured",11
"Aortic Aneurysm, Thoracic",98
"Aortic Aneurysm, Thoracoabdominal",6
"Aphasia, Progressive",7
"Aplastic anemia, idiopathic",7
"Apraxia, Developmental Verbal",24
"Apraxia, oculomotor, Cogan type",5
"Apraxia, Verbal",9
"Arnold-Chiari Malformation, Type I",19
"Arsenic Poisoning, Inorganic",61
"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2",5
"Arterial Diseases, Common Carotid",11
"Arteriosclerotic cardiovascular disease, NOS",10
"Arteriovenous Malformations, Cerebral",18
"Arthritis, Adjuvant-Induced",43
"Arthritis, Bacterial",8
"Arthritis, Collagen-Induced",43
"Arthritis, Experimental",43
"Arthritis, Gouty",25
"Arthritis, Infectious",11
"Arthritis, Psoriatic",200
"Arthritis, Reactive",37
"ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE IIA",10
"ARTHROGRYPOSIS, DISTAL, TYPE 1",7
"ARTHROGRYPOSIS, DISTAL, TYPE 2B",11
"Aspergillosis, Allergic Bronchopulmonary",21
"Asthma, Aspirin-Induced",19
"Asthma, Occupational",23
"Astrocytoma, low grade",35
"Ataxia, Appendicular",56
"ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA",19
"Ataxia, Motor",15
"Ataxia, Sensory",27
"Ataxia, Spinocerebellar",115
"Ataxia, Truncal",43
"Ataxias, Hereditary",166
"ATRIAL FIBRILLATION, FAMILIAL, 1 (disorder)",21
"Atrophy, Disuse",7
"Atrophy, Muscular, Spinobulbar",14
"Auditory Processing Disorder, Central",11
"AURAL ATRESIA, CONGENITAL",59
"Autoimmune polyendocrinopathy syndrome, type 1",11
"Autoimmune Syndrome Type II, Polyglandular",5
"Autosomal recessive, childhood type, muscular dystrophy resembling Duchenne or Becker muscular dystrophy",14
"AXENFELD-RIEGER SYNDROME, TYPE 3",7
"B-CELL MALIGNANCY, LOW-GRADE",17
"Bare Lymphocyte Syndrome, Type I",8
"Bartter syndrome, type 3",6
"BASAL CELL CARCINOMA, SOMATIC",5
"Benign neoplasm of brain, unspecified",35
"Biliary Cirrhosis, Secondary",33
"BILIRUBIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1",9
"Blindness, Cortical",46
"Blindness, Legal",157
"Blood Coagulation Disorders, Inherited",5
"Bone Cysts, Aneurysmal",22
"Bone Diseases, Developmental",54
"BRACHYDACTYLY, TYPE A1 (disorder)",7
"Brain Infarction, Posterior Circulation",5
"Brain Injuries, Focal",69
"Brain Stem Ischemia, Transient",10
"Brain Tumor, Primary",87
"Breast Cancer, Familial Male",12
"Breast Cancer, Familial",153
"Breast cancer, lobular",21
"BREAST CANCER, SUSCEPTIBILITY TO",7
"Breast Fibrocystic Change, Proliferative Type",14
"Breast Neoplasms, Male",12
"Bronchiolitis, Viral",7
"Bronchitis, Chronic",65
"Bulbo-Spinal Atrophy, X-Linked",62
"Bulbocavernosus Reflex, Decreased",5
"Cafe au lait spots, multiple",17
"Cancer, Embryonal and Mixed",15
"Cancer, Embryonal",17
"Candidiasis, Chronic Mucocutaneous",23
"Candidiasis, Vulvovaginal",8
"Carcinoid, Goblet Cell",25
"Carcinoma of urinary bladder, invasive",14
"Carcinoma of urinary bladder, superficial",42
"Carcinoma, Cribriform",114
"Carcinoma, Ehrlich Tumor",33
"Carcinoma, Endometrioid",113
"Carcinoma, Giant Cell",5
"Carcinoma, Granular Cell",114
"Carcinoma, Large Cell",67
"Carcinoma, Lewis Lung",107
"Carcinoma, Lobular",57
"Carcinoma, Neuroendocrine",82
"Carcinoma, Pancreatic Ductal",46
"Carcinoma, Papillary",195
"Carcinoma, Signet Ring Cell",29
"Carcinoma, Small Cell",116
"Carcinoma, Spindle-Cell",187
"Carcinoma, Transitional Cell",398
"Cardioencephalomyopathy, Fatal Infantile, due to Cytochrome C Oxidase Deficiency",5
"Cardiomyopathies, Primary",91
"Cardiomyopathy, Alcoholic",8
"Cardiomyopathy, Dilated",418
"CARDIOMYOPATHY, DILATED, 1S",7
"Cardiomyopathy, Familial Hypertrophic, 1 (disorder)",8
"Cardiomyopathy, Familial Idiopathic",387
"CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 1 (disorder)",10
"Cardiomyopathy, Hypertrophic, Familial",72
"CARDIOMYOPATHY, INFANTILE HYPERTROPHIC",8
"Carney Complex, Type 1",17
"CATARACT, ANTERIOR POLAR",42
"CATARACT, AUTOSOMAL DOMINANT",10
"Cataract, Central Saccular, With Sutural Opacities",6
"Cataract, congenital, cerulean type 1",5
"CATARACT, COPPOCK-LIKE",11
"CATARACT, MARNER TYPE",21
"CATARACT, NONNUCLEAR POLYMORPHIC CONGENITAL, AUTOSOMAL DOMINANT",5
"Cataract, Pulverulent",11
"Cataract, total congenital with posterior sutural opacities in Heterozygotes",6
"Central Nervous System Embryonal Tumor, Not Otherwise Specified",17
"Cerebellar Ataxia, Early Onset",7
"Cerebellar Ataxia, Late Onset",5
"Cerebral Amyloid Angiopathy, Hereditary",12
"Cerebral Infarction, Left Hemisphere",11
"Cerebral Infarction, Right Hemisphere",11
"Ceroid lipofuscinosis, neuronal 1, infantile",12
"CEROID LIPOFUSCINOSIS, NEURONAL, 6",9
"Ceroid Lipofuscinosis, Neuronal, Parry Type",6
"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B (disorder)",6
"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2F",6
"Charcot-Marie-Tooth disease, Type 1C",6
"Charcot-Marie-Tooth Disease, Type Ia (disorder)",28
"Charcot-Marie-Tooth Disease, Type Ib",12
"Charcot-Marie-Tooth disease, X-linked, 1",7
"Child Development Disorders, Specific",23
"Childhood Chronic Myelogenous Leukemia, BCR-ABL1 Positive",6
"Cholangitis, Sclerosing",139
"Choledochal Cyst, Type I",5
"Choledochal Cyst, Type II",5
"Choledochal Cyst, Type III",5
"Choledochal Cyst, Type IV",5
"Choledochal Cyst, Type V",5
"Cholestasis, chronic",5
"Cholestasis, Extrahepatic",60
"Chondrodysplasia punctata, X-linked dominant type",6
"Chondromatosis, Synovial",6
"CHORIORETINAL ATROPHY, PROGRESSIVE BIFOCAL",5
"Chromosome 10, monosomy 10q",14
"Chromosome 12, 12p trisomy",8
"Chromosome 5, trisomy 5q",32
"Chromosome 8, trisomy",69
"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",26
"Cicatrix, Hypertrophic",84
"Cirrhosis, Cryptogenic",11
"Cleft lip, isolated",8
"Cleft palate, isolated",128
"CLEFT PALATE, X-LINKED",6
"Clinically Isolated Syndrome, CNS Demyelinating",8
"Cockayne Syndrome, Type I",50
"Cockayne Syndrome, Type II",21
"Colitis, Collagenous",16
"Colitis, Ischemic",10
"Colitis, Lymphocytic",16
"Colitis, Microscopic",5
"Collagenopathy, type 2 alpha 1",7
"Color Blindness, Blue",16
"Color Blindness, Red-Green",9
"Color Blindness, Red",5
"Color vision defect, severe",41
"COLORBLINDNESS, PARTIAL, DEUTAN SERIES",34
"Condition, Preneoplastic",115
"Cone-rod synaptic disorder, congenital nonprogressive",14
"Congenital disorder of glycosylation, type 2C",8
"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ii",6
"Congenital dyserythropoietic anemia, type I",5
"Congenital dyserythropoietic anemia, type II",15
"Congenital dyserythropoietic anemia, type III",6
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 1, X-LINKED",30
"Congenital Myasthenic Syndromes, Postsynaptic",22
