Pathway,Count
asthma DOID-2841 human GSE16032 sample 729,303
Type 1 diabetes mellitus C0011854 human GSE10586 sample 9,213
Diabetic Neuropathy C0011882 mouse GSE11343 sample 7,333
tibial muscular dystrophy DOID-9884 human GSE42806 sample 539,335
Cushing Syndrome C0010481 human GSE4060 sample 1,284
"Leukemia, Chronic T-Cell C2363142 human GSE5788 sample 74",313
Retinal damage C0235272 rat GSE1001 sample 312,279
schizophrenia DOID-5419 human GSE21935 sample 855,350
Infection by Yersinia enterocolitica C0238528 mouse GSE2973 sample 127,284
Bipolar Disorder C0005586 human GSE7036 sample 181,288
Niemann-Pick Type C DOID-14504 mouse GSE39621 sample 495,357
anaplastic thyroid carcinoma UMLS CUI-C0238461 human GSE65144 sample 654,276
Atherosclerosis C0004153 mouse GSE1560 sample 77,197
LGLL - Large granular lymphocytic leukemia C1522378 human GSE10631 sample 47,225
Serous carcinoma C0206701 human GSE10971 sample 58,313
Lung transplant rejection C0729958 human GSE2018 sample 66,265
multiple sclerosis DOID-2377 human GSE26484 sample 742,329
Huntington's disease DOID-12858 mouse GSE3248 sample 726,228
Colitis C0009319 mouse GSE2172 sample 401,334
"Spinal Muscular Atrophy, Infantile C0043116 mouse GSE3075 sample 126",168
multiple sclerosis DOID-2377 human GSE16461 sample 584,452
Gamma-hydroxybutyric acidaemia C0268631 mouse GSE2866 sample 409,216
"Leukemia, Adult T Cell C0023493 human GSE10789 sample 351",335
Acne C0702166 human GSE10432 sample 297,292
multiple myeloma DOID-9538 mouse GSE6980 sample 955,327
Type 2 diabetes mellitus C0011860 human GSE12643 sample 274,254
obesity DOID-9970 mouse GSE55389 sample 612,174
asthma DOID-2841 human GSE31773 sample 714,328
progressive myoclonus epilepsy DOID-891 mouse GSE47516 sample 518,339
Huntington's disease DOID-12858 mouse GSE3583 sample 929,293
myelodysplastic syndrome DOID-0050908 human GSE19429 sample 749,300
Type 2 diabetes mellitus C0011860 mouse GSE2899 sample 299,245
hepatocellular carcinoma DOID-684 human GSE57957 sample 660,286
Wolfram syndrome UMLS CUI-C0043207 mouse GSE15293 sample 695,350
cerebral palsy DOID-1969 human GSE11686 sample 912,219
psoriasis DOID-8893 mouse GSE27628 sample 822,254
idiopathic pulmonary fibrosis DOID-0050156 human GSE24206 sample 868,271
prostate cancer DOID-10283 human GSE3868 sample 639,362
Fracture of femur C0015802 rat GSE1371 sample 278,249
pancreatic ductal adenocarcinoma DOID-3498 mouse GSE53659 sample 699,101
systemic lupus erythematosus DOID-9074 human GSE55447 sample 1077,329
Neurological pain disorder C0423704 rat GSE2636 sample 129,338
Barrett's esophagus DOID-9206 human GSE34619 sample 453,291
Teratospermia UMLS CUI-C0919628 human GSE6872 sample 953,372
neurofibromatosis DOID-8712 mouse GSE1482 sample 666,318
idiopathic pulmonary fibrosis DOID-0050156 human GSE44723 sample 851,300
Cancer of the Stomach C0024623 human GSE2685 sample 361,254
Huntington's disease DOID-12858 human GSE24250 sample 466,379
Idiopathic fibrosing alveolitis C0085786 human GSE10921 sample 272,374
Epilepsy DOID-1826 rat GSE2880 sample 804,397
hepatitis C DOID-1883 human GSE20948 sample 597,299
idiopathic pulmonary fibrosis DOID-0050156 human GSE24206 sample 871,323
Idiosyncratic drug effect C0277580 rat GSE2825 sample 304,289
glomerulosclerosis DOID-0050851 mouse GSE20844 sample 492,362
allergic contact dermatitis DOID-3042 human GSE6281 sample 925,357
Wolfram Syndrome 10632 mouse GSE33372 sample 457,273
Psoriasis vulgaris C0263361 human GSE6710 sample 444,310
neurofibromatosis DOID-8712 mouse GSE29343 sample 670,142
anemia DOID-2355 human GSE4619 sample 792,311
"MELAS - Mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes C0162671 human GSE1462 sample 102",169
Pseudomonas Infection C0033817 human GSE923 sample 170,239
schizophrenia DOID-5419 human GSE62105 sample 547,311
Diabetes DOID-9351 mouse GSE31150 sample 805,346
dengue disease DOID-12205 human GSE51808 sample 556,225
testis seminoma DOID-5842 human GSE8607 sample 624,414
Senescence C0001792 human GSE1786 sample 114,236
Papillary Carcinoma of the Thyroid C0238463 human GSE3467 sample 397,200
endometrial cancer DOID-1380 human GSE17025 sample 841,328
"Cardiomyopathy, Dilated C0007193 human GSE9800 sample 115",291
"Cardiomyopathy, Dilated C0007193 human GSE3585 sample 198",274
allergic contact dermatitis DOID-3042 human GSE6281 sample 928,321
fetal alcohol spectrum disorder DOID-0050696 mouse GSE34305 sample 526,320
papillary thyroid carcinoma DOID-3969 human GSE54958 sample 653,406
endometrial cancer DOID-1380 human GSE17025 sample 848,273
polycystic ovary syndrome DOID-11612 human GSE48301 sample 806,359
Barrett's esophagus DOID-9206 human GSE34619 sample 596,289
endometrial cancer DOID-1380 human GSE17025 sample 843,295
morbid obesity DOID-11981 human GSE48964 sample 583,306
ductal carcinoma in situ DOID-0060074 human GSE21422 sample 605,303
prostate cancer DOID-10283 human GSE55945 sample 835,359
HIV - Human immunodeficiency virus infection C0019693 human GSE6740 sample 419,260
systemic juvenile idiopathic arthritis (sJIA) (enthesitis-related) DOID-848 human GSE21521 sample 575,278
asthma DOID-2841 human GSE27011 sample 565,208
COPD - Chronic obstructive pulmonary disease C0024117 human GSE475 sample 343,311
COPD - Chronic obstructive pulmonary disease C0024117 human GSE3212 sample 196,200
HIV encephalitis C0276548 human GSE3489 sample 2,249
Huntington's disease DOID-12858 human GSE1751 sample 795,213
Huntington's disease DOID-12858 mouse GSE3621 sample 702,289
Alexander Disease C0270726 mouse GSE977 sample 87,314
Barrett's esophagus DOID-9206 human GSE13083 sample 917,246
thymic carcinoma DOID-3284 mouse GSE2501 sample 985,339
Huntington's disease DOID-12858 human GSE1751 sample 796,327
Atherosclerosis C0004153 mouse GSE363 sample 193,301
cystic fibrosis DOID-1485 mouse GSE3100 sample 1057,256
systemic lupus erythematosus DOID-9074 human GSE55447 sample 1076,334
asthma DOID-2841 human GSE43696 sample 828,369
Primary pulmonary hypoplasia C0456891 mouse GSE1363 sample 20,330
myotonic dystrophy type 1 DOID-11722 human GSE7178 sample 1052,252
psoriasis DOID-8893 human GSE32407 sample 836,263
Vitamin A Deficiency C0042842 rat GSE1600 sample 359,335
Alzheimer's disease DOID-10652 human GSE36980 sample 523,259
