Pathway,Count
asthma DOID-2841 human GSE16032 sample 729,297
Type 1 diabetes mellitus C0011854 human GSE10586 sample 9,387
Diabetic Neuropathy C0011882 mouse GSE11343 sample 7,267
tibial muscular dystrophy DOID-9884 human GSE42806 sample 539,265
Cushing Syndrome C0010481 human GSE4060 sample 1,316
"Leukemia, Chronic T-Cell C2363142 human GSE5788 sample 74",287
Retinal damage C0235272 rat GSE1001 sample 312,321
schizophrenia DOID-5419 human GSE21935 sample 855,250
Infection by Yersinia enterocolitica C0238528 mouse GSE2973 sample 127,316
Bipolar Disorder C0005586 human GSE7036 sample 181,312
Niemann-Pick Type C DOID-14504 mouse GSE39621 sample 495,243
anaplastic thyroid carcinoma UMLS CUI-C0238461 human GSE65144 sample 654,324
Atherosclerosis C0004153 mouse GSE1560 sample 77,403
LGLL - Large granular lymphocytic leukemia C1522378 human GSE10631 sample 47,375
Serous carcinoma C0206701 human GSE10971 sample 58,287
Lung transplant rejection C0729958 human GSE2018 sample 66,335
multiple sclerosis DOID-2377 human GSE26484 sample 742,271
Huntington's disease DOID-12858 mouse GSE3248 sample 726,372
Colitis C0009319 mouse GSE2172 sample 401,266
"Spinal Muscular Atrophy, Infantile C0043116 mouse GSE3075 sample 126",432
multiple sclerosis DOID-2377 human GSE16461 sample 584,148
Gamma-hydroxybutyric acidaemia C0268631 mouse GSE2866 sample 409,384
"Leukemia, Adult T Cell C0023493 human GSE10789 sample 351",265
Acne C0702166 human GSE10432 sample 297,308
multiple myeloma DOID-9538 mouse GSE6980 sample 955,273
Type 2 diabetes mellitus C0011860 human GSE12643 sample 274,346
obesity DOID-9970 mouse GSE55389 sample 612,426
asthma DOID-2841 human GSE31773 sample 714,272
progressive myoclonus epilepsy DOID-891 mouse GSE47516 sample 518,261
Huntington's disease DOID-12858 mouse GSE3583 sample 929,307
myelodysplastic syndrome DOID-0050908 human GSE19429 sample 749,300
Type 2 diabetes mellitus C0011860 mouse GSE2899 sample 299,355
hepatocellular carcinoma DOID-684 human GSE57957 sample 660,314
Wolfram syndrome UMLS CUI-C0043207 mouse GSE15293 sample 695,250
cerebral palsy DOID-1969 human GSE11686 sample 912,381
psoriasis DOID-8893 mouse GSE27628 sample 822,346
idiopathic pulmonary fibrosis DOID-0050156 human GSE24206 sample 868,329
prostate cancer DOID-10283 human GSE3868 sample 639,238
Fracture of femur C0015802 rat GSE1371 sample 278,351
pancreatic ductal adenocarcinoma DOID-3498 mouse GSE53659 sample 699,499
systemic lupus erythematosus DOID-9074 human GSE55447 sample 1077,271
Neurological pain disorder C0423704 rat GSE2636 sample 129,262
Barrett's esophagus DOID-9206 human GSE34619 sample 453,309
Teratospermia UMLS CUI-C0919628 human GSE6872 sample 953,228
neurofibromatosis DOID-8712 mouse GSE1482 sample 666,282
idiopathic pulmonary fibrosis DOID-0050156 human GSE44723 sample 851,300
Cancer of the Stomach C0024623 human GSE2685 sample 361,346
Huntington's disease DOID-12858 human GSE24250 sample 466,221
Idiopathic fibrosing alveolitis C0085786 human GSE10921 sample 272,226
Epilepsy DOID-1826 rat GSE2880 sample 804,203
hepatitis C DOID-1883 human GSE20948 sample 597,301
idiopathic pulmonary fibrosis DOID-0050156 human GSE24206 sample 871,277
Idiosyncratic drug effect C0277580 rat GSE2825 sample 304,311
glomerulosclerosis DOID-0050851 mouse GSE20844 sample 492,238
allergic contact dermatitis DOID-3042 human GSE6281 sample 925,243
Wolfram Syndrome 10632 mouse GSE33372 sample 457,327
Psoriasis vulgaris C0263361 human GSE6710 sample 444,290
neurofibromatosis DOID-8712 mouse GSE29343 sample 670,458
anemia DOID-2355 human GSE4619 sample 792,289
"MELAS - Mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes C0162671 human GSE1462 sample 102",431
Pseudomonas Infection C0033817 human GSE923 sample 170,361
schizophrenia DOID-5419 human GSE62105 sample 547,289
Diabetes DOID-9351 mouse GSE31150 sample 805,254
dengue disease DOID-12205 human GSE51808 sample 556,375
testis seminoma DOID-5842 human GSE8607 sample 624,186
Senescence C0001792 human GSE1786 sample 114,364
Papillary Carcinoma of the Thyroid C0238463 human GSE3467 sample 397,400
endometrial cancer DOID-1380 human GSE17025 sample 841,272
"Cardiomyopathy, Dilated C0007193 human GSE9800 sample 115",309
"Cardiomyopathy, Dilated C0007193 human GSE3585 sample 198",326
allergic contact dermatitis DOID-3042 human GSE6281 sample 928,279
fetal alcohol spectrum disorder DOID-0050696 mouse GSE34305 sample 526,280
papillary thyroid carcinoma DOID-3969 human GSE54958 sample 653,194
endometrial cancer DOID-1380 human GSE17025 sample 848,327
polycystic ovary syndrome DOID-11612 human GSE48301 sample 806,241
Barrett's esophagus DOID-9206 human GSE34619 sample 596,311
endometrial cancer DOID-1380 human GSE17025 sample 843,305
morbid obesity DOID-11981 human GSE48964 sample 583,294
ductal carcinoma in situ DOID-0060074 human GSE21422 sample 605,297
prostate cancer DOID-10283 human GSE55945 sample 835,241
HIV - Human immunodeficiency virus infection C0019693 human GSE6740 sample 419,340
systemic juvenile idiopathic arthritis (sJIA) (enthesitis-related) DOID-848 human GSE21521 sample 575,322
asthma DOID-2841 human GSE27011 sample 565,392
COPD - Chronic obstructive pulmonary disease C0024117 human GSE475 sample 343,289
COPD - Chronic obstructive pulmonary disease C0024117 human GSE3212 sample 196,400
HIV encephalitis C0276548 human GSE3489 sample 2,351
Huntington's disease DOID-12858 human GSE1751 sample 795,387
Huntington's disease DOID-12858 mouse GSE3621 sample 702,311
Alexander Disease C0270726 mouse GSE977 sample 87,286
Barrett's esophagus DOID-9206 human GSE13083 sample 917,354
thymic carcinoma DOID-3284 mouse GSE2501 sample 985,261
Huntington's disease DOID-12858 human GSE1751 sample 796,273
Atherosclerosis C0004153 mouse GSE363 sample 193,299
cystic fibrosis DOID-1485 mouse GSE3100 sample 1057,344
systemic lupus erythematosus DOID-9074 human GSE55447 sample 1076,266
asthma DOID-2841 human GSE43696 sample 828,231
Primary pulmonary hypoplasia C0456891 mouse GSE1363 sample 20,270
myotonic dystrophy type 1 DOID-11722 human GSE7178 sample 1052,348
psoriasis DOID-8893 human GSE32407 sample 836,337
Vitamin A Deficiency C0042842 rat GSE1600 sample 359,265
Alzheimer's disease DOID-10652 human GSE36980 sample 523,341
Bipolar Disorder C0005586 human GSE5389 sample 302,205
osteoarthritis DOID-8398 human GSE16464 sample 752,394
myelodysplastic syndrome DOID-0050908 human GSE19429 sample 747,324
testis seminoma DOID-5842 human GSE8607 sample 622,257
Tendonopathy 971 human GSE26051 sample 470,322
Adenoma C0001430 human GSE8514 sample 294,229
Nephrolithiasis C0392525 mouse GSE10162 sample 187,270
Dermatomyositis C0011633 human GSE5370 sample 334,320
invasive ductal carcinoma DOID-3008 human GSE21422 sample 606,296
asthma DOID-2841 human GSE18965 sample 753,211
Huntington's disease DOID-12858 mouse GSE3248 sample 722,312
"Asthma, allergic C0155877 human GSE3004 sample 360",383
astrocytoma DOID-3069 human GSE15824 sample 860,299
Sepsis C0243026 rat GSE1781 sample 314,226
facioscapulohumeral muscular dystrophy DOID-11727 human GSE15090 sample 540,372
Hepatic lipidosis C0015695 mouse GSE5538 sample 10,316
retinoblastoma DOID-768 mouse GSE6787 sample 455,393
schizophrenia DOID-5419 human GSE25673 sample 891,326
Parkinson's disease DOID-14330 human GSE19587 sample 496,239
Congestive heart disease C0018802 mouse GSE2236 sample 258,272
Status Epilepticus C0038220 rat GSE4236 sample 391,336
Down syndrome DOID-14250 human GSE19681 sample 1066,280
autism spectrum disorder DOID-0060041 human GSE25507 sample 1030,317
Asthma C0004096 human GSE4302 sample 318,243
Transplanted Heart Complication C0340529 mouse GSE582 sample 373,308
ulcerative colitis DOID-8577 human GSE22619 sample 710,336
papillary thyroid carcinoma DOID-3969 human GSE54958 sample 652,198
myotonic dystrophy type 1 DOID-11722 human GSE7177 sample 1053,316
polycystic ovary syndrome DOID-11612 human GSE34526 sample 797,382
sarcoidosis DOID-11335 human GSE19314 sample 708,283
Appendicitis C0003615 human GSE9579 sample 98,302
Huntington's disease DOID-12858 mouse GSE3248 sample 727,354
facioscapulohumeral muscular dystrophy DOID-11727 human GSE15090 sample 541,162
ulcerative colitis DOID-8577 human GSE11223 sample 590,329
"Granulomatous Disease, Chronic C0018203 human GSE935 sample 371",299
polycystic ovary syndrome DOID-11612 human GSE10946 sample 825,320
Hypertension C0020538 rat GSE2739 sample 209,182
Breast Cancer DOID-1612 human GSE34925 sample 478,218
lung cancer DOID-1324 mouse GSE14277 sample 615,235
Dystonia C0393593 human GSE3064 sample 329,283
autism spectrum disorder DOID-0060041 human GSE29691 sample 1038,293
Non-syndromic cleft lip and palate DOID-9296 human GSE42589 sample 618,174
Urothelial carcinoma in situ C0334267 human GSE3167 sample 229,380
ulcerative colitis DOID-8577 human GSE9452 sample 924,361
Arrhythmogenic Right Ventricular Cardiomyopathy C0349788 mouse GSE4120 sample 432,308
myelodysplastic syndrome DOID-0050908 human GSE19429 sample 812,291
Neurofibromatosis DOID-8712 mouse GSE1482 sample 667,369
Osteoporosis C0029456 human GSE2208 sample 163,323
Actinic keratosis C0022602 human GSE2503 sample 350,171
Tachycardia C0039231 rat GSE7999 sample 244,392
psoriasis DOID-8893 human GSE26952 sample 982,285
Diabetes and Obesity DOID-9970 mouse GSE54917 sample 807,318
asthma DOID-2841 human GSE27011 sample 567,337
Dengue Fever DOID-12206 human GSE51808 sample 447,334
systemic lupus erythematosus DOID-9074 human GSE55447 sample 1072,282
Breast Cancer C0006142 human GSE1379 sample 392,298
Duchenne muscular dystrophy (DMD) C0013264 mouse GSE1025 sample 144,324
"Leukemia, Acute Megakaryocytic C0023462 mouse GSE2433 sample 95",282
colon cancer DOID-219 mouse GSE63032 sample 661,372
schizophrenia 5419 human GSE12654 sample 465,284
systemic lupus erythematosus DOID-9074 human GSE10325 sample 691,390
pancreatic cancer DOID-1793 human GSE16515 sample 475,376
cystic fibrosis DOID-1485 mouse GSE33319 sample 1048,276
glaucoma associated with systemic syndromes DOID-1686 mouse GSE26299 sample 491,259
colon adenoma DOID-0050912 mouse GSE422 sample 650,427
nasopharynx carcinoma DOID-9261 human GSE12452 sample 775,227
"Asthma, allergic C0155877 mouse GSE2276 sample 348",338
schizophrenia DOID-5419 human GSE27383 sample 548,285
Inflammatory papules (Acne) 6543 human GSE6475 sample 459,299
Hepatocellular carcinoma DOID-684 human GSE10393 sample 493,302
diffuse large B-cell lymphoma DOID-0050745 mouse GSE6136 sample 684,160
breast cancer DOID-1612 human GSE14943 sample 504,403
multiple myeloma DOID-9538 human GSE36474 sample 707,262
Alzheimer's disease DOID-10652 human GSE4757 sample 592,231
systemic lupus erythematosus DOID-9074 human GSE61635 sample 816,306
Polycystic Ovary Syndrome C0032460 human GSE5090 sample 308,325
progressive myoclonus epilepsy DOID-891 mouse GSE47516 sample 517,415
Lewy body dementia DOID-12217 human GSE49036 sample 1069,323
pancreatic cancer DOID-1793 mouse GSE47811 sample 449,334
Thymic Carcinoma C0205969 mouse GSE2501 sample 344,249
Generalized seizures C0234533 mouse GSE6614 sample 169,321
Sjogren's syndrome DOID-12894 human GSE23117 sample 889,292
Down Syndrome C0013080 human GSE5390 sample 277,460
bronchopulmonary dysplasia UMLS CUI-C0006287 human GSE8586 sample 919,305
