Pathway,Count
Actinic keratosis GSE2503,300
Acute Lung Injury GSE1871,300
Acute Lung Injury GSE10474,300
Adenocarcinoma of lung GSE1037,300
Adenoma GSE8514,300
Adenoma GSE4183,300
Alzheimer's Disease GSE1297,300
Alzheimer's Disease GSE5281,300
Anaplasmosis GSE2600,300
Ankylosing Spondylitides GSE11886,300
Appendicitis GSE9579,300
Arrhythmogenic Right Ventricular Cardiomyopathy GSE4120,300
"Asthma, allergic GSE3184",300
Asthma GSE4302,300
Astrocytoma GSE4290,300
B-cell chronic lymphocytic leukaemia-small lymphocytic lymphoma GSE8835,300
Barrett Esophagus GSE1420,300
Bipolar Disorder GSE12649,300
Bipolar Disorder GSE7036,300
Bipolar Disorder GSE5388,300
Bipolar Disorder GSE5389,300
Breast Cancer GSE2429,300
Breast Cancer GSE3744,300
CML - Chronic myeloid leukemia GSE11889,300
COPD - Chronic obstructive pulmonary disease GSE3320,300
COPD - Chronic obstructive pulmonary disease GSE1650,300
COPD - Chronic obstructive pulmonary disease GSE475,300
Cancer of Colon GSE4107,300
Cancer of prostate GSE1413,300
Cancer of thyroid GSE5364,300
"Carcinoma, Hepatocellular GSE2127",300
"Carcinoma, Hepatocellular GSE4612",300
Cardiac Hypertrophy GSE5500,300
"Cardiomyopathy, Dilated GSE3586",300
Cardiomyopathy GSE1869,300
Cardiomyopathy GSE5406,300
Cystic Fibrosis GSE3100,300
Dehydration GSE4130,300
Dehydration GSE3110,300
Dehydration GSE3125,300
Dermatomyositis GSE1551,300
Dermatomyositis GSE5370,300
Diabetic Neuropathy GSE11343,300
Down Syndrome GSE5390,300
Eczema GSE6012,300
Endometriosis GSE6364,300
Endometriosis GSE7305,300
Epilepsy GSE7486,300
Escherichia coli infection of the central nervous system GSE3253,300
Essential Thrombocytemia GSE2006,300
Ewing's sarcoma GSE1822,300
Familial combined hyperlipidaemia GSE11393,300
Familial combined hyperlipidaemia GSE1010,300
Gastrointestinal stromal tumor GSE15966,300
Glaucoma GSE3554,300
HIV - Human immunodeficiency virus infection GSE2504,300
HIV - Human immunodeficiency virus infection GSE6740,300
Hepatic Cirrhosis GSE6764,300
Hepatitis C infection GSE2067,300
Huntington's Disease GSE1751,300
Huntington's Disease GSE3621,300
Huntington's Disease GSE3583,300
Huntington's Disease GSE5786,300
Huntington's Disease GSE7958,300
Huntington's Disease GSE9857,300
Huntington's Disease GSE8762,300
Hypercholesteremia GSE3889,300
Hypoxia GSE4483,300
Idiopathic fibrosing alveolitis GSE21369,300
In situ melanoma of skin GSE4587,300
Inclusion Body Myositides GSE3112,300
Infantile neuronal ceroid lipofuscinosis GSE6678,300
Infection by Yersinia enterocolitica GSE2973,300
Influenza GSE3203,300
JRA - Juvenile rheumatoid arthritis GSE7753,300
LGLL - Large granular lymphocytic leukemia GSE10631,300
Leber congenital amaurosis GSE3249,300
"Leukemia, Acute Megakaryocytic GSE2433",300
"Leukemia, Adult T Cell GSE10789",300
"Leukemia, Chronic T-Cell GSE5788",300
Lung transplant rejection GSE2018,300
Lung transplant rejection GSE3418,300
Lymphatic edema GSE4333,300
MDS - Myelodysplastic syndrome GSE2779,300
MDS - Myelodysplastic syndrome GSE4619,300
"MELAS - Mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes GSE1462",300
MS (Multiple Sclerosis) GSE10064,300
Malignant mesothelioma of pleura GSE2549,300
Malignant tumor of pancreas GSE14245,300
Meningococcal infection GSE4646,300
Monoclonal gammopathy of undetermined significance (MGUS) GSE5900,300
Multiple benign melanocytic nevi GSE3189,300
Muscular Dystrophy GSE3252,300
NASH GSE24807,300
Nephroblastoma GSE2712,300
Nephrolithiasis GSE10162,300
Neurological pain disorder GSE15041,300
Nicotine addiction GSE11208,300
"Nutritional deficiency, NEC GSE1776",300
Obesity GSE474,300
Obesity GSE5109,300
Obstructive sleep apnea GSE1873,300
Osteoarthritis GSE16464,300
Overexertion GSE3606,300
Papillary Carcinoma of the Thyroid GSE3467,300
Papillary Carcinoma of the Thyroid GSE3678,300
Parkinson's Disease GSE7621,300
Polycystic Ovary Syndrome GSE5090,300
Polycystic Ovary Syndrome GSE6798,300
Preeclampsia GSE4707,300
Premature aging GSE10123,300
Pseudomonas Infection GSE923,300
Psoriasis vulgaris GSE13355,300
Psoriasis vulgaris GSE14905,300
Psoriasis vulgaris GSE6710,300
Retinoschisis GSE5581,300
Rhinovirus infection GSE11348,300
SCID - Severe combined immunodeficiency GSE3414,300
Schizophrenia GSE4036,300
Sepsis GSE4479,300
Septic Shock GSE9692,300
Serous carcinoma GSE10971,300
Setleis syndrome GSE16524,300
Sickle Cell Anemia GSE9877,300
Simian Acquired Immune Deficiency Syndrome GSE4785,300
"Spinal Muscular Atrophy, Infantile GSE3075",300
Squamous cell carcinoma of lung GSE3268,300
Streptococcal tonsillitis GSE11494,300
Synovial sarcoma GSE6461,300
Tachycardia GSE7999,300
Thrombocytopenia GSE2527,300
Type 1 diabetes mellitus GSE10586,300
Type 1 diabetes mellitus GSE11,300
Ulcerative Colitis GSE3365,300
Urothelial carcinoma GSE3167,300
Uterine leiomyoma GSE593,300
Uterine leiomyoma GSE2724,300
Uterine leiomyoma GSE2725,300
Ventilator-associated lung injury GSE2411,300
Ventricular hypertrophy GSE4678,300
Viral cardiomyopathy GSE4172,300
Whipple's Disease GSE16180,300
