Pathway,Count
estradiol mus musculus gpl339 gse16854 chdir down,43
letrozole homo sapiens gpl3921 gse33366 chdir down,404
mifepristone homo sapiens gpl6947 gse39654 chdir down,298
tamoxifen homo sapiens gpl96 gds2367 chdir down,156
fluorouracil homo sapiens gpl550 zr-75-1 gds1627 chdir up,51
estradiol homo sapiens gpl570 gds3283 chdir up,6814
cisplatin homo sapiens gds3910 chdir up,1542
cyclophosphamide mus musculus gpl13209 gse27421 chdir up,96
colchicine homo sapiens gpl3386 gds1753 chdir down,161
imatinib homo sapiens gpl96 gds3048 chdir up,3363
dexamethasone rattus norvegicus gpl1355 gds3746 chdir down,143
alitretinoin rattus norvegicus gpl85 lung gds2385 chdir down,58
etoposide mus musculus gpl6887 gse33626 chdir down,148
methotrexate homo sapiens gpl570 gds4272 chdir up,155
imatinib homo sapiens gpl571 gds3518 chdir down,432
methotrexate homo sapiens gpl570 gse11440 chdir up,1899
lubiprostone mus musculus gpl1261 gds4251 chdir up,206
alitretinoin rattus norvegicus gpl85 liver   b gds2385 chdir up,174
vitamin a rattus norvegicus gpl85 gds238 chdir up,54
carboplatin homo sapiens gpl570 gse13525 chdir up,198
estradiol homo sapiens gpl570 gse11352 chdir up,464
amoxicillin rattus norvegicus gpl341 proximal small intestine gds1273 chdir up,106
imatinib homo sapiens gpl96 gds3045 chdir up,4070
doxorubicin homo sapiens gpl550 gse1647 chdir up,100
cyclosporine homo sapiens gpl96 gse30952 chdir down,16
calcitriol homo sapiens gpl570 gse35925 chdir up,223
alitretinoin rattus norvegicus gpl85 gse3952 chdir up,114
sunitinib rattus norvegicus gpl1355 gds3109 chdir down,44
candesartan rattus norvegicus gpl341 gse4206 chdir up,54
ethanol mus musculus gds3703 chdir down,113
quetiapine mus musculus gpl1261 gse45229 chdir up,105
estradiol homo sapiens gpl96 gse2251 chdir down,107
cholecalciferol homo sapiens gpl570 gse27220 chdir up,31
vincristine homo sapiens gpl570 gse7556 chdir down,522
pioglitazone mus musculus gpl81 gse1458 chdir down,77
pioglitazone rattus norvegicus gpl1355 17 months gds4019 chdir down,57
