Pathway,Count
tretinoin DB00755 mouse GSE31280 sample 2829,216
morphine 5288826 mouse GSE7762 sample 3489,387
"cytarabine, 2xEC50, 3 d 6253 human GSE6930 sample 3423",318
estradiol 5757 mouse GSE2889 sample 3608,431
curcumin 969516 human GSE10896 sample 3408,385
"cytarabine, EC50, 5 d 6253 human GSE6930 sample 3375",468
neocarzinostatin 5282473 human GSE1676 sample 3113,301
Etanercept DB00005 human GSE36177 sample 2596,223
Retinoic acid 444795 human GSE32161 sample 3237,241
celecoxib DB00482 human GSE11237 sample 3296,379
Bisphenol A 6623 human GSE17624 sample 2654,281
methamphetamine 10836 mouse GSE30305 sample 2619,356
vemurafenib DB08881 human GSE37441 sample 2564,358
angiotensin II 172198 mouse GSE29145 sample 3216,338
mepenzolate bromide CID 6461 mouse GSE50836 sample 2502,226
heroin 5462328 mouse GSE30305 sample 2613,443
SODIUM ARSENITE 443495 mouse GSE11056 sample 3356,285
CADMIUM 23973 human GSE9951 sample 3402,394
lubiprostone DB01046 mouse GSE18327 sample 2778,347
Ascorbyl-2-phosphate 54679073 human GSE11919 sample 3191,296
rosiglitazone 77999 mouse GSE11343 sample 2672,327
lung cancer DB00928 human GSE29077 sample 2534,344
formaldehyde 712 rat GSE7002 sample 3541,233
cisplatin DB00515 human GSE47856 sample 3153,311
Lipopolysaccharide 11970143 human GSE5504 sample 3484,182
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3520,314
genistein 5280961 mouse GSE2889 sample 3606,247
CADMIUM 23973 human GSE6907 sample 3530,395
methylprednisolone 6741 rat GSE490 sample 3670,330
resveratrol DB02709 human GSE25412 sample 3501,406
quercetin DB04216 mouse GSE38136 sample 3436,303
PRISTANE 15979 mouse GSE17297 sample 3228,339
formaldehyde 712 rat GSE7002 sample 3539,376
imatinib DB00619 human GSE1922 sample 2513,320
quercetin DB04216 mouse GSE4262 sample 3431,348
cisplatin DB00515 human GSE47856 sample 3147,203
"Dmnq   (2,3-Dimethoxy-1,4-naphthoquinone) 3136 human GSE6907 sample 3527",279
vemurafenib DB08881 human GSE37441 sample 2562,347
Retinoic acid 444795 mouse GSE1588 sample 3631,347
HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3384,313
vemurafenib DB08881 human GSE37441 sample 2563,363
Heregulin 56310950 human GSE22288 sample 3215,300
cisplatin DB00515 human GSE47856 sample 3150,169
EPZ004777 56962336 human GSE29828 sample 2650,376
Phosgene 6371 mouse GSE2565 sample 3614,236
Bisphenol A 6623 human GSE17624 sample 2656,388
ubiquinol 9962735 mouse GSE15129 sample 3461,349
Androstanolone 10635 human GSE7868 sample 3411,268
estradiol DB00783 human GSE4668 sample 2727,250
"2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3112",292
PLX4032 DB05238 human GSE24862 sample 2570,393
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3310,262
ARC (NSC 188491) 302576 human GSE13477 sample 2503,329
vitamin c DB00126 mouse GSE32994 sample 3508,244
MK-886 CID 3651377 human GSE3202 sample 3193,232
methylphenidate DB00422 human GSE52889 sample 3307,297
adenosine triphosphate 5957 human GSE30903 sample 3220,354
cisplatin DB00515 human GSE47856 sample 3155,288
phenytoin DB00252 rat GSE2880 sample 3291,393
coenzyme Q10 5281915 mouse GSE15129 sample 3464,298
SODIUM ARSENITE 443495 mouse GSE11056 sample 3361,320
imatinib DB00619 human GSE28698 sample 2524,375
quercetin DB04216 mouse GSE4262 sample 3432,346
hydrocortisone DB00741 human GSE7890 sample 2751,295
carboplatin DB00958 human GSE49577 sample 3176,321
1-[3-(Trifluoromethyl)phenyl]piperazine 4296 rat GSE68785 sample 3688,375
resveratrol DB02709 human GSE25412 sample 3500,350
Cigarette Smoke 57288536 human GSE8823 sample 2478,309
resveratrol DB02709 mouse GSE62194 sample 3467,418
Cadmium dichloride 24947 rat GSE31503 sample 3281,269
vitamin c DB00126 mouse GSE32994 sample 3510,241
Bisphenol A 6623 human GSE17624 sample 2655,346
bexarotene 82146 rat GSE3952 sample 3564,275
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3309,231
vemurafenib DB08881 human GSE63790 sample 2508,341
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3316,259
quercetin DB04216 mouse GSE4262 sample 3433,277
cocaine 446220 human GSE54839 sample 2472,294
Cobalt dichloride hexahydrate 24643 rat GSE51207 sample 3115,397
formaldehyde 712 rat GSE7002 sample 3547,272
creatine 586 mouse GSE5140 sample 3205,179
ZINC ACETATE 11192 human GSE2964 sample 3589,189
lysophosphatidic acid 3988 human GSE26309 sample 3225,296
d-serine 71077 rat GSE10748 sample 3388,157
isoflurane 3763 rat GSE6433 sample 3653,290
Lipopolysaccharide 11970143 human GSE3140 sample 3595,270
IFN-alphacon1 DB05258 human GSE5542 sample 2473,244
fluticasone 5311101 human GSE15823 sample 3090,249
troglitazone DB00197 rat GSE21329 sample 2834,402
quercetin DB04216 mouse GSE4262 sample 3430,312
gamma-Tocotrienol 5282349 human GSE21946 sample 3242,195
azacitidine DB00928 human GSE29077 sample 2544,392
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3323,293
doxycycline DB00254 human GSE41035 sample 3040,255
methylprednisolone 6741 rat GSE490 sample 3659,316
imatinib DB00619 human GSE1418 sample 2521,298
estradiol 5757 mouse GSE2195 sample 3619,329
Etanercept DB00005 human GSE36177 sample 2597,379
lung cancer DB00928 human GSE29077 sample 2536,320
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3523,300
irinotecan DB00762 rat GSE11722 sample 2769,376
Ascorbic acid 54670067 mouse GSE37676 sample 3132,306
phenol 996 human GSE6907 sample 3528,264
estradiol 5757 human GSE53394 sample 2652,249
estradiol DB00783 human GSE1153 sample 2735,443
HYPOCHLOROUS ACID 24341 human GSE11630 sample 3200,294
"doxorubicin, EC50, 5 d 31703 human GSE6930 sample 3262",411
Retinoic acid 444795 mouse GSE1588 sample 3633,294
cediranib 9933475 human GSE32569 sample 2642,301
carbidopa DB00190 mouse GSE47099 sample 3293,259
tretinoin DB00755 mouse GSE484 sample 2826,286
bleomycin DB00290 mouse GSE485 sample 2685,87
MLN4924 73014187 human GSE30531 sample 2645,347
decitabine DB01262 human GSE9118 sample 2703,329
BPDE 41322 human GSE19510 sample 3378,248
acrylamide 6579 rat GSE29004 sample 3109,212
imatinib DB00619 human GSE20876 sample 2510,173
sevoflurane DB01236 human GSE4386 sample 2816,210
Hydrogen Peroxide 784 mouse GSE3078 sample 3596,440
4-Hydroxynonenal 5283344 human GSE2397 sample 3078,356
Retinoic acid 444795 human GSE54464 sample 3141,276
Phosgene 6371 mouse GSE2565 sample 3613,259
VANADIUM PENTOXIDE 14814 human GSE5339 sample 3556,424
estradiol 5757 human GSE4668 sample 3063,233
"cytarabine, EC50, 1 d 6253 human GSE6930 sample 3373",339
isoflurane DB00753 rat GSE1779 sample 2771,238
"puromycin, EC50, 1 d 439530 human GSE6930 sample 3268",349
quercetin DB04216 human GSE15162 sample 3444,277
dexamethasone DB01234 human GSE22152 sample 2488,158
soman 7305 rat GSE13428 sample 2633,100
rosiglitazone DB00412 rat GSE21329 sample 2845,187
diclofenac DB00586 human GSE39192 sample 3056,285
methamphetamine 10836 mouse GSE30305 sample 2614,111
Colorectal Adenocarcinoma DB00482 human GSE11237 sample 2458,299
pioglitazone DB01132 rat GSE21329 sample 2843,200
heroin 5462328 mouse GSE30305 sample 2620,253
"2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 mouse GSE2812 sample 3602",400
Caerulein 16132921 mouse GSE3644 sample 3585,188
imatinib DB00619 mouse GSE35559 sample 2525,126
formaldehyde 712 rat GSE7002 sample 3542,322
4-Hydroxynonenal 5283344 human GSE2397 sample 3079,210
"doxorubicin, 2xEC50, 3 d 31703 human GSE6930 sample 3264",332
dexamethasone DB01234 rat GSE15563 sample 2713,291
Retinoic acid 444795 human GSE54464 sample 3139,215
sapphyrin PCI-2050 (1.25 &Icirc;&frac14;M) 9855235 human GSE6400 sample 3101,233
corticosterone 5753 rat GSE37618 sample 3094,281
estradiol DB00783 human GSE11506 sample 2730,296
cisplatin DB00515 human GSE47856 sample 3148,146
4-Hydroxynonenal 5283344 human GSE2397 sample 3082,382
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3322,299
heroin 5462328 mouse GSE30305 sample 2615,207
titanium dioxide NA mouse GSE7475 sample 2824,261
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3317,306
4-Hydroxynonenal 5283344 human GSE2397 sample 3080,354
imatinib DB00619 human GSE22433 sample 2526,200
ubiquinol 9962735 mouse GSE15129 sample 3455,269
resveratrol DB02709 human GSE41168 sample 3495,312
5-Fluorouracil 3385 mouse GSE1559 sample 3640,444
etanercept DB00005 human GSE47751 sample 2594,285
troglitazone DB00197 rat GSE21329 sample 2833,192
