Pathway,Count
H4K20me1 myotube hg19,2000
H3K9ac HepG2 hg19,2000
H3K27ac testis mm9,2000
H3K9me3 mammary epithelial cell hg19,2000
H3K4me3 K562 hg19,4606
H3K9me3 A549 hg19,2000
H3K27ac H1-hESC hg19,2000
H3K27ac A549 hg19,2991
H3K9ac myotube hg19,2000
H3K4me3 foreskin fibroblast hg19,3309
H3K4me3 keratinocyte hg19,3344
H3K36me3 ES-Bruce4 mm9,2000
H3K4me3 BJ hg19,1883
H3K4me1 cerebellum mm9,2000
H3K4me2 T-cell acute lymphoblastic leukemia hg19,2000
H3K4me3 CH12.LX mm9,4143
H3K4me3 erythroblast mm9,2674
H3K27me3 cardiac mesoderm hg19,3485
H3K27me3 G1E-ER4 mm9,2653
H3K4me1 ES-E14 mm9,2411
H3K27me3 ES-Bruce4 mm9,2000
H3K79me2 HeLa-S3 hg19,2000
H3K27me3 MEL cell line mm9,2672
H3K36me3 spleen mm9,2000
H3K4me1 brown adipose tissue mm9,2000
H3K4me3 skeletal muscle cell hg19,1754
H3ac myocyte mm9,2000
H3K4me2 GM12878 hg19,2000
H3K36me3 BJ hg19,1302
H3K27me3 liver mm9,2000
H3K36me3 K562 hg19,2634
H3K79me2 mammary epithelial cell hg19,2000
H3K4me3 B cell hg19,2843
H3K4me3 astrocyte of the cerebellum hg19,1594
H2AFZ HeLa-S3 hg19,2000
H3K4me3 brain microvascular endothelial cell hg19,2101
H3K36me3 brain mm9,2000
H3K27ac limb mm9,2000
H3K4me3 mammary epithelial cell hg19,3567
H3K27me3 GM12878 hg19,3221
H3K4me3 GM12866 hg19,2000
H3K4me3 astrocyte of the spinal cord hg19,1965
H3K4me2 myotube hg19,2000
H3K27me3 C2C12 mm9,1269
H3K4me1 spleen mm9,2000
H3K4me1 small intestine mm9,2000
H3K79me2 K562 hg19,2000
H3K36me3 GM12878 hg19,2531
H3K36me3 HepG2 hg19,2389
H3K9me3 K562 hg19,2000
H3K4me3 GM06990 hg19,1852
H3K4me3 olfactory bulb mm9,2000
H3K79me2 C2C12 mm9,2000
H3K27me3 testis mm9,2000
H3K4me1 MEL cell line mm9,4170
H3K36me3 A549 hg19,3112
H3K4me3 osteoblast hg19,2000
H3K4me1 erythroblast mm9,2632
H3K4me3 SK-N-SH hg19,2000
H3K9me3 NT2-D1 hg19,1583
H3K4me3 embryonic fibroblast mm9,2000
H3K4me2 keratinocyte hg19,2000
H3K27me3 erythroblast mm9,2712
H3K4me3 endothelial cell of umbilical vein hg19,3497
H3K4me1 CD14-positive monocyte hg19,2000
H4K20me1 K562 hg19,2000
H3K4me3 C2C12 mm9,2000
H3K4me1 ES-Bruce4 mm9,2000
H3K36me3 cardiac mesoderm hg19,2514
H3K27me3 BJ hg19,2090
H3K4me3 cardiac mesoderm hg19,3727
H3K9me3 fibroblast of lung hg19,2323
H3K9ac fibroblast of dermis hg19,2000
H3K4me3 MEL cell line mm9,4088
H3K4me3 liver mm9,2880
H2AFZ skeletal muscle myoblast hg19,2000
H3K4me3 kidney epithelial cell hg19,1936
H3K36me3 megakaryocyte mm9,3028
H3K4me1 endothelial cell of umbilical vein hg19,2000
H3K36me3 C2C12 mm9,407
H3K27ac ES-Bruce4 mm9,2000
H3K4me3 HEK293 hg19,2116
H3K79me2 HepG2 hg19,2000
H3K9me3 CH12.LX mm9,2689
H2AFZ myotube hg19,2000
H3K27ac cerebellum mm9,2000
H3K27me3 brain mm9,2000
H3K27me3 K562 hg19,3318
H3K4me3 megakaryocyte mm9,2441
H3K27ac kidney mm9,2000
H3K9me3 CD14-positive monocyte hg19,2000
H3K4me1 G1E mm9,2521
H4K20me1 B cell hg19,2000
H4K20me1 HepG2 hg19,2000
H3K36me3 MCF-7 hg19,1395
H3K4me1 skeletal muscle myoblast hg19,2000
H3K36me3 G1E mm9,3013
H3K27me3 G1E mm9,2569
H3K27me3 HepG2 hg19,2000
H3K4me3 fibroblast of lung hg19,5182
H3K4me1 heart mm9,3628
H3K9ac mammary epithelial cell hg19,2000
H3K27me3 fibroblast of lung hg19,3052
H3K4me1 HCT116 hg19,2000
H3K4me2 CH12.LX mm9,2000
H3K27ac MEL cell line mm9,2000
H3K4me3 SK-N-MC hg19,1414
H2AFZ A549 hg19,3109
H3K27me3 T-cell acute lymphoblastic leukemia hg19,2000
H3K4me3 Caco-2 hg19,2029
H2AFZ endothelial cell of umbilical vein hg19,2000
H3K36me3 CH12.LX mm9,4031
H3K4me3 epithelial cell of proximal tubule hg19,1655
H3K27ac liver mm9,3076
H3K4me2 HeLa-S3 hg19,2000
H3K4me3 G1E mm9,2531
H3K9me3 skeletal muscle myoblast hg19,2000
H3K27ac endothelial cell of umbilical vein hg19,2000
H3K36me3 mammary epithelial cell hg19,2000
H3K36me3 splenic B cell mm9,2000
H3K4me3 limb mm9,2000
H3K4me3 Panc1 hg19,3295
H3K27ac HepG2 hg19,2000
H2AFZ CD14-positive monocyte hg19,2000
H3K79me2 CH12.LX mm9,2000
H3K4me3 fibroblast of pedal digit skin hg19,2043
H3K4me1 A549 hg19,2951
H3K4me1 mammary epithelial cell hg19,2000
H2AFZ T-cell acute lymphoblastic leukemia hg19,2000
H3K4me2 K562 hg19,2000
H3K27ac GM12878 hg19,2000
H3K4me3 A549 hg19,3895
H3K9ac astrocyte hg19,2000
H3K4me3 cardiac fibroblast hg19,2902
H3K36me3 kidney mm9,1187
H3K4me1 CH12.LX mm9,3885
H3K9me3 HepG2 hg19,1809
H3K9me3 G1E-ER4 mm9,2782
H3K36me3 osteoblast hg19,2000
H3K4me1 H1-hESC hg19,2000
H3K4me3 retinal pigment epithelial cell hg19,2021
H3K27me3 CD14-positive monocyte hg19,3445
H3K27me3 mammary epithelial cell hg19,2586
H3K4me3 HeLa-S3 hg19,3589
H3K4me3 heart mm9,3158
H3K4me3 bone marrow mm9,2000
H3K9me1 endothelial cell of umbilical vein hg19,2000
H3K4me3 fibroblast of the aortic adventitia hg19,1648
H3K9ac K562 hg19,3409
H2AFZ mammary epithelial cell hg19,2000
H3K27me3 A549 hg19,2891
H3K4me3 fibroblast of upper leg skin hg19,1975
H3K79me2 liver mm9,2000
H3K79me2 MEL cell line mm9,2000
H3K4me3 placenta mm9,2000
H3K27ac osteoblast hg19,2000
H3K9ac endothelial cell of umbilical vein hg19,2000
H3K27me3 spleen mm9,2000
H3K79me2 CD14-positive monocyte hg19,2000
H3K4me3 BE2C hg19,1594
H3K36me3 G1E-ER4 mm9,2903
H3K9me3 ES-Bruce4 mm9,570
H3K4me2 endothelial cell of umbilical vein hg19,2000
H3K79me3 C2C12 mm9,2000
H3K79me2 GM12878 hg19,2000
H3K36me3 Caco-2 hg19,382
H3K9me3 erythroblast mm9,2445
H3K27me3 HeLa-S3 hg19,2000
H3K27me3 heart mm9,2000
H3K27ac B cell hg19,2000
H3K27ac CH12.LX mm9,2000
H3K4me2 HepG2 hg19,2000
H3K4me3 fibroblast of mammary gland hg19,2005
H3K36me3 liver mm9,2000
H3K79me2 A549 hg19,2787
H3K4me3 spleen mm9,2000
H3K4me3 kidney mm9,2000
H3K27me3 CH12.LX mm9,2618
H3K27me3 GM06990 hg19,179
H3K4me3 T-cell acute lymphoblastic leukemia hg19,2000
