Pathway,Count
PML K562,5326
P300 H1,2566
RFX5 HELA-S3,6678
E2F4 GM12878,3031
SP1 HEPG2,3534
CTCF H1,7157
NFKB GM19193,1190
TR4 HEPG2,737
CREB1 H1,5307
ELK1 HELA-S3,6070
ZBTB33 HEPG2,1200
MAX NB4,5349
RFX5 K562,4160
TCF7L2 HEPG2,168
CTCF IMR90,3491
THAP1 K562,2543
GABP K562,5246
POL2 GM15510,4091
FOS H1,514
POL2 IMR90,3284
CMYC K562,9207
SP2 H1,1630
GR HELA-S3,9898
CTCF MEDULLO,2884
NELFE K562,114
TBLR1 K562,8796
ZBTB33 A549,3092
FOXM1 GM12878,5869
POU2F2 GM12878,6378
CJUN HUVEC,373
COREST HEPG2,7086
RPC155 K562,103
CTCF GM19239,5090
ERRA T47D,85
FOS A549,3981
RAD21 IMR90,3565
E2F1 HELA-S3,1217
NFKB GM15510,3106
E2F4 K562,2848
WHIP GM12878,7039
RAD21 H1,6042
NF-YA GM12878,1957
YY1 H1,5466
CBX3 K562,7171
P300 HEPG2,6619
MXI1 K562,5631
JUND HCT116,202
CMYC HELA-S3,2862
PU1 GM12878,3481
MXI1 IMR90,2572
CHD2 H1,7158
MAX A549,5401
ZNF143 HELA-S3,6250
USF1 SK-N-SH,5257
YY1 HEPG2,5756
MXI1 GM12878,5438
NRF1 GM12878,6124
RXRA GM12878,1063
ZNF217 MCF7,642
POL2 HEK293,4630
FOXA2 HEPG2,2638
ZZZ3 HELA-S3,105
CEBPB A549,2825
CTCF GLIOBLA,3290
SREBP2 GM12878,214
STAT3 MCF10A,9132
TRIM28 K562,3355
BATF GM12878,2169
TEAD4 HEPG2,3314
FOS HUVEC,1537
RAD21 SK-N-SH,5180
P300 T47D,2157
NCOR1 K562,10
SMC3 HELA-S3,6724
POL3 K562,15
CCNE1 K562,5
ZNF274 NT2D1,15
SP1 HCT116,2228
POL2 GM10847,3423
BRF1 K562,22
E2F6 H1,4349
MEF2A K562,334
AP-2alpha HELA-S3,758
ZBTB33 HCT116,2181
BRG1 HELA-S3,2
ZBTB7A HEPG2,3881
TBP H1,7430
ATF3 K562,3837
PBX3 GM12878,3384
TCF12 A549,6627
TCF3 GM12878,5176
COREST K562,9622
GABP HEPG2,3143
JUNB K562,4888
FOXP2 PFSK1,4836
STAT3 GM12878,2361
NRSF SK-N-SH,5469
SETDB1 U2OS,1797
CHD2 GM12878,6177
BACH1 K562,2578
ZNF263 HEK293,3908
GATA2 HUVEC,752
SIX5 H1,1526
TAF1 GM12892,4230
TAF1 GM12891,4143
JUND HEPG2,5692
CJUN HELA-S3,164
EGR1 H1,2966
P300 HELA-S3,626
CJUN HEPG2,997
NF-YB GM12878,4539
NFIC GM12878,5483
POL2S2 K562,5177
CTCF HUVEC,2647
E2F4 HELA-S3,536
CTCF NHEK,4245
YY1 SK-N-SH,6390
TR4 K562,223
CEBPB GM12878,2245
CTCF MCF7,6087
POL2S2 GM12878,4932
ZNF274 GM12878,10
STAT5A GM12878,5963
TCF12 GM12878,5549
NFKB GM18951,2781
POL2 MCF10A,7962
POL24H8 PFSK1,6643
NF-YB K562,3281
TEAD4 H1,4840
TBP K562,5824
ZNF143 H1,7790
CMYC HUVEC,6749
ZBTB33 K562,958
CTCF PROGFIB,3510
STAT2 K562,114
TCF12 SK-N-SH,493
PGC1A HEPG2,19
TCF7L2 HEK293,911
HNF4A HEPG2,2200
NRF1 HELA-S3,1620
SRF H1,1065
SRF HCT116,521
BCL3 GM12878,1561
Eralpha ECC1,603
NFATC1 GM12878,4014
NF-YA K562,2275
NRSF HEPG2,4181
ATF3 H1,1456
CEBPB HCT116,243
COREST HELA-S3,6593
NFKB GM12892,585
NFKB GM12891,1056
RFX5 HEPG2,6676
AP-2gamma HELA-S3,984
YY1 HCT116,6796
BHLHE40 HEPG2,4108
NRSF PANC1,2655
NRSF H1,888
MAX K562,9408
GATA1 PBDEFETAL,156
MAX HCT116,2486
ZEB1 GM12878,4281
IRF4 GM12878,2526
MXI1 SK-N-SH,2566
BCL11A GM12878,1270
TAF1 GM12878,5721
GATA2 SH-SY5Y,1721
TFIIIC-110 K562,420
NFKB GM19099,3590
FOS GM12878,974
MXI1 H1,6373
CTCF K562,7672
POL2 RAJI,4357
PRDM1 HELA-S3,787
ZNF143 K562,7551
NFIC HEPG2,5749
NANOG H1,2450
SP1 GM12878,7296
USF1 K562,3352
ATF3 GM12878,1389
POU2F2 GM12891,4994
USF1 HEPG2,3679
NRSF U87,293
MAX HELA-S3,5593
SIN3AK20 PFSK1,3925
P300 A549,3358
COREST IMR90,675
NRSF K562,3722
CJUN K562,3494
POL2S2 HELA-S3,4885
NFKB GM10847,1563
TCF7L2 HCT116,3408
RFX5 GM12878,5585
RAD21 HEPG2,4871
MAX GM12878,6173
GR H1,10650
BCL3 K562,189
JUND H1,8504
ZNF143 GM12878,7510
MAZ HELA-S3,5345
