Pathway,Count
NANOG CHEA,595
AR CHEA,1095
ETS1 ENCODE,156
ZC3H11A ENCODE,129
E2F6 ENCODE,3245
IRF8 CHEA,121
YY1 ENCODE,2753
CHD1 ENCODE,655
SRF ENCODE,299
ZKSCAN1 ENCODE,120
IRF3 ENCODE,663
ESR1 CHEA,154
FOXP2 ENCODE,178
POU5F1 CHEA,261
HDAC2 ENCODE,175
VDR CHEA,76
STAT3 CHEA,177
CBX3 ENCODE,81
MAX ENCODE,2073
FOS ENCODE,637
SP2 ENCODE,994
RCOR1 ENCODE,702
PML ENCODE,1596
CREB1 ENCODE,2238
SALL4 CHEA,355
TRIM28 ENCODE,120
NFE2L2 CHEA,1022
ZBTB7A ENCODE,2184
ELF1 ENCODE,2483
NR2C2 ENCODE,350
RFX5 ENCODE,559
NFYB ENCODE,3715
EGR1 CHEA,315
GABPA ENCODE,2082
RAD21 ENCODE,1265
FLI1 ENCODE,650
SUZ12 ENCODE,105
FOSL2 ENCODE,196
REST ENCODE,383
BCL3 ENCODE,273
RELA ENCODE,484
STAT3 ENCODE,725
EZH2 ENCODE,338
MYC ENCODE,1515
ZEB1 ENCODE,106
CEBPB ENCODE,144
NELFE ENCODE,234
YY1 CHEA,332
IRF1 ENCODE,263
USF1 ENCODE,1423
FOXA2 ENCODE,316
SPI1 ENCODE,1540
HNF4A ENCODE,1276
PPARD CHEA,285
TP53 CHEA,319
EGR1 ENCODE,537
NFYA ENCODE,2250
PPARG CHEA,535
TAF7 ENCODE,640
E2F1 CHEA,859
CREB1 CHEA,1444
TP63 CHEA,1399
SIN3A ENCODE,1131
SP1 ENCODE,707
BCLAF1 ENCODE,851
TCF3 CHEA,1006
GATA2 CHEA,772
BRCA1 ENCODE,3218
KLF4 CHEA,987
SOX2 CHEA,775
PBX3 ENCODE,1269
SMC3 ENCODE,1181
TCF7L2 ENCODE,583
ATF3 ENCODE,114
SIX5 ENCODE,1094
ATF2 ENCODE,2852
REST CHEA,1280
ZMIZ1 ENCODE,914
SUZ12 CHEA,1684
TAF1 ENCODE,3346
NFIC ENCODE,279
MYOD1 ENCODE,166
MYC CHEA,573
ZBTB33 ENCODE,702
SMAD4 CHEA,584
FOXA1 ENCODE,205
CTCF ENCODE,1790
FOXM1 ENCODE,95
TRIM28 CHEA,210
TCF3 ENCODE,840
RUNX1 CHEA,1294
STAT5A ENCODE,233
CEBPD ENCODE,734
USF2 ENCODE,965
ERG CHEA,144
SPI1 CHEA,1056
GATA1 CHEA,807
ZNF384 ENCODE,730
NRF1 ENCODE,1882
BHLHE40 ENCODE,348
EZH2 CHEA,237
KAT2A ENCODE,90
UBTF ENCODE,1631
E2F4 ENCODE,710
