Pathway,Count
CHiP POU5F1-18700969,567
RAD21-21589869 DOWN,659
Protein POU5F1-19536159,2
Protein SALL4-19440552,6
CHiP KLF4-19030024,1502
CHiP SMAD1-18555785,610
CHiP NANOG-18700969,344
Protein NANOG-18454141,2
CHiP PRDM14-21183938,1758
ZFAND3-19796622 DOWN,257
Protein ZFP281-17093407,5
CHiP SIN3A-21632747,1182
ZSCAN4C-19796622 UP,1387
EOMES-19796622 DOWN,2111
ZFX-17448993 UP,94
SMAD4-19796622 DOWN,300
MYBL2-19796622 UP,352
MSC-19796622 UP,796
PANCT1-22327834 DOWN,338
SALL4-19060217 UP,441
ETV3-19796622 DOWN,379
T-19796622 UP,1000
CHiP SUZ12-18555785,1058
Protein ESRRB-20362541,83
GADD45A-19796622 UP,839
ZFP281-21915945 DOWN,186
RNAiScreen 20720539,43
CHiP RNF2-16625203,1219
Protein IL6ST-19544440,3
CHiP TCF3-18347094,2221
EED-19796622 DOWN,175
Protein NANOG-18223644,3
NR0B1-19530134 UP,48
mESC H3K36me3 18692474,2469
Protein SOCS3-19056487,2
CHiP SUZ12-18974828,1932
RHOX6-19796622 UP,485
POU5F1-16518401 UP,724
CHiP GCN5-20946988,315
Protein XPO4-19349578,2
NR5A2-19796622 UP,883
KLF5-20875108 DOWN,238
CHiP SOX2-18358816,785
SOX9-19796622 DOWN,2637
MSC-19796622 DOWN,1006
CHiP CTCF-18555785,1568
CHiP KLF4-18358816,1700
Protein WWTR1-18568018,3
SUZ12-19796622 UP,373
CHiP SOX2-18555785,497
CHiP POU5F1-18347094,2109
TBX3-20139965 DOWN,114
TUBA1A-19796622 UP,304
CHiP POU5F1-18555785,555
CHiP ZIC3-20872845,361
Protein E2F4-20946988,8
Protein HELLS-16395332,2
Protein CTNNB1-17372190,2
MYC-19796622 UP,614
CHiP KLF4-18555785,2444
RNAiScreen 18614019,68
DPPA5A-19796622 DOWN,563
Protein SOX2-22334693,71
NANOG-16767105 DOWN,698
CHiP RCOR3-21632747,2072
Protein NR6A1-17030610,2
ZFP281-18757296 DOWN,91
CHiP NR0B1-18358816,1691
CHiP RCOR2-21632747,372
WHSC2-19796622 UP,302
RNAiScreen 20953172,173
CHiP TCF3-18467660,1388
CTNNB1-19796622 UP,110
Protein POU5F1-20362542,92
TCF3-20139965 DOWN,1187
Protein POU5F1-20362541,54
CHiP MYCN-18555785,2261
WHSC2-19796622 DOWN,139
CHiP SOX2-19030024,863
RNAiScreen 19345177,208
POU5F1-16767105 DOWN,458
CHiP JARID2-20064375,1117
CHiP KLF5-18264089,102
ASCL2-19796622 UP,1819
ASCL1-19796622 UP,1734
STAT3-19796622 UP,166
ID1-19796622 UP,350
ZFAND3-19796622 UP,349
ESX1-19796622 UP,3170
REST-21632747 DOWN,140
CHiP NANOG-18358816,1232
TCEA3-19796622 DOWN,972
Protein JARID2-20075857,3
CHiP MYC-18555785,1200
Protein ZFP42-17093407,12
SOX2-16767105 DOWN,713
Protein SALL1-21062744,2
CHiP REST-18959480,2868
Protein MYC-20946988,7
T-19796622 DOWN,1008
Protein LIFR-19544440,2
CHiP SETDB1-19884257,2353
CHiP POU5F1-18358816,753
Protein WIZ-16702210,3
MYOD1-19796622 DOWN,1217
CHiP NANOG-18692474,3052
PRDM14-20953172 UP,358
CHiP EED-16625203,831
POU5F1-16767105 UP,462
AES-19796622 UP,224
TCF7L2-19796622 DOWN,405
CDX2-19796622 UP,3333
YY1-22210892 UP,158
TP53-12145208,2
ZFP281-21915945 UP,110
KAT5-22196727 UP,54
CHiP JARID2-20075857,1258
CHiP SUZ12-18692474,1909
NRIP1-19796622 UP,2133
CHiP STAT3-19079543,948
NR0B1-19796622 DOWN,545
Protein KLF4-19816951,2
CHiP POU5F1-16518401,1550
ELF1-19796622 UP,65
Protein MIZF-17520687,1
CHiP KLF4-18264089,102
MEF2C-19796622 DOWN,631
NR2F2-19796622 DOWN,1178
SMAD4-19796622 UP,343
SUZ12-17339329 DOWN,110
GADD45A-19796622 DOWN,563
RNAiScreen 19339689,147
ESRRB-16767105 DOWN,427
MYCN-19796622 DOWN,674
CHiP SOX17-20123909,1731
TCEA3-19796622 UP,468
EOMES-19796622 UP,1724
Protein TIP60-20946988,16
GATA3-19796622 DOWN,2328
MYCN-19796622 UP,548
ESRRB-16767105 UP,277
MYC-19796622 DOWN,1373
ESX1-19796622 DOWN,2712
NR0B1-19530134 DOWN,186
Protein POU5F1-17093407,11
CHiP SALL1-21062744,105
KLF4-19796622 DOWN,2166
CHiP REST-21632747,1932
CHiP JARID1A-20064375,2171
MYOD1-19796622 UP,1651
CHiP ESRRB-18555785,1434
TUBA1A-19796622 DOWN,347
SUZ12-17339329 UP,315
ATF3-19796622 DOWN,525
CHiP CHD1-19587682,843
SETDB1-19884255 DOWN,467
CHiP THAP11-20581084,865
FOXJ2-19796622 UP,257
Protein GJA1-18055446,2
Protein NR0B1-20362541,9
SOX2-19796622 UP,1934
TCF3-19796622 DOWN,2789
mMEF K27me3 17603471,2444
SOX9-19796622 UP,3184
SOX2-17515932 DOWN,593
TBX3-16767105 UP,261
REST-21632747 UP,216
CHiP PHC1-16625203,922
SMAD1-19796622 UP,200
PANCT1-22327834 UP,167
TBX3-16767105 DOWN,346
TCF3-19796622 UP,3118
SMARCA4-22196727 UP,153
CHiP ZFX-18555785,3249
NR2F2-19796622 UP,1279
NIPBL-20720539 UP,2525
Protein DMAP1-20946988,16
POU5F1-16518401 DOWN,957
CHiP ASH2L-23239880,3336
ASCL1-19796622 DOWN,1203
GATA3-19796622 UP,2429
Protein NOTCH2-18055449,1
SOX17-20123909 DOWN,480
NANOG-19796622 DOWN,508
SFPI1-19796622 DOWN,1700
ID1-19796622 DOWN,527
SALL4-19796622 UP,552
CHiP TCFCP2L1-18555785,1987
NANOG-16518401 UP,109
SMAD1-19796622 DOWN,215
CHiP SALL4-18804426,1065
RNAiScreen 16767105,10
CHiP SETDB1-19884255,2020
SOX17-20123909 UP,119
Protein POU5F1-22083510,198
EED-19796622 UP,127
SUZ12-19796622 DOWN,435
Protein NR6A1-16631596,2
CHiP KLF2-18264089,102
NANOG-19796622 UP,646
KDM5B-22020125 DOWN,28
Protein NR0B1-17093407,8
CHiP MTF2-20144788,2981
CHiP RNF2-22325148,1920
FOXJ2-19796622 DOWN,177
NANOG-16518401 DOWN,237
TBX3-20139965 UP,177
RHOX6-19796622 DOWN,383
YY1-22210892 DOWN,129
ZSCAN4C-19796622 DOWN,1319
DNMT3B-19796622 UP,349
Protein SALL4-20362541,41
CHiP HCIF1-20581084,306
KLF5-18983969,2
SMAD7-19796622 DOWN,529
Protein NANOG-21589869,129
KLF4-18264089 UP,1033
KLF5-20875108 UP,75
CBX8-19796622 UP,209
KLF4-19796622 UP,2994
CHiP SOX2-18692474,3319
CTNNB1-19796622 DOWN,196
DLX3-19796622 UP,2132
Protein NOTCH1-18055449,1
TCF7L2-19796622 UP,624
CHiP TRIM28-19339689,3072
mWholeBrain H3K27me3 18600261,906
SOX2-16767105 UP,431
ELF1-19796622 DOWN,54
RAD21-21589869 UP,671
NANOG-16767105 UP,497
SOX2-19796622 DOWN,1898
ZFP281-18757296 UP,251
STAT3-19796622 DOWN,237
CHiP RNF2-18974828,1300
CHiP ZFP42-18358816,1480
CHiP TCF3-18692474,1351
CHiP MYC-19079543,1458
CHiP CDX2-19796622,334
CHiP NANOG-18555785,542
JARID2-20075857 DOWN,1107
ETV3-19796622 UP,595
CHiP NANOG-18347094,1908
ZFP42-19618472 UP,148
ESRRB-19136965 UP,214
ZFP42-19618472 DOWN,102
DNMT3B-19796622 DOWN,473
MYBL2-19796622 DOWN,598
CHiP SUZ12-16625203,1271
ESRRB-19136965 DOWN,240
CHiP CHD7-19251738,141
CHiP EZH2-18974828,2443
KAT5-22196727 DOWN,269
Protein TCFCP2L1-20362541,91
CHiP DMAP1-20946988,1789
AES-19796622 DOWN,311
NR0B1-19796622 UP,375
