Pathway,Count
A-cell (X-like): Ghrelin and Nesfatin-1 Synthesis,15
Acid Secretion by Collecting Duct of Kidney Nephron,7
"Activin, Inhibin and Follistatin Action on Pituitary Gland",11
Adenosine Role in Sleep Regulation,9
Adipokines Production by Adipocyte,46
ADORA1/2A -> Exocytosis,15
ADORA2A/B -> Vasodilation,5
ADORA3 -> Mast-Cell Degranulation,7
ADRA1 -> Ion Channels,17
ADRA1 -> Prostaglandin Generation,22
ADRA1 -> Vasoconstriction,19
ADRA1A -> IL6 Production,30
ADRA2A -> Hyperpolarization,3
ADRA2A -> Neurotransmitter Release,4
ADRA2C/ADRB2 -> Synaptic Endocytosis,26
ADRA2C/ADRB2 -> Vasoconstriction,25
ADRB1 -> Ion Channels,4
ADRB1 -> Prostaglandin Generation,11
ADRB1/3 -> Vasodilation,11
Adrenoceptors Physiological Effects,9
Agomelatine Antidepressant Action,11
AHR in Intestinal Cell Antimicrobial Barrier Maintenance,19
AHR Signaling in M1 Macrophages Function,23
AHR Signaling in Th17 Cells Function,25
AHR Signaling in Tr1 Cells Function,29
AHR Signaling in Treg and Dendritic Cells Function,23
Aldosterone Renal Effects,17
Alzheimer's Disease,67
AMPA Receptors -> Calcium Influx,4
AMPK Related Catabolism Deceleration in Glucose Insufficiency,11
Androgen Deficiency in Male Obesity,24
Androgens in Adipocyte Activation,18
Annexins in Inflammation Resolution,11
anti-Inflammatory Function of Macrophage M2 Lineage,64
Antiviral Signaling through Pattern Recognition Receptors,25
"Apoptosis of Cochlear Hair Cells (Noise-Induced, Mouse Model)",24
Autophagic-Lysosomal System Decline Associated with Aging,29
AXL Receptor Inhibits Macrophages and Dendritic Cells Function,41
Basophil Activation,79
BDKRB1/2 -> Interleukins Production,17
BDKRB1/2 -> Ion Channels,16
BDKRB1/2 -> Prostaglandin Generation,26
BDKRB1/2 -> Vasodilation,13
Bradykinin Effects in Inflammation,39
Ca2+ Flux Regulation,109
Catecholamines Secretion from Adrenal Gland,54
CC Chemokine Receptor Signaling,88
CCKBR -> Neurotransmitter Uptake,8
CCR1 Expression Targets,27
CD16/CD14 Proinflammatory Monocyte Activation,67
CD8+ T-Cell Activation,62
CGRP -> Calcium Influx,9
CHRM1 -> IL2 Production,29
CHRM1/2/3 -> Vascular Motility,22
CHRM1/2/3/5 -> Ion Channels,24
CHRNA3-B4/A4-B2/A7 -> Ion Transport,6
CHRNA7 -> IL8 Production,5
CHRNA7 -> NOS1 Production,17
Circadian Clock and Sleep Regulation by Melatonin,19
Circadian Clock Genes in Suprachiasmatic Nuclei Neurons,41
Circadian Clock Genes Mutations Cause Insomnia,19
Circadian Clock in Sleep Regulation,19
CNR1/2 -> IL1B/2/4/6/10 Production,39
CNR1/2 -> Membrane Transport,12
CNR1/2 -> Vascular Motility,12
Coagulation Cascade,23
Complement Activation by Lectin,14
Complement Activation in Macular Degeneration,29
Complement Alternative Pathway,14
Complement Cascade Activation by Pentraxins,18
Complement Classical Pathway,13
Cortisol in Resolving Inflammation,50
CR3 Mediated Phagocytosis in Neutrophils and Macrophages,18
CRH -> Synthesis of Corticosteroids,16
CRH Secretion Regulation,24
CXC Chemokine Receptor Signaling,75
D-cell: Somatostatin Release,17
DCIR1 (CLEC4A) Signaling,7
DC-SIGN (CD209) Signaling,8
Dectin-1 (CLEC7A) Signaling,27
Dectin-2 (CLEC6A)/Mincle (CLEC4E)/BDCA2 (CLEC4C) Signaling,16
Dendritic Spine Morphogenesis and Stabilization,40
DNA Persistent Repair Inhibits mTOR Signaling,41
Do not Eat mexc2x9d Signal: Viable Cells Inhibits Phagocytosis,9
Dopamine Mediated Glutamate Release/Uptake Circle in Neuron in Migraine,13
Dopamine Receptors Signaling,36
Dopamine Synthesis and Release,21
DRD1/3 -> Potassium Uptake,10
DRD1/5 Expression Targets,19
DRD2 -> TRPC1 Transcription,9
DRD2 Expression Targets,39
DRD2/4 -> Membrane Transport,12
DRD3 -> Dopamine Uptake,3
Eat me Signal: Apoptotic Cell Induces Phagocytosis,29
Eat me Signal: Apoptotic Cell Initiates Phagocytosis,25
ECL-cell: CHGA and Histamine Synthesis,21
EDNRA/B -> Vascular Motility,40
Eicosanoids in Inflammation,6
Eicosanoids in Myeloid Cell Activation,23
Endocannabinoids Role in Sleep Regulation,12
Endogenous Peptide Antigen Presentation,6
Eosinophil Activation,87
Eosinophil Survival by Cytokine Signaling,72
EPHB -> NMDA Receptor Activation,12
Epigenetic Alterations Triggers Genomic Instability,18
Epinephrine/Norepinephrine Release,5
Estrogen Deficiency in Female Obesity,9
Estrogens in Prolactin Production,14
Estrogens Procoagulant Effect,13
Extracellular Matrix Reformation in Aging,12
Fatty Acids Block TLR Signaling in Enteroendocrine Cell,11
Fatty Acids Cause Oxidative Stress and Mitochondria Decline in Aging,12
Female Sex Determination,17
Find me Signal: Apoptotic Cell Attracts Phagocyte,17
GABA Release,8
GABA(B)R -> Postsynaptic Inhibition,28
GALR1/2/3 -> Neurotransmitter Metabolism,12
GALR1/2/3 -> POMC/NPY Production,21
Gastric and Pancreatic Lipase Function,12
G-cell: Gastrin Secretion,21
GCG and PPY Regulate Metabolism and Satiety,19
Genes with Mutations Associated with Aging in Humans,14
GFs/TNF -> Ion Channels,35
Ghrelin and Nesfatin-1 Regulate Stomach Functional State and Satiety,8
Ghrelin and SST Regulate GH1 Release in Hypothalamus,12
Glutamate Release,10
Glycolysis,18
GPR3 in Oocyte Meiotic Arrest,7
GRM1/5 (Postsynaptic) -> Ion Channels,16
GRM2-4/6-8 (Presynaptic) -> Glutamate Release Attenuation,14
GUCY2C in Intestinal Ion and Fluid Homeostasis,12
GUCY2C Signaling in Apetite Regulation,9
High Fat Diet Activates cAMP Related Exocytosis in Synapse and Endocrine Cell,30
High Level of Homocystine Effects (Methylation Cycle),23
Histamine Effects in Inflammation,13
Histamine in Arousal Regulation,11
Histamine Receptor H3 Signaling in Neurons,10
Histidine-Rich Glycoprotein (HRG),15
Hormones Underlie Human Gastrointestinal Functions and Eating Behavior,14
HRH1/2 -> Membrane Polarization,10
HRH1/2 -> Vascular Motility,13
HRH1/3 -> Synaptic Transmission,9
HRH2/4 -> IL6/10 Production,23
HTR1 -> IL6 Production,29
HTR1 -> Membrane Transport,23
HTR1 -> Vascular Motility,17
HTR2 -> Membrane Transport,10
HTR4/6/7 -> Cation Channels,10
HTR4/6/7 -> Vasodilation,6
HTR5 -> TNF Production,20
HTR7 -> IL6 Production,18
Hypocretin (Orexin) in Arousal Regulation,17
Hypothalamic-Pituitary-Adrenal Axis in Acute Phase Response,33
Hypoxia Inhibits mTOR Signaling,25
I-cell: CCK-8 Secretion and Regulation of Eating Behavior,28
IL1B Expression Targets -> Nociception,47
IL6 Expression Targets -> Nociception,27
Immunoglobulin Class-Switch Recombination Activation,29
Immunoglobulin Class-Switch Recombination via Alternative End-Joining,11
Immunoglobulin Class-Switch Recombination via Classical non-Homologous End-Joining,7
Immunoglobulin Genes Transcriptional Activation,15
Insulin Influence on Glycogenesis,24
Insulin Influence on Lipogenesis,16
Insulin Influence on Protein Synthesis,32
Insulin Release Inhibition by Somatostatins,5
Insulin Secretion,20
Insulin Signaling,54
Insulin Synthesis in beta-Cell,34
Ion Channels of Stomach in Appetite Regulation,6
K-cell: GIP Production,13
Keep out Signal: LTF Inhibits Neutrophil Recruitment and Inflammation,14
Kidney Cells Cilia Organization,26
Kynurenine Metabolites in T-Cell Apoptosis,12
Kynurenine/AHR Signaling in Treg Cell Activation,4
"L-cell: GCG, PYY and 5-HT Release",23
Leptin -> CD25/IL6/IL10 Production,9
Leptin -> NO Production/Vasodilation,8
Leptin and CCK8 Activate Nodose Ganglia Neuron,25
Leukocyte Adhesion to Endothelial Cell,31
Leukotriene Effect on Airway Smooth Muscle Response,19
Leukotriene Effect on Vascular Endothelial Cell Response,34
LH and FSH Signaling and Steroidogenesis,22
Lipids Enhance Apoptotic Cell Engulfment and Reduce Inflammation,25
Lipogenesis Regulation in Adipocyte,25
Lipolysis Regulation in Adipocyte,37
Lipoxin A4/FPR2-Related Neutrophil Depression,36
Lipoxins and Resolvins in Inflammation Resolution,24
Longevity Related Drugs,15
Luteinizing Hormone in Oocyte Meiotic Resumption,19
Macrophage M1 Lineage,51
Macrophage M2-Related Phagocytosis,31
Macrophage Related Iron Uptake and Release,19
Male Sex Determination,30
Mast-Cell Activation via IgE Signaling,86
Mast-Cell Activation without Degranulation,49
Mast-Cell Activation without Degranulation through CRHR1 Signaling,5
Mast-Cell Activation without Degranulation through CXCR4 Signaling,11
Mast-Cell Activation without Degranulation through CYSLTR1/CYSLTR2 Signaling,12
Mast-Cell Activation without Degranulation through IL1R1 and TLR Signaling,18
Mast-Cell Activation without Degranulation through IL33/IL1RL1 Signaling,14
Mast-Cell Activation without Degranulation through KIT/F2R Signaling,12
Mast-Cell Activation without Degranulation through TNFSF8 Signaling,13
Mast-Cells De Novo Synthesized Mediators via IgE Independent Signaling,90
MC1R in anti-Inflammatory Signaling,44
M-cell: Motilin Release,6
Melatonin Effects on Circadian Cycle,26
Melatonin in Cell Survival and Antioxidant Response,14
Melatonin Synthesis in Pinealocytes,8
MHC1-Mediated Antigen Presentation,10
MHC2-Mediated Antigen Presentation,10
Mineralcorticoids Secretion Regulation,38
MTHFR Activity Regulation,21
mTOR Signaling,81
mTOR Signaling Activation by Amino Acids,48
mTOR Signaling Activation by Fatty Acids and Glucose,49
mTOR Signaling Activation by Taste Sensor Receptors (Rodent Model),34
mTOR Signaling Hyperfunction,48
MTOR/TP53 Regulates Cell Metabolism,28
Natural Killer Cell Activation,65
Natural Killer Cell Activation through C-Type Lectin-like Receptors,35
Natural Killer Cell Activation through Integrins and non-ITAM-Containing Receptors,46
Natural Killer Cell Activation through ITAM-Containing Receptors,63
Natural Killer Cell Activation through ITSM-Containing Receptors,34
Natural Killer Cell Inhibitory Receptor Signaling,51
N-cell: Neurotensin Production,15
Necrosis,36
Negative Acute Phase Proteins Synthesis,48
Neutrophil Activation via Adherence on Endothelial Cells,57
Neutrophil Activation via FCGR3B,50
Neutrophil Activation via LTB4/Polyisoprenyl Phosphate Signaling,23
Neutrophil Chemotaxis,56
Neutrophil Degranulation via FPR1 Signaling,62
Neutrophil Recruitment and Priming,66
NMDA Receptors -> Ca2+/CREB Activation/PGE2 Synthesis,17
Nociception Expression Targets Signaling,143
NOD-like Receptors,32
non-Genomic Rapid Actions of Vitamin D in Vitamin D Biology,8
Norepinephrine Neuronal Release,44
Norepinephrine Release Regulation,36
NPY1R -> CRH/POMC Production,23
NTRK1/2/3 -> Acetylcholine Production,17
NTSR1 Expression Targets,27
Oncogene Induced Cellular Senescence,46
OPRD/OPRM -> Ion Channels,19
OPRK -> Pain Perception,20
OPRL1 -> Ion Channels,11
Osteoarthritis,82
Oxidative Stress in Amyotrophic Lateral Sclerosis,14
Oxytocin Action in Mammary Gland,8
P2RXs -> Synaptic Transmission,14
P2RY1/2/4/6 -> Potassium Channels,17
P2RY11/13/14 -> IL8/10 Production,20
P2RY2/12/13/14 -> N-Type Calcium Channel,8
PASK Senses and Regulates Glucose Homeostasis,11
P-cell Activation,17
Peripheral T-Cell Tolerance,58
Persisted DNA Repair Triggers Genomic Instability,33
Plasmin Effects in Inflammation,68
Platelet Activation via Adhesion Molecules,66
Platelet Activation via GPCR Signaling,49
POMC Secretion in adenohypophysis,20
Positive Acute Phase Proteins Synthesis,59
Potassium Flux Regulation,50
PRL and CSH Action in Mammary Gland,14
PRL Expression Regulation by BMP4 and TGFB1,12
Prolactin Induced Dopamin Synthesis by TIDA Neurons (Negative Feedback),6
Prolactin Production,52
Proplatelet Maturation,79
Prostaglandin E2 and Histamine in Gastric Acid Secretion,12
Prostaglandin E2 Receptor Signaling in Neurons,11
Prostaglandins Role in Sleep Regulation,6
Protein Oxidation and Aggregation in Aging,7
Proteins Involved in Stem Cell Exhaustion in Aging,39
Proteins with Altered Expression in Aging,22
PTGDR -> Vasodilation,3
PTGER1/4 -> Vascular Motility,18
PTGER2/3 -> Inflammation-Related Expression Targets,26
PTGER2/3 -> Vascular Motility,14
PTGFR -> Vasoconstriction,7
PTGIR -> IL6 Production,17
PTGIR -> Vasodilation,6
Renal Proximal Tubule Acid-Base Homeostasis,6
Replication Stress Triggers Genomic Instability,32
Retinal Ganglion and Suprachiasmatic Nucleus in Melatonin Synthesis Regulation,18
Retinoic Acid Signaling Inhibition in Pre-Puberty Block of Meiosis,10
RHO Signaling (Dark),11
RHO Signaling (Light Signal Termination and Photoreceptor Recovery),15
RHO Signaling (Light),13
Scavenger Receptors in Platelet Activation,23
Scavenger Receptors in Platelet Aggregation,13
Serotonin Receptors Signaling,42
SIRT1 Signaling in Aging,40
SIRT2 Signaling in Aging,22
SIRT3 Signaling in Aging,26
SIRT4 Signaling in Aging,12
SIRT6 Signaling in Aging,20
SIRT7 Signaling in Aging,17
Skin Aging,49
SNS Related Adrenal Cortex Response,27
Sodium Flux Regulation,13
Somatostatin Receptors Signaling,23
Steroid Hormones Steroidogenesis,13
Synaptic Potentiation by PKMZ in LTP Maintenance - Active State,24
Synaptic Potentiation by PKMZ in LTP Maintenance - Basal State,11
TAAR1 -> Neurotransmitter Uptake,6
TACR1 -> Membrane Transport,8
TACR1 -> TNF/IL6/IL8 Production,12
TAM Receptors in Platelet Aggregation,8
Taste Receptors Activation in Tongue,7
T-Cell Central Tolerance,42
T-Cell Cytotoxic Mediated Cell Death,48
T-Cell Dependent B-Cell Activation,63
T-Cell Independent B-Cell Activation,56
T-Cell Maturation (Hypothesis),68
T-Cell Positive Selection and Neglect Induced Death,33
T-Cell Receptor Signaling,54
Telomer Attrition Triggers Genomic Instability,40
Testicular AMH Production,8
Th17-Cell Differentiation,63
Th1-Cell Differentiation,64
Th2-Cell Differentiation,57
Thrombopoietin Receptors Signaling in Platelet Maturation,30
Thyroid Hormones Common Genomic Effects in Hyperthyroidism,30
Thyroid Hormones Common non-Genomic Effects in Hyperthyroidism,36
TLR4 Signaling in Leukocytes,56
Toll-like Receptor Independent Sterile Inflammation,66
Toll-like Receptors Act through MYD88 Signaling,17
Toll-like Receptors Act through MYD88-TIRAP Signaling,41
Toll-like Receptors in Sterile Inflammation,60
Treg-Cell Differentiation,58
V(D)J Recombination,12
V(D)J Recombination Activation,35
Vascular Endothelial Cell Activation by Blood Coagulation Factors,57
