Pathway,Count
A1BG-AS1-ASO_G0268895_01-DEGs Up,345
A1BG-AS1-ASO_G0268895_01-DEGs Down,442
A1BG-AS1-ASO_G0268895_03-DEGs Up,711
A1BG-AS1-ASO_G0268895_03-DEGs Down,1308
AC004980.7-ASO_G0205485_01-DEGs Up,221
AC004980.7-ASO_G0205485_01-DEGs Down,647
AC004980.7-ASO_G0205485_03-DEGs Up,13
AC004980.7-ASO_G0205485_03-DEGs Down,12
AC005592.2-ASO_G0231185_02-DEGs Up,157
AC005592.2-ASO_G0231185_02-DEGs Down,347
AC005592.2-ASO_G0231185_03-DEGs Up,277
AC005592.2-ASO_G0231185_03-DEGs Down,484
AC007246.3-ASO_G0231312_02-DEGs Up,76
AC007246.3-ASO_G0231312_02-DEGs Down,268
AC007879.7-ASO_G0229647_06-DEGs Up,5
AC007879.7-ASO_G0229647_06-DEGs Down,48
AC009005.2-ASO_G0267751_AD_02-DEGs Down,15
AC009948.5-ASO_G0223960_08-DEGs Up,56
AC009948.5-ASO_G0223960_08-DEGs Down,37
AC013394.2-ASO_G0272888_AD_07-DEGs Up,16
AC013394.2-ASO_G0272888_AD_07-DEGs Down,67
AC013394.2-ASO_G0272888_AD_10-DEGs Down,8
AC016747.3-ASO_G0212978_01-DEGs Down,22
AC016747.3-ASO_G0212978_02-DEGs Up,25
AC016747.3-ASO_G0212978_02-DEGs Down,39
AC016747.3-ASO_G0212978_03-DEGs Up,170
AC016747.3-ASO_G0212978_03-DEGs Down,293
AC017048.3-ASO_G0163364_06-DEGs Down,15
AC017048.3-ASO_G0163364_AD_01-DEGs Up,539
AC017048.3-ASO_G0163364_AD_01-DEGs Down,299
AC017048.4-ASO_G0224577_02-DEGs Up,222
AC017048.4-ASO_G0224577_02-DEGs Down,136
AC017048.4-ASO_G0224577_AD_05-DEGs Up,443
AC017048.4-ASO_G0224577_AD_05-DEGs Down,31
AC027612.6-ASO_G0143429_05-DEGs Up,471
AC027612.6-ASO_G0143429_05-DEGs Down,459
AC091729.9-ASO_G0229043_07-DEGs Up,679
AC091729.9-ASO_G0229043_07-DEGs Down,1101
AC092295.7-ASO_G0233527_02-DEGs Up,2097
AC092295.7-ASO_G0233527_02-DEGs Down,2133
AC108488.3-ASO_G0234171_01-DEGs Down,36
AC108488.3-ASO_G0234171_02-DEGs Up,417
AC108488.3-ASO_G0234171_02-DEGs Down,791
AC108488.3-ASO_G0234171_06-DEGs Up,117
AC108488.3-ASO_G0234171_06-DEGs Down,207
AC108488.3-ASO_G0234171_09-DEGs Up,150
AC108488.3-ASO_G0234171_09-DEGs Down,337
AC124789.1-ASO_G0260833_06-DEGs Up,2773
AC124789.1-ASO_G0260833_06-DEGs Down,4329
AMZ2P1-ASO_G0214174_02-DEGs Down,22
AMZ2P1-ASO_G0214174_06-DEGs Down,5
AP001258.4-ASO_G0245571_06-DEGs Down,36
BOLA3-AS1-ASO_G0225439_06-DEGs Up,280
BOLA3-AS1-ASO_G0225439_06-DEGs Down,614
BX322557.10-ASO_G0215447_01-DEGs Down,12
C11orf95-ASO_G0188070_AD_05-DEGs Down,28
CATG00000016989.1-ASO_C0020443_06-DEGs Up,12
CATG00000016989.1-ASO_C0020443_06-DEGs Down,58
CATG00000020700.1-ASO_C0020984_09-DEGs Up,184
CATG00000020700.1-ASO_C0020984_09-DEGs Down,360
CATG00000079799.1-ASO_C0008586_03-DEGs Down,9
CATG00000089639.1-ASO_G0223811_04-DEGs Up,58
CATG00000089639.1-ASO_G0223811_04-DEGs Down,24
CATG00000095991.1-ASO_C0012015_07-DEGs Up,191
CATG00000095991.1-ASO_C0012015_07-DEGs Down,258
CATG00000095991.1-ASO_C0012015_AD_05-DEGs Up,57
CATG00000095991.1-ASO_C0012015_AD_05-DEGs Down,176
CATG00000098831.1-ASO_C0013510_06-DEGs Up,89
CATG00000098831.1-ASO_C0013510_06-DEGs Down,324
CATG00000108369.1-ASO_C014559_06-DEGs Down,47
CD27-AS1-ASO_G0215039_01-DEGs Up,306
CD27-AS1-ASO_G0215039_01-DEGs Down,492
CD99P1-ASO_G0223773_07-DEGs Down,39
CKMT2-AS1-ASO_G0247572_09-DEGs Up,11
CKMT2-AS1-ASO_G0247572_09-DEGs Down,29
CTA-211A9.5-ASO_G0244625_04-DEGs Down,10
CTA-211A9.5-ASO_G0244625_AD_09-DEGs Up,8
CTA-211A9.5-ASO_G0244625_AD_09-DEGs Down,38
CTC-228N24.3-ASO_G0245937_01-DEGs Up,5
CTC-228N24.3-ASO_G0245937_01-DEGs Down,32
CTC-228N24.3-ASO_G0245937_AD_05-DEGs Up,6
CTC-228N24.3-ASO_G0245937_AD_05-DEGs Down,9
CTC-559E9.6-ASO_G0267419_AD_04-DEGs Down,5
CTD-2006C1.2-ASO_G0219665_AD_08-DEGs Down,12
