Pathway,Count
protein secretion (GO:0009306),15
rRNA transcription (GO:0009303),13
positive regulation of DNA replication (GO:0045740),23
respiratory burst (GO:0045730),9
positive regulation of protein catabolic process (GO:0045732),20
positive regulation of DNA repair (GO:0045739),15
negative regulation of adenylate cyclase activity (GO:0007194),26
inhibition of adenylate cyclase activity by G-protein signaling (GO:0007193),13
regulation of transcription factor activity (GO:0051090),66
activation of adenylate cyclase activity (GO:0007190),22
positive regulation of transcription factor activity (GO:0051091),37
positive regulation of NF-kappaB transcription factor activity (GO:0051092),27
response to radiation (GO:0009314),94
oligosaccharide metabolic process (GO:0009311),16
positive regulation of glycogen biosynthetic process (GO:0045725),9
positive regulation of tyrosine phosphorylation of Stat3 protein (GO:0042517),10
positive regulation of binding (GO:0051099),46
positive regulation of translation (GO:0045727),11
respiratory electron transport chain (GO:0022904),48
cellular amine metabolic process (GO:0009308),173
amine biosynthetic process (GO:0009309),21
response to hydrogen peroxide (GO:0042542),9
translation (GO:0006412),41
translational initiation (GO:0006413),18
translational elongation (GO:0006414),94
RNA export from nucleus (GO:0006405),23
mRNA export from nucleus (GO:0006406),19
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531),17
negative regulation of cell cycle (GO:0045786),48
ER-associated protein catabolic process (GO:0030433),10
mRNA catabolic process (GO:0006402),21
positive regulation of cell cycle (GO:0045787),36
tRNA modification (GO:0006400),9
positive regulation of cell adhesion (GO:0045785),23
RNA catabolic process (GO:0006401),39
response to reactive oxygen species (GO:0000302),21
regulation of secretion (GO:0051046),83
positive regulation of secretion (GO:0051047),50
negative regulation of secretion (GO:0051048),25
positive regulation of ossification (GO:0045778),15
negative regulation of transport (GO:0051051),70
superoxide anion generation (GO:0042554),9
regulation of angiogenesis (GO:0045765),38
positive regulation of adenylate cyclase activity (GO:0045762),24
positive regulation of anti-apoptosis (GO:0045768),14
positive regulation of angiogenesis (GO:0045766),12
regulation of anti-apoptosis (GO:0045767),18
regulation of S phase (GO:0033261),13
negative regulation of hormone secretion (GO:0046888),9
positive regulation of lipid biosynthetic process (GO:0046889),12
protein folding (GO:0006457),74
positive regulation of hormone secretion (GO:0046887),16
reciprocal meiotic recombination (GO:0007131),19
regulation of translational initiation (GO:0006446),28
regulation of translation (GO:0006417),65
tRNA aminoacylation for protein translation (GO:0006418),11
meiosis (GO:0007126),13
phospholipid catabolic process (GO:0009395),9
protein amino acid O-linked glycosylation (GO:0006493),20
epidermal growth factor receptor signaling pathway (GO:0007173),19
regulation of epidermal growth factor receptor activity (GO:0007176),10
protein amino acid lipidation (GO:0006497),12
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178),55
transforming growth factor beta receptor signaling pathway (GO:0007179),32
ATP metabolic process (GO:0046034),14
spliceosomal snRNP biogenesis (GO:0000387),24
G-protein coupled receptor protein signaling pathway (GO:0007186),333
endothelial cell migration (GO:0043542),12
"G-protein signaling, coupled to cyclic nucleotide second messenger (GO:0007187)",73
protein amino acid glycosylation (GO:0006486),77
"G-protein signaling, coupled to cAMP nucleotide second messenger (GO:0007188)",34
protein amino acid N-linked glycosylation (GO:0006487),31
protein amino acid ADP-ribosylation (GO:0006471),14
protein amino acid dephosphorylation (GO:0006470),69
cell communication (GO:0007154),1896
protein amino acid methylation (GO:0006479),18
leukocyte adhesion (GO:0007159),20
cell adhesion (GO:0007155),319
regulation of nucleocytoplasmic transport (GO:0046822),34
homophilic cell adhesion (GO:0007156),21
protein amino acid acetylation (GO:0006473),46
heterophilic cell adhesion (GO:0007157),14
positive regulation of nucleocytoplasmic transport (GO:0046824),13
signal transduction (GO:0007165),1722
negative regulation of cell adhesion (GO:0007162),27
protein complex assembly (GO:0006461),233
establishment or maintenance of cell polarity (GO:0007163),22
cell-matrix adhesion (GO:0007160),32
"RNA splicing, via transesterification reactions (GO:0000375)",106
protein amino acid phosphorylation (GO:0006468),287
negative regulation of protein kinase activity (GO:0006469),48
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),103
protein modification process (GO:0006464),736
cell surface receptor linked signal transduction (GO:0007166),689
enzyme linked receptor protein signaling pathway (GO:0007167),171
response to estrogen stimulus (GO:0043627),23
cardiac muscle contraction (GO:0060048),12
skeletal system development (GO:0001501),79
ossification (GO:0001503),15
regulation of neurotransmitter levels (GO:0001505),20
dicarboxylic acid metabolic process (GO:0043648),13
transcription from RNA polymerase III promoter (GO:0006383),17
negative regulation of gene-specific transcription (GO:0032582),20
regulation of gene-specific transcription (GO:0032583),76
Wnt receptor signaling pathway through beta-catenin (GO:0060070),9
vesicle docking (GO:0048278),11
mRNA processing (GO:0006397),133
RNA processing (GO:0006396),260
intracellular transport (GO:0046907),344
secretion (GO:0046903),118
"nuclear mRNA splicing, via spliceosome (GO:0000398)",105
COPI coating of Golgi vesicle (GO:0048205),10
neuropeptide signaling pathway (GO:0007218),23
gamma-aminobutyric acid signaling pathway (GO:0007214),9
glutamate signaling pathway (GO:0007215),16
protein metabolic process (GO:0019538),1147
activation of phospholipase C activity by G-protein coupled receptor protein signaling pathway coupled to IP3 second messenger (GO:0007200),28
activation of phospholipase C activity (GO:0007202),43
elevation of cytosolic calcium ion concentration (GO:0007204),61
activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway (GO:0007205),10
odontogenesis (GO:0042476),12
response to drug (GO:0042493),35
phosphoinositide metabolic process (GO:0030384),19
regulation of gene expression (GO:0010468),914
regulation of receptor activity (GO:0010469),11
negative regulation of peptidase activity (GO:0010466),14
regulation of cell growth (GO:0001558),101
microtubule organizing center organization (GO:0031023),19
negative regulation of mitosis (GO:0045839),9
regulation of DNA binding (GO:0051101),74
negative regulation of lipid metabolic process (GO:0045833),17
positive regulation of endocytosis (GO:0045807),15
negative regulation of endocytosis (GO:0045806),10
regulation of transmembrane transporter activity (GO:0022898),15
angiogenesis (GO:0001525),27
retinoid metabolic process (GO:0001523),14
"negative regulation of gene expression, epigenetic (GO:0045814)",9
regulation of protein kinase activity (GO:0045859),200
mitotic chromosome condensation (GO:0007076),11
negative regulation of cell growth (GO:0030308),55
positive regulation of cell growth (GO:0030307),17
regulation of viral genome replication (GO:0045069),11
cholesterol transport (GO:0030301),30
apoptotic mitochondrial changes (GO:0008637),16
regulation of interleukin-2 biosynthetic process (GO:0045076),11
positive regulation of interferon-gamma biosynthetic process (GO:0045078),9
positive regulation of protein kinase activity (GO:0045860),116
cholesterol homeostasis (GO:0042632),24
regulation of mitosis (GO:0007088),46
cellular amino acid biosynthetic process (GO:0008652),12
positive regulation of mitosis (GO:0045840),20
phospholipid biosynthetic process (GO:0008654),34
positive regulation of innate immune response (GO:0045089),20
innate immune response (GO:0045087),47
regulation of innate immune response (GO:0045088),26
mitotic cell cycle checkpoint (GO:0007093),38
regulation of exit from mitosis (GO:0007096),10
regulation of S phase of mitotic cell cycle (GO:0007090),9
RNA transport (GO:0050658),27
positive regulation of proteolysis (GO:0045862),17
negative regulation of proteolysis (GO:0045861),12
ubiquitin-dependent protein catabolic process (GO:0006511),116
glycolipid biosynthetic process (GO:0009247),10
negative regulation of epithelial cell proliferation (GO:0050680),9
regulation of mRNA processing (GO:0050684),13
proteolysis (GO:0006508),253
membrane protein ectodomain proteolysis (GO:0006509),12
positive regulation of epithelial cell proliferation (GO:0050679),13
regulation of cell migration (GO:0030334),86
negative regulation of cell migration (GO:0030336),35
