Pathway,Count
"vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)",11
extrinsic component of autophagosome membrane (GO:0097635),15
junctional sarcoplasmic reticulum membrane (GO:0014701),9
Barr body (GO:0001740),26
cytoplasmic ribonucleoprotein granule (GO:0036464),32
phagocytic vesicle lumen (GO:0097013),49
TEAD-2-YAP complex (GO:0071149),35
vacuolar proton-transporting V-type ATPase complex (GO:0016471),9
extrinsic component of periplasmic side of plasma membrane (GO:0031236),7
caveolar macromolecular signaling complex (GO:0002095),46
proteasome storage granule (GO:0034515),7
nuclear subtelomeric heterochromatin (GO:1990707),16
Cul2-RING ubiquitin ligase complex (GO:0031462),14
anchored component of plasma membrane (GO:0046658),21
glycosome membrane (GO:0046860),40
microtubule (GO:0005874),189
skeletal muscle myofibril (GO:0098723),18
myosin XIV complex (GO:0031484),7
cytoplasmic SCF ubiquitin ligase complex (GO:0043223),48
cortical actin cytoskeleton (GO:0030864),213
perinuclear endoplasmic reticulum (GO:0097038),355
small-subunit processome (GO:0032040),33
endolysosome lumen (GO:0036021),99
shelterin complex (GO:0070187),10
spherical high-density lipoprotein particle (GO:0034366),8
glycosome lumen (GO:0034468),41
puncta adhaerentia (GO:0044288),6
"chromosome, centromeric region (GO:0000775)",35
npBAF complex (GO:0071564),12
high molecular weight kininogen receptor complex (GO:0030988),1246
intercalated disc (GO:0014704),28
mitochondrial matrix (GO:0005759),299
nuclear proteasome core complex (GO:0031601),8
extrinsic component of intraperoxisomal membrane (GO:0005780),40
mast cell granule (GO:0042629),170
interleukin-23 receptor complex (GO:0072536),1248
STAGA complex (GO:0030914),11
nuclear stress granule (GO:0097165),13
terminal cisterna lumen (GO:0014804),6
chiasma (GO:0005712),21
mitotic spindle polar microtubule (GO:1990537),6
U12-type catalytic step 2 spliceosome (GO:0071018),27
lumenal side of late endosome membrane (GO:0098551),36
SCF-Pof5 ubiquitin ligase complex (GO:0097672),47
subsarcolemmal mitochondrion (GO:1990843),919
myosin VII complex (GO:0031477),7
coated vesicle (GO:0030135),126
lysosome (GO:0005764),168
core mediator complex (GO:0070847),49
HFE-transferrin receptor complex (GO:1990712),8
myosin XII complex (GO:0031482),7
Swr1 complex (GO:0000812),178
m-AAA complex (GO:0005745),22
myosin III complex (GO:0042385),7
dendritic branch point (GO:1990033),125
HslUV protease complex (GO:0009376),7
Set3 complex (GO:0034967),169
U4 snRNP (GO:0005687),12
Golgi medial cisterna membrane (GO:1990675),9
integral component of mitochondrial outer membrane (GO:0031307),28
glycoprotein Ib-IX-V complex (GO:1990779),1246
giant axon (GO:0042757),97
mitotic spindle (GO:0072686),94
centriolar satellite (GO:0034451),411
endoplasmic reticulum quality control compartment (GO:0044322),8
filopodium tip (GO:0032433),46
90S preribosome (GO:0030686),12
senescence-associated heterochromatin focus (GO:0035985),12
holo TFIIH complex (GO:0005675),54
aggresome (GO:0016235),38
lysosomal proton-transporting V-type ATPase complex (GO:0046611),226
small ribosomal subunit (GO:0015935),13
terminal web (GO:1990357),29
Golgi medial cisterna (GO:0005797),13
transcription factor TFIIA complex (GO:0005672),47
mitochondrial inner membrane (GO:0005743),329
endoplasmic reticulum lumen (GO:0005788),264
nuclear periphery (GO:0034399),21
transcription factor TFIIIC2 complex (GO:0034735),6
interleukin-3 receptor complex (GO:0005894),1246
mutator focus (GO:1990633),369
supraspliceosomal complex (GO:0044530),68
