Pathway,Count
platelet dense granule (GO:0042827),21
chromatoid body (GO:0033391),8
Golgi trans cisterna (GO:0000138),7
elongin complex (GO:0070449),8
telomerase holoenzyme complex (GO:0005697),22
chromosomal region (GO:0098687),76
lipid droplet (GO:0005811),64
centriole (GO:0005814),95
polysome (GO:0005844),63
tertiary granule membrane (GO:0070821),73
NLRP3 inflammasome complex (GO:0072559),10
cytoplasmic vesicle (GO:0031410),215
GABA-A receptor complex (GO:1902711),19
integral component of Golgi membrane (GO:0030173),40
MutLalpha complex (GO:0032389),9
IPAF inflammasome complex (GO:0072557),6
lysosomal membrane (GO:0005765),291
insulin-responsive compartment (GO:0032593),7
large ribosomal subunit (GO:0015934),72
secretory vesicle (GO:0099503),16
primary lysosome (GO:0005766),10
cytoplasmic vesicle lumen (GO:0060205),129
synaptonemal complex (GO:0000795),28
early endosome membrane (GO:0031901),73
cis-Golgi network (GO:0005801),47
cell cortex region (GO:0099738),11
cell cortex part (GO:0044448),44
axonemal dynein complex (GO:0005858),16
nuclear body (GO:0016604),618
axolemma (GO:0030673),6
small nucleolar ribonucleoprotein complex (GO:0005732),12
SCF ubiquitin ligase complex (GO:0019005),54
"condensed nuclear chromosome, centromeric region (GO:0000780)",12
bicellular tight junction (GO:0005923),72
smooth endoplasmic reticulum (GO:0005790),13
alpha DNA polymerase:primase complex (GO:0005658),6
MICOS complex (GO:0061617),6
clathrin-coated vesicle membrane (GO:0030665),81
intermediate filament cytoskeleton (GO:0045111),71
spindle pole centrosome (GO:0031616),11
endoribonuclease complex (GO:1902555),13
Golgi subcompartment (GO:0098791),479
core mediator complex (GO:0070847),8
RISC-loading complex (GO:0070578),9
cortical actin cytoskeleton (GO:0030864),52
extrinsic component of external side of plasma membrane (GO:0031232),7
catenin complex (GO:0016342),28
phagocytic vesicle (GO:0045335),83
SWI/SNF complex (GO:0016514),15
microtubule minus-end (GO:0036449),8
endoplasmic reticulum exit site (GO:0070971),24
endosomal part (GO:0044440),31
mitochondrial small ribosomal subunit (GO:0005763),27
microvillus (GO:0005902),42
U12-type spliceosomal complex (GO:0005689),27
mitochondrial outer membrane translocase complex (GO:0005742),9
H3 histone acetyltransferase complex (GO:0070775),7
DNA-directed RNA polymerase I complex (GO:0005736),13
RISC complex (GO:0016442),9
coated vesicle (GO:0030135),71
nucleolar part (GO:0044452),153
nuclear heterochromatin (GO:0005720),20
cortical cytoskeleton (GO:0030863),52
AP-1 adaptor complex (GO:0030121),6
autolysosome (GO:0044754),8
clathrin coat (GO:0030118),6
calcium channel complex (GO:0034704),24
U2-type prespliceosome (GO:0071004),18
trans-Golgi network (GO:0005802),185
Golgi stack (GO:0005795),28
vacuole (GO:0005773),62
keratin filament (GO:0045095),15
proton-transporting V-type ATPase complex (GO:0033176),11
DNA-directed RNA polymerase complex (GO:0000428),16
very-low-density lipoprotein particle (GO:0034361),15
Golgi-associated vesicle (GO:0005798),58
transcription factor TFIID complex (GO:0005669),35
sarcoplasmic reticulum (GO:0016529),29
AP-3 adaptor complex (GO:0030123),6
cullin-RING ubiquitin ligase complex (GO:0031461),181
histone methyltransferase complex (GO:0035097),49
NURF complex (GO:0016589),7
lateral element (GO:0000800),10
centrosome (GO:0005813),461
gamma-secretase complex (GO:0070765),6
MLL3/4 complex (GO:0044666),11
microtubule end (GO:1990752),22
ISWI-type complex (GO:0031010),11
potassium channel complex (GO:0034705),14
synaptonemal structure (GO:0099086),15
multivesicular body lumen (GO:0097486),7
early phagosome (GO:0032009),7
PRC1 complex (GO:0035102),12
cytosolic part (GO:0044445),159
specific granule (GO:0042581),160
flotillin complex (GO:0016600),7
FACIT collagen trimer (GO:0005593),6
polymeric cytoskeletal fiber (GO:0099513),221
cytoplasmic ribonucleoprotein granule (GO:0036464),170
Cul3-RING ubiquitin ligase complex (GO:0031463),70
MHC protein complex (GO:0042611),18
U2 snRNP (GO:0005686),21
sarcoplasm (GO:0016528),31
nuclear replication fork (GO:0043596),11
U4 snRNP (GO:0005687),12
endoplasmic reticulum quality control compartment (GO:0044322),9
MLL1/2 complex (GO:0044665),27
CD40 receptor complex (GO:0035631),11
nuclear speck (GO:0016607),296
endoplasmic reticulum subcompartment (GO:0098827),14
platelet alpha granule (GO:0031091),90
CHD-type complex (GO:0090545),16
condensed nuclear chromosome (GO:0000794),34
serine/threonine protein kinase complex (GO:1902554),25
microvillus membrane (GO:0031528),8
extrinsic component of endosome membrane (GO:0031313),7
Golgi cisterna (GO:0031985),50
multivesicular body membrane (GO:0032585),7
STAGA complex (GO:0030914),11
lysosomal lumen (GO:0043202),86
COPI-coated vesicle membrane (GO:0030663),16
RNA polymerase III transcription factor complex (GO:0090576),8
mRNA cleavage and polyadenylation specificity factor complex (GO:0005847),17
mitotic spindle (GO:0072686),84
cyclin-dependent protein kinase activating kinase holoenzyme complex (GO:0019907),7
mitochondrial outer membrane (GO:0005741),115
integral component of cytoplasmic side of endoplasmic reticulum membrane (GO:0071458),6
microtubule organizing center part (GO:0044450),126
precatalytic spliceosome (GO:0071011),33
contractile actin filament bundle (GO:0097517),40
"nuclear chromosome, telomeric region (GO:0000784)",107
vacuolar proton-transporting V-type ATPase complex (GO:0016471),16
septin cytoskeleton (GO:0032156),14
post-mRNA release spliceosomal complex (GO:0071014),9
kinetochore microtubule (GO:0005828),7
AMPA glutamate receptor complex (GO:0032281),18
actin filament (GO:0005884),55
nuclear proteasome complex (GO:0031595),8
integral component of nuclear inner membrane (GO:0005639),12
secondary lysosome (GO:0005767),13
anchored component of external side of plasma membrane (GO:0031362),18
THO complex part of transcription export complex (GO:0000445),6
Golgi lumen (GO:0005796),98
nuclear replisome (GO:0043601),16
pre-autophagosomal structure (GO:0000407),23
septin ring (GO:0005940),14
endolysosome membrane (GO:0036020),14
ESC/E(Z) complex (GO:0035098),18
clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane (GO:0061202),8
axonemal microtubule (GO:0005879),6
cation channel complex (GO:0034703),65
autophagosome (GO:0005776),64
mitochondrial respiratory chain complex IV (GO:0005751),17
PML body (GO:0016605),62
heterochromatin (GO:0000792),41
secretory granule lumen (GO:0034774),317
protein kinase complex (GO:1902911),6
focal adhesion (GO:0005925),356
azurophil granule lumen (GO:0035578),90
phagocytic vesicle membrane (GO:0030670),38
prespliceosome (GO:0071010),23
mitochondrial inner membrane presequence translocase complex (GO:0005744),13
sodium channel complex (GO:0034706),10
ATP-binding cassette (ABC) transporter complex (GO:0043190),8
mitochondrial matrix (GO:0005759),308
Golgi cisterna membrane (GO:0032580),28
intercalated disc (GO:0014704),31
lysosome (GO:0005764),422
polysomal ribosome (GO:0042788),28
Rad51B-Rad51C-Rad51D-XRCC2 complex (GO:0033063),7
site of DNA damage (GO:0090734),37
