Pathway,Count
serine-type endopeptidase activity (GO:0004252),167
peptidoglycan binding (GO:0042834),11
lipoprotein particle receptor activity (GO:0030228),14
extracellular matrix binding (GO:0050840),51
nucleoside-triphosphatase regulator activity (GO:0060589),330
protein-cysteine S-palmitoyltransferase activity (GO:0019706),25
NAD-dependent histone deacetylase activity (H4-K16 specific) (GO:0046970),12
lysozyme activity (GO:0003796),10
glutamate receptor activity (GO:0008066),27
NADH dehydrogenase (quinone) activity (GO:0050136),46
peptide N-acetyltransferase activity (GO:0034212),8
neuropeptide receptor activity (GO:0008188),43
poly-pyrimidine tract binding (GO:0008187),15
intramolecular transferase activity (GO:0016866),27
ion channel binding (GO:0044325),80
"intramolecular oxidoreductase activity, transposing S-S bonds (GO:0016864)",22
"intramolecular oxidoreductase activity, transposing C=C bonds (GO:0016863)",14
"intramolecular oxidoreductase activity, interconverting aldoses and ketoses (GO:0016861)",12
intramolecular oxidoreductase activity (GO:0016860),55
death domain binding (GO:0070513),8
alpha-(1->3)-fucosyltransferase activity (GO:0046920),8
calcium channel inhibitor activity (GO:0019855),11
peptide antigen binding (GO:0042605),35
diacylglycerol binding (GO:0019992),11
glycosphingolipid binding (GO:0043208),8
polypeptide N-acetylgalactosaminyltransferase activity (GO:0004653),20
polynucleotide adenylyltransferase activity (GO:0004652),8
NADH dehydrogenase (ubiquinone) activity (GO:0008137),46
receptor signaling protein tyrosine kinase activity (GO:0004716),9
Rho GTPase activator activity (GO:0005100),39
transmembrane receptor protein tyrosine kinase activity (GO:0004714),65
non-membrane spanning protein tyrosine kinase activity (GO:0004715),46
protein serine/threonine/tyrosine kinase activity (GO:0004712),44
protein tyrosine kinase activity (GO:0004713),142
GABA-A receptor activity (GO:0004890),19
water transmembrane transporter activity (GO:0005372),12
cytokine receptor activity (GO:0004896),85
neurotransmitter receptor activity (GO:0030594),74
aldehyde dehydrogenase (NAD) activity (GO:0004029),10
serine hydrolase activity (GO:0017171),191
omega peptidase activity (GO:0008242),22
"transferase activity, transferring pentosyl groups (GO:0016763)",53
GTPase activity (GO:0003924),224
RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription (GO:0001227),88
alcohol dehydrogenase (NAD) activity (GO:0004022),8
SMAD binding (GO:0046332),68
MAP kinase phosphatase activity (GO:0033549),16
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841),11
gamma-glutamyltransferase activity (GO:0003840),10
transcription cofactor binding (GO:0001221),10
cell adhesion molecule binding (GO:0050839),168
protein kinase activator activity (GO:0030295),49
protein tyrosine kinase activator activity (GO:0030296),14
protein-lipid complex binding (GO:0071814),24
purinergic nucleotide receptor activity (GO:0001614),19
purine NTP-dependent helicase activity (GO:0070035),89
toxin transporter activity (GO:0019534),9
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)",10
monosaccharide transmembrane transporter activity (GO:0015145),15
"translation factor activity, nucleic acid binding (GO:0008135)",92
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)",60
virus receptor activity (GO:0001618),29
histone acetyltransferase activity (H4-K16 specific) (GO:0046972),9
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)",36
RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity (GO:0000982),204
NAD-dependent histone deacetylase activity (H3-K14 specific) (GO:0032041),12
phospholipase C activity (GO:0004629),30
misfolded protein binding (GO:0051787),9
active transmembrane transporter activity (GO:0022804),307
endonuclease activity (GO:0004519),121
acyl-CoA dehydrogenase activity (GO:0003995),15
phospholipase A2 activity (GO:0004623),29
phospholipase activity (GO:0004620),90
RNA polymerase II distal enhancer sequence-specific DNA binding (GO:0000980),56
ligase activity (GO:0016874),431
acid phosphatase activity (GO:0003993),12
"oxidoreductase activity, oxidizing metal ions (GO:0016722)",14
histone deacetylase activity (H3-K14 specific) (GO:0031078),12
heat shock protein binding (GO:0031072),63
GTPase activating protein binding (GO:0032794),13
