Pathway,Count
GTEX-S341-0006-SM-3NM8D blood female 40-49 years,10684
GTEX-WH7G-0005-SM-3NMBX blood male 40-49 years,10653
GTEX-WFON-0005-SM-3NMC9 blood male 40-49 years,10082
GTEX-X5EB-0006-SM-46MV5 blood male 40-49 years,10913
GTEX-PWCY-0005-SM-33HBP blood female 20-29 years,10487
GTEX-P4PP-0005-SM-2HMKX blood female 30-39 years,10330
GTEX-R55G-0006-SM-2TC6O blood female 40-49 years,10699
GTEX-XPVG-0006-SM-4B65Z blood male 50-59 years,10235
GTEX-XUZC-0005-SM-4BOQ8 blood female 30-39 years,9061
GTEX-OHPM-0006-SM-2HMKU blood male 50-59 years,9180
GTEX-OIZH-0005-SM-2HMJN blood male 50-59 years,9791
GTEX-R55C-0005-SM-3GAE9 blood male 40-49 years,9964
GTEX-WEY5-0006-SM-3GIKG blood female 40-49 years,10660
GTEX-T6MO-0006-SM-32QOU blood female 40-49 years,9730
GTEX-S95S-0005-SM-2XCEC blood male 60-69 years,8275
GTEX-SUCS-0006-SM-4DM59 blood male 70-79 years,9613
GTEX-Q2AH-0005-SM-33HBR blood male 40-49 years,9709
GTEX-QDVN-0006-SM-48U1R blood male 50-59 years,10424
GTEX-O5YW-0006-SM-3LK6E blood male 50-59 years,8192
GTEX-X3Y1-0006-SM-3P5ZG blood male 40-49 years,8237
GTEX-WOFM-0005-SM-3MJF3 blood male 20-29 years,8385
GTEX-OXRL-0005-SM-3LK6A blood male 50-59 years,8384
GTEX-UJMC-0005-SM-3GACU blood male 50-59 years,7945
GTEX-RWS6-0005-SM-2XCAN blood female 60-69 years,8582
GTEX-S3XE-0006-SM-3K2AA blood male 50-59 years,8375
GTEX-WHSB-0005-SM-3LK7C blood male 50-59 years,8191
GTEX-SE5C-0006-SM-4BRW5 blood female 40-49 years,8428
GTEX-WXYG-0005-SM-3NB3M blood female 50-59 years,7824
GTEX-XAJ8-0006-SM-46MVM blood male 40-49 years,8807
GTEX-T5JW-0005-SM-3GADE blood female 20-29 years,8969
GTEX-OHPK-0006-SM-2HMKH blood female 50-59 years,9529
GTEX-XGQ4-0005-SM-4AT5U blood male 50-59 years,9396
GTEX-SIU7-0006-SM-2XCE6 blood male 50-59 years,8396
GTEX-UPIC-0005-SM-3GACV blood female 20-29 years,8067
GTEX-VJYA-0005-SM-3P5ZD blood male 60-69 years,8644
GTEX-X15G-0005-SM-3NMDA blood female 50-59 years,8572
GTEX-XPT6-0006-SM-4B66Q blood male 20-29 years,8045
GTEX-WHPG-0006-SM-3NMBV blood male 50-59 years,7697
GTEX-XBED-0006-SM-47JXO blood male 60-69 years,8135
GTEX-XXEK-0005-SM-4BRWJ blood male 50-59 years,8262
GTEX-V955-0005-SM-3P5ZC blood male 60-69 years,8177
GTEX-XUJ4-0005-SM-4BOQ6 blood female 60-69 years,7227
GTEX-WFJO-0005-SM-3GIKY blood male 30-39 years,7828
GTEX-OHPL-0006-SM-3MJHB blood female 60-69 years,7639
GTEX-QLQ7-0005-SM-2S1QP blood male 60-69 years,7435
GTEX-P4PQ-0005-SM-2HMKJ blood male 60-69 years,8796
GTEX-PLZ6-0006-SM-33HBZ blood male 30-39 years,9244
GTEX-U3ZN-0006-SM-3DB7Y blood female 30-39 years,8062
GTEX-POMQ-0006-SM-33HBY blood female 20-29 years,8069
GTEX-WY7C-0006-SM-3NB3L blood male 50-59 years,7940
GTEX-OOBK-0005-SM-2YUMG blood male 40-49 years,7428
GTEX-S4P3-0006-SM-3K2AW blood female 50-59 years,9045
GTEX-XYKS-0005-SM-4BRUD blood female 60-69 years,7358
GTEX-U3ZH-0005-SM-3DB72 blood male 30-39 years,7617
GTEX-QLQW-0005-SM-2S1RA blood male 30-39 years,8233
GTEX-O5YT-0007-SM-32PK7 blood male 20-29 years,8221
GTEX-Q2AI-0006-SM-2I3FG blood male 40-49 years,8060
GTEX-SNOS-0006-SM-32PLH blood male 40-49 years,6966
GTEX-PWOO-0006-SM-2I3E3 blood female 40-49 years,6541
GTEX-WRHK-0005-SM-3MJF5 blood female 20-29 years,6100
GTEX-QMRM-0005-SM-3NB2A blood male 50-59 years,6366
GTEX-VUSH-0005-SM-3NB2H blood male 30-39 years,6701
GTEX-WHWD-0005-SM-3LK7D blood male 50-59 years,7216
GTEX-S4Z8-0006-SM-3K2AQ blood male 60-69 years,7621
GTEX-S7SF-0006-SM-3K2B6 blood female 20-29 years,6628
GTEX-TKQ1-0006-SM-33HBI blood male 30-39 years,5697
GTEX-S4Q7-0006-SM-3K2AT blood male 20-29 years,7164
GTEX-WFG7-0005-SM-3GIKM blood male 20-29 years,6394
GTEX-WFG8-0006-SM-3GIKS blood male 20-29 years,6931
GTEX-X4LF-0006-SM-3NMCO blood male 50-59 years,6410
GTEX-QCQG-0006-SM-2S1OW blood female 50-59 years,8051
GTEX-W5WG-0006-SM-3GIJT blood female 50-59 years,7492
GTEX-RM2N-0006-SM-2TF5H blood male 50-59 years,7196
GTEX-P4QR-0006-SM-2I5GN blood male 60-69 years,7296
GTEX-QEG5-0006-SM-2I5FZ blood male 20-29 years,6929
GTEX-XBEW-0006-SM-4AT4E blood male 40-49 years,7304
GTEX-OIZF-0006-SM-2I5GQ blood male 60-69 years,5000
GTEX-V1D1-0006-SM-3NMCE blood male 50-59 years,5455
GTEX-TMZS-0006-SM-3DB8G blood male 60-69 years,6697
GTEX-OOBJ-0006-SM-2I3F4 blood male 60-69 years,6117
