Pathway,Count
GTEX-S341-0006-SM-3NM8D blood female 40-49 years,1002
GTEX-WH7G-0005-SM-3NMBX blood male 40-49 years,844
GTEX-WFON-0005-SM-3NMC9 blood male 40-49 years,1040
GTEX-X5EB-0006-SM-46MV5 blood male 40-49 years,820
GTEX-PWCY-0005-SM-33HBP blood female 20-29 years,1062
GTEX-P4PP-0005-SM-2HMKX blood female 30-39 years,1149
GTEX-R55G-0006-SM-2TC6O blood female 40-49 years,830
GTEX-XPVG-0006-SM-4B65Z blood male 50-59 years,611
GTEX-XUZC-0005-SM-4BOQ8 blood female 30-39 years,1227
GTEX-OHPM-0006-SM-2HMKU blood male 50-59 years,1104
GTEX-OIZH-0005-SM-2HMJN blood male 50-59 years,1105
GTEX-R55C-0005-SM-3GAE9 blood male 40-49 years,1090
GTEX-WEY5-0006-SM-3GIKG blood female 40-49 years,989
GTEX-T6MO-0006-SM-32QOU blood female 40-49 years,1254
GTEX-S95S-0005-SM-2XCEC blood male 60-69 years,1449
GTEX-SUCS-0006-SM-4DM59 blood male 70-79 years,1509
GTEX-Q2AH-0005-SM-33HBR blood male 40-49 years,1203
GTEX-QDVN-0006-SM-48U1R blood male 50-59 years,1060
GTEX-O5YW-0006-SM-3LK6E blood male 50-59 years,1412
GTEX-X3Y1-0006-SM-3P5ZG blood male 40-49 years,1387
GTEX-WOFM-0005-SM-3MJF3 blood male 20-29 years,1383
GTEX-OXRL-0005-SM-3LK6A blood male 50-59 years,1575
GTEX-UJMC-0005-SM-3GACU blood male 50-59 years,1608
GTEX-RWS6-0005-SM-2XCAN blood female 60-69 years,1464
GTEX-S3XE-0006-SM-3K2AA blood male 50-59 years,1466
GTEX-WHSB-0005-SM-3LK7C blood male 50-59 years,1506
GTEX-SE5C-0006-SM-4BRW5 blood female 40-49 years,1636
GTEX-WXYG-0005-SM-3NB3M blood female 50-59 years,1656
GTEX-XAJ8-0006-SM-46MVM blood male 40-49 years,1596
GTEX-T5JW-0005-SM-3GADE blood female 20-29 years,1609
GTEX-OHPK-0006-SM-2HMKH blood female 50-59 years,1348
GTEX-XGQ4-0005-SM-4AT5U blood male 50-59 years,1312
GTEX-SIU7-0006-SM-2XCE6 blood male 50-59 years,1716
GTEX-UPIC-0005-SM-3GACV blood female 20-29 years,1435
GTEX-VJYA-0005-SM-3P5ZD blood male 60-69 years,992
GTEX-X15G-0005-SM-3NMDA blood female 50-59 years,1385
GTEX-XPT6-0006-SM-4B66Q blood male 20-29 years,1236
GTEX-WHPG-0006-SM-3NMBV blood male 50-59 years,1377
GTEX-XBED-0006-SM-47JXO blood male 60-69 years,1310
GTEX-XXEK-0005-SM-4BRWJ blood male 50-59 years,1182
GTEX-V955-0005-SM-3P5ZC blood male 60-69 years,1452
GTEX-XUJ4-0005-SM-4BOQ6 blood female 60-69 years,1665
GTEX-WFJO-0005-SM-3GIKY blood male 30-39 years,1600
GTEX-OHPL-0006-SM-3MJHB blood female 60-69 years,1682
GTEX-QLQ7-0005-SM-2S1QP blood male 60-69 years,1693
GTEX-P4PQ-0005-SM-2HMKJ blood male 60-69 years,1609
GTEX-PLZ6-0006-SM-33HBZ blood male 30-39 years,1467
GTEX-U3ZN-0006-SM-3DB7Y blood female 30-39 years,1164
GTEX-POMQ-0006-SM-33HBY blood female 20-29 years,897
GTEX-WY7C-0006-SM-3NB3L blood male 50-59 years,1201
GTEX-OOBK-0005-SM-2YUMG blood male 40-49 years,1527
GTEX-S4P3-0006-SM-3K2AW blood female 50-59 years,1727
GTEX-XYKS-0005-SM-4BRUD blood female 60-69 years,964
GTEX-U3ZH-0005-SM-3DB72 blood male 30-39 years,891
GTEX-QLQW-0005-SM-2S1RA blood male 30-39 years,848
GTEX-O5YT-0007-SM-32PK7 blood male 20-29 years,1481
GTEX-Q2AI-0006-SM-2I3FG blood male 40-49 years,1535
GTEX-SNOS-0006-SM-32PLH blood male 40-49 years,1813
GTEX-PWOO-0006-SM-2I3E3 blood female 40-49 years,1768
GTEX-WRHK-0005-SM-3MJF5 blood female 20-29 years,2038
GTEX-QMRM-0005-SM-3NB2A blood male 50-59 years,1740
GTEX-VUSH-0005-SM-3NB2H blood male 30-39 years,1657
GTEX-WHWD-0005-SM-3LK7D blood male 50-59 years,1642
GTEX-S4Z8-0006-SM-3K2AQ blood male 60-69 years,1667
GTEX-S7SF-0006-SM-3K2B6 blood female 20-29 years,1838
GTEX-TKQ1-0006-SM-33HBI blood male 30-39 years,2023
GTEX-S4Q7-0006-SM-3K2AT blood male 20-29 years,1749
GTEX-WFG7-0005-SM-3GIKM blood male 20-29 years,1880
GTEX-WFG8-0006-SM-3GIKS blood male 20-29 years,2018
GTEX-X4LF-0006-SM-3NMCO blood male 50-59 years,1984
GTEX-QCQG-0006-SM-2S1OW blood female 50-59 years,1963
GTEX-W5WG-0006-SM-3GIJT blood female 50-59 years,1661
GTEX-RM2N-0006-SM-2TF5H blood male 50-59 years,1955
GTEX-P4QR-0006-SM-2I5GN blood male 60-69 years,1447
GTEX-QEG5-0006-SM-2I5FZ blood male 20-29 years,1527
GTEX-XBEW-0006-SM-4AT4E blood male 40-49 years,1604
GTEX-OIZF-0006-SM-2I5GQ blood male 60-69 years,2114
GTEX-V1D1-0006-SM-3NMCE blood male 50-59 years,1757
GTEX-TMZS-0006-SM-3DB8G blood male 60-69 years,1644
GTEX-OOBJ-0006-SM-2I3F4 blood male 60-69 years,1398
GTEX-TKQ2-0006-SM-33HBH blood male 50-59 years,1458
GTEX-TML8-0005-SM-32QPA blood female 40-49 years,1527
GTEX-WCDI-0005-SM-3NB2M blood male 50-59 years,1347
GTEX-XMK1-0005-SM-4B665 blood male 40-49 years,1381
GTEX-X88G-0006-SM-47JX5 blood male 30-39 years,1701
GTEX-Q734-0006-SM-2I3FJ blood female 40-49 years,1512
GTEX-R53T-0005-SM-3GADK blood female 50-59 years,1293
GTEX-SSA3-0005-SM-32QOT blood male 60-69 years,1223
GTEX-N7MS-0007-SM-2D7W1 blood male 60-69 years,935
GTEX-WZTO-0006-SM-3NM9T blood male 40-49 years,644
GTEX-SJXC-0005-SM-2XCE7 blood male 60-69 years,956
GTEX-RU72-0006-SM-2TF65 blood female 50-59 years,992
GTEX-XOT4-0005-SM-4B64S blood female 60-69 years,849
GTEX-R3RS-0005-SM-3GAEH blood female 40-49 years,539
GTEX-Q2AG-0005-SM-33HBX blood female 40-49 years,978
