Pathway,Count
Adipose - Subcutaneous Female 60-69 Up,100
Muscle - Skeletal Female 60-69 Up,100
Artery - Tibial Female 60-69 Up,100
Artery - Coronary Female 60-69 Up,82
Heart - Atrial Appendage Female 60-69 Up,100
Adipose - Visceral (Omentum) Female 60-69 Up,41
Uterus Female 60-69 Up,100
Vagina Female 60-69 Up,55
Breast - Mammary Tissue Female 60-69 Up,44
Skin - Not Sun Exposed (Suprapubic) Female 60-69 Up,100
Minor Salivary Gland Female 60-69 Up,100
Brain - Cortex Female 60-69 Up,100
Adrenal Gland Male 50-59 Up,100
Thyroid Male 50-59 Up,100
Lung Male 50-59 Up,100
Spleen Male 50-59 Up,100
Pancreas Male 50-59 Up,100
Esophagus - Muscularis Male 50-59 Up,90
Esophagus - Mucosa Male 50-59 Up,100
Esophagus - Gastroesophageal Junction Male 50-59 Up,48
Stomach Male 50-59 Up,100
Adipose - Visceral (Omentum) Male 50-59 Up,79
Skin - Not Sun Exposed (Suprapubic) Male 50-59 Up,100
Colon - Sigmoid Male 50-59 Up,100
Small Intestine - Terminal Ileum Male 50-59 Up,100
Colon - Transverse Male 50-59 Up,100
Prostate Male 50-59 Up,100
Testis Male 50-59 Up,100
Adipose - Subcutaneous Male 50-59 Up,86
Muscle - Skeletal Male 50-59 Up,100
Nerve - Tibial Male 50-59 Up,100
Skin - Sun Exposed (Lower Leg) Male 60-69 Up,100
Adipose - Subcutaneous Male 60-69 Up,69
Muscle - Skeletal Male 60-69 Up,100
Artery - Tibial Male 60-69 Up,100
Nerve - Tibial Male 60-69 Up,100
Heart - Atrial Appendage Male 60-69 Up,100
Heart - Left Ventricle Male 60-69 Up,100
Thyroid Male 60-69 Up,100
Lung Male 60-69 Up,100
Spleen Male 60-69 Up,100
Testis Male 60-69 Up,100
Prostate Male 60-69 Up,100
Skin - Not Sun Exposed (Suprapubic) Male 60-69 Up,100
Minor Salivary Gland Male 60-69 Up,100
Brain - Cortex Male 60-69 Up,100
Brain - Cerebellum Male 60-69 Up,100
Cells - Cultured Fibroblasts Male 60-69 Up,100
Colon - Transverse Male 60-69 Up,37
Whole Blood Male 60-69 Up,100
Adrenal Gland Male 60-69 Up,100
Artery - Aorta Male 60-69 Up,100
Esophagus - Gastroesophageal Junction Male 60-69 Up,41
Esophagus - Mucosa Male 60-69 Up,100
Esophagus - Muscularis Male 60-69 Up,60
Stomach Male 60-69 Up,100
Pancreas Male 60-69 Up,100
Adipose - Visceral (Omentum) Male 60-69 Up,74
Small Intestine - Terminal Ileum Male 60-69 Up,100
Colon - Sigmoid Male 60-69 Up,100
Breast - Mammary Tissue Male 60-69 Up,74
Cells - EBV-transformed Lymphocytes Female 60-69 Up,100
Whole Blood Female 60-69 Up,100
Cells - Cultured Fibroblasts Female 60-69 Up,100
Lung Female 60-69 Up,100
Thyroid Female 60-69 Up,100
Adrenal Gland Female 60-69 Up,100
Spleen Female 60-69 Up,100
Pancreas Female 60-69 Up,100
Heart - Left Ventricle Female 60-69 Up,100
Artery - Aorta Female 60-69 Up,100
Small Intestine - Terminal Ileum Female 60-69 Up,100
Colon - Sigmoid Female 60-69 Up,100
Colon - Transverse Female 60-69 Up,39
Esophagus - Muscularis Female 60-69 Up,65
Esophagus - Mucosa Female 60-69 Up,100
Esophagus - Gastroesophageal Junction Female 60-69 Up,19
Stomach Female 60-69 Up,100
Skin - Sun Exposed (Lower Leg) Female 60-69 Up,100
Pituitary Female 60-69 Up,100
Brain - Cerebellum Female 60-69 Up,100
Whole Blood Female 50-59 Up,100
Cells - Cultured Fibroblasts Female 50-59 Up,100
Thyroid Female 50-59 Up,100
Adipose - Visceral (Omentum) Female 50-59 Up,100
Esophagus - Muscularis Female 50-59 Up,100
Esophagus - Gastroesophageal Junction Female 50-59 Up,82
Vagina Female 50-59 Up,73
Uterus Female 50-59 Up,100
Skin - Sun Exposed (Lower Leg) Female 50-59 Up,100
Muscle - Skeletal Female 50-59 Up,100
Pituitary Female 50-59 Up,100
Pituitary Male 60-69 Up,100
Whole Blood Male 50-59 Up,100
Cells - Cultured Fibroblasts Male 50-59 Up,100
Artery - Aorta Male 50-59 Up,100
Heart - Left Ventricle Male 50-59 Up,100
Heart - Atrial Appendage Male 50-59 Up,100
Skin - Sun Exposed (Lower Leg) Male 50-59 Up,100
Artery - Tibial Male 50-59 Up,100
Pituitary Male 50-59 Up,100
Breast - Mammary Tissue Male 50-59 Up,46
Artery - Coronary Male 50-59 Up,89
Brain - Frontal Cortex (BA9) Male 50-59 Up,100
Brain - Caudate (Basal Ganglia) Male 50-59 Up,100
Brain - Nucleus Accumbens (Basal Ganglia) Male 50-59 Up,100
Brain - Putamen (Basal Ganglia) Male 50-59 Up,100
Brain - Hypothalamus Male 50-59 Up,100
Brain - Spinal Cord (Cervical C-1) Male 50-59 Up,100
Minor Salivary Gland Male 50-59 Up,100
Brain - Cortex Male 50-59 Up,100
Brain - Cerebellum Male 50-59 Up,100
Whole Blood Male 40-49 Up,100
Cells - Cultured Fibroblasts Male 40-49 Up,100
Brain - Hippocampus Male 40-49 Up,100
Brain - Anterior Cingulate Cortex (BA24) Male 40-49 Up,100
Brain - Caudate (Basal Ganglia) Male 40-49 Up,100
Brain - Nucleus Accumbens (Basal Ganglia) Male 40-49 Up,100
Brain - Putamen (Basal Ganglia) Male 40-49 Up,100
Skin - Sun Exposed (Lower Leg) Male 40-49 Up,100
Adipose - Subcutaneous Male 40-49 Up,100
Nerve - Tibial Male 40-49 Up,100
Artery - Tibial Male 40-49 Up,100
Breast - Mammary Tissue Male 40-49 Up,65
Muscle - Skeletal Male 40-49 Up,100
Skin - Not Sun Exposed (Suprapubic) Male 40-49 Up,100
Brain - Cerebellum Male 40-49 Up,100
Brain - Cortex Male 40-49 Up,100
Pituitary Male 40-49 Up,100
Ovary Female 60-69 Up,100
Nerve - Tibial Female 60-69 Up,100
Brain - Frontal Cortex (BA9) Male 60-69 Up,100
Brain - Cerebellar Hemisphere Male 60-69 Up,100
Brain - Caudate (Basal Ganglia) Male 60-69 Up,100
Brain - Nucleus Accumbens (Basal Ganglia) Male 60-69 Up,100
Brain - Putamen (Basal Ganglia) Male 60-69 Up,100
Brain - Hypothalamus Male 60-69 Up,100
Liver Male 60-69 Up,100
Artery - Coronary Male 60-69 Up,69
Liver Male 50-59 Up,100
Brain - Cerebellar Hemisphere Male 50-59 Up,100
Brain - Substantia Nigra Male 50-59 Up,100
Brain - Anterior Cingulate Cortex (BA24) Male 50-59 Up,100
Brain - Hippocampus Male 60-69 Up,100
Cells - EBV-transformed Lymphocytes Female 20-29 Up,100
Whole Blood Female 20-29 Up,100
Thyroid Female 20-29 Up,100
Artery - Aorta Female 20-29 Up,100
Adrenal Gland Female 20-29 Up,100
