Pathway,Count
Beta2-Glycoprotein I plasma levels,8
"1,5-anhydroglucitol levels",9
AIDS progression,16
Abdominal aortic aneurysm,20
Ability to confide in someone,22
Accelerated cognitive decline after conversion of MCI to Alzheimer's disease,10
Accelerometer-based physical activity measurement (average acceleration),6
Acne (severe),223
Activated partial thromboplastin time,36
Acute graft versus host disease in bone marrow transplantation (recipient effect),10
Acute insulin response,10
Acute lymphoblastic leukemia (B-cell precursor),7
Acute lymphoblastic leukemia (childhood),38
Acute lymphoblastic leukemia in childhood (B cell precursor),9
Acute urticaria and angioedema (non-steroidal anti-inflammatory drug-induced),7
Acylcarnitine levels,10
Adiponectin levels,30
Adiposity,8
Adolescent idiopathic scoliosis,23
Adult asthma,21
Advanced age-related macular degeneration,61
Advanced glycation end-product levels,9
Adverse response to chemotherapy (neutropenia/leucopenia) (all anthracycline-based drugs),6
Adverse response to chemotherapy (neutropenia/leucopenia) (all antimetabolite drugs),6
Adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs),12
Adverse response to chemotherapy (neutropenia/leucopenia) (all platinum-based drugs),6
Adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors),5
Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin),9
Adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin),7
Adverse response to chemotherapy (neutropenia/leucopenia) (docetaxel),7
Adverse response to chemotherapy (neutropenia/leucopenia) (epirubicin),5
Adverse response to chemotherapy (neutropenia/leucopenia) (gemcitabine),5
Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel + carboplatin),7
Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel),8
Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule),6
Adverse response to chemotherapy in breast cancer (alopecia) (FDC/DC),8
Adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel),5
Adverse response to lamotrigine and phenytoin,12
Adverse response to radiation therapy,6
Age at first birth,27
Age at smoking initiation in chronic obstructive pulmonary disease,10
Age at voice drop,24
Age-related cataracts,7
Age-related cataracts (age at onset),7
Age-related hearing impairment,21
Age-related macular degeneration,67
Age-related macular degeneration (choroidal neovascularisation),7
Age-related macular degeneration (extreme sampling),11
Age-related macular degeneration (geographic atrophy),10
Age-related nuclear cataracts,11
Aggressive periodontitis,6
Aggressiveness in attention deficit hyperactivity disorder,18
Aging,16
Aging (time to event),8
Aging traits,5
Airflow obstruction,31
Airway imaging phenotypes,13
Airway responsiveness in chronic obstructive pulmonary disease,13
Airway wall thickness,14
ALT levels after remission induction therapy in actute lymphoblastic leukemia (ALL),48
Alanine transaminase levels,38
Albumin-globulin ratio,60
Alcohol and nicotine co-dependence,13
Alcohol consumption,22
Alcohol consumption (drinkers vs non-drinkers),6
Alcohol consumption (maxi-drinks),16
Alcohol consumption in current drinkers,7
Alcohol dependence,55
Alcohol dependence symptom count,19
Alcohol use disorder (consumption score),8
Alcohol use disorder (dependence and problematic use scores),5
Alcohol use disorder (total score),46
Alcoholic chronic pancreatitis,145
"Allergic disease (asthma, hay fever or eczema)",172
Allergic rhinitis,114
Allergic sensitization,44
Allergy,37
Alopecia areata,94
Aluminium levels,25
Alzheimer disease and age of onset,25
Alzheimer's disease,48
Alzheimer's disease (APOE e4 interaction),8
Alzheimer's disease (age of onset),18
Alzheimer's disease (cognitive decline),50
Alzheimer's disease (late onset),64
Alzheimer's disease (survival time),8
Alzheimer's disease biomarkers,25
Alzheimer's disease in APOE e4+ carriers,21
