Pathway,Count
19951989-Table2,28
16152586-Table1,14
15467184-Table3a,30
18081427-TableS7,556
18081427-TableS8,751
18302714-Figure1b,18
19408105-Table4,51
15467184-Table3b,29
18535662-TableS2a,978
15892885-tableS1c,92
19523942-Table2,58
19047894-Table2b,4
18400362-Figure2a,15
19047894-Table2a,10
11884566-Table1,5
18400362-Figure2b,21
18535662-TableS2d,679
15892885-tableS1a,87
18535662-TableS2c,605
15892885-tableS1b,86
18535662-TableS2b,500
20460173-ImmPortChemokines,97
19523942-Table1,60
19101988-Table2a,34
12714683-Table6,28
15084249-Table2,27
12714683-Table5,174
17072343-Table1,46
15467184-Table2b,16
15467184-Table2a,19
12714683-Table7,82
15870177-TableS1b,4
15870177-TableS1a,63
11884566-Table3,13
11884566-Table2,15
18400362-Figure1b,44
11884566-Table5,41
11884566-Table4,50
12589037-Table2,41
20166207-Table7,30
17671232-TableS2a,182
17671232-TableS2b,70
20188076-Table1,26
20018718-TableS2,128
19755993-Table4,26
19101988-Table2b,3
19755993-Table3,23
19101988-Table2c,1
18992152-Table2,18
15467184-Table1a,37
19724859-Table2,26
19724859-Table3,19
17885619-Table5a,53
17885619-Table5b,6
15474998-tableS1b,850
15474998-tableS1c,2241
11823860-SuppTable4,362
11823860-SuppTable3,1995
11823860-SuppTable2,191
17115125-SuppTable2,112
17115125-SuppTable3,22
12216074-Table2,20
12216074-Table3,20
15474998-tableS1a,559
17254359-AddFile1,119
14522886-Table1,42
16166251-table1,30
18480837-SuppTable2,45
17115125-SuppTable6,72
18480837-SuppTable1,82
17115125-SuppTable5,17
17115125-SuppTable4,73
20165955-Table2,59
11920564-Table3,10
11920564-Table4,36
11920564-Table2,8
16478745-SuppTable1-short,110
16440291-SuppTable1,206
19134196-Figure1,19
19636063-TableS6,583
18378853-Table3b,17
18378853-Table3a,24
17210693-Table1,46
17210693-Table2,40
15305381-TableII,38
20332630-Table5,17
11757704-Table1a,2
17935676-Table4,17
20332630-Table4,23
16964388-SuppTable1,146
11757704-Table1b,7
17935676-Table5,36
19930681-Table2-1,25
19930681-Table2-2,23
19930681-Table2-3,16
16760442-SuppTable5-1,32
19930681-Table2-4,2
16760442-SuppTable5-2,14
17885619-Table3a,48
17885619-Table3b,31
15972966-Table1C,60
16735089-Table1,76
20458058-TableS3c,32
20458058-TableS3a,30
16969345-Table2Malignant,15
18508997-Figure2,41
20458058-TableS3b,40
10521349-Figure3,48
19302234-Table2,13
19440550-table1,39
18849563-SuppTable5a,74
17885619-Table4b,17
17885619-Table4a,26
20036005-Table3,53
18400362-Figure4b,48
18400362-Figure4a,41
18849563-SuppTable5c,75
18849563-SuppTable5b,75
19924232-TableS2,25
19924232-TableS3,29
18086899-Table5,44
19924232-TableS1,228
18794102-TableS1,344
18086899-Table4,7
18794102-TableS2,34
20460173-ImmPortMemoryvsNaive,29
18974375-TableS2,173
11406539-table4,8
18400362-Figure1a,44
18535662-TableS1b,540
18535662-TableS1a,999
18974375-TableS4,41
12036940-Table4,22
17349526-Table1,31
17349526-Table2,34
15992799-table1,8
11282888-Table2,18
17213801-RADinsensitive,34
15759031-Figure7,31
15300801-Table2,48
12036940-Table3,19
18698033-tableS1-VEGF,14
15300801-Table1,41
12036940-Table2,37
19047173-tableS2,63
12086872-Table11a,36
12086872-Table11b,34
12086872-Table11c,33
12086872-Table11d,36
17108109-Table2a,10
20363096-Table3,21
19567819-SuppTable1,260
17177833-SuppTable1,847
17598908-SuppTable3,81
18955564-TableS2b,50
18955564-TableS2a,138
18691415-Table5e,183
18691415-Table5f,86
16740760-TableS2a,287
15467184-Table1b,16
16705683-table3,21
20460173-ImmPortCD40LvsControl,540
16705683-table2,75
17910759-TableS5,2599
16210406-tableS4,28
20166207-Table6,73
15618438-Table1,45
18668517-table3,10
15618438-Table2,49
18668517-table2,15
16969345-Table3,24
20564080-Table4,16
18714348-Table2,21
18332912-Table2,49
12821946-Table5,81
18498629-GeneList,181
15613424-Table3,11
18547747-Table1,117
16762588-Table2,34
17714734-Table4,44
20078854-TableS6a,21
14755241-Table2b,30
17714734-Table5,24
20078854-TableS6b,38
20564080-Table3,50
14755241-Table2a,46
15387888-Table1b,5
15387888-Table1c,15
15387888-Table1a,8
20485376-TableS4,157
18362358-Table7,657
20485376-TableS3,216
17760805-SuppTableS2a,78
17760805-SuppTableS2b,87
20012501-Table2,19
19451695-Table3,36
18362358-Table5,3353
18362358-Table3,9
18362358-Table4,24
19489030-SuppTable4,150
19489030-SuppTable3,14
19489030-SuppTable6,33
19489030-SuppTable5,35
16501597-Table2,7
17082175-Table2,76
19489030-SuppTable2,28
18698033-tableS1-ERBB2,28
12213285-table2,11
19489030-SuppTable7,201
15931389-table3,10
16780769-Table1,35
17404081-Table1,21
16780769-Table2,2
15870693-SuppTable1,105
18317805-Table1,4
12508342-Table1A,13
17982488-Table1,31
12508342-Table1B,5
16597596-TableS1-1,43
20179162-Table3c,6
20179162-Table3b,10
20179162-Table3a,8
16597596-TableS1-4,42
16546165-table5,23
16597596-TableS1-5,49
16597596-TableS1-2,48
16597596-TableS1-3,45
20479250-ST,237
16546165-table2,68
16597596-TableS1-6,44
19168792-TableS3,810
17245340-SuppTable1,6
16636340-Table2,82
19798054-ST,247
19168792-TableS2,436
12115487-table2,11
19168792-TableS5,143
17804718-HumanGeneList,61
19171046-tableS1a,83
20179162-Table2b,10
12588891-Figure2,3
20179162-Table2a,7
19171046-tableS1b,96
20179162-Table2c,4
12588891-Figure3,14
15145216-Figure1,52
17346539-Table2,89
17428335-tableS5a,122
17428335-tableS5b,44
17346539-Table3,36
17428335-tableS5c,42
18959789-Table4,10
18959789-Table3,11
18959789-Table6,10
15756011-Table3Down,15
20460173-ImmPortChemokineReceptors,52
18959789-Table5,16
12907009-SuppTable,89
18959789-Table8,11
18959789-Table7,9
11298116-Table1,4
16228831-Table3,42
15705876-TableS5,39
15705876-TableS6,99
15705876-TableS3,86
15705876-TableS4,43
16166618-SuppTable4,1725
16166618-SuppTable5,75
15705876-TableS2,36
15705876-TableS1,35
16166618-SuppTable1,85
16166618-SuppTable2,7
16166618-SuppTable3,1495
16353136-Table3,84
16353136-Table4,27
16353136-Table2,18
18849563-SuppTable3a,174
18849563-SuppTable3b,174
17428335-tableS5d,21
17906199-SuppTable1,39
20087356-TableS5,50
17906199-SuppTable2,80
15256440-tableS1,83
15064725-table1,21
15064725-table2,9
15064725-table3,10
18033314-SuppTable3,51
18606719-Table1,18
17760805-SuppTableS3a,96
17899371-25GeneList,25
17760805-SuppTableS3b,90
16421595-Table3,16
16289389-Table2b,8
16289389-Table2a,18
19805619-TableS3,133
17640171-Table3,7
14768006-SuppTable4,205
17909013-table2,44
19895793-Table2,11
14768006-SuppTable5,210
12598313-Table4,31
12831403-Table1,11
12618900-table1,20
15520857-Table2,2
16174304-Figure2,44
12584564-Table1,45
14755241-Table3b,5
14755241-Table3a,12
15885264-Table1,121
15885264-Table2,23
17202451-Table1,16
20448109-Table1a,10
20448109-Table1b,8
19185848-TableS1,328
16141321-Table2,869
19861896-Table3,10
15077194-table1,21
19861896-Table1,48
19225562-TableS2,46
19861896-Table2,74
19225562-TableS3,30
19185848-TableS4,252
19225562-TableS1,427
18757322-TableS1,1801
18757322-TableS2,131
15548776-Figure3a,31
16877703-TableS1,88
18757322-TableS3,498
15548776-Figure3b,21
16877703-TableS2,230
12393420-Table1,54
17284527-Table3,26
12086872-Table12f,1
14583454-Table4,35
12086872-Table12g,100
11779836-Table2,24
14583454-Table3,22
12086872-Table12d,86
12086872-Table12e,10
19118092-TableS1,9
12086872-Table12b,1
19118092-TableS2,9
12086872-Table12c,91
19118092-TableS3,9
12086872-Table12a,48
12972399-Table2,40
12972399-Table1,63
18691415-Table5b,35
15992799-table2,15
18691415-Table5a,30
20023704-Figure1a,9
17429429-Table2,46
17295094-GeneList,265
19377508-SuppTable3,47
19377508-SuppTable2,78
17429429-Table3,45
19377508-SuppTable1,718
15284076-TableE3,79
17429429-Table4,29
15386437-table2,44
15386437-table3,25
19723662-SupplTable2,12
19123479-TableS1,103
20060365-SuppTable4,37
17023159-Table3,18
15342952-Table5,8
15342952-Table4,61
19252174-Table3,65
15661559-Table3,68
20035825-Table3,34
19695104-AF1-1,7
15149732-table1,9
20035825-Table2,17
19695104-AF1-2,14
15149732-table2,6
20035825-Table1,21
15149732-table3,4
15149732-table4,15
18691415-Table5c,74
18930562-table2,12
16740760-TableS2b,287
18691415-Table5d,83
15257931-SuppTableB,41
15257931-SuppTableC,117
16391795-Table3,65
15257931-SuppTableD,113
16391795-Table4,17
16948840-Table2,18
16948840-Table1,19
18707017-Table1,32
15257931-SuppTableA,591
11325847-Table3,54
20068100-TableS5,151
11325847-Table2,74
19061838-TableS3,483
16760443-SuppTable2,157
