Pathway,Count
Pmp22 KO mouse GSE1947 sample 969,332
HIPK2 KD human GSE43881 sample 2873,336
Kdm6a KD mouse GSE45034 sample 1302,255
SMC3 KD human GSE38252 sample 2222,302
Nr3c1 KO mouse GSE23724 sample 3014,334
Mef2d KD mouse GSE47150 sample 366,271
RFWD2 KD human GSE27914 sample 1243,303
Kcnip3 KO mouse GSE16874 sample 1031,261
Runx1 KO mouse GSE2592 sample 277,289
Sirt3 KO mouse GSE30552 sample 443,288
Ppargc1b Hypomorphic Mutation mouse GSE6210 sample 1191,281
L1cam KO mouse GSE13984 sample 1017,237
Parp2 KO mouse GSE54864 sample 1474,485
Map2k3  mouse GSE3530 sample 992,259
Ovol1 KO mouse GSE55072 sample 2617,291
EPCAM OE human GSE41804 sample 369,281
RARA KD human GSE26298 sample 69,309
Keap1 OE mouse GSE11287 sample 1000,362
Polg Mutation mouse GSE4866 sample 1515,354
OLR1 OE human GSE13139 sample 461,263
Htt Mutation (HTT exon1 142Q) mouse GSE3248 sample 2288,246
Tcf12 KO mouse GSE27402 sample 2168,249
Gnb5 KO mouse GSE29081 sample 2490,327
Plin5 OE mouse GSE44192 sample 509,264
MYB KD human GSE49286 sample 1835,261
Npc1 KO mouse GSE39621 sample 2464,268
Ache OE mouse GSE937 sample 268,239
Hdac2 Deficiency mouse GSE6770 sample 685,262
Nfkbiz KO mouse GSE43075 sample 2529,277
IL2 OE human GSE1823 sample 1186,227
"Myod1 Mutation - MyoD altered at lysine residues 99, 102, and 104, ren mouse GSE6487 sample 1178",352
LAMC2 KD human GSE50767 sample 2210,272
CTNNB1 KD human GSE18560 sample 3119,310
Nf1 Heterozygotic knockout (NF1+/-) mouse GSE1482 sample 1220,231
Vhl KO mouse GSE11484 sample 2527,386
ZNF207 OE human GSE9951 sample 1581,373
VAMP7 KD human GSE56102 sample 2991,290
SOX2 Deficiency human GSE42937 sample 347,265
Ctla4 KO mouse GSE37563 sample 2400,310
Htt Gain of function by knock in of htt cag repeat length-7/16 mouse GSE26001 sample 1625,181
CTNNB1 Activation (deltaNB-cateninER transgenics) mouse GSE1579 sample 793,293
CDK8 knockdown human GSE38061 sample 1937,233
Il10 KO mouse GSE2172 sample 1106,246
Ret knockout mouse GSE32093 sample 2013,315
MIR221 KD human GSE19777 sample 482,311
EWSR1 KD human GSE27524 sample 496,158
Tfap2c KO mouse GSE45941 sample 1488,277
Ghr KO mouse GSE988 sample 1001,91
Crem KO mouse GSE29592 sample 2558,246
Fabp5 KO mouse GSE54073 sample 2578,376
Sox3 KO mouse GSE53760 sample 1668,206
MIR126 OE human GSE40458 sample 2334,312
