Pathway,Count
Pmp22 KO mouse GSE1947 sample 969,268
HIPK2 KD human GSE43881 sample 2873,264
Kdm6a KD mouse GSE45034 sample 1302,345
SMC3 KD human GSE38252 sample 2222,298
Nr3c1 KO mouse GSE23724 sample 3014,266
Mef2d KD mouse GSE47150 sample 366,329
RFWD2 KD human GSE27914 sample 1243,297
Kcnip3 KO mouse GSE16874 sample 1031,339
Runx1 KO mouse GSE2592 sample 277,311
Sirt3 KO mouse GSE30552 sample 443,312
Ppargc1b Hypomorphic Mutation mouse GSE6210 sample 1191,319
L1cam KO mouse GSE13984 sample 1017,363
Parp2 KO mouse GSE54864 sample 1474,115
Map2k3  mouse GSE3530 sample 992,341
Ovol1 KO mouse GSE55072 sample 2617,309
EPCAM OE human GSE41804 sample 369,319
RARA KD human GSE26298 sample 69,291
Keap1 OE mouse GSE11287 sample 1000,238
Polg Mutation mouse GSE4866 sample 1515,246
OLR1 OE human GSE13139 sample 461,337
Htt Mutation (HTT exon1 142Q) mouse GSE3248 sample 2288,354
Tcf12 KO mouse GSE27402 sample 2168,351
Gnb5 KO mouse GSE29081 sample 2490,273
Plin5 OE mouse GSE44192 sample 509,336
MYB KD human GSE49286 sample 1835,339
Npc1 KO mouse GSE39621 sample 2464,332
Ache OE mouse GSE937 sample 268,361
Hdac2 Deficiency mouse GSE6770 sample 685,338
Nfkbiz KO mouse GSE43075 sample 2529,323
IL2 OE human GSE1823 sample 1186,373
"Myod1 Mutation - MyoD altered at lysine residues 99, 102, and 104, ren mouse GSE6487 sample 1178",248
LAMC2 KD human GSE50767 sample 2210,328
CTNNB1 KD human GSE18560 sample 3119,290
Nf1 Heterozygotic knockout (NF1+/-) mouse GSE1482 sample 1220,369
Vhl KO mouse GSE11484 sample 2527,214
ZNF207 OE human GSE9951 sample 1581,227
VAMP7 KD human GSE56102 sample 2991,310
SOX2 Deficiency human GSE42937 sample 347,335
Ctla4 KO mouse GSE37563 sample 2400,290
Htt Gain of function by knock in of htt cag repeat length-7/16 mouse GSE26001 sample 1625,419
CTNNB1 Activation (deltaNB-cateninER transgenics) mouse GSE1579 sample 793,307
CDK8 knockdown human GSE38061 sample 1937,367
Il10 KO mouse GSE2172 sample 1106,354
Ret knockout mouse GSE32093 sample 2013,285
MIR221 KD human GSE19777 sample 482,289
EWSR1 KD human GSE27524 sample 496,442
Tfap2c KO mouse GSE45941 sample 1488,323
Ghr KO mouse GSE988 sample 1001,509
Crem KO mouse GSE29592 sample 2558,354
Fabp5 KO mouse GSE54073 sample 2578,224
Sox3 KO mouse GSE53760 sample 1668,394
MIR126 OE human GSE40458 sample 2334,288
Pde6b RD1 mutation (postnatal day 2) mouse GSE41821 sample 2673,181
MIR210 OE human GSE16962 sample 2971,6
Pparg V290M dominant negative mutation mouse GSE11870 sample 1726,350
Klf1 KO mouse GSE36427 sample 1562,337
JAG1 OE human GSE16906 sample 67,283
Pde10a KO mouse GSE40377 sample 608,288
Usp2 KO mouse GSE43517 sample 47,405
Mmp7 KO mouse GSE7957 sample 2747,189
NPAP1 OE human GSE36575 sample 2354,268
CHEK2 KD human GSE54268 sample 694,224
Map2k3 Selective cardiac induced overexpression of the a constitutively mouse GSE3530 sample 991,337
NR2C2 KD human GSE16219 sample 2628,212
MIR142 OE human GSE28456 sample 497,269
SQSTM1 OE human GSE6451 sample 678,346
Chrna4 KO mouse GSE6614 sample 1725,360
Akt1 knockout mouse GSE39699 sample 1976,340
Brwd1 Mutation mouse GSE56724 sample 3123,254
Dcx KO mouse GSE35366 sample 1617,291
Mapk14 KO mouse GSE7342 sample 562,316
MIR124-1 OE human GSE6207 sample 797,185
Myd88 KO mouse GSE19793 sample 1128,308
Esr2 KO mouse GSE9371 sample 2431,228
SIN3A KD human GSE35696 sample 3118,229
GRN deficiency (mutation) human GSE13162 sample 1721,269
Mut KO mouse GSE41044 sample 2738,344
Pgr KO mouse GSE39920 sample 3080,362
RB1 KD human GSE50532 sample 681,402
TOP2B Inhibtion of Topo2b with topoisomerase poison camptothecin human GSE1417 sample 368,258
SIN3A knock-down (with LIF agent treatment) human GSE35696 sample 1249,268
MAP3K1 INHIBITION human GSE55624 sample 306,274
Iltifb KO mouse GSE65472 sample 2663,358
Map2k7  mouse GSE3530 sample 994,414
Stat1 KO mouse GSE38375 sample 2476,285
PCDH12 OE human GSE32540 sample 875,338
MIR128-1 KD mouse GSE28889 sample 1808,246
Zxdc Depletion (with phorbol 12-myristate 13-acetate agent treatment) mouse GSE45417 sample 1257,276
Cstb KO mouse GSE47516 sample 1069,453
Map2k3 OE mouse GSE3530 sample 2709,329
Dcx KO mouse GSE35366 sample 1610,246
CHEK1 KD human GSE54267 sample 698,291
Klf3 KO mouse GSE35592 sample 2672,393
Il10 KO mouse GSE39859 sample 1099,286
Vax2 KO mouse GSE19626 sample 2371,299
Clpp KO mouse GSE40207 sample 131,16
HMGN5 Overexpression of mutated NSBP1SE protein which does not bind to mouse GSE16564 sample 2300,243
Ifng KO mouse GSE369 sample 1470,394
