Pathway,Count
ABeta-induced Microglial Genes PMID14612454,492
AD Changed Genes In Choroid Plexus GSE110226,2032
AD Down-Regulated Genes In Choroid Plexus GSE110226,808
AD Up-Regulated Genes In Choroid Plexus GSE110226,1232
AR-ATXN3 Shared Co-Expressed Genes In HD-associated Brain Region PMID29249939,5
ATN1-ATXN2 Shared Co-Expressed Genes In HD-associated Brain Region PMID29249939,456
ATN1-HTT Shared Co-Expressed Genes In HD-associated Brain Region PMID29249939,63
Activity-dependent Synaptic AMPA Receptor Removal CHDI115,92
Aged Astrocyte-Enriched Genes In Mouse Cortex PMID23954174,416
Aged Microglia-Enriched Genes In Mouse Cortex PMID23954174,333
Alternative Priming Pathway Genes Changed In Old Vs Young Microglia PMID24162652,27
Alternative Priming Pathway Genes Up-Regulated In Old Vs Young Microglia PMID24162652,24
Alzheimer Disease Down-Regulated Genes In CA1 Area Of Hippocampus Blalock PMID14769913,1339
Alzheimer Disease Down-Regulated Genes In CA1 Area Of Hippocampus Colangelo PMID12391607,17
Alzheimer Disease Down-Regulated Genes In CA1 Area Of Hippocampus Liang PMID18270320,2549
Alzheimer Disease Related Gene Module From Human Brain PMID20616000,63
Alzheimer Disease Up-Regulated Genes In CA1 Area Of Hippocampus Blalock PMID14769913,1943
Alzheimer Disease Up-Regulated Genes In CA1 Area Of Hippocampus Colangelo PMID12391607,18
Alzheimer Disease Up-Regulated Genes In CA1 Area Of Hippocampus Liang PMID18270320,1215
Amygdala And Hippocampal Pyramidal Neuron Gene Module PMID19638972,140
Amyotrophic Lateral Sclerosis Markers In Human Cervical Cord GSE26927,618
Anterior Cingulate Cortex And Caudate Nucleus Coexpressed Gene Module PMID17101986,122
Astrocyte Gene Markers PMID17151600,44
Astrocyte Gene Module From Cerebral Cortex PMID18849986,766
Astrocyte Gene Module From Human Brain PMID20616000,442
Astrocyte-enriched Genes PMID25700174,240
Astrocyte-enriched Genes In Mouse Cortex PMID25186741,39
Astrocyte-specific Genes PMID15155908,26
Autism Susceptibility Genes PMID21614001,141
Autistic Brain Down-Regulated Interneuron Gene Module PMID21614001,438
BAC HD Down-Regulated Genes In Standard Environment GSE107259,7
Base Excision Repair Step 3B: Long-Patch DNA Re-synthesis And Ligation CHDI110,8
Base Excision Repair Step1: DNA Base Repair Initiation And Excision CHDI110,11
Baseline Differences In PC12 Htt-Q74 Vs PC12 Htt-Q23 Cells PMID28499347,2179
Bcl11b Down-Regulated Genes In Mouse Striatal Cells GSE31096,28
Bcl11b Regulated Genes In Mouse Striatal Cells GSE31096,92
Bcl11b Up-Regulated Genes In Mouse Striatal Cells GSE31096,64
Bivalent H3K27me3 And H3K4me3-enriched Genes In MSNs Of Adult Mice PMID27526204,834
Bivalent H3K27me3 And H3K4me3-enriched Genes Up-Regulated In 3 Mon PRC2 Deficient Mice PMID27526204,27
Bivalent H3K27me3 And H3K4me3-enriched Genes Up-Regulated In 6 Mon PRC2 Deficient Mice PMID27526204,87
Brown4 Module Eigengene Expression Profile Across Striatal Astrocytes Of R6/2 And Q175 Mice PMID31619545,87
CA1 Enriched Genes Compared To CA3 PMID15306126,37
CA1 Hippocampal Region Changed Genes PMID15084669,33
CA1 Overexpressed Genes Compared To CA3 Ginsberg PMID15861457,12
CA1 Overexpressed Genes Compared To CA3 Newrzella PMID17937787,455
CA1 Pyramidal Neuron-Enriched Genes PMID25700174,406
CA3 Enriched Genes Compared To CA1 PMID15306126,18
CA3 Hippocampal Region Changed Genes PMID15084669,54
CA3 Overexpressed Genes Compared To CA1 Ginsberg PMID15861457,8
CA3 Overexpressed Genes Compared To CA1 Newrzella PMID17937787,525
CACNA1A-ATN1 Shared Co-Expressed Genes In HD-associated Brain Region PMID29249939,31
CAG Length-Dependent Genes In 10 Mon Mouse Cortex PMID26900923,1706
CAG Length-Dependent Genes In 10 Mon Mouse Liver PMID26900923,55
CAG Length-Dependent Genes In 2 Mon Mouse Cortex PMID26900923,16
CAG Length-Dependent Genes In 2 Mon Mouse Liver PMID26900923,155
CAG Length-Dependent Genes In 2 Mon Mouse Striatum PMID26900923,132
CAG Length-Dependent Genes In 6 Mon Mouse Cortex PMID26900923,1698
CAG Length-Dependent Genes In dSPNs Of HD Mice Down PMID32681824,2690
CAG Length-Dependent Genes In dSPNs Of HD Mice Up PMID32681824,2631
CAG Length-Dependent Genes In iSPNs Of HD Mice PMID32681824,2080
CAG Length-Dependent Genes In iSPNs Of HD Mice Down PMID32681824,699
CAG Length-Dependent Genes In iSPNs Of HD Mice Up PMID32681824,1381
CAG Length-Dependent Proteins In 6 Mon Mouse Striatum PMID26900923,1310
COP Committed Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729,3128
CPSF6 Binding Sites In MEFs From Mbnl1/2 KO Myotonic Dystrophy Mice Vs WT Mice GSE60487,506
Cas9 Binding Sites Enriched In dCas9-Tet1/sgRNA Infected Vs Untreated iPSCs GSE102655,467
Cas9 Binding Sites Enriched In Untreated Vs dCas9-Tet1/sgRNA Infected iPSCs GSE102655,5
Caudal Neuron-Enriched Genes PMID20071532,110
Caudal Serotonergic Neuron-Enriched Genes PMID20071532,245
Caudate Nucleus Coexpressed Gene Module PMID17101986,182
Cerebellum Coexpressed Gene Module PMID17101986,917
Cerebrospinal Fluid Proteome Of WT And HD R6/2 Mice PMID29166617,845
ChIP-seq For H3K27ac In HdhQ150 Vs WT Down GSE140117,35
ChIP-seq For H3K27ac In HdhQ150 Vs WT Up GSE140117,231
ChIP-seq For H3K27ac In R6/1 Vs WT Down GSE140117,1109
ChIP-seq For H3K27ac In R6/1 Vs WT Up GSE140117,172
Changed Genes In DCLK3<WT> Vs DCLK3<K543M> Overexpressing Neurons GSE104091,59
Changed Genes In Control Neurons Vs DCLK3<WT> Overexpressing Neurons GSE104091,24
Changes In DNA Methylation In Caudate Nucleus Of HD Vs Control GSE72778,634
Changes In DNA Methylation In Frontal Lobe Region Of AD Vs Control GSE72778,1891
Changes In DNA Methylation In Frontal Lobe Region Of HD Vs Control GSE72778,204
Changes In DNA Methylation In Frontal Lobe Of AD Vs Control GSE72778,1460
Changes In DNA Methylation In Limbic Lobe Region Of AD Vs Control GSE72778,1460
Changes In DNA Methylation In Limbic Lobe Region Of HD Vs Control GSE72778,759
Changes In DNA Methylation In Midbrain Of HD Vs Control GSE72778,68
Changes In DNA Methylation In Occipital Lobe Region Of AD Vs Control GSE72778,619
Changes In DNA Methylation In Parietal Lobe Region Of HD Vs Control GSE72778,212
Changes In DNA Methylation In Parietal Lobe Of HD Vs Control GSE72778,157
Choroid Plexus Gene Markers PMID17151600,102
"Cingulate (Cck+), Somatosensory (Cck+) And LGN Interneuron Gene Module PMID19638972",125
"Cingulate (Pvalb+) Interneurons, Cingulate (Layer 5) And Somatosensory (Layer 5) Pyramidal Neuron Gene Module PMID19638972",300
"Cingulate (Layer 5 And 6), Somatosensory (Layer 5), And Basolateral Amygdala Pyramidal Neuron Gene Module 1 PMID19638972",222
"Cingulate (Layer 5 And 6), Somatosensory (Layer 5), And Basolateral Amygdala Pyramidal Neuron Gene Module 2 PMID19638972",143
"Cingulate (Layer 5 And 6), Somatosensory (Layer 5), Hippocampal, And Basolateral Amygdala Pyramidal Neuron Gene Module PMID19638972",339
Circadian Genes From WT Mouse Striatum GSE151565,1719
Classical Priming Pathway Genes Changed In Old Vs Young Microglia PMID24162652,16
Classical Priming Pathway Genes Down-Regulated In Old Vs Young Microglia PMID24162652,7
Classical Priming Pathway Genes Up-Regulated In Old Vs Young Microglia PMID24162652,9
Coexpressed Gene Module M11A From Cerebral Cortex PMID18849986,172
Coexpressed Gene Module M15 From Human Brain PMID20616000,338
Coexpressed Gene Module M15 From Mouse Brain PMID20616000,844
Coexpressed Gene Module M18A From Cerebral Cortex PMID18849986,826
Coexpressed Gene Module M19A From Cerebral Cortex PMID18849986,318
Coexpressed Gene Module M3 From Cerebral Cortex PMID18849986,14
Coexpressed Gene Module M7 From Human Brain PMID20616000,40
Coexpressed Gene Module M8A From Cerebral Cortex PMID18849986,28
Constitutive And Activity-Dependent Synaptic AMPA Receptor Delivery In HD CHDI114,80
Constitutive And Regulated NMDA Receptor Trafficking In HD CHDI117,109
Cortex RNA M1 Module (Turquoise) PMID26900923,998
