Pathway,Count
2-Ketobutyric acid (HMDB00005),18
2-Methoxyestrone (HMDB00010),19
Sulfatide (HMDB00024),11
Tetrahydrobiopterin (HMDB00027),14
Biotin (HMDB00030),11
Androsterone (HMDB00031),25
Aldosterone (HMDB00037),15
Butyric acid (HMDB00039),11
Acetic acid (HMDB00042),29
Ascorbic acid (HMDB00044),26
Adenosine monophosphate (HMDB00045),235
Adenosine (HMDB00050),19
Ammonia (HMDB00051),56
Androstenedione (HMDB00053),36
Bilirubin (HMDB00054),24
Beta-Alanine (HMDB00056),12
Cyclic AMP (HMDB00058),158
A3P (HMDB00061),22
L-Carnitine (HMDB00062),12
Cortisol (HMDB00063),11
Cholesterol (HMDB00067),14
Epinephrine (HMDB00068),11
Dopamine (HMDB00073),17
CTP (HMDB00082),39
Cytidine (HMDB00089),16
C5P (HMDB00095),28
Choline (HMDB00097),27
Ethanol (HMDB00108),18
Gamma-Aminobutyric acid (HMDB00112),35
Folic acid (HMDB00121),12
D-Glucose (HMDB00122),26
Glycine (HMDB00123),30
Glutathione (HMDB00125),42
Glycerol 3-phosphate (HMDB00126),13
Glycerol (HMDB00131),22
Formic acid (HMDB00142),32
D-Galactose (HMDB00143),11
Estrone (HMDB00145),56
L-Glutamic acid (HMDB00148),58
Estradiol (HMDB00151),51
Estriol (HMDB00153),22
L-Tyrosine (HMDB00158),12
L-Phenylalanine (HMDB00159),16
L-Alanine (HMDB00161),17
L-Proline (HMDB00162),25
L-Asparagine (HMDB00168),12
D-Mannose (HMDB00169),13
Inosinic acid (HMDB00175),28
L-Lysine (HMDB00182),23
L-Serine (HMDB00187),14
ITT (HMDB00189),25
L-Aspartic acid (HMDB00191),19
Inosine (HMDB00195),10
Oxoglutaric acid (HMDB00208),38
A2G (HMDB00212),12
Ornithine (HMDB00214),15
N-Acetyl-D-glucosamine (HMDB00215),19
Norepinephrine (HMDB00216),18
NAP (HMDB00217),170
Palmitic acid (HMDB00220),14
NADPH (HMDB00221),174
NMN (HMDB00229),13
Testosterone (HMDB00234),60
Pyruvic acid (HMDB00243),47
Riboflavin (HMDB00244),12
Pyrophosphate (HMDB00250),262
Sphingosine (HMDB00252),16
Succinic acid (HMDB00254),27
Serotonin (HMDB00259),23
UTP (HMDB00285),41
Uridine diphosphate glucose (HMDB00286),16
Uridine 5'-monophosphate (HMDB00288),26
Uridine diphosphate-N-acetylglucosamine (HMDB00290),25
Uridine 5'-diphosphate (HMDB00295),107
Uridine (HMDB00296),18
"[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate (HMDB00304)",33
"3a,7a-Dihydroxycoprostanic acid (HMDB00359)",12
2-Phosphoglyceric acid (HMDB00362),11
2-Methoxyestradiol (HMDB00405),18
Etiocholanolone (HMDB00490),18
Chlorine (HMDB00492),109
3-Methoxy-4-hydroxyphenylglycol glucuronide (HMDB00496),18
C6H12O6 (HMDB00516),13
L-Arginine (HMDB00517),24
Chenodeoxycholic acid (HMDB00518),12
Magnesium (HMDB00547),463
PC(16:0/16:0) (HMDB00564),50
L-Cysteine (HMDB00574),24
Potassium (HMDB00586),52
Sodium (HMDB00588),194
PC(18:1(9Z)/18:1(9Z))  (HMDB00593),50
Hydrogen carbonate (HMDB00595),20
Sulfide (HMDB00598),53
Cobalt (HMDB00608),28
"1,2-dihexadecanoyl-sn-glycero-3-phosphoserine (HMDB00614)",12
D-Ribulose 5-phosphate (HMDB00618),13
C14H21NO11 (HMDB00629),14
C18H31NO14S (HMDB00632),14
L-Glutamine (HMDB00641),27
Copper (HMDB00657),50
Linoleic acid (HMDB00673),43
PA(16:0/16:0) (HMDB00674),43
Iron (HMDB00692),193
Hydroxyproline (HMDB00725),11
Glycogen (HMDB00757),11
Lithocholic acid (HMDB00761),12
Mannitol (HMDB00765),96
Pseudouridine (HMDB00767),13
1-(beta-D-Ribofuranosyl)nicotinamide (HMDB00855),10
Histamine (HMDB00870),11
C14H24O8 (HMDB00901),19
NAD (HMDB00902),246
dAMP (HMDB00905),13
UGA (HMDB00935),29
S-Adenosylhomocysteine (HMDB00939),51
Ursodeoxycholic acid (HMDB00946),11
Acetaldehyde (HMDB00990),16
dCTP (HMDB00998),26
C16H20N2O7 (HMDB01013),18
Succinyl coenzyme A (HMDB01022),14
Arachidonic acid (HMDB01043),52
Ubiquinol 8 (HMDB01060),15
M6D (HMDB01078),15
Trehalose 6-phosphate (HMDB01124),101
NCN (HMDB01132),16
PPS (HMDB01134),29
Keratan (HMDB01165),12
"4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol (HMDB01181)",11
S-Adenosylmethionine (HMDB01185),99
N1-Acetylspermine (HMDB01186),11
FAD (HMDB01197),11
Guanosine diphosphate (HMDB01201),63
DCM (HMDB01202),11
C16H20N2O8 (HMDB01204),18
ACO (HMDB01206),57
Prostaglandin E2 (HMDB01220),12
TMP (HMDB01227),13
4-Nitrophenol (HMDB01232),11
2'-Deoxycytidine diphosphate (HMDB01245),12
FAD (HMDB01248),169
(S)-1-alpha-D-glucopyranuronosyl-3-(1-methyl-2-pyrrolidinyl)pyridinium inner salt (HMDB01272),19
Guanosine triphosphate (HMDB01273),460
TYD (HMDB01274),14
Zinc (HMDB01303),82
QH2 (HMDB01304),58
Cyclic GMP (HMDB01314),44
Manganese (HMDB01333),193
Hexadecanoyl-CoA (HMDB01338),25
TTP (HMDB01342),30
Selenium (HMDB01349),26
Parathion (HMDB01355),25
Thiamine pyrophosphate (HMDB01372),16
Oxygen (HMDB01377),148
Alpha-Linolenic acid (HMDB01388),18
Melatonin (HMDB01389),34
C26H41NO34S4 (HMDB01394),26
Guanosine monophosphate (HMDB01397),49
Glucose 6-phosphate (HMDB01401),17
Niacinamide (HMDB01406),16
4'-Phosphopantetheine (HMDB01416),11
Coenzyme A (HMDB01423),96
Formaldehyde (HMDB01426),35
Phosphate (HMDB01429),328
DGT (HMDB01440),29
Sulfate (HMDB01448),36
Dihydroxyacetone phosphate (HMDB01473),13
3-Acetoacetyl-CoA (HMDB01484),13
NADH (HMDB01487),204
Pyridoxal 5'-phosphate (HMDB01491),66
I3P (HMDB01498),19
C10H15N5O9P2 (HMDB01508),21
Flavin Mononucleotide (HMDB01520),27
1-O-phosphono-D-mannitol (HMDB01530),97
DTP (HMDB01532),32
CDP (HMDB01546),20
D-Ribose 5-phosphate (HMDB01548),11
XMP (HMDB01554),12
Phosphorylcholine (HMDB01565),12
C10H13N2O7P (HMDB01570),11
1-O-phosphono-D-glucopyranose (HMDB01586),12
Progesterone (HMDB01830),17
Tetrahydrofolic acid (HMDB01846),17
Caffeine (HMDB01847),26
Imipramine (HMDB01848),11
Propranolol (HMDB01849),13
Verapamil (HMDB01850),18
Retinoic acid (HMDB01852),52
Paraxanthine (HMDB01860),26
Valproic acid (HMDB01877),24
"1,4-Naphthalenedione, 2-methyl- (HMDB01892)",20
Famotidine (HMDB01919),44
Carbon dioxide (HMDB01967),90
Ubiquinone Q1 (HMDB02012),61
Hyaluronic acid (HMDB02061),19
Isovaleryl-beta-D-glucuronide (HMDB02091),18
Phosphoric acid (HMDB02142),261
"5,6-Epoxy-8,11,14-eicosatrienoic acid (HMDB02190)",24
(S)-Methylmalonate semialdehyde (HMDB02217),14
"8,9-EET (HMDB02232)",24
Hydrochloric acid standard solution (HMDB02306),20
Lithocholate 3-O-beta-D-glucuronide (HMDB02513),18
