Pathway,Count
H.sapiens: The human species,172
"Homininae: Hominids including including gorillas, chimpanzees",560
Catarrhini: Higher primates,498
Euarchontoglires: Superorder of Mammals including rodents and primates,285
Boreoeutheria: Placental Mammals,2907
Amniota: Four limbed vertebrates that can lay eggs on land,633
Tetrapoda: First four limbed Vertebrates and Descendents,1483
Euteleostomi: Bony vertebrates,6637
Arthropoda: Insects,1439
Bilateria: Animals with bilateral symmetry,1451
Opisthokonta: Fungi/Metazoa Group,580
Eukaryota: Organisms with membrane bound nuclues and organelles,2484
