Pathway,Count
Paneth Cell Of Epithelium Proper Of Small intestine - Small Intestine,102
Duodenal Goblet cell - Small Intestine,102
Tuft cell - Small Intestine,103
absorptive - Small Intestine,102
enterocyte - Small Intestine,104
Endocrine Lineage cell - Small Intestine,101
Stem cell - Small Intestine,105
endothelial - Small Intestine,103
myofibroblast - Small Intestine,102
fibroblast - Small Intestine,100
B cell - Small Intestine,103
plasma - Small Intestine,101
CD4+ T - Small Intestine,107
Regulatory CD4+ T - Small Intestine,102
CD8+ T - Small Intestine,103
macrophage - Small Intestine,101
Mast cell - Small Intestine,101
fibroblasts - Small Intestine,100
Endothelial cells - Small Intestine,102
Epithelial Stem cells - Small Intestine,105
Paneth - Small Intestine,102
endocrine - Small Intestine,101
Jejunal Goblet cell - Small Intestine,102
enterocytes - Small Intestine,104
Tuft cells - Small Intestine,103
myofibroblasts - Small Intestine,102
macrophages - Small Intestine,101
Mast cells - Small Intestine,101
endoethlial - Small Intestine,102
goblet - Small Intestine,102
Endothelial Cell Of Hepatic sinusoid - Liver,103
Kupffer cell - Liver,101
Hepatic Stellate cell - Liver,103
hepatocyte - Liver,102
Periportal Region hepatocyte - Liver,102
Centrilobular Region hepatocyte - Liver,102
Vein Endothelial cell - Liver,102
Stratified Cuboidal Epithelial cell - Liver,102
Columnar/Cuboidal Epithelial cell - Liver,101
Afferent neuron - Liver,101
Endothelial Cell Of artery - Liver,102
Portal fibroblast - Liver,102
Hepatic Oval Stem cell - Liver,105
"Dendritic Cell, human - Liver",106
Conventional Dendritic cell - Liver,101
CD1c-positive Myeloid Dendritic cell - Liver,101
Plasmacytoid Dendritic cell - Liver,101
CD8 TRm (Residence memory) - Liver,103
"CD4-positive, Alpha-Beta T cell - Liver",102
"CD8-positive, Alpha-Beta Memory T Cell, CD45RO-positive - Liver",106
Type I NK T cell - Liver,105
Eomes Low Liver NK cell - Liver,105
TBet Low Liver NK cell - Liver,105
Natural Killer cell - Liver,104
Hepatic Pit cell - Liver,103
Articular chondrocyte - Knee,103
Hypertrophic chondrocyte - Knee,102
Residual Hypertrophic Chondrocytes - Knee,101
osteocyte - Knee,102
osteoblast - Knee,102
Multinuclear osteoclast - Knee,101
Epithelial Cell Of amnion - Placenta,102
Embryonic fibroblast - Placenta,104
Extravillous trophoblast - Placenta,103
Endometrial Epithelial Cells - Placenta,102
Endometrial Stromal Cells (decidua) - Placenta,104
Endothelial cell - Placenta,104
Uterine NK Cells - Placenta,102
Uterine macrophage - Placenta,104
Regulatory T Cell - Placenta,101
Cytotoxic T Cell - Placenta,102
B Cell (Including Plasma cells) - Placenta,102
Syncytiotrophoblast cell - Placenta,104
Mononuclear Cytotrophoblast cell - Placenta,103
Hofbauer cell - Placenta,102
Placental Stromal Cells - Placenta,104
Placental Microvascular Endothelial Cells - Placenta,104
Stromal Cell Of endometrium - Placenta,104
Amacrine cell - Eye,110
Glutamic Acid Decarboxylase 65 cell - Eye,112
A8 Bistratified Small-Field cell - Eye,107
Wide Field cell - Eye,103
Semilunar Type 1 cell - Eye,101
Semilunar Type 3 cell - Eye,101
Semilunar cell - Eye,101
Starburst Amacrine cell - Eye,101
Retinal Bipolar neuron - Eye,110
Blue Cone Bipolar cell - Eye,101
Diffuse Bipolar 1 (DB1) - Eye,101
Diffuse Bipolar 2 cell - Eye,101
Diffuse Bipolar 3A cell - Eye,104
Diffuse Bipolar 3B cell - Eye,102
Diffuse Bipolar 4 cell - Eye,104
Flat Midget Bipolar cell - Eye,102
Invaginating Bipolar cell - Eye,101
ON-bipolar cell - Eye,101
Rod Bipolar cell - Eye,101
Capillary Layer Of choroid - Eye,100
Retinal Cone cell - Eye,107
Retinal Blood Vessel Endothelial cell - Eye,103
Retinal Ganglion cell - Eye,104
Primary Lens fiber - Eye,101
Retina Horizontal cell - Eye,105
Lens Epithelial cell - Eye,101
Lens Fiber cell - Eye,102
Secondary Lens fiber - Eye,101
Obsolete Muller cell - Eye,100
Retinal Rod cell - Eye,101
Retinal Pigment Epithelial cell - Eye,101
Corneal Endothelial cell - Eye,101
keratocyte - Eye,101
telocyte - Eye,101
Corneal Epithelial cell - Eye,104
Basal Cell Of Epithelium Of trachea - Respiratory System,101
Tracheal Goblet cell - Respiratory System,101
Brush Cell Of trachea - Respiratory System,102
Ciliated Columnar Cell Of Tracheobronchial tree - Respiratory System,103
Dense-Core Granulated Cell Of Epithelium Of trachea - Respiratory System,101
Serous Cell Of Epithelium Of trachea - Respiratory System,101
Smooth Muscle Cell Of trachea - Respiratory System,102
Submucosal Gland Ciliated Duct cells - Respiratory System,104
Submucosal Gland Basal cells - Respiratory System,101
Submucosal Gland secretory - Respiratory System,101
Submucosal Gland Collecting Duct epithelium - Respiratory System,101
Submucosal Gland Mucous cells - Respiratory System,100
Submucosal Gland Serous cells - Respiratory System,104
Myoepithelial cell - Respiratory System,100
Tracheobronchial chondrocyte - Respiratory System,101
Endothelial Cell Of artery - Respiratory System,104
Blood Vessel Smooth Muscle cell - Respiratory System,103
Venous Endothelial cell - Respiratory System,104
Ciliated Cell Of The bronchus - Respiratory System,103
Basal Epithelial Cell Of Tracheobronchial tree - Respiratory System,101
