Pathway,Count
&gamma;-glutamyl cycle,7
&gamma;-linolenate biosynthesis,14
1D-myo-inositol hexakisphosphate biosynthesis II (mammalian),15
2'-deoxy-&alpha;-D-ribose 1-phosphate degradation,6
2-oxobutanoate degradation,8
3-phosphoinositide biosynthesis,27
3-phosphoinositide degradation,20
4-hydroxy-2-nonenal detoxification,5
BMP Signalling Pathway,8
C20 prostanoid biosynthesis,9
CDP-diacylglycerol biosynthesis,21
CMP phosphorylation,8
D-galactose degradation V (Leloir pathway),6
"D-myo-inositol (1,3,4)-trisphosphate biosynthesis",15
"D-myo-inositol (1,4,5)-trisphosphate biosynthesis",25
"D-myo-inositol (1,4,5)-trisphosphate degradation",13
D-myo-inositol-5-phosphate metabolism,19
GABA shunt,7
GDP-glucose biosynthesis II,6
GDP-mannose biosynthesis,6
L-kynurenine degradation,13
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,5
NAD de novo biosynthesis,12
UDP-N-acetyl-D-galactosamine biosynthesis II,9
UDP-N-acetyl-D-glucosamine biosynthesis II,5
UTP and CTP de novo biosynthesis,10
adenosine deoxyribonucleotides de novo biosynthesis,9
adenosine nucleotides degradation,7
adenosine ribonucleotides de novo biosynthesis,21
allopregnanolone biosynthesis,6
androgen biosynthesis,7
"bile acid biosynthesis, neutral pathway",15
ceramide de novo biosynthesis,7
cholesterol biosynthesis I,13
"cholesterol biosynthesis II (via 24,25-dihydrolanosterol)",13
cholesterol biosynthesis III (via desmosterol),13
chondroitin sulfate degradation (metazoa),7
citrulline-nitric oxide cycle,5
coenzyme A biosynthesis,6
cysteine biosynthesis,5
dermatan sulfate degradation (metazoa),6
dolichyl-diphosphooligosaccharide biosynthesis,9
eicosapentaenoate biosynthesis,13
ethanol degradation II,6
ethanol degradation IV,6
fatty acid &alpha;-oxidation,5
fatty acid &beta;-oxidation,16
fatty acid &beta;-oxidation (peroxisome),15
fatty acid activation,8
folate polyglutamylation,5
folate transformations,10
"fructose 2,6-bisphosphate synthesis/dephosphorylation",5
gluconeogenesis,24
glutathione redox reactions I,6
glutathione-mediated detoxification,20
glycine betaine degradation,5
glycogenolysis,9
glycolysis,24
guanosine deoxyribonucleotides de novo biosynthesis,9
guanosine nucleotides de novo biosynthesis,13
guanosine ribonucleotides de novo biosynthesis,10
heme biosynthesis,9
histidine degradation,5
inositol pyrophosphates biosynthesis,7
ketogenesis,5
leukotriene biosynthesis,6
lysine degradation II (pipecolate pathway),6
mevalonate pathway,10
mitochondrial L-carnitine shuttle,5
mucin core 1 and core 2 O-glycosylation,27
noradrenaline and adrenaline degradation,11
oleate biosynthesis,8
oxidative ethanol degradation III,6
pentose phosphate pathway,26
phosphatidylcholine biosynthesis,6
phosphatidylethanolamine biosynthesis II,6
phospholipases,37
protein citrullination,5
purine deoxyribonucleosides salvage,10
purine nucleotides de novo biosynthesis,39
purine nucleotides degradation,10
putrescine degradation III,10
pyridoxal 5'-phosphate salvage,5
pyrimidine deoxyribonucleosides salvage,5
pyrimidine deoxyribonucleotide phosphorylation,9
pyrimidine deoxyribonucleotides biosynthesis from CTP,13
pyrimidine deoxyribonucleotides de novo biosynthesis,13
pyrimidine ribonucleosides degradation,6
retinoate biosynthesis I,8
retinol biosynthesis,18
selenocysteine biosynthesis,6
serine and glycine biosynthesis,7
serotonin and melatonin biosynthesis,5
serotonin degradation,8
spermine and spermidine degradation I,5
sphingomyelin metabolism/ceramide salvage,8
sphingosine and sphingosine-1-phosphate metabolism,9
stearate biosynthesis,13
sucrose degradation,8
"superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism",20
superpathway of cholesterol biosynthesis,25
superpathway of choline degradation to L-serine,7
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),12
superpathway of inositol phosphate compounds,68
superpathway of methionine degradation,16
superpathway of purine nucleotide salvage,39
superpathway of pyrimidine deoxyribonucleoside salvage,14
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,19
superpathway of pyrimidine ribonucleotides de novo biosynthesis,12
tRNA charging,38
tRNA splicing,5
terminal O-glycans residues modification,11
tetrapyrrole biosynthesis,5
the visual cycle I (vertebrates),16
threonine degradation,6
thyroid hormone metabolism II (via conjugation and/or degradation),6
triacylglycerol biosynthesis,27
triacylglycerol degradation,13
tryptophan degradation,9
tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,7
tyrosine degradation,5
ubiquinol-10 biosynthesis,7
urate biosynthesis/inosine 5'-phosphate degradation,6
urea cycle,5
zymosterol biosynthesis,6
