Pathway,Count
Thyroid,388
CD33+ Myeloid,679
Testis,384
Salivarygland,57
CD14+ Monocytes,383
TestisLeydigCell,107
Ovary,41
CD8+ Tcells,602
Tonsil,26
TestisIntersitial,568
pineal day,694
PancreaticIslet,123
CerebellumPeduncles,137
colon,258
Colorectaladenocarcinoma,292
SuperiorCervicalGanglion,602
AtrioventricularNode,269
Bonemarrow,52
Tongue,115
ParietalLobe,26
Cerebellum,108
Spinalcord,105
BDCA4+ DendriticCells,495
721 B lymphoblasts,1543
BronchialEpithelialCells,280
CD56+ NKCells,752
Fetallung,41
SkeletalMuscle,441
Thalamus,79
Wholebrain,240
SmoothMuscle,363
Liver,618
CD34+,645
TemporalLobe,34
Adrenalgland,65
Prostate,249
CiliaryGanglion,278
Caudatenucleus,69
Pancreas,96
CD105+ Endothelial,370
Fetalbrain,325
Heart,415
Lymphoma burkitts(Daudi),139
CD19+ BCells(neg. sel.),412
UterusCorpus,98
retina,218
Thymus,68
Placenta,405
Adipocyte,181
Hypothalamus,97
DorsalRootGanglion,69
CD4+ Tcells,533
Lymphoma burkitts(Raji),355
MedullaOblongata,19
Uterus,201
CD71+ EarlyErythroid,553
Pituitary,84
AdrenalCortex,106
GlobusPallidus,59
OccipitalLobe,35
Leukemia chronicMyelogenousK-562,124
OlfactoryBulb,83
Leukemialymphoblastic(MOLT-4),118
CingulateCortex,33
Fetalliver,126
SubthalamicNucleus,77
FetalThyroid,66
Appendix,127
Trachea,72
Pons,27
WholeBlood,514
TestisSeminiferousTubule,69
CardiacMyocytes,273
pineal night,674
TrigeminalGanglion,196
Lung,299
Amygdala,345
Skin,111
PrefrontalCortex,521
TestisGermCell,314
Lymphnode,37
small intestine,220
Kidney,142
Leukemia promyelocytic-HL-60,62
