Pathway,Count
Levobupivacaine,8
(S)-nitrendipine,5
Acamprosate,10
Acarbose,5
Paracetamol,16
Acetazolamide,14
Acetoxolone,6
Acetylcholine,12
Acetylcysteine,5
Acetyldigitoxin,8
Acetylsalicylic Acid,5
Aclarubicin,5
Aclatonium,5
Adenine,5
Adenosine,16
Adenosine Triphosphate,21
Adenosine Phosphate,7
Adinazolam,14
Adiphenine,6
Agomelatine,5
Alcuronium,11
Alfentanil,5
Alfuzosin,5
Alfaxalone,17
Alpidem,18
Alprazolam,11
Alprenolol,6
Alprostadil,10
Amantadine,9
Amidefrine,6
Amiloride,14
Amiodarone,56
Amisulpride,11
Amitriptyline,39
Amlexanox,7
Amlodipine,15
Amoxapine,32
Amfetamine,21
Amrinone,7
Amsacrine,7
Androstenediol,5
Androstenedione,5
Anhydrovinblastine,5
Apomorphine,32
Apraclonidine,6
Aprindine,9
Aripiprazole,34
Astemizole,62
Atazanavir,5
Atomoxetine,9
Atorvastatin,6
Atracurium,8
Atropine,12
Azapetine,6
Azathioprine,5
Azelastine,9
Baclofen,19
Beclometasone Dipropionate,7
Bendamustine,6
Bendroflumethiazide,5
Benperidol,6
Diphenidol,14
Benserazide,5
Benzbromarone,12
Benzocaine,10
Benzquinamide,7
Benzthiazide,5
Benzatropine,24
Bepridil,12
Bexarotene,11
Bezafibrate,7
Biperiden,6
Bopindolol,7
Bortezomib,31
Brimonidine,7
Brinzolamide,11
Bromocriptine,24
Bromperidol,12
Brompheniramine,5
Budesonide,8
Budipine,8
Buflomedil,8
Levobunolol,6
Bupivacaine,10
Buprenorphine,5
Bupropion,11
Buspirone,26
Butenafine,7
Cabergoline,17
Caffeine,9
Camostat,10
Candesartan Cilexetil,13
Captopril,6
Caramiphen,5
Carbachol,14
Carbamazepine,12
Pentoxyverine,6
Carvedilol,31
Cefotetan,5
Cefsulodin,5
Celecoxib,30
Cefalotin,6
Cefapirin,20
Cevimeline,5
Chlorambucil,5
Chlordiazepoxide,23
Chlorhexidine,10
Chlormadinone,5
Chloroquine,16
Chlorphenamine,14
Chlorpromazine,80
Chlorprothixene,15
Chlortalidone,13
Chlorzoxazone,6
Cianidanol,19
Cicaprost,7
Cinnarizine,26
Ciprofloxacin,19
Cisapride,30
Citalopram,15
Clebopride,13
Clemastine,30
Clemizole,6
Clodronic Acid,5
Clofarabine,7
Clomifene,32
Clomipramine,40
Clonazepam,16
Clonidine,15
Clorazepate,7
Clotiapine,10
Clotrimazole,67
Clozapine,50
Cocaine,19
Colchicine,12
Colforsin Daropate,5
Cortisone Acetate,8
Coumarin,14
Cyamemazine,13
Cyclizine,16
Cyclobenzaprine,14
Cycloserine,8
Ciclosporin,20
Cyclothiazide,5
Cyproheptadine,38
Cyproterone Acetate,5
Cytarabine,5
Dabigatran Etexilate,13
Danazol,22
Dapiprazole,8
Darifenacin,8
Dasatinib,127
Daunorubicin,6
Decamethonium,10
Delorazepam,16
Desflurane,23
Desipramine,36
Deslanoside,8
Desloratadine,19
Nordazepam,18
Desoxycortone,7
Dexamethasone,10
Dexamethasone Palmitate,5
Dexamethasone Valerate,5
Dexetimide,5
Dexfenfluramine,20
Dexmedetomidine,6
Dexmethylphenidate,7
Dexniguldipine,14
Dexamfetamine,22
Dextromethorphan,15
Dextrothyroxine,9
Diazepam,27
Cinchocaine,5
Dichlorphenamide,12
Diclofenac,17
Dicloxacillin,7
Dicoumarol,7
Dicycloverine,17
Diethylstilbestrol,44
Diflunisal,6
Digitoxin,10
Digoxin,11
alpha-Ergocryptine,19
Dihydroergocristine,22
Dihydroergotamine,26
Hydroquinidine,6
Dilazep,5
Dilevalol,5
Diltiazem,17
Dimenhydrinate,16
Dimetindene,6
Dimethyltubocurarinium,5
Dinoprost,8
Dinoprostone,14
Diphenhydramine,19
Dipyridamole,24
Disopyramide,9
Disulfiram,36
Ditiocarb,10
Dobutamine,30
Docetaxel,16
Domperidone,27
Donepezil,10
Dopamine,34
Dorzolamide,12
Dosulepin,12
Doxazosin,15
Doxepin,35
Doxorubicin,21
Doxycycline,6
Droperidol,23
Droxidopa,10
Duloxetine,15
Ebastine,36
Econazole,59
Eletriptan,5
Eltanolone,16
Emetine,6
Encainide,5
Enflurane,6
Enoximone,5
Enprofylline,5
Enprostil,5
Epalrestat,5
Epinastine,10
Epinephrine,14
Ergometrine,14
Ergotamine,32
Erlotinib,100
Erythromycin,5
Escitalopram,7
Estazolam,7
Estradiol,17
Estradiol Benzoate,11
Estriol Succinate,8
Eszopiclone,8
Ethacrynic Acid,6
Ethambutol,5
Ethanol,6
Ethinylestradiol,20
Profenamine,6
Ethotoin,10
Ethoxzolamide,12
Ethylestrenol,8
Etizolam,7
Etomidate,7
Etoposide,10
Etravirine,5
Famotidine,17
Fasudil,10
Felodipine,11
Fenfluramine,20
Fenofibrate,11
Fenoldopam,10
Fentanyl,9
Finasteride,5
Flavoxate,9
Flecainide,8
Fludarabine Phosphate,7
Flufenamic Acid,19
Flumazenil,16
Flunarizine,38
Flunitrazepam,16
Fluoxetine,34
Flupentixol,12
Fluphenazine,57
Fluphenazine Enanthate,27
Flurbiprofen,6
Fluspirilene,19
Flutamide,5
Fluvastatin,5
Fluvoxamine,5
Formoterol,6
Fulvestrant,8
Furosemide,17
Aminobutyric Acid,9
Gabapentin,10
Gamolenic Acid,6
Gefitinib,78
Gemcitabine,8
Gemfibrozil,7
Glutamic Acid,26
Glibenclamide,11
Glycine,9
Gossypol,13
Granisetron,8
Guanethidine,7
Guanfacine,9
Guanidine,40
Halazepam,16
Haloperidol,60
Haloprogin,15
Halothane,23
Hesperetin,7
Hexachlorophene,31
Hexamethonium,8
Hexobarbital,6
Hexocyclium,5
Histamine,5
Homatropine,5
Hydralazine,11
Hydrochlorothiazide,5
Hydrocortisone,6
Hydroxychloroquine,15
Hydroxycarbamide,5
Hymecromone,5
Hyoscyamine,5
Ibuprofen,14
Ifenprodil,16
Iloprost,8
Imatinib,70
Imipramine,53
Indapamide,14
Indinavir,5
Indomethacin,20
Indoramin,7
Diiodohydroxyquinoline,10
Ipratropium,6
Irinotecan,15
Isoflurane,24
Isoprenaline,32
Isotretinoin,13
Isradipine,6
Itraconazole,8
Ixabepilone,9
Ketamine,12
Ketanserin,25
Ketobemidone,5
Ketoconazole,40
Ketorolac,6
Ketotifen,19
Labetalol,12
Lacidipine,10
Lamotrigine,10
Lanreotide,5
Lansoprazole,11
Lapatinib,20
Aspartic Acid,20
Leflunomide,6
Levallorphan,5
Levamfetamine,15
Levodopa,7
Levonorgestrel,6
Levorphanol,16
Levosulpiride,12
Lidocaine,12
Lidoflazine,5
Lindane,7
Liothyronine,22
Lisuride,24
Lofepramine,12
Lofexidine,8
Loperamide,33
Loprazolam,6
Loratadine,9
Lorcainide,5
Losartan,12
Lovastatin,15
Loxapine,32
Lysergide,17
Mafenide,11
Maprotiline,29
Masoprocol,15
Mazindol,5
Mecamylamine,9
Meclofenamic Acid,11
Medazepam,16
Medetomidine,6
Medroxyprogesterone,12
Mefenamic Acid,12
Mefloquine,6
Megestrol Acetate,5
Melatonin,8
Melperone,14
Memantine,7
Menadione,12
Pecazine,21
Pethidine,9
Mephenytoin,10
Mepivacaine,7
Meprobamate,7
Mequitazine,7
Mercaptopurine,6
Mesalazine,6
Mesoridazine,15
Mestranol,6
Metergoline,29
Metformin,48
Methadone,7
Methamphetamine,10
Methanthelinium,5
Methapyrilene,14
Methaqualone,10
Metharbital,16
Methazolamide,12
Methohexital,6
Methotrexate,14
Methoxamine,6
Methoxyflurane,17
Methscopolamine,5
Methyldopa,6
Methylthioninium Chloride,6
Methylergometrine,14
Naltrexone,7
Methylparaben,6
Methylphenidate,6
Methysergide,24
Metoclopramide,26
Mexiletine,15
Mezlocillin,26
Mianserin,35
Mibefradil,20
Miconazole,61
Midazolam,20
Mifepristone,15
Miglitol,7
Miglustat,7
Milrinone,7
Mirtazapine,18
Mitotane,10
Mitoxantrone,26
Modafinil,5
Molindone,16
Monobenzone,5
Montelukast,22
Morphine,11
Mosapride,14
Moxonidine,5
Nabumetone,5
Nafamostat,15
Naftopidil,7
Naloxone,7
Nandrolone,5
Nandrolone Decanoate,5
Naproxen,6
Naratriptan,5
Nefazodone,13
Nefopam,7
Nelfinavir,21
Nemonapride,5
Nicotinamide,10
Nicardipine,21
Niclosamide,15
Nicotine,28
Nifedipine,37
Niflumic Acid,9
Nilotinib,72
Nimesulide,8
Nimodipine,17
Nisoldipine,11
Nitrazepam,7
Nitrendipine,18
Nitroxoline,5
Nomifensine,9
Norepinephrine,13
Norethisterone,7
Norethindrone Acetate,7
Norfloxacin,18
Nortriptyline,30
Octreotide,6
Ofloxacin,19
Olanzapine,38
Omeprazole,11
Ondansetron,22
Orlistat,14
Orphenadrine,30
Oxaprozin,6
Oxatomide,5
Oxybutynin,12
Oxymetazoline,18
Oxyphenbutazone,5
Oxytocin,5
