Pathway,Count
FGFR3,7
MAPKAPK2,47
ABL2,14
CSNK1G2,12
AKT1,210
EIF2AK4,1
DAPK1,9
ITK,13
RAF1,6
CHUK,23
BRAF,5
MAPK8,225
HIPK3,1
MST1R,2
PRKACB,111
PRKG2,9
FGFR4,4
GRK5,7
CDK14,43
PRKAA1,53
VRK1,7
ARAF,2
TLK1,2
BUB1B,1
MYLK,4
CSNK1A1,84
IGF1R,86
ULK2,1
ROCK2,24
BLK,4
RPS6KA1,65
PKN1,13
ACVR1,1
PAK6,6
EGFR,72
STK4,10
CIT,1
LTK,1
MAPK14,396
NTRK3,4
NTRK1,4
MARK2,12
PRKAA2,28
MAP3K10,2
PKMYT1,1
TAOK2,3
RIPK1,2
CSK,15
SLK,1
CSF1R,8
MAP3K12,2
PAK3,8
SIK2,3
IRAK4,4
TRIB3,3
STK25,1
GSK3B,527
AURKB,77
WNK4,3
MAPKAPK3,3
MAP3K15,1
STK16,2
PHKG1,5
MAPK1,326
CDK6,10
CDC7,4
ACVR2A,1
PRKCA,442
MARK1,4
EPHB4,1
MAPK13,12
FER,8
TSSK6,3
PRKCI,15
CDK17,1
LIMK2,1
MERTK,1
PDGFRA,7
EIF2AK1,2
MAP2K5,1
MAP3K4,4
MAP4K2,3
TRPM7,5
CSNK2A1,286
TBK1,11
ZAP70,10
PASK,3
HSPB8,1
PRKDC,180
PRKX,1
SRPK2,1
TESK2,2
NEK11,1
NME2,2
CSNK1G1,12
PKN3,1
PLK1,77
AAK1,1
PRKCD,104
PIM1,18
STK38L,3
TNK2,4
ATR,58
ROR1,1
CDC42BPA,10
TTN,2
TSSK1B,1
TRIO,1
GRK1,6
MAP4K3,1
INSRR,2
BRD4,3
NLK,5
NEK3,1
CDK16,1
CSNK1E,128
STK38,7
SCYL2,2
RPS6KA2,16
PRKACG,176
PDK1,33
MAP3K6,3
MTOR,78
EEF2K,2
TAOK1,3
IKBKB,25
OBSCN,2
PHKG2,5
PRKCZ,50
MAPK6,1
TAOK3,2
SYK,39
EIF2AK3,3
STRADB,1
CAMK1D,3
TGFBR1,5
BCKDK,3
YES1,7
ROS1,1
RPS6KA4,5
TSSK3,1
CSNK1G3,10
TTK,8
PTK2B,8
PDK2,3
HIPK1,1
AURKA,36
SRPK1,4
CDK12,2
MINK1,13
HIPK2,14
TSSK2,1
FRK,2
TYRO3,5
PIK3CA,4
CASK,2
DMPK,4
MYLK4,1
PKDCC,1
NEK1,2
CDK1,494
JAK3,9
PAK4,7
PRKCH,12
MAPK3,202
DDR2,3
ZAK,3
RPS6KB1,34
MAST2,2
TNIK,2
MAP2K4,7
LYN,82
NEK2,7
EPHA8,1
SMG1,2
MAP3K5,11
MAP4K1,4
LRRK2,9
PRKG1,106
LIMK1,4
TRIM28,2
PSKH1,1
HCK,41
CAMK4,17
NUAK1,4
MKNK2,3
ROCK1,35
RPS6KA6,23
CDK13,1
BRSK1,6
WNK3,2
TIE1,2
NTRK2,7
AXL,1
ROR2,1
PINK1,4
KSR2,4
DCLK1,1
RIPK3,1
EPHB2,4
EPHA3,2
PDPK1,27
EPHA6,1
MAP2K3,4
MATK,5
STK11,25
CAMK2D,31
MAP4K5,1
PLK2,7
MAP2K2,8
TTBK1,1
ADRBK1,25
CSNK1A1L,10
ICK,3
TRPM6,1
GRK7,4
PDGFRB,18
MAP3K11,4
TEC,9
MAP2K6,7
MAP2K1,19
NEK9,4
TRIM33,1
NUAK2,1
DYRK3,5
BRSK2,3
BMPR1B,3
TGFBR2,4
CDK4,17
ABL1,94
CDK11A,38
LATS1,2
MKNK1,5
CDK9,11
CAMKK2,3
PRPF4B,3
ERBB2,17
CDK8,4
RYK,1
STK10,6
PIK3CG,3
FLT1,1
CAMK2B,26
MAPK11,15
MAP3K13,2
ACVRL1,1
STK39,3
PAK1,48
NEK6,7
MST4,2
PRKCQ,35
ULK1,1
CDK5,97
DDR1,1
PTK2,17
NEK7,1
TNK1,1
RIPK4,2
GUCY2C,1
CDK19,2
JAK1,15
CDKL5,1
MAP3K8,19
PLK4,3
SGK2,10
STK3,11
UHMK1,7
MAST3,1
OXSR1,4
RPS6KB2,6
GSG2,1
SRMS,1
FES,6
FGFR1,17
RPS6KL1,21
PDK4,2
SIK1,3
CDK15,36
SNRK,1
TESK1,3
PIM3,1
JAK2,34
KSR1,6
CAMKK1,7
MYLK2,1
MYLK3,1
ERBB3,5
WNK2,1
CDK2,553
MAP3K14,5
MYO3A,1
RPS6KC1,21
PDK3,2
ILK,10
CHEK2,23
STRADA,1
