Pathway,Count
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,20
Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534,24
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis Homo sapiens hsa00563,25
Steroid biosynthesis Homo sapiens hsa00100,20
SNARE interactions in vesicular transport Homo sapiens hsa04130,34
Protein export Homo sapiens hsa03060,23
Protein processing in endoplasmic reticulum Homo sapiens hsa04141,169
N-Glycan biosynthesis Homo sapiens hsa00510,49
Other types of O-glycan biosynthesis Homo sapiens hsa00514,31
Glycosaminoglycan biosynthesis - keratan sulfate Homo sapiens hsa00533,15
Glycosphingolipid biosynthesis - lacto and neolacto series Homo sapiens hsa00601,26
Glycosphingolipid biosynthesis - globo series Homo sapiens hsa00603,14
Glycosphingolipid biosynthesis - ganglio series Homo sapiens hsa00604,15
Mucin type O-Glycan biosynthesis Homo sapiens hsa00512,31
Sphingolipid metabolism Homo sapiens hsa00600,47
Other glycan degradation Homo sapiens hsa00511,18
Glycosaminoglycan degradation Homo sapiens hsa00531,19
Lysosome Homo sapiens hsa04142,123
Synaptic vesicle cycle Homo sapiens hsa04721,63
Collecting duct acid secretion Homo sapiens hsa04966,27
Vibrio cholerae infection Homo sapiens hsa05110,51
Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120,68
Rheumatoid arthritis Homo sapiens hsa05323,90
Phagosome Homo sapiens hsa04145,154
Tuberculosis Homo sapiens hsa05152,178
Toxoplasmosis Homo sapiens hsa05145,118
Leishmaniasis Homo sapiens hsa05140,73
Inflammatory bowel disease (IBD) Homo sapiens hsa05321,65
Asthma Homo sapiens hsa05310,31
Intestinal immune network for IgA production Homo sapiens hsa04672,48
Viral myocarditis Homo sapiens hsa05416,59
Autoimmune thyroid disease Homo sapiens hsa05320,53
Allograft rejection Homo sapiens hsa05330,38
Type I diabetes mellitus Homo sapiens hsa04940,43
Graft-versus-host disease Homo sapiens hsa05332,41
Antigen processing and presentation Homo sapiens hsa04612,77
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,142
Staphylococcus aureus infection Homo sapiens hsa05150,56
Complement and coagulation cascades Homo sapiens hsa04610,79
Pertussis Homo sapiens hsa05133,75
Legionellosis Homo sapiens hsa05134,55
Malaria Homo sapiens hsa05144,49
African trypanosomiasis Homo sapiens hsa05143,35
Regulation of autophagy Homo sapiens hsa04140,39
Jak-STAT signaling pathway Homo sapiens hsa04630,158
Cytokine-cytokine receptor interaction Homo sapiens hsa04060,265
Hematopoietic cell lineage Homo sapiens hsa04640,88
Transcriptional misregulation in cancer Homo sapiens hsa05202,180
Alcoholism Homo sapiens hsa05034,179
Systemic lupus erythematosus Homo sapiens hsa05322,135
Prion diseases Homo sapiens hsa05020,35
Inositol phosphate metabolism Homo sapiens hsa00562,71
Phosphatidylinositol signaling system Homo sapiens hsa04070,98
Calcium signaling pathway Homo sapiens hsa04020,180
Renin secretion Homo sapiens hsa04924,64
Gap junction Homo sapiens hsa04540,88
Long-term depression Homo sapiens hsa04730,60
Long-term potentiation Homo sapiens hsa04720,66
GnRH signaling pathway Homo sapiens hsa04912,91
Inflammatory mediator regulation of TRP channels Homo sapiens hsa04750,98
Oxytocin signaling pathway Homo sapiens hsa04921,158
Vascular smooth muscle contraction Homo sapiens hsa04270,120
cGMP-PKG signaling pathway Homo sapiens hsa04022,167
Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,148
cAMP signaling pathway Homo sapiens hsa04024,199
Regulation of lipolysis in adipocytes Homo sapiens hsa04923,56
Platelet activation Homo sapiens hsa04611,122
Chemokine signaling pathway Homo sapiens hsa04062,187
Morphine addiction Homo sapiens hsa05032,91
GABAergic synapse Homo sapiens hsa04727,88
Retrograde endocannabinoid signaling Homo sapiens hsa04723,101
Glutamatergic synapse Homo sapiens hsa04724,114
Circadian entrainment Homo sapiens hsa04713,95
Dopaminergic synapse Homo sapiens hsa04728,129
Serotonergic synapse Homo sapiens hsa04726,112
Cholinergic synapse Homo sapiens hsa04725,111
Estrogen signaling pathway Homo sapiens hsa04915,99
Aldosterone synthesis and secretion Homo sapiens hsa04925,81
Insulin secretion Homo sapiens hsa04911,85
Thyroid hormone synthesis Homo sapiens hsa04918,71
Gastric acid secretion Homo sapiens hsa04971,74
Salivary secretion Homo sapiens hsa04970,89
Pancreatic secretion Homo sapiens hsa04972,96
Endocrine and other factor-regulated calcium reabsorption Homo sapiens hsa04961,47
Bile secretion Homo sapiens hsa04976,71
Ovarian steroidogenesis Homo sapiens hsa04913,50
Vasopressin-regulated water reabsorption Homo sapiens hsa04962,44
Cocaine addiction Homo sapiens hsa05030,49
Amphetamine addiction Homo sapiens hsa05031,67
Glucagon signaling pathway Homo sapiens hsa04922,101
Adipocytokine signaling pathway Homo sapiens hsa04920,70
Insulin resistance Homo sapiens hsa04931,109
Insulin signaling pathway Homo sapiens hsa04910,139
Type II diabetes mellitus Homo sapiens hsa04930,48
Longevity regulating pathway - multiple species Homo sapiens hsa04213,64
Longevity regulating pathway - mammal Homo sapiens hsa04211,94
AMPK signaling pathway Homo sapiens hsa04152,124
mTOR signaling pathway Homo sapiens hsa04150,60
Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960,39
Carbohydrate digestion and absorption Homo sapiens hsa04973,45
Thyroid hormone signaling pathway Homo sapiens hsa04919,118
Sphingolipid signaling pathway Homo sapiens hsa04071,120
Chagas disease (American trypanosomiasis) Homo sapiens hsa05142,104
AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933,101
Amoebiasis Homo sapiens hsa05146,100
Natural killer cell mediated cytotoxicity Homo sapiens hsa04650,135
Fc gamma R-mediated phagocytosis Homo sapiens hsa04666,93
Choline metabolism in cancer Homo sapiens hsa05231,101
Phospholipase D signaling pathway Homo sapiens hsa04072,144
Central carbon metabolism in cancer Homo sapiens hsa05230,67
HIF-1 signaling pathway Homo sapiens hsa04066,103
Renal cell carcinoma Homo sapiens hsa05211,66
ErbB signaling pathway Homo sapiens hsa04012,87
Acute myeloid leukemia Homo sapiens hsa05221,57
Endometrial cancer Homo sapiens hsa05213,52
Colorectal cancer Homo sapiens hsa05210,62
Pancreatic cancer Homo sapiens hsa05212,66
Chronic myeloid leukemia Homo sapiens hsa05220,73
Prostate cancer Homo sapiens hsa05215,89
Melanoma Homo sapiens hsa05218,71
Glioma Homo sapiens hsa05214,65
Non-small cell lung cancer Homo sapiens hsa05223,56
VEGF signaling pathway Homo sapiens hsa04370,61
Fc epsilon RI signaling pathway Homo sapiens hsa04664,68
B cell receptor signaling pathway Homo sapiens hsa04662,73
