Pathway,Count
ABC transporters,45
AGE-RAGE signaling pathway in diabetic complications,100
AMPK signaling pathway,120
Acute myeloid leukemia,66
Adherens junction,72
Adipocytokine signaling pathway,69
Adrenergic signaling in cardiomyocytes,145
African trypanosomiasis,37
"Alanine, aspartate and glutamate metabolism",35
Alcoholism,180
Aldosterone synthesis and secretion,98
Aldosterone-regulated sodium reabsorption,37
Allograft rejection,38
Alzheimer disease,171
Amino sugar and nucleotide sugar metabolism,48
Aminoacyl-tRNA biosynthesis,66
Amoebiasis,96
Amphetamine addiction,68
Amyotrophic lateral sclerosis (ALS),51
Antigen processing and presentation,77
Apelin signaling pathway,137
Apoptosis,143
Arachidonic acid metabolism,63
Arginine and proline metabolism,49
Arginine biosynthesis,21
Arrhythmogenic right ventricular cardiomyopathy (ARVC),72
Ascorbate and aldarate metabolism,27
Asthma,31
Autoimmune thyroid disease,53
Autophagy,128
Axon guidance,181
B cell receptor signaling pathway,71
Bacterial invasion of epithelial cells,74
Basal cell carcinoma,63
Basal transcription factors,45
Base excision repair,33
Bile secretion,72
Biosynthesis of unsaturated fatty acids,27
Bladder cancer,41
Breast cancer,147
Butanoate metabolism,28
C-type lectin receptor signaling pathway,104
Caffeine metabolism,5
Calcium signaling pathway,188
Carbohydrate digestion and absorption,44
Cardiac muscle contraction,78
Cell adhesion molecules (CAMs),145
Cell cycle,124
Cellular senescence,160
Central carbon metabolism in cancer,65
Chagas disease (American trypanosomiasis),103
Chemical carcinogenesis,82
Chemokine signaling pathway,190
Cholesterol metabolism,50
Choline metabolism in cancer,99
Cholinergic synapse,112
Chronic myeloid leukemia,76
Circadian entrainment,97
Circadian rhythm,31
Citrate cycle (TCA cycle),30
Cocaine addiction,49
Collecting duct acid secretion,27
Colorectal cancer,86
Complement and coagulation cascades,79
Cortisol synthesis and secretion,65
Cushing syndrome,155
Cysteine and methionine metabolism,47
Cytokine-cytokine receptor interaction,294
Cytosolic DNA-sensing pathway,63
D-Glutamine and D-glutamate metabolism,5
DNA replication,36
Dilated cardiomyopathy (DCM),91
Dopaminergic synapse,131
Drug metabolism,108
ECM-receptor interaction,82
Endocrine and other factor-regulated calcium reabsorption,48
Endocytosis,244
Endometrial cancer,58
Epithelial cell signaling in Helicobacter pylori infection,68
Epstein-Barr virus infection,201
ErbB signaling pathway,85
Estrogen signaling pathway,137
Ether lipid metabolism,47
Fanconi anemia pathway,54
Fat digestion and absorption,41
Fatty acid biosynthesis,13
Fatty acid degradation,44
Fatty acid elongation,27
Fc epsilon RI signaling pathway,68
Fc gamma R-mediated phagocytosis,91
Ferroptosis,40
Fluid shear stress and atherosclerosis,139
Focal adhesion,199
Folate biosynthesis,26
FoxO signaling pathway,132
Fructose and mannose metabolism,33
GABAergic synapse,89
Galactose metabolism,31
Gap junction,88
Gastric acid secretion,75
Gastric cancer,149
Glioma,75
Glucagon signaling pathway,103
Glutamatergic synapse,114
Glutathione metabolism,56
Glycerolipid metabolism,61
Glycerophospholipid metabolism,97
"Glycine, serine and threonine metabolism",40
Glycolysis / Gluconeogenesis,68
Glycosaminoglycan biosynthesis,53
Glycosaminoglycan degradation,19
Glycosphingolipid biosynthesis,45
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,25
Glyoxylate and dicarboxylate metabolism,30
GnRH signaling pathway,93
Graft-versus-host disease,41
HIF-1 signaling pathway,100
Hedgehog signaling pathway,47
Hematopoietic cell lineage,97
Hepatitis B,163
Hepatitis C,155
Hepatocellular carcinoma,168
Herpes simplex virus 1 infection,492
Hippo signaling pathway,160
Histidine metabolism,23
Homologous recombination,41
Human T-cell leukemia virus 1 infection,219
Human cytomegalovirus infection,225
Human immunodeficiency virus 1 infection,212
Human papillomavirus infection,330
Huntington disease,193
Hypertrophic cardiomyopathy (HCM),85
IL-17 signaling pathway,93
Inflammatory bowel disease (IBD),65
Inflammatory mediator regulation of TRP channels,100
Influenza A,171
Inositol phosphate metabolism,74
Insulin resistance,108
Insulin secretion,86
Insulin signaling pathway,137
Intestinal immune network for IgA production,48
JAK-STAT signaling pathway,162
Kaposi sarcoma-associated herpesvirus infection,186
Legionellosis,55
Leishmaniasis,74
Leukocyte transendothelial migration,112
Linoleic acid metabolism,29
Long-term depression,60
Long-term potentiation,67
Longevity regulating pathway,102
Lysine degradation,59
Lysosome,123
MAPK signaling pathway,295
Malaria,49
Mannose type O-glycan biosynthesis,23
Maturity onset diabetes of the young,26
Measles,138
Melanogenesis,101
Melanoma,72
Metabolism of xenobiotics by cytochrome P450,74
MicroRNAs in cancer,299
Mineral absorption,51
Mismatch repair,23
Mitophagy,65
Morphine addiction,91
Mucin type O-glycan biosynthesis,31
N-Glycan biosynthesis,50
NF-kappa B signaling pathway,95
NOD-like receptor signaling pathway,178
Natural killer cell mediated cytotoxicity,131
Necroptosis,162
"Neomycin, kanamycin and gentamicin biosynthesis",5
Neuroactive ligand-receptor interaction,338
Neurotrophin signaling pathway,119
Nicotinate and nicotinamide metabolism,30
Nicotine addiction,40
Nitrogen metabolism,17
Non-alcoholic fatty liver disease (NAFLD),149
Non-homologous end-joining,13
Non-small cell lung cancer,66
Notch signaling pathway,48
Nucleotide excision repair,47
Olfactory transduction,444
One carbon pool by folate,20
Oocyte meiosis,125
Osteoclast differentiation,127
Other glycan degradation,18
Other types of O-glycan biosynthesis,22
Ovarian steroidogenesis,49
Oxidative phosphorylation,133
Oxytocin signaling pathway,153
PI3K-Akt signaling pathway,354
PPAR signaling pathway,74
Pancreatic cancer,75
Pancreatic secretion,98
Pantothenate and CoA biosynthesis,19
"Parathyroid hormone synthesis, secretion and action",106
Parkinson disease,142
Pathogenic Escherichia coli infection,55
Pathways in cancer,530
Pentose and glucuronate interconversions,34
Pentose phosphate pathway,30
Peroxisome,83
Pertussis,76
Phagosome,152
Phenylalanine metabolism,17
"Phenylalanine, tyrosine and tryptophan biosynthesis",5
Phosphatidylinositol signaling system,99
Phospholipase D signaling pathway,148
Phosphonate and phosphinate metabolism,6
Phototransduction,28
Platelet activation,124
Porphyrin and chlorophyll metabolism,42
Primary bile acid biosynthesis,17
Primary immunodeficiency,37
Prion diseases,35
Progesterone-mediated oocyte maturation,99
Prolactin signaling pathway,70
Propanoate metabolism,32
Prostate cancer,97
Proteasome,45
Protein digestion and absorption,90
Protein export,23
Protein processing in endoplasmic reticulum,165
Proteoglycans in cancer,201
Proximal tubule bicarbonate reclamation,23
Purine metabolism,129
Pyrimidine metabolism,57
Pyruvate metabolism,39
RIG-I-like receptor signaling pathway,70
RNA degradation,79
RNA polymerase,31
RNA transport,165
Rap1 signaling pathway,206
Ras signaling pathway,232
Regulation of actin cytoskeleton,214
Regulation of lipolysis in adipocytes,55
Relaxin signaling pathway,130
Renal cell carcinoma,69
Renin secretion,69
Renin-angiotensin system,23
Retinol metabolism,67
Retrograde endocannabinoid signaling,148
Rheumatoid arthritis,91
Riboflavin metabolism,8
Ribosome,153
Ribosome biogenesis in eukaryotes,101
SNARE interactions in vesicular transport,34
Salivary secretion,90
Salmonella infection,86
Selenocompound metabolism,17
Serotonergic synapse,113
Shigellosis,65
Signaling pathways regulating pluripotency of stem cells,139
Small cell lung cancer,93
Sphingolipid metabolism,47
Sphingolipid signaling pathway,119
Spliceosome,134
Staphylococcus aureus infection,68
Starch and sucrose metabolism,36
Steroid biosynthesis,19
Steroid hormone biosynthesis,60
Sulfur metabolism,9
Sulfur relay system,8
Synaptic vesicle cycle,78
Synthesis and degradation of ketone bodies,10
Systemic lupus erythematosus,133
T cell receptor signaling pathway,101
TGF-beta signaling pathway,90
TNF signaling pathway,110
Taste transduction,83
Taurine and hypotaurine metabolism,11
Terpenoid backbone biosynthesis,22
Th1 and Th2 cell differentiation,92
Th17 cell differentiation,107
Thermogenesis,231
Thiamine metabolism,15
Thyroid cancer,37
Thyroid hormone signaling pathway,116
Thyroid hormone synthesis,74
Tight junction,170
Toll-like receptor signaling pathway,104
Toxoplasmosis,113
Transcriptional misregulation in cancer,186
Tryptophan metabolism,42
Tuberculosis,179
Type I diabetes mellitus,43
Type II diabetes mellitus,46
Tyrosine metabolism,36
Ubiquinone and other terpenoid-quinone biosynthesis,11
Ubiquitin mediated proteolysis,137
VEGF signaling pathway,59
"Valine, leucine and isoleucine degradation",48
Vascular smooth muscle contraction,132
Vasopressin-regulated water reabsorption,44
Vibrio cholerae infection,50
Viral carcinogenesis,201
Viral myocarditis,59
Vitamin B6 metabolism,6
Vitamin digestion and absorption,24
Wnt signaling pathway,158
alpha-Linolenic acid metabolism,25
beta-Alanine metabolism,31
cAMP signaling pathway,212
cGMP-PKG signaling pathway,166
mRNA surveillance pathway,91
mTOR signaling pathway,152
p53 signaling pathway,72
