Pathway,Count
BRAF druginhibition 175 GSE42872,300
BRAF druginhibition 38 GDS5085,300
FGFR3 druginhibition 36 GDS5023,300
ERBB3 knockdown 65 GSE19921,300
BRAF knockdown 193 GSE5481,300
AURKA druginhibition 196 GSE57810,300
HUNK knockout 240 GSE14226,300
TGFBR2 knockout 293 GSE46211,300
TGFBR2 knockout 292 GSE46150,300
TGFBR2 knockout 295 GSE45968,300
TGFBR2 knockout 296 GSE22989,300
PDK1 knockout 265 GSE42187,300
TRIM28 knockout 302 GSE32224,300
TRIM28 knockout 303 GSE32224,300
RAF1 activemutant 219 GSE42964,300
CDK4 knockdown 225 GSE8866,300
IGF1R druginhibition 46 GSE14024,300
IRAK4 defectivemutant 200 GSE6789,300
RET knockout 270 GSE32093,300
GSK3A knockdown 201 GDS4305,300
GSK3B knockdown 202 GDS4305,300
GSK3A knockdown 207 GDS4305,300
GSK3B knockdown 208 GDS4305,300
GSK3A knockdown 203 GDS4305,300
GSK3B knockdown 204 GDS4305,300
SYK knockdown 189 GSE54065,300
SYK knockdown 190 GSE54065,300
SYK knockdown 191 GSE54065,300
ABL1 druginhibition 77 GSE24493,300
ILK activemutant 78 GSE25729,300
ALK druginhibition 187 GSE50803,300
TYK2 knockdown 176 GSE44652,300
TYK2 knockdown 35 GDS4754,300
PIK3CA druginhibition 57 GSE17785,300
SYK druginhibition 152 GSE34176,300
SYK druginhibition 153 GSE34176,300
SYK druginhibition 154 GSE34176,300
SYK druginhibition 155 GSE34176,300
SYK druginhibition 281 GSE43510,300
SYK druginhibition 282 GSE43510,300
SYK druginhibition 283 GSE43510,300
SYK druginhibition 284 GSE43510,300
SYK druginhibition 290 GSE43510,300
SYK druginhibition 285 GSE43510,300
SYK druginhibition 286 GSE43510,300
SYK druginhibition 287 GSE43510,300
SYK druginhibition 288 GSE43510,300
SYK druginhibition 289 GSE43510,300
JAK1 druginhibition 165 GSE38335,300
JAK2 druginhibition 167 GSE38335,300
JAK1 druginhibition 166 GSE38335,300
JAK2 druginhibition 168 GSE38335,300
MAP2K1 druginhibition 172 GSE39984,300
CDK8 knockdown 128 GSE30815,300
