Pathway,Count
ABCF1 knockdown 96h A375,300
ABL1 knockdown 96h A375,300
ABL2 knockdown 96h A375,300
ACVR1 knockdown 96h A375,300
ADCK3 knockdown 96h A375,300
ADORA2A knockdown 96h A375,300
ADORA2B knockdown 96h A375,300
ADRA2A knockdown 96h A375,300
ADRA2C knockdown 96h A375,300
ADRB2 knockdown 96h A375,300
AGTR1 knockdown 96h A375,300
AKT1 knockdown 96h A375,300
AKT2 knockdown 96h A375,300
AKT3 knockdown 96h A375,300
ALK knockdown 96h A375,300
ANO1 knockdown 96h A375,300
AR knockdown 96h A375,300
ARAF knockdown 96h A375,300
ATM knockdown 96h A375,300
ATR knockdown 96h A375,300
AURKA knockdown 96h A375,300
AURKB knockdown 96h A375,300
AXL knockdown 96h A375,300
BCKDK knockdown 96h A375,300
BDKRB2 knockdown 96h A375,300
BMPR1A knockdown 96h A375,300
BRAF knockdown 96h A375,300
BTK knockdown 96h A375,300
BUB1 knockdown 96h A375,300
BUB1B knockdown 96h A375,300
C9ORF96 knockdown 96h A375,300
CACNA1D knockdown 96h A375,300
CAMK1 knockdown 96h A375,300
CAMK2D knockdown 96h A375,300
CAMK2G knockdown 96h A375,300
CAMKK2 knockdown 96h A375,300
CASK knockdown 96h A375,300
CCRL2 knockdown 96h A375,300
CD97 knockdown 96h A375,300
CDC7 knockdown 96h A375,300
CDK1 knockdown 96h A375,300
CDK10 knockdown 96h A375,300
CDK11B knockdown 96h A375,300
CDK16 knockdown 96h A375,300
CDK19 knockdown 96h A375,300
CDK2 knockdown 96h A375,300
CDK4 knockdown 96h A375,300
CDK5 knockdown 96h A375,300
CDK6 knockdown 96h A375,300
CDK7 knockdown 96h A375,300
CDK8 knockdown 96h A375,300
CDK9 knockdown 96h A375,300
CDKL4 knockdown 96h A375,300
CELSR2 knockdown 96h A375,300
CELSR3 knockdown 96h A375,300
CFTR knockdown 96h A375,300
CHEK1 knockdown 96h A375,300
CHEK2 knockdown 96h A375,300
CHRM1 knockdown 96h A375,300
CHRM3 knockdown 96h A375,300
CHUK knockdown 96h A375,300
CLIC4 knockdown 96h A375,300
CLK1 knockdown 96h A375,300
CLK2 knockdown 96h A375,300
CLK3 knockdown 96h A375,300
CLK4 knockdown 96h A375,300
CSK knockdown 96h A375,300
CSNK1A1 knockdown 96h A375,300
CSNK1A1L knockdown 96h A375,300
CSNK1D knockdown 96h A375,300
CSNK1E knockdown 96h A375,300
CSNK1G2 knockdown 96h A375,300
CSNK2A1 knockdown 96h A375,300
CSNK2A2 knockdown 96h A375,300
CXCR2 knockdown 96h A375,300
CXCR4 knockdown 96h A375,300
CXCR7 knockdown 96h A375,300
DAPK1 knockdown 96h A375,300
DAPK3 knockdown 96h A375,300
DDR1 knockdown 96h A375,300
DYRK1A knockdown 96h A375,300
DYRK3 knockdown 96h A375,300
EDNRB knockdown 96h A375,300
EGFR knockdown 96h A375,300
EIF2AK1 knockdown 96h A375,300
EIF2AK2 knockdown 96h A375,300
EIF2AK3 knockdown 96h A375,300
ELTD1 knockdown 96h A375,300
EMR1 knockdown 96h A375,300
EPHA2 knockdown 96h A375,300
