Pathway,Count
A1BG Up,243
A1CF Up,245
A2M Up,242
AADACL2 Up,243
AADAT Up,239
AAK1 Up,242
AAMP Up,241
AASS Up,246
AATK Up,244
ABAT Up,243
ABCA1 Up,248
ABCA6 Up,245
ABCA7 Up,243
ABCA8 Up,242
ABCA9 Up,248
ABCB1 Up,248
ABCB11 Up,245
ABCB9 Up,245
ABCC1 Up,244
ABCC2 Up,248
ABCC3 Up,247
ABCC8 Up,244
ABCC9 Up,247
ABCD2 Up,245
ABCD3 Up,246
ABCG2 Up,247
ABHD2 Up,244
ABHD6 Up,245
ABI3 Up,248
ABI3BP Up,247
ABL1 Up,243
ABL2 Up,242
ABTB2 Up,241
ACAA2 Up,242
ACACA Up,247
ACACB Up,246
ACAD8 Up,246
ACADM Up,247
ACADSB Up,246
ACAN Up,247
ACAP1 Up,244
ACAT1 Up,243
ACAT2 Up,248
ACE Up,247
ACE2 Up,244
ACHE Up,243
ACKR1 Up,243
ACKR3 Up,245
ACLY Up,247
ACMSD Up,241
ACO1 Up,248
ACO2 Up,241
ACOD1 Up,245
ACOX1 Up,247
ACP1 Up,246
ACP5 Up,243
ACSL1 Up,245
ACSL3 Up,244
ACSL4 Up,244
ACSL6 Up,246
ACSM2A Up,246
ACSM2B Up,243
ACSM5 Up,243
ACSS1 Up,246
ACSS2 Up,247
ACTA1 Up,239
ACTA2 Up,246
ACTB Up,247
ACTL6A Up,245
ACTN4 Up,249
ACTR1A Up,239
ACTR2 Up,245
ACTR3 Up,240
ACVR1 Up,248
ACVR1B Up,244
ACVR1C Up,245
ACVR2A Up,242
ACVR2B Up,245
ACVRL1 Up,245
ACY1 Up,246
ACY3 Up,247
ADA2 Up,243
ADAD1 Up,245
ADAM10 Up,246
ADAM12 Up,239
ADAM15 Up,247
ADAM17 Up,246
ADAM19 Up,246
ADAM28 Up,247
ADAM30 Up,240
ADAM8 Up,248
ADAMDEC1 Up,244
ADAMTS5 Up,247
ADAMTSL3 Up,247
ADAP2 Up,241
ADAR Up,238
ADARB2 Up,246
ADCK1 Up,246
ADCK2 Up,247
ADCK3 Up,247
ADCK5 Up,242
ADCY1 Up,248
ADCY2 Up,248
ADCY3 Up,249
ADCY5 Up,244
ADCY7 Up,247
ADD3 Up,244
ADGRA2 Up,248
ADGRE1 Up,246
ADGRE2 Up,247
ADGRE5 Up,247
ADGRF5 Up,245
ADGRG1 Up,241
ADGRG5 Up,244
ADH1A Up,244
ADH1B Up,246
ADH1C Up,247
ADH5 Up,243
ADH7 Up,238
ADIPOR1 Up,244
ADIPOR2 Up,244
ADK Up,247
ADM Up,246
ADO Up,246
ADORA1 Up,250
ADORA2A Up,246
ADORA2B Up,240
ADORA3 Up,245
ADPGK Up,242
ADRA1A Up,246
ADRA1D Up,245
ADRA2A Up,244
ADRA2B Up,247
ADRA2C Up,244
ADRB1 Up,249
ADRB3 Up,244
ADSS Up,243
ADSSL1 Up,243
AEBP1 Up,247
AFDN Up,246
AFF1 Up,243
AFF3 Up,243
AFG3L2 Up,242
AGER Up,246
AGK Up,247
AGMAT Up,247
AGTR1 Up,247
AGTR2 Up,244
AGTRAP Up,237
AGXT Up,246
AGXT2 Up,245
