Pathway,Count
Afatinib Up,237
Erlotinib Up,231
Neratinib Up,232
Lapatinib Up,244
Pazopanib Up,240
HMN-214 Up,240
Fulvestrant Up,245
Vorinostat Up,246
Mitoxantrone Up,243
Tanespimycin Up,244
GDC-0941 Up,242
GSK-2110183 Up,246
AVL-292 Up,240
Ibrutinib Up,242
Dovitinib Up,238
Trametinib Up,250
Tozasertib Up,242
TAK-715 Up,246
Sirolimus Up,241
BI-D1870 Up,236
barasertib-HQPA Up,249
Sotrastaurin Up,248
Baricitinib Up,246
Midostaurin Up,247
Mps1-IN-1 Up,240
MI-2 Up,245
Ruxolitinib Up,248
WZ-4002 Up,245
Lenalidomide Up,247
GS-9973 Up,247
GSK-461364 Up,242
Pilaralisib Up,247
AZD-1480 Up,243
CX-4945 Up,237
NVP-TAE684 Up,243
AZ-628 Up,248
Cobimetinib Up,247
GW-5074 Up,248
Wortmannin Up,243
LJH-685 Up,244
BMS-345541 Up,247
A-443654 Up,245
GDC-834 Up,241
IPI-145 Up,242
IKK-16 Up,240
TG-101348 Up,241
ZM-447439 Up,245
Fostamatinib Up,242
Selumetinib Up,249
CP-466722 Up,238
Alpelisib Up,247
KIN-001-220 Up,247
Copanlisib Up,242
SL-0101-1 Up,246
Hydroxychloroquine Up,247
Fmk Up,243
Canertinib Up,243
Bms Up,246
XMD-1150 Up,241
NVP-BEZ235 Up,244
GDC-0068 Up,247
GSK-1838705A Up,246
MLN-4924 Up,247
MK-2206 Up,249
Enzastaurin Up,245
LJI-308 Up,250
Bortezomib Up,246
PRT-062607 Up,246
PF-04691502 Up,242
GW-843682X Up,248
Linifanib Up,247
Crizotinib Up,247
Everolimus Up,241
Dinaciclib Up,246
CINK-4 Up,245
PF-05212384 Up,241
AZD-5438 Up,244
Idelalisib Up,247
Securinine Up,241
Tamoxifen Up,247
Daunorubicin Up,247
Carbacyclin Up,246
Iloprost Up,247
MRE-269 Up,247
Tretinoin Up,249
Calcitriol Up,247
Geldanamycin Up,247
UTMB-00042 Up,239
KUC107191N Up,246
KUC105208 Up,240
Alpha-Estradiol Up,250
Fluphenazine Up,247
Estradiol Up,245
Radicicol Up,246
Trifluoperazine Up,249
Genistein Up,245
Troglitazone Up,245
LY-294002 Up,240
Valproic-Acid Up,247
Thioridazine Up,248
Withaferin-A Up,244
Alvespimycin Up,244
CGS-15943 Up,243
Taselisib Up,244
TW-37 Up,240
Lorazepam Up,245
AS-605240 Up,248
Calcipotriol Up,247
AZD-8055 Up,243
XL-888 Up,245
ABT-751 Up,242
AMG-232 Up,247
RITA Up,243
Indinavir Up,246
Cabozantinib Up,248
Nocodazole Up,242
Nelfinavir Up,236
AG-14361 Up,242
PJ-34 Up,241
Procaterol Up,246
Nutlin-3 Up,246
MG-132 Up,246
NVP-AUY922 Up,246
Birinapant Up,247
Gatifloxacin Up,248
Panobinostat Up,242
R-547 Up,243
Oncrasin-1 Up,234
Rucaparib Up,245
Imatinib Up,247
Zolpidem Up,246
Anagrelide Up,244
Levosulpiride Up,249
Obatoclax Up,245
Masitinib Up,246
Roscovitine Up,243
Alvocidib Up,245
Lomerizine Up,249
Floxuridine Up,247
Sorafenib Up,234
Gefitinib Up,244
Alectinib Up,247
Epirubicin Up,246
Axitinib Up,238
Tamibarotene Up,247
Tandutinib Up,247
Chelidonine Up,247
Entinostat Up,249
BI-2536 Up,238
Olaparib Up,250
Camptothecin Up,244
Digoxin Up,244
ABT-737 Up,235
YM-155 Up,248
Equilin Up,245
Dasatinib Up,247
Orciprenaline Up,249
AM-580 Up,248
Ponatinib Up,232
CGS-21680 Up,248
GDC-0199 Up,238
Lopinavir Up,241
Ceritinib Up,247
Quizartinib Up,243
Fludarabine Up,247
Anguidine Up,237
Dabrafenib Up,233
PHA-793887 Up,239
KW-2478 Up,245
KU-0063794 Up,244
Moxifloxacin Up,248
Estradiol-Cypionate Up,243
Simvastatin Up,246
Azathioprine Up,242
Amlodipine Up,247
Atorvastatin Up,248
Vemurafenib Up,232
Marbofloxacin Up,245
Mitomycin-C Up,244
Dienestrol Up,247
AZD-5363 Up,243
CV-1808 Up,245
JNJ-7706621 Up,245
GW-501516 Up,247
Vandetanib Up,247
Raloxifene Up,248
PD-0325901 Up,249
Parbendazole Up,243
Salmeterol Up,247
PI-103 Up,243
Emetine Up,242
Temozolomide Up,245
DL-PDMP Up,245
Ixazomib Up,244
Palbociclib Up,246
Idarubicin Up,241
Digitoxin Up,247
Allantoin Up,246
Metformin Up,249
Meticrane Up,243
Benzonatate Up,245
Hydroflumethiazide Up,240
Sulfaphenazole Up,246
GDC-0879 Up,249
Noretynodrel Up,246
Epirizole Up,245
Dyphylline Up,249
Triamterene Up,246
Procaine Up,245
Moxisylyte Up,245
Betazole Up,247
Metrifonate Up,245
Triflupromazine Up,246
Mefenamic-Acid Up,245
Morantel Up,243
Homatropine Up,243
PLX-4720 Up,244
Todralazine Up,248
Imipramine Up,240
Sulindac Up,249
Amitriptyline Up,245
Duloxetine Up,247
Modafinil Up,244
Olanzapine Up,241
17-AAG Up,246
Flunarizine Up,241
Oxiracetam Up,244
Agomelatine Up,247
Fluoxetine Up,247
PF-06260933 Up,248
Sertraline Up,245
Fluvastatin Up,246
PF-02545920 Up,249
Aripiprazole Up,245
Pramipexole Up,246
Tianeptine Up,243
BIX-01294 Up,247
Haloperidol Up,247
Tacedinaline Up,248
Topiramate Up,246
Bizine Up,244
I-BET-151 Up,236
Quetiapine Up,247
Topotecan Up,244
Isradipine Up,245
Citalopram Up,246
Ketamine Up,249
Varenicline Up,249
