Pathway,Count
SCF-SKBR3,162
TNFA-SKBR3,159
MSP-SKBR3,163
IFNA-SKBR3,159
PDGFBB-SKBR3,156
EPR-SKBR3,172
IL1-MCF10A,159
EPG-SKBR3,148
EGF-SKBR3,157
IL1-SKBR3,156
MCSF-MDAMB231,150
HGF-MDAMB231,168
GAS6-MDAMB231,159
EPG-MDAMB231,154
IL1-MDAMB231,158
HGF-MCF7,162
BTC-MCF10A,148
AR-BT20,165
HBEGF-BT20,159
EPG-MCF7,155
IFNA-BT20,167
IL6-MCF7,154
AR-SKBR3,159
IL4-MCF7,153
PDGFBB-MDAMB231,158
BNGF-BT20,156
TGFA-MCF7,165
IL4-HS578T,163
TNFA-MCF10A,167
IFNG-MCF7,174
HBEGF-SKBR3,167
IFNA-MDAMB231,166
MCSF-MCF7,159
HRG-SKBR3,160
GDNF-MCF7,165
HBEGF-HS578T,156
KGF-MCF7,167
HRG-MCF7,161
BTC-MCF7,166
IL1-HS578T,142
IGF1-MCF7,164
GAS6-MCF7,138
INS-SKBR3,169
EPR-MCF10A,162
BFGF-MCF7,158
FGF1-MCF7,148
FGF1-HS578T,162
IFNG-MCF10A,162
HGF-HS578T,156
EPG-BT20,150
GAS6-BT20,147
EGF-MCF10A,161
IL6-SKBR3,156
BNGF-HS578T,154
EGF-BT20,164
BTC-HS578T,165
IFNG-HS578T,156
EPG-MCF10A,157
TGFA-MCF10A,165
PDGFBB-BT20,164
TNFA-MCF7,162
EGF-HS578T,165
TGFA-HS578T,160
IL17-MCF7,160
PDGFBB-HS578T,153
BFGF-HS578T,163
MSP-HS578T,160
BTC-MDAMB231,152
IFNG-MDAMB231,178
IL1-BT20,154
GAS6-HS578T,162
IL1-MCF7,170
HRG-BT20,158
IL4-MDAMB231,154
EGF-MCF7,139
HGF-BT20,169
IFNA-HS578T,158
IL17-BT20,152
MCSF-SKBR3,144
MCSF-HS578T,161
TNFA-HS578T,144
IGF2-SKBR3,150
IGF2-BT20,171
BTC-SKBR3,170
IFNG-BT20,174
EGF-MDAMB231,153
TNFA-BT20,167
IFNG-SKBR3,170
BTC-BT20,161
IFNA-MCF7,158
HRG-MDAMB231,164
TGFA-BT20,148
EPR-BT20,154
BFGF-BT20,151
TGFA-SKBR3,162
TNFA-MDAMB231,165
