Pathway,Count
estradiol mouse uterus GSE23072 ligand:77,419
Interleukin-1 beta mouse embryonic fibroblasts from IRAK-4 kinase deficient mutants GDS2641 ligand:59,331
interleukin-12 mouse CD8 T cells GSE72791 ligand:236,432
17beta-estradiol mouse uterus GDS1058 ligand:37,237
Interleukin-13 human Breast cancer - MCF10CA1a cell line (pLKO-shSCR) GSE57677 ligand:242,276
interleukin 28B human hepatocyte GDS4390 ligand:183,271
interleukin 28B human hepatocyte GDS4390 ligand:189,201
TGF-beta human Panc-1 cells GDS4106 ligand:16,286
estradiol human MCF-7 cells GDS4052 ligand:268,242
estradiol human MCF-7 cells GSE23610 ligand:131,241
TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:256,250
TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:257,297
angiotensin II mouse suprarenal aorta GSE17901 ligand:262,230
angiotensin II mouse suprarenal aorta GSE17901 ligand:261,262
angiotensin II mouse suprarenal aorta GSE17901 ligand:260,228
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:69,289
nterferon-&Icirc;&plusmn; human keratinocyte GDS4601 ligand:176,203
Interleukin-13 (IL-13) human airway epithelial cells (AECs) GDS4981 ligand:72,274
interleukin-1 rat chondrocyte GDS2472 ligand:228,338
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:65,238
Interleukin-8 (IL-8) human immature dendritic cells GDS4567 ligand:74,315
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:67,300
Interleukin-1 beta mouse embryonic fibroblasts GDS2641 ligand:58,354
insulin-like growth factor I (IGF-I) human MCF-7 cells GSE26834 ligand:136,337
growth hormone mouse 3T3-F442A adipocytes GDS1489 ligand:12,322
growth hormone mouse 3T3-F442A adipocytes GDS1489 ligand:10,404
growth hormone mouse 3T3-F442A adipocytes GDS1489 ligand:11,354
interleukin-17A human keratinocyte GDS4601 ligand:185,267
neuromedin U mouse type-2 Th cell line D10.G4.1 GDS882 ligand:22,357
neuromedin U mouse type-2 Th cell line D10.G4.1 GDS882 ligand:21,254
neuromedin U mouse type-2 Th cell line D10.G4.1 GDS882 ligand:20,280
TGF-beta1 mouse renal mesangial MES-13 cells GDS1892 ligand:15,286
estradiol human MCF7cells GSE33287 ligand:82,289
estradiol human MCF7cells GSE33287 ligand:81,334
estradiol human MCF-7 breast cancer cells GDS3283 ligand:43,167
estradiol (E2) mouse uterine tissue GSE61921 ligand:289,208
estradiol (E2) mouse uterine tissue GSE61921 ligand:288,272
estrogen mouse left lung from ovariectomized animals GDS960 ligand:51,302
estradiol mouse hematopoietic stem cells (HSCs) GSE52711 ligand:97,320
Interleukin-13 human Breast cancer - MCF10CA1a cell line (pLKO-shIL13RA2) GSE57677 ligand:243,336
interleukin-4 human PBMC GSE59184 ligand:146,285
interleukin-4 human PBMC GSE59184 ligand:147,349
17beta-estradiol mouse vagina GSE6931 ligand:88,239
interleukin-6 human prostate fibroblasts GSE68164 ligand:238,305
17beta-estradiol mouse thymus GSE2889 ligand:154,437
estrogen human MCF-7 cells GSE11324 ligand:89,71
17beta-estradiol rat ischemic cerebral cortex GDS2311 ligand:263,215
TGF-beta human A549 epithelial cells GDS3710 ligand:254,293
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:70,297
17beta-estradiol mouse thymus GSE2889 ligand:155,293
Interleukin-21 mouse CD8+ T cells GDS1030 ligand:231,330
estradiol human endothelial cells GDS3600 ligand:30,246
testosterone human skeletal muscle GDS2920 ligand:62,329
17beta-estradiol mouse thymus GDS1275 ligand:271,475
Thyroid hormone mouse Cerebellar neuronal cell GDS4484 ligand:169,250
interleukin-17 human keratinocyte GDS4601 ligand:180,204
17beta-estradiol mouse mammary gland GSE6931 ligand:87,371
estradiol mouse uterus GSE23072 ligand:76,242
Interleukin-6 mouse macrophage GSE411 ligand:232,325
Interleukin-6 mouse macrophage GSE411 ligand:230,290
TGF-beta1 human IOSE - immortalized ovarian surface epithelial cell line GDS2975 ligand:255,168
progesterone mouse uterine horn GDS187 ligand:47,301
testosterone mouse stria terminalis/preoptic area GSE49986 ligand:283,313
17beta-estradiol mouse bone marrow (BM) c-kit+ stem cells (SCs) GDS3816 ligand:28,212
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:71,284
triiodothyronine (T3) human HepG2 cells GDS3945 ligand:68,268
estrogen mouse aorta GDS3064 ligand:25,311
estrogen mouse beta null aorta GDS3064 ligand:27,291
