Pathway,Count
v-Myb GSE2815 mcf7:76,452
trans-retinoic acid + hydrocorti GSE32161 mcf7:20,324
CDH11 siRNA 96 hrs GSE53668 mcf7:297,304
RON and MSP overexpression GSE52567 mcf7:480,253
cisplatin GSE28274 mcf7:48,254
transfection with siRNA targeting metastasis suppressor ARGHDIB GSE53668 mcf7:259,427
transfection with siRNA targeting metastasis suppressor ARGHDIB GSE53668 mcf7:258,460
cysteine GSE62673 mcf7:167,300
"ICI-182,780(Fulvestrant) GSE35428 mcf7:338",162
PTTG1 siRNA GSE48928 mcf7:346,284
"ICI-182,780(Fulvestrant) GSE35428 mcf7:334",189
estradiol GSE11506 mcf7:60,298
estradiol GSE11506 mcf7:61,341
KISS1 siRNA 48 hrs GSE53668 mcf7:290,246
cycloheximide GSE8597 mcf7:55,320
Neuregulin (NRG) 3 hrs GSE69540 mcf7:205,351
Neuregulin (NRG) 6 hrs GSE69540 mcf7:206,312
estradiol GSE33287 mcf7:328,266
Ferulic acid GSE23610 mcf7:464,336
CDH2 siRNA 96 hrs GSE53668 mcf7:296,403
TNFa 90 min + 14-3-3 overexpress GSE37139 mcf7:438,287
dimethyloxalylglycine GDS2759 mcf7:105,372
triptolide GSE28662 mcf7:291,34
induction of expression of nuclear LIM-only protein 4 (LMO4) GDS2788 mcf7:106,313
NMS-E973 GSE19638 mcf7:144,252
cyclin D1 siRNA + E2 24 hrs GSE48989 mcf7:345,227
TNFa 20 min GSE37139 mcf7:435,198
RRM1 siRNA 48 hrs GSE53668 mcf7:288,206
gefitinib GSE48652 mcf7:270,330
estradiol GSE11352 mcf7:64,276
estradiol GSE11352 mcf7:63,308
estradiol GSE11352 mcf7:62,390
SPDEF siRNA GSE48928 mcf7:347,290
knockdownofESR1 GSE18431 mcf7:326,299
Doxorubicin GSE13477 mcf7:8,320
Irinotecan (SN-38) GSE19638 mcf7:145,229
Tanespimycin (17-AAG) GSE19638 mcf7:140,210
argyrin A GDS3367 mcf7:108,210
argyrin A GDS3367 mcf7:109,259
AM580 GSE42619 mcf7:275,316
NFKB1 siRNA GSE31912 mcf7:133,311
4-hydroxytamoxifen GSE35428 mcf7:333,352
c-Myb GSE2815 mcf7:75,473
1nM E2 + 40nM endoxifen 24 hours GSE27375 mcf7:496,280
transfection with siRNA targeting metastasis suppressor CDH1 GSE53668 mcf7:244,440
estradiol GSE23610 mcf7:462,359
lacticacidosis GSE29406 mcf7:308,310
Progesterone receptor isoform B  GSE45643 mcf7:215,328
Progesterone receptor isoform B  GSE45643 mcf7:214,305
MAP2K7 siRNA 96 hrs GSE53668 mcf7:301,311
AP-2 gamma siRNA 3 GSE15481 mcf7:51,320
PEBP1 siRNA 48 hrs GSE53668 mcf7:286,168
transfection with siRNA targeting metastasis suppressor DRG1 GSE53668 mcf7:261,383
ZF-TF 115/fulvestrant GSE27444 mcf7:26,220
cisplatin GSE28274 mcf7:47,226
insulin-like growth factor 1 GDS3484 mcf7:97,280
insulin-like growth factor 1 GDS3484 mcf7:98,288
MTDH isoform siRNA GSE59055 mcf7:221,417
estradiol GSE8597 mcf7:54,397
