Pathway,Count
MP0008438 abnormal cutaneous collagen ,17
MP0002909 abnormal adrenal gland ,25
MP0000609 abnormal liver physiology ,442
MP0001730 embryonic growth arrest ,222
MP0001731 abnormal postnatal growth ,733
MP0002210 abnormal sex determination ,426
MP0000604 amyloidosis ,42
MP0000598 abnormal liver morphology ,586
MP0005334 abnormal fat pad ,235
MP0005332 abnormal amino acid ,134
MP0005330 cardiomyopathy ,90
MP0002269 muscular atrophy ,99
MP0001765 abnormal ion homeostasis ,137
MP0004043 abnormal pH regulation ,22
MP0008961 abnormal basal metabolism ,22
MP0003195 calcinosis ,10
MP0002837 dystrophic cardiac calcinosis ,16
MP0005369 muscle phenotype ,248
MP0009250 abnormal appendicular skeleto ,93
MP0002998 abnormal bone remodeling ,131
MP0002066 abnormal motor capabilities/c ,1483
MP0005248 abnormal Harderian gland ,17
MP0002419 abnormal innate immunity ,412
MP0004133 heterotaxia ,42
MP0002396 abnormal hematopoietic system ,28
MP0001529 abnormal vocalization ,22
MP0004134 abnormal chest morphology ,30
MP0001845 abnormal inflammatory respons ,707
MP0004036 abnormal muscle relaxation ,45
MP0002398 abnormal bone marrow ,988
MP0000733 abnormal muscle development ,72
MP0005423 abnormal somatic nervous ,13
MP0000230 abnormal systemic arterial ,219
MP0003984 embryonic growth retardation ,377
MP0002733 abnormal thermal nociception ,102
MP0005387 immune system phenotype ,126
MP0005386 behavior/neurological phenoty ,121
MP0005385 cardiovascular system phenoty ,202
MP0005384 cellular phenotype ,487
MP0001545 abnormal hematopoietic system ,44
MP0001544 abnormal cardiovascular syste ,202
MP0005381 digestive/alimentary phenotyp ,132
MP0005380 embryogenesis phenotype ,469
MP0008995 early reproductive senescence ,18
MP0000015 abnormal ear pigmentation ,26
MP0005389 reproductive system phenotype ,82
MP0005388 respiratory system phenotype ,145
MP0003806 abnormal nucleotide metabolis ,12
MP0000427 abnormal hair cycle ,56
MP0000428 abnormal craniofacial morphol ,118
MP0005636 abnormal mineral homeostasis ,195
MP0002166 altered tumor susceptibility ,28
MP0009703 decreased birth body ,145
MP0002163 abnormal gland morphology ,15
MP0002161 abnormal fertility/fecundity ,1089
MP0002168 other aberrant phenotype ,63
MP0002169 no abnormal phenotype ,1371
MP0010678 abnormal skin adnexa ,33
MP0002638 abnormal pupillary reflex ,20
MP0002736 abnormal nociception after ,27
MP0002735 abnormal chemical nociception ,35
MP0002734 abnormal mechanical nocicepti ,79
MP0002332 abnormal exercise endurance ,34
MP0003448 altered tumor morphology ,120
MP0008770 decreased survivor rate ,196
MP0008775 abnormal heart ventricle ,41
MP0000647 abnormal sebaceous gland ,66
MP0002229 neurodegeneration ,318
MP0004087 abnormal muscle fiber ,268
MP0004085 abnormal heartbeat ,172
MP0004084 abnormal cardiac muscle ,26
MP0009672 abnormal birth weight ,74
MP0000490 abnormal crypts of ,82
MP0010234 abnormal vibrissa follicle ,10
MP0001784 abnormal fluid regulation ,476
MP0003453 abnormal keratinocyte physiol ,63
MP0009053 abnormal anal canal ,23
MP0002896 abnormal bone mineralization ,118
MP0002452 abnormal antigen presenting ,723
MP0001764 abnormal homeostasis ,58
MP0010155 abnormal intestine physiology ,174
MP0004270 analgesia ,23
MP0001800 abnormal humoral immune ,462
MP0005360 urolithiasis ,11
MP0005365 abnormal bile salt ,30
MP0002295 abnormal pulmonary circulatio ,55
MP0005367 renal/urinary system phenotyp ,24
MP0006082 CNS inflammation ,34
MP0002098 abnormal vibrissa morphology ,109
MP0002095 abnormal skin pigmentation ,74
MP0002092 abnormal eye morphology ,145
MP0002090 abnormal vision ,49
MP0001119 abnormal female reproductive ,331
MP0003077 abnormal cell cycle ,181
MP0003075 altered response to ,54
MP0003172 abnormal lysosome physiology ,29
MP0001286 abnormal eye development ,196
MP0005197 abnormal uvea morphology ,120
MP0000465 gastrointestinal hemorrhage ,30
MP0000467 abnormal esophagus morphology ,47
MP0000462 abnormal digestive system ,36
MP0000747 muscle weakness ,64
MP0005671 abnormal response to ,61
MP0005670 abnormal white adipose ,12
MP0004510 myositis ,14
MP0005193 abnormal anterior eye ,339
MP0002006 tumorigenesis ,35
MP0000955 abnormal spinal cord ,245
MP0006035 abnormal mitochondrial morpho ,57
MP0006036 abnormal mitochondrial physio ,107
MP0002009 preneoplasia ,11
MP0008057 abnormal DNA replication ,13
MP0010630 abnormal cardiac muscle ,231
MP0003868 abnormal feces composition ,30
MP0002572 abnormal emotion/affect behav ,373
MP0008058 abnormal DNA repair ,52
MP0000266 abnormal heart morphology ,852
MP0000681 abnormal thyroid gland ,49
MP0001346 abnormal lacrimal gland ,17
MP0000685 abnormal immune system ,43
MP0001340 abnormal eyelid morphology ,194
MP0000689 abnormal spleen morphology ,670
MP0004957 abnormal blastocyst morpholog ,101
MP0004272 abnormal basement membrane ,32
MP0001348 abnormal lacrimal gland ,16
MP0001970 abnormal pain threshold ,176
MP0004811 abnormal neuron physiology ,310
MP0003329 amyloid beta deposits ,27
MP0000516 abnormal urinary system ,24
MP0000049 abnormal middle ear ,74
MP0002139 abnormal hepatobiliary system ,10
MP0002138 abnormal hepatobiliary system ,11
MP0002133 abnormal respiratory system ,145
MP0002132 abnormal respiratory system ,19
MP0002135 abnormal kidney morphology ,592
MP0002136 abnormal kidney physiology ,397
MP0004858 abnormal nervous system ,18
MP0003656 abnormal erythrocyte physiolo ,34
MP0001501 abnormal sleep pattern ,44
MP0001502 abnormal circadian rhythm ,98
MP0001727 abnormal embryo implantation ,36
MP0000639 abnormal adrenal gland ,83
MP0001485 abnormal pinna reflex ,42
MP0001486 abnormal startle reflex ,149
MP0000631 abnormal neuroendocrine gland ,100
MP0002254 reproductive system inflammat ,14
MP0004885 abnormal endolymph ,22
MP0003111 abnormal nucleus morphology ,101
MP0008872 abnormal physiological respon ,61
MP0005085 abnormal gallbladder physiolo ,35
MP0008877 abnormal DNA methylation ,25
MP0008874 decreased physiological sensi ,136
MP0005083 abnormal biliary tract ,34
MP0009642 abnormal blood homeostasis ,1835
MP0009643 abnormal urine homeostasis ,297
MP0002822 catalepsy ,11
MP0003959 abnormal lean body ,71
MP0003943 abnormal hepatobiliary system ,62
MP0003136 yellow coat color ,13
MP0003137 abnormal impulse conducting ,73
MP0002405 respiratory system inflammati ,159
MP0010030 abnormal orbit morphology ,17
MP0005551 abnormal eye electrophysiolog ,170
MP0005253 abnormal eye physiology ,105
MP0005257 abnormal intraocular pressure ,11
MP0001853 heart inflammation ,35
MP0004147 increased porphyrin level ,15
MP0001851 eye inflammation ,56
MP0004145 abnormal muscle electrophysio ,18
MP0004142 abnormal muscle tone ,50
MP0001188 hyperpigmentation ,17
MP0001849 ear inflammation ,28
MP0000703 abnormal thymus morphology ,393
MP0010386 abnormal urinary bladder ,16
MP0002078 abnormal glucose homeostasis ,637
MP0006072 abnormal retinal apoptosis ,38
MP0008875 abnormal xenobiotic pharmacok ,35
MP0003724 increased susceptibility to ,42
MP0003045 fibrosis ,25
MP0000858 altered metastatic potential ,73
MP0005075 abnormal melanosome morpholog ,27
MP0004859 abnormal synaptic plasticity ,35
MP0005076 abnormal cell differentiation ,31
MP0000003 abnormal adipose tissue ,37
MP0000001 mammalian phenotype ,3774
MP0005174 abnormal tail pigmentation ,49
MP0005171 absent coat pigmentation ,14
MP0005646 abnormal pituitary gland ,22
MP0005647 abnormal sex gland ,44
MP0003956 abnormal body size ,2129
MP0005645 abnormal hypothalamus physiol ,19
MP0003950 abnormal plasma membrane ,12
MP0003953 abnormal hormone level ,678
MP0002177 abnormal outer ear ,121
MP0009840 abnormal foam cell ,15
MP0002075 abnormal coat/hair pigmentati ,219
MP0004484 altered response of ,52
MP0000749 muscle degeneration ,41
MP0000313 abnormal cell death ,536
MP0003880 abnormal central pattern ,12
MP0000678 abnormal parathyroid gland ,22
MP0009697 abnormal copulation ,15
MP0001270 distended abdomen ,65
MP0004924 abnormal behavior ,121
MP0001881 abnormal mammary gland ,74
MP0001929 abnormal gametogenesis ,596
MP0008932 abnormal embryonic tissue ,105
MP0003315 abnormal perineum morphology ,22
MP0002970 abnormal white adipose ,221
MP0009763 increased sensitivity to ,282
MP0008260 abnormal autophagy ,18
MP0009765 abnormal xenobiotic induced ,108
MP0009764 decreased sensitivity to ,68
MP0001191 abnormal skin condition ,239
MP0002925 abnormal cardiovascular devel ,584
MP0002928 abnormal bile duct ,33
MP0001614 abnormal blood vessel ,779
MP0005595 abnormal vascular smooth ,97
MP0001756 abnormal urination ,100
MP0001819 abnormal immune cell ,1098
MP0004185 abnormal adipocyte glucose ,21
MP0003221 abnormal cardiomyocyte apopto ,43
MP0002282 abnormal trachea morphology ,46
MP0000343 altered response to ,63
MP0009115 abnormal fat cell ,99
MP0002089 abnormal postnatal growth/wei ,63
MP0002088 abnormal embryonic growth/wei ,386
MP0002085 abnormal embryonic tissue ,766
MP0002084 abnormal developmental patter ,422
MP0002086 abnormal extraembryonic tissu ,551
MP0002081 perinatal lethality ,982
MP0002080 prenatal lethality ,1686
MP0002083 premature death ,969
MP0002082 postnatal lethality ,1115
MP0003763 abnormal thymus physiology ,73
MP0001299 abnormal eye distance/ ,48
MP0005508 abnormal skeleton morphology ,128
MP0005501 abnormal skin physiology ,87
MP0005503 abnormal tendon morphology ,21
MP0000759 abnormal skeletal muscle ,291
MP0000751 myopathy ,28
MP0000750 abnormal muscle regeneration ,37
MP0003718 maternal effect ,49
MP0005448 abnormal energy balance ,140
MP0003252 abnormal bile duct ,31
MP0003091 abnormal cell migration ,82
MP0000350 abnormal cell proliferation ,309
MP0000358 abnormal cell content/ ,138
MP0004808 abnormal hematopoietic stem ,73
MP0005000 abnormal immune tolerance ,405
MP0003866 abnormal defecation ,58
