Pathway,Count
MP:0000600 liver hypoplasia,59
MP:0001716 abnormal placenta labyrinth morphology,85
MP:0001698 decreased embryo size,537
MP:0001092 abnormal trigeminal ganglion morphology,36
MP:0000961 abnormal dorsal root ganglion morphology,64
MP:0000245 abnormal erythropoiesis,117
MP:0000828 abnormal fourth ventricle morphology,14
MP:0000826 abnormal third ventricle morphology,19
MP:0005039 hypoxia,29
MP:0002840 abnormal lens fiber morphology,45
MP:0005545 abnormal lens development,28
MP:0003077 abnormal cell cycle,115
MP:0003203 increased neuron apoptosis,90
MP:0003717 pallor,218
MP:0004045 abnormal cell cycle checkpoint function,45
MP:0004265 abnormal placental transport,12
MP:0009395 increased nucleated erythrocyte cell number,44
MP:0009937 abnormal neuron differentiation,116
"MP:0011098 embryonic lethality during organogenesis, complete penetrance",656
MP:0011703 increased fibroblast proliferation,39
MP:0001614 abnormal blood vessel morphology,164
MP:0000364 abnormal vascular regression,20
MP:0006093 arteriovenous malformation,16
MP:0003984 embryonic growth retardation,595
MP:0004076 abnormal vitelline vascular remodeling,61
MP:0004784 abnormal anterior cardinal vein morphology,11
MP:0004787 abnormal dorsal aorta morphology,58
MP:0008803 abnormal placental labyrinth vasculature morphology,78
"MP:0011097 embryonic lethality between somite formation and embryo turning, complete penetrance",85
MP:0012099 decreased spongiotrophoblast size,18
MP:0002084 abnormal developmental patterning,92
MP:0002151 abnormal neural tube morphology,190
MP:0001695 abnormal gastrulation,51
MP:0000913 abnormal brain development,100
MP:0002230 abnormal primitive streak formation,25
MP:0001675 abnormal ectoderm development,47
MP:0001680 abnormal mesoderm development,62
MP:0001726 abnormal allantois morphology,58
MP:0001718 abnormal visceral yolk sac morphology,88
MP:0001691 abnormal somite shape,37
MP:0001684 abnormal axial mesoderm morphology,7
MP:0002825 abnormal notochord morphology,39
MP:0009768 impaired somite development,18
MP:0011733 fused somites,11
MP:0012087 absent midbrain,7
MP:0012135 embryonic-extraembryonic boundary constriction,15
MP:0012136 absent forebrain,13
MP:0012157 rostral body truncation,19
MP:0020515 abnormal visceral yolk sac endoderm morphology,10
MP:0020516 abnormal visceral yolk sac mesenchyme morphology,6
MP:0009744 postaxial polydactyly,8
MP:0002086 abnormal extraembryonic tissue morphology,111
MP:0001711 abnormal placenta morphology,87
MP:0001713 decreased trophoblast giant cell number,31
MP:0005031 abnormal trophoblast layer morphology,56
MP:0005033 abnormal trophoblast giant cell morphology,39
MP:0002836 abnormal chorion morphology,23
MP:0003403 absent placental labyrinth,21
MP:0003988 disorganized embryonic tissue,32
MP:0009593 absent chorion,15
MP:0009657 failure of chorioallantoic fusion,60
MP:0001879 abnormal lymphatic vessel morphology,35
MP:0000238 absent pre-B cells,10
MP:0000574 abnormal foot pad morphology,21
MP:0002192 hydrops fetalis,55
MP:0002144 abnormal B cell differentiation,106
MP:0001914 hemorrhage,275
MP:0001916 intracerebral hemorrhage,25
MP:0004106 lymphatic vessel hyperplasia,6
MP:0004938 dilated vasculature,21
MP:0008778 abnormal lymphangiogenesis,13
MP:0010200 enlarged lymphatic vessel,8
"MP:0011085 postnatal lethality, complete penetrance",432
MP:0002127 abnormal cardiovascular system morphology,56
MP:0000452 abnormal mouth morphology,14
MP:0002108 abnormal muscle morphology,49
MP:0000614 absent salivary gland,6
MP:0001823 thymus hypoplasia,167
MP:0002177 abnormal outer ear morphology,31
MP:0000460 mandible hypoplasia,33
MP:0002338 abnormal pulmonary ventilation,6
MP:0000284 double outlet right ventricle,186
MP:0000273 overriding aortic valve,69
MP:0001071 abnormal facial nerve morphology,27
MP:0001065 abnormal trigeminal nerve morphology,32
MP:0002633 persistent truncus arteriosis,74
MP:0005105 abnormal middle ear ossicle morphology,36
MP:0005249 abnormal palatine bone morphology,12
MP:0005508 abnormal skeleton morphology,131
MP:0003007 ectopic thymus,6
MP:0003138 absent tympanic ring,9
MP:0003139 patent ductus arteriosus,13
MP:0003755 abnormal palate morphology,27
MP:0004110 transposition of great arteries,44
MP:0004181 abnormal carotid artery morphology,13
MP:0004204 absent stapes,11
MP:0004318 absent incus,6
MP:0008023 abnormal styloid process morphology,11
MP:0006337 abnormal first pharyngeal arch morphology,22
MP:0006344 small second pharyngeal arch,13
MP:0009524 absent submandibular gland,7
MP:0009904 tongue hypoplasia,5
MP:0010418 perimembraneous ventricular septal defect,99
"MP:0011089 perinatal lethality, complete penetrance",269
MP:0002233 abnormal nose morphology,28
MP:0001953 respiratory failure,161
MP:0001293 anophthalmia,148
MP:0000830 abnormal diencephalon morphology,35
MP:0003635 abnormal synaptic transmission,33
MP:0004100 abnormal spinal cord interneuron morphology,24
MP:0020527 small thalamus,10
MP:0000259 abnormal vascular development,79
MP:0000280 thin ventricular wall,99
MP:0002672 abnormal pharyngeal arch artery morphology,23
MP:0003229 abnormal vitelline vasculature morphology,129
MP:0003542 abnormal vascular endothelial cell development,12
MP:0003974 abnormal endocardium morphology,25
MP:0004068 dilated dorsal aorta,18
