Pathway,Count
MP0008438 abnormal cutaneous collagen ,16
MP0002909 abnormal adrenal gland ,24
MP0000609 abnormal liver physiology ,441
MP0001730 embryonic growth arrest ,221
MP0001731 abnormal postnatal growth ,732
MP0002210 abnormal sex determination ,425
MP0000604 amyloidosis ,41
MP0000598 abnormal liver morphology ,585
MP0005334 abnormal fat pad ,234
MP0005332 abnormal amino acid ,133
MP0005330 cardiomyopathy ,89
MP0002269 muscular atrophy ,98
MP0001765 abnormal ion homeostasis ,136
MP0004043 abnormal pH regulation ,21
MP0008961 abnormal basal metabolism ,21
MP0003195 calcinosis ,9
MP0002837 dystrophic cardiac calcinosis ,15
MP0005369 muscle phenotype ,247
MP0009250 abnormal appendicular skeleto ,92
MP0002998 abnormal bone remodeling ,130
MP0002066 abnormal motor capabilities/c ,1482
MP0005248 abnormal Harderian gland ,16
MP0002419 abnormal innate immunity ,411
MP0004133 heterotaxia ,41
MP0002396 abnormal hematopoietic system ,27
MP0001529 abnormal vocalization ,21
MP0004134 abnormal chest morphology ,29
MP0001845 abnormal inflammatory respons ,707
MP0004036 abnormal muscle relaxation ,44
MP0002398 abnormal bone marrow ,987
MP0000733 abnormal muscle development ,71
MP0005423 abnormal somatic nervous ,12
MP0000230 abnormal systemic arterial ,218
MP0003984 embryonic growth retardation ,376
MP0002733 abnormal thermal nociception ,101
MP0005387 immune system phenotype ,125
MP0005386 behavior/neurological phenoty ,120
MP0005385 cardiovascular system phenoty ,201
MP0005384 cellular phenotype ,486
MP0001545 abnormal hematopoietic system ,43
MP0001544 abnormal cardiovascular syste ,201
MP0005381 digestive/alimentary phenotyp ,131
MP0005380 embryogenesis phenotype ,468
MP0008995 early reproductive senescence ,17
MP0000015 abnormal ear pigmentation ,25
MP0005389 reproductive system phenotype ,81
MP0005388 respiratory system phenotype ,144
MP0003806 abnormal nucleotide metabolis ,11
MP0000427 abnormal hair cycle ,55
MP0000428 abnormal craniofacial morphol ,117
MP0005636 abnormal mineral homeostasis ,194
MP0002166 altered tumor susceptibility ,27
MP0009703 decreased birth body ,144
MP0002163 abnormal gland morphology ,14
MP0002161 abnormal fertility/fecundity ,1088
MP0002168 other aberrant phenotype ,62
MP0002169 no abnormal phenotype ,1370
MP0010678 abnormal skin adnexa ,32
MP0002638 abnormal pupillary reflex ,19
MP0002736 abnormal nociception after ,26
MP0002735 abnormal chemical nociception ,34
MP0002734 abnormal mechanical nocicepti ,78
MP0002332 abnormal exercise endurance ,33
MP0003448 altered tumor morphology ,119
MP0008770 decreased survivor rate ,195
MP0008775 abnormal heart ventricle ,40
MP0000647 abnormal sebaceous gland ,65
MP0002229 neurodegeneration ,317
MP0004087 abnormal muscle fiber ,267
MP0004085 abnormal heartbeat ,171
MP0004084 abnormal cardiac muscle ,25
MP0009672 abnormal birth weight ,73
MP0000490 abnormal crypts of ,81
MP0010234 abnormal vibrissa follicle ,9
MP0001784 abnormal fluid regulation ,475
MP0003453 abnormal keratinocyte physiol ,62
MP0009053 abnormal anal canal ,22
MP0002896 abnormal bone mineralization ,117
MP0002452 abnormal antigen presenting ,722
MP0001764 abnormal homeostasis ,57
MP0010155 abnormal intestine physiology ,173
MP0004270 analgesia ,22
MP0001800 abnormal humoral immune ,461
MP0005360 urolithiasis ,10
MP0005365 abnormal bile salt ,29
MP0002295 abnormal pulmonary circulatio ,54
MP0005367 renal/urinary system phenotyp ,23
MP0006082 CNS inflammation ,33
MP0002098 abnormal vibrissa morphology ,108
MP0002095 abnormal skin pigmentation ,73
MP0002092 abnormal eye morphology ,144
