Pathway,Count
TNF-alpha Signaling via NF-kB,200
Hypoxia,200
Cholesterol Homeostasis,74
Mitotic Spindle,199
Wnt-beta Catenin Signaling,42
TGF-beta Signaling,54
IL-6/JAK/STAT3 Signaling,87
DNA Repair,150
G2-M Checkpoint,200
Apoptosis,161
Notch Signaling,32
Adipogenesis,200
Estrogen Response Early,200
Estrogen Response Late,200
Androgen Response,100
Myogenesis,200
Protein Secretion,96
Interferon Alpha Response,97
Interferon Gamma Response,200
Apical Junction,200
Apical Surface,44
Hedgehog Signaling,36
Complement,200
Unfolded Protein Response,113
PI3K/AKT/mTOR  Signaling,105
mTORC1 Signaling,200
E2F Targets,200
Myc Targets V1,200
Myc Targets V2,58
Epithelial Mesenchymal Transition,200
Inflammatory Response,200
Xenobiotic Metabolism,200
Fatty Acid Metabolism,158
Oxidative Phosphorylation,200
Glycolysis,200
Reactive Oxygen Species Pathway,49
p53 Pathway,200
UV Response Up,158
UV Response Dn,144
Angiogenesis,36
heme Metabolism,200
Coagulation,138
IL-2/STAT5 Signaling,199
Bile Acid Metabolism,112
Pperoxisome,104
Allograft Rejection,200
Spermatogenesis,135
KRAS Signaling Up,200
KRAS Signaling Dn,200
Pancreas Beta Cells,40
