Pathway,Count
"Influenza A mouse blood, 1 day post-infection GSE57384 microbe:299",276
Hepatitis C virus human CD4+ T-lymphocytes GDS4880 microbe:118,224
Aeromonas caviae mouse small intestine (neonatal) GDS2552 microbe:166,297
Trypanosoma cruzi mouse skin GSE13522 microbe:247,390
gammaherpesvirus 68 (MHV-68) mouse spleen GDS4775 microbe:111,329
Trypanosoma cruzi mouse skin GSE13522 microbe:249,285
Leishmania braziliensis human skin GSE55664 microbe:256,300
Leishmania braziliensis human skin GSE55664 microbe:257,300
Yersinia enterocolitica mouse bone marrow-derived macrophages GDS1465 microbe:34,293
Mycobacterium tuberculosis mouse lung GDS4257 microbe:64,372
Mycobacterium tuberculosis mouse lung GDS4257 microbe:65,89
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:181,358
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:183,276
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:182,401
murine norovirus type 1 mouse macrophage RAW264.7 cells GDS3549 microbe:177,420
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:184,356
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:187,254
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:186,226
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:189,228
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:188,191
Burkholderia pseudomallei mouse Lung GSE61106 microbe:286,205
Burkholderia pseudomallei mouse Lung GSE61106 microbe:287,296
Sendai virus mouse macrophages GSE2935 microbe:309,328
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:153,291
"Influenza A mouse lung, 9 days post-infection GSE57452 microbe:315",228
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:156,325
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:157,296
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:154,355
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:155,300
Lactobacillus GG mouse intestinal epithelial cells GDS1516 microbe:70,342
Human immunodeficiency virus human white matter GDS4358 microbe:138,276
Brucella suis (strain 1330) mouse macrophage cells GDS4432 microbe:158,303
Mycobacterium tuberculosis mouse lung GDS4967 microbe:222,48
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:148,382
Leishmania braziliensis human skin (CD8 T cells) GSE43880 microbe:258,309
Brucella abortus human monocyte-derived dendritic cells GSE49016 microbe:294,175
Salmonella enterica serovar Typhimurium mouse cecum GDS4622 microbe:69,324
Mycobacterium tuberculosis mouse lung GDS4257 microbe:63,407
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:140,384
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:141,416
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:142,414
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:143,475
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:144,347
Neisseria gonorrhoeae human peripheral blood mononuclear cells (PBMC) GDS1646 microbe:172,248
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:146,397
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:147,390
gammaherpesvirus 68 (MHV-68) mouse spleen GDS4775 microbe:108,133
Mycobacterium tuberculosis human PBMC GSE16250 microbe:237,242
"influenza A mouse lymph node, 9 days post-infection GSE57453 microbe:338",200
Pseudomonas aeruginosa mouse corneal epithelial cells GSE41147 microbe:296,232
Pseudomonas aeruginosa mouse cultured airway epithelial cells GDS3040 microbe:52,235
Hepatitis C virus JFH-1 human Huh7 hepatoma cells GDS4160 microbe:96,305
H1N1 influenza virus human macrophage GDS3595 microbe:92,208
Rickettsia prowazekii str. Rp22 human endothelial cells GDS3848 microbe:81,140
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:192,232
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:190,276
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:191,252
"Influenza A mouse lung, 4 days post-infection GSE57452 microbe:311",199
"Uropathogenic Escherichia coli mouse urothelium, proximal GSE6419 microbe:341",285
Chlamydia trachomatis human HeLa GSE56168 microbe:280,274
Francisella tularensis subsp. novicida  human Peripheral blood monocyte GDS3298 microbe:205,279
"influenza A mouse spleen, 9 days post-infection GSE57454 microbe:326",280
"H1N1 influenza virus (seasonal strain, BN/59) human primary lung bronchial epithelial cells GDS4855 microbe:120",313
"influenza A mouse spleen, 5 days post-infection GSE57454 microbe:322",247
human papilloma virus (HPV) human head and neck squamous cell carcinoma (HNSCC) tumors GDS1667 microbe:170,263
"influenza A mouse spleen, 8 days post-infection GSE57454 microbe:325",274
Helicobacter pylori mouse gastric epithelial progenitor (mGEP) cells GDS3346 microbe:74,201
Helicobacter pylori mouse gastric epithelial progenitor (mGEP) cells GDS3346 microbe:72,434
rhinovirus human bronchial epithelial cells (BECs) GDS4832 microbe:214,364
Yersinia enterocolitica mouse Peyer's patch GDS2100 microbe:85,191
Trypanosoma cruzi mouse skin GSE13522 microbe:252,325
"Influenza A mouse blood, 0 days post-infection GSE57384 microbe:298",286
Aspergillus fumigatus human dendritic cells GDS2749 microbe:282,300
Plasmodium berghei ANKA mouse brain (Balb/C mice) GDS3145 microbe:198,274
Pseudomonas aeruginosa mouse cultured airway epithelial cells GDS3040 microbe:50,298
Plasmodium berghei ANKA mouse brain (Balb/C mice) GDS3145 microbe:196,343
Plasmodium chabaudi mouse white blood cells (WBCs) from spleen GDS2524 microbe:185,204
Neisseria gonorrhoeae human peripheral blood mononuclear cells (PBMC) GDS1646 microbe:171,187
Chlamydia trachomatis human CNDT-2 (enteroendcrine) cell line GSE58151 microbe:269,308
Sendai virus (SeV) mouse tracheal epithelial cells GDS3210 microbe:178,292
Chlamydia trachomatis human A2EN (Human endocervical epithelial) cells GSE54336 microbe:268,215
pandemic influenza H1N1 (pdmH1N1) A virus (A/Hong Kong/415742/2009) human type I-like alveolar epithelial cells GDS4239 microbe:22,235
Trypanosoma cruzi  HeLa GSE7047 microbe:248,481
Rift Valley fever virus mouse fibroblasts GDS4216 microbe:169,360
Rift Valley fever virus mouse fibroblasts GDS4216 microbe:168,363
Plasmodium falciparum human hematopoietic stem cells GDS4557 microbe:212,257
Plasmodium falciparum human hematopoietic stem cells GDS4557 microbe:213,273
Mycobacterium tuberculosis human PBMC GDS4966 microbe:223,325
Trypanosoma cruzi mouse skin (IFNARKO) GSE13522 microbe:254,234
Staphylococcus aureus human macrophage GDS4931 microbe:60,280
Mycobacterium tuberculosis H37Rv human macrophage GDS3540 microbe:77,409
Brucella suis (strain VTRS1) mouse J774.A1 macrophage cells GDS4432 microbe:159,366
human herpesvirus-8 (HHV-8) human pulmonary microvascular endothelial cells (HMVEC-L) GDS3310 microbe:13,303
Plasmodium berghei ANKA mouse brain (C57/B6 mice) GDS3145 microbe:193,293
Salmonella enterica serovar Typhimurium mouse cecum GDS4622 microbe:68,295
Escherichia coli mouse bladder urothelium GDS2977 microbe:75,309
Mopeia/Lassa reassortant 29 (ML29) human peripheral blood mononuclear cells (PBMC) GDS5058 microbe:132,241
"Influenza A mouse lung, 7 days post-infection GSE57452 microbe:313",237
Plasmodium berghei ANKA mouse brain (C57/B6 mice) GDS3145 microbe:195,282
Plasmodium berghei ANKA mouse brain (C57/B6 mice) GDS3145 microbe:194,301
"Influenza A mouse blood, 9 days post-infection GSE57384 microbe:307",237
"Influenza A mouse lung, 8 days post-infection GSE57452 microbe:314",249
Leishmania major mouse macrophage GSE52624 microbe:255,256
Human immunodeficiency virus human frontal cortex GDS4358 microbe:137,265
"influenza A mouse lymph node, 4 days post-infection GSE57453 microbe:332",225
Lymphocytic choriomeningitis virus (strain Armstrong) mouse spleen GDS4556 microbe:101,359
Brucella melitensis mouse splenocytes GDS2859 microbe:218,308
influenza virus human whole blood GDS3919 microbe:47,320
"influenza A mouse spleen, 10 days post-infection GSE57454 microbe:327",273
Pseudomonas aeruginosa mouse cultured airway epithelial cells GDS3040 microbe:51,185
influenza human whole blood GDS3919 microbe:44,326
Staphylococcus aureus human monocyte-derived macrophages GDS4931 microbe:62,248
Staphylococcus aureus human monocyte-derived macrophages GDS4931 microbe:61,281
HBV human HepG2 GSE4549 microbe:24,279
"influenza A mouse spleen, 4 days post-infection GSE57454 microbe:321",272
Trypanosoma cruzi human fibroblast GSE13791 microbe:243,438
HIV1 human Brain GDS4231 microbe:220,195
Yersinia enterocolitica mouse Peyer's patch GDS2100 microbe:86,162
Mycobacterium tuberculosis human monocytes GSE57736 microbe:236,261
Toxoplasma gondii human foreskin fibroblasts GDS4569 microbe:208,332
Toxoplasma gondii human foreskin fibroblasts GDS4569 microbe:209,320
Shigella flexneri mouse intestinal tissues GDS3392 microbe:38,319
Rickettsia prowazekii human endothelial cells GDS3848 microbe:82,130
Brucella abortus mouse splenocytes GDS2859 microbe:215,330
Brucella abortus mouse splenocytes GDS2859 microbe:216,346
Brucella abortus mouse splenocytes GDS2859 microbe:217,287
Shigella flexneri mouse intestinal tissues GDS3392 microbe:43,127
Shigella flexneri mouse intestinal tissues GDS3392 microbe:42,239
Shigella flexneri mouse intestinal tissues GDS3392 microbe:41,286
Shigella flexneri mouse intestinal tissues GDS3392 microbe:40,283
influenza mouse B cell GSE3203 microbe:297,241
HIV human cervical epithelial cell GSE42291 microbe:291,349
Anaplasma phagocytophilum human promyelocytic leukemic cells GDS1237 microbe:219,373
Yersinia enterocolitica mouse bone marrow-derived macrophages GDS1465 microbe:33,307
Salmonella enterica serovar Typhimurium mouse cecum GDS4622 microbe:66,251
Plasmodium berghei ANKA mouse brain (Balb/C mice) GDS3145 microbe:197,281
H1N1 influenza virus (pandemic strain) human peripheral blood cells GDS4240 microbe:174,153
Trypanosoma cruzi human endothelial cells GSE13791 microbe:244,398
Staphylococcus aureus human bronchial epithelial BEAS-2B cells GDS2606 microbe:135,374
Toxoplasma gondii mouse RAW264.7 macrophage cells GDS4941 microbe:207,205
HIV-1 human PBMC GDS1449 microbe:221,226
"Influenza A mouse blood, 6 days post-infection GSE57384 microbe:304",212
H1N1 influenza virus (pandemic strain) human peripheral blood cells GDS4240 microbe:173,194
"influenza A mouse lymph node, 0 days post-infection GSE57453 microbe:328",391
Human immunodeficiency virus human basal ganglia GDS4358 microbe:136,301
"Influenza A mouse lung, 5 days post-infection GSE57452 microbe:312",204
Tropheryma whipplei human monocyte-derived dendritic cells GSE49016 microbe:290,260
Hepatitis C virus JFH-1 human Huh7 hepatoma cells GDS4160 microbe:94,302
Pneumocystis carinii other alveolar macrophages GSE20149 microbe:349,363
Escherichia coli mouse bladder urothelium GDS2977 microbe:76,375
Burkholderia pseudomallei mouse blood GSE61106 microbe:284,160
West Nile virus (WNV) human primary retinal pigment epithelial (RPE) cells GDS4224 microbe:176,68
"coxsackievirus B3 mouse heart, male GDS4436 microbe:346",258
Cryptosporidium parvum human cultured intestinal epithelial cells GDS3500 microbe:204,239
Orientia tsutsugamushi human monocyte-derived dendritic cells GSE49016 microbe:292,140
Yersinia enterocolitica mouse bone marrow-derived macrophages GDS1465 microbe:35,294
Yersinia enterocolitica mouse bone marrow-derived macrophages GDS1465 microbe:32,291
Trypanosoma cruzi human fibroblast GDS4574 microbe:241,263
Yersinia enterocolitica mouse bone marrow-derived macrophages GDS1465 microbe:30,266
Yersinia enterocolitica mouse bone marrow-derived macrophages GDS1465 microbe:31,333
Plasmodium falciparum human CD34+ hematopoietic stem cells GDS4558 microbe:210,257
Plasmodium falciparum human CD34+ hematopoietic stem cells GDS4558 microbe:211,221
vesicular stomatitis virus (VSV) mouse brain GDS4842 microbe:125,274
Pseudomonas aeruginosa mouse cultured airway epithelial cells GDS3040 microbe:53,307
Chlamydia trachomatis human HeLa GSE56168 microbe:281,243
vesicular stomatitis virus (VSV) mouse brain GDS4842 microbe:126,280
Mycobacterium tuberculosis human whole blood GSE42826 microbe:238,197
Chlamydia trachomatis human HeLa cells GSE56168 microbe:265,450
Streptococcus pneumoniae D39 human pharyngeal epithelial cells GDS3041 microbe:15,378
Streptococcus pneumoniae D39 human pharyngeal epithelial cells GDS3041 microbe:14,460
Pseudomonas aeruginosa human bronchial epithelial BEAS-2B cells GDS2606 microbe:133,283
Trypanosoma cruzi human smooth muscle GSE13791 microbe:246,423
Streptococcus pneumoniae D39 human pharyngeal epithelial cells GDS3041 microbe:18,358
Leishmania amazonensis mouse amastigote GSE38261 microbe:260,254
Leishmania amazonensis mouse amastigote GSE38261 microbe:261,179
influenza virus human whole blood GDS3919 microbe:45,336
Trypanosoma cruzi human smooth muscle GSE13791 microbe:245,363
Pseudomonas aeruginosa mouse cultured airway epithelial cells GDS3040 microbe:54,335
Trypanosoma cruzi mouse skin (IFNgKO) GSE13522 microbe:251,310
H1N1 influenza virus human macrophage GDS3595 microbe:88,331
H5N1 influenza virus human macrophage GDS3595 microbe:91,243
Streptococcus pneumoniae TIGR4 human pharyngeal epithelial cells GDS3041 microbe:17,282
Chlamydia pneumoniae mouse lungs GDS2650 microbe:264,268
Chlamydia pneumoniae mouse ANA-1 macrophage cells GDS2651 microbe:167,218
Leishmania major human dendritic cells GDS5086 microbe:150,335
Leishmania major human dendritic cells GDS5086 microbe:151,336
Leishmania major human dendritic cells GDS5086 microbe:152,213
"influenza A mouse lymph node, 8 days post-infection GSE57453 microbe:336",217
Hepatitis C virus JFH-1 human Huh7 hepatoma cells GDS4160 microbe:98,294
"influenza A mouse lymph node, 1 day post-infection GSE57453 microbe:329",214
"Plasmodium falciparum human placenta, inflamed, chronic malaria, with prior infection control GSE7586 microbe:344",157
"influenza A mouse lymph node, 3 days post-infection GSE57453 microbe:331",244
Chlamydia trachomatis human HeLa cells GSE56168 microbe:271,316
Chlamydia trachomatis human HeLa cells GSE56168 microbe:273,278
Leishmania major mouse macrophages GSE52624 microbe:253,308
Chlamydia trachomatis human HeLa cells GSE56168 microbe:275,308
Chlamydia trachomatis human HeLa cells GSE56168 microbe:274,270
Chlamydia trachomatis human HeLa cells GSE56168 microbe:277,292
Chlamydia trachomatis human HeLa cells GSE56168 microbe:276,223
Chlamydia trachomatis human A2EN (Human endocervical epithelial) cells GSE54336 microbe:270,258
Francisella tularensis tularensis Schu S4 human Peripheral blood monocyte GDS3298 microbe:206,302
"influenza A mouse lymph node, 10 days post-infection GSE57453 microbe:339",213
"polyomavirus JC virus (JCV), SVG-5F4 clone human fetal glial cells GDS4852 microbe:124",294
Helicobacter pylori mouse gastric epithelial progenitor (mGEP) cells GDS3346 microbe:73,238
respiratory syncytial virus human bronchial epithelial BEAS-2B cells GDS2606 microbe:134,325
H5N1 influenza virus human macrophage GDS3595 microbe:93,184
Salmonella enterica serovar Typhimurium mouse cecum GDS4622 microbe:67,219
Rickettsia prowazekii human endothelial cells GDS3848 microbe:83,134
Chlamydia trachomatis human LCC (enteroendcrine) cell line GSE58151 microbe:266,260
Mycobacterium tuberculosis human whole blood GSE42825 microbe:239,240
Lactobacillus plantarum (299v A- nonadherent mutant) human colonic intestinal explant tissue GDS4548 microbe:201,378
Brucella suis (strain VTRS1) mouse J774.A1 macrophage cells GDS4432 microbe:161,285
Brucella suis (strain VTRS1) mouse J774.A1 macrophage cells GDS4432 microbe:160,312
Brucella suis (strain VTRS1) mouse J774.A1 macrophage cells GDS4432 microbe:163,315
Brucella suis (strain VTRS1) mouse J774.A1 macrophage cells GDS4432 microbe:162,297
gammaherpesvirus 68 (MHV-68) mouse brain GDS4775 microbe:113,286
Brucella suis (strain VTRS1) mouse J774.A1 macrophage cells GDS4432 microbe:164,327
"influenza A mouse spleen, 2 days post-infection GSE57454 microbe:319",258
gammaherpesvirus 68 (MHV-68) mouse brain GDS4775 microbe:110,269
"Influenza A mouse blood, 5 days post-infection GSE57384 microbe:303",228
"influenza A mouse spleen, 6 days post-infection GSE57454 microbe:323",261
"Uropathogenic Escherichia coli mouse urothelium, distal GSE6419 microbe:340",359
Streptococcus pneumoniae TIGR4 human pharyngeal epithelial cells GDS3041 microbe:20,238
Mycobacterium tuberculosis human monocytes GSE65517 microbe:225,286
"Influenza A mouse lung, 10 days post-infection GSE57452 microbe:316",228
Mopeia/Lassa reassortant 29 (ML29) human peripheral blood mononuclear cells (PBMC) GDS5058 microbe:131,319
Mopeia/Lassa reassortant 29 (ML29) human peripheral blood mononuclear cells (PBMC) GDS5058 microbe:130,307
"Influenza A mouse blood, 4 days post-infection GSE57384 microbe:302",209
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:145,318
Lactobacillus paracasei (BL23) human colonic intestinal explant tissue GDS4548 microbe:199,316
"influenza A mouse spleen, 3 days post-infection GSE57454 microbe:320",295
Leishmania donovani mouse liver GSE38985 microbe:259,418
gammaherpesvirus 68 (MHV-68) mouse liver GDS4775 microbe:109,168
"polyomavirus JC virus (JCV), SVG-10B1 clone human fetal glial cells GDS4852 microbe:123",286
Shigella flexneri mouse intestinal tissues GDS3392 microbe:39,335
Shigella flexneri mouse intestinal tissues GDS3392 microbe:36,224
Shigella flexneri mouse intestinal tissues GDS3392 microbe:37,319
Coxiella burnetii human monocyte-derived dendritic cells GSE49016 microbe:289,143
"influenza A mouse lymph node, 7 days post-infection GSE57453 microbe:335",237
HCV human CD4+ T-cells GSE49954 microbe:25,296
candida albicans mouse macrophages (cPLA2a+/+) GSE46533 microbe:293,168
Nippostrongylus brasiliensis mouse lung GDS2024 microbe:139,373
Chlamydia trachomatis human HeLa cells GSE56168 microbe:267,297
Leishmania major human dendritic cells GDS5086 microbe:149,352
Lactobacillus plantarum (299v) human colonic intestinal explant tissue GDS4548 microbe:200,348
"influenza A mouse lymph node, 2 days post-infection GSE57453 microbe:330",232
"influenza A mouse spleen, 1 day post-infection GSE57454 microbe:318",312
Lassa virus human peripheral blood mononuclear cells (PBMC) GDS5058 microbe:127,272
Lassa virus human peripheral blood mononuclear cells (PBMC) GDS5058 microbe:128,269
Lassa virus human peripheral blood mononuclear cells (PBMC) GDS5058 microbe:129,216
Staphylococcus aureus mouse lung GDS4582 microbe:114,129
Staphylococcus aureus mouse lung GDS4582 microbe:115,230
Staphylococcus aureus mouse lung GDS4582 microbe:116,194
Staphylococcus aureus mouse lung GDS4582 microbe:117,249
Cryptosporidium hominis human cultured intestinal epithelial cells GDS3500 microbe:203,209
HCV human Huh7 GSE20948 microbe:79,299
Yersinia enterocolitica mouse Peyer's patch GDS2100 microbe:84,182
Streptococcus pneumoniae G54 human pharyngeal epithelial cells GDS3041 microbe:16,424
Streptococcus pneumoniae G54 human pharyngeal epithelial cells GDS3041 microbe:19,291
Lactobacillus acidophilus NCFM mouse dendritic cells GDS3813 microbe:21,282
"H1N1 influenza virus (pandemic strain, KY/180) human primary lung bronchial epithelial cells GDS4855 microbe:122",314
"Plasmodium falciparum human placenta, uninflamed, acute malaria, no prior infection control GSE7586 microbe:342",274
"Plasmodium falciparum human placenta, inflamed, chronic malaria, no prior infection control GSE7586 microbe:343",191
lymphocytic choriomeningitis virus mouse spleen GDS4556 microbe:99,176
Chlamydia pneumoniae human monocyte-derived dendritic cells GDS3573 microbe:165,255
"Influenza A mouse blood, 2 days post-infection GSE57384 microbe:300",214
"influenza A mouse spleen, 7 days post-infection GSE57454 microbe:324",264
Burkholderia pseudomallei mouse Spleen GSE61106 microbe:288,217
"Influenza A mouse blood, 10 days post-infection GSE57384 microbe:308",266
Chlamydia trachomatis human HeLa GSE56168 microbe:279,364
influenza virus human whole blood GDS3919 microbe:46,327
respiratory syncytial virus (RSV) human bronchial epithelial cells GDS2023 microbe:179,394
Chlamydia trachomatis human HeLa cells GSE56168 microbe:278,495
Alternaria mouse bronchial brushings of lung epithelium GDS4423 microbe:202,254
gammaherpesvirus 68 (MHV-68) mouse liver GDS4775 microbe:112,328
Hepatitis C virus human CD8+ T-lymphocytes GDS4880 microbe:119,271
Trypanosoma cruzi mouse skin GSE13522 microbe:250,269
Yersinia enterocolitica mouse bone marrow-derived macrophages GDS1465 microbe:29,278
H1N1 influenza virus human macrophage GDS3595 microbe:90,283
"Influenza A mouse blood, 8 days post-infection GSE57384 microbe:306",252
"Influenza A mouse blood, 7 days post-infection GSE57384 microbe:305",228
"Influenza A mouse lung, 3 days post-infection GSE57452 microbe:310",203
Hepatitis C virus JFH-1 human Huh7 hepatoma cells GDS4160 microbe:97,307
Pseudomonas aeruginosa mouse cultured airway epithelial cells GDS3040 microbe:49,280
Mycobacterium tuberculosis H37Rv human macrophage GDS3540 microbe:78,404
"influenza A mouse lymph node, 5 days post-infection GSE57453 microbe:333",204
HBV human Liver GSE38941 microbe:23,249
"H1N1 influenza virus (pandemic strain, KY/136) human primary lung bronchial epithelial cells GDS4855 microbe:121",306
Burkholderia pseudomallei mouse blood GSE61106 microbe:283,193
HCV human CD8+ T-cells GSE49954 microbe:28,286
Yersinia enterocolitica mouse Peyer's patch GDS2100 microbe:87,150
Burkholderia pseudomallei mouse blood GSE61106 microbe:285,275
respiratory syncytial virus (RSV) human bronchial epithelial cells GDS2023 microbe:180,390
influenza virus human whole blood GDS3919 microbe:48,312
Shiga toxin type 1 human macrophage-like THP-1 cells GDS4041 microbe:175,253
"Influenza A mouse blood, 3 days post-infection GSE57384 microbe:301",224
H5N1 influenza virus human macrophage GDS3595 microbe:89,307
"Plasmodium falciparum human placenta, uninflamed, acute malaria, with prior infection control GSE7586 microbe:345",266
Leishmania amazonensis mouse dendritic cells (Bone marrow-derived ) GSE16644 microbe:262,313
Trypanosoma cruzi mouse Heart GSE41089 microbe:242,250
Mycobacterium tuberculosis H37Rv human macrophage GDS3540 microbe:80,451
